year,month,rank_ME,rank_beta_1,nstocks,ret_vw
1967,1,1,1,196,14.2959
1967,1,1,2,120,18.1918
1967,1,1,3,95,20.2212
1967,1,1,4,153,21.5752
1967,1,1,5,235,24.4397
1967,1,2,1,68,9.7397
1967,1,2,2,51,12.5564
1967,1,2,3,69,15.7170
1967,1,2,4,83,19.4350
1967,1,2,5,89,18.4059
1967,1,3,1,125,4.5331
1967,1,3,2,138,8.8208
1967,1,3,3,124,7.8418
1967,1,3,4,109,9.0217
1967,1,3,5,96,10.9936
1967,2,1,1,150,5.3046
1967,2,1,2,116,4.7956
1967,2,1,3,117,4.2768
1967,2,1,4,132,6.1081
1967,2,1,5,287,5.3435
1967,2,2,1,60,1.5881
1967,2,2,2,52,2.5407
1967,2,2,3,66,2.7919
1967,2,2,4,80,1.9904
1967,2,2,5,106,2.3966
1967,2,3,1,139,0.0194
1967,2,3,2,136,0.1305
1967,2,3,3,130,1.0320
1967,2,3,4,105,3.9991
1967,2,3,5,82,0.9654
1967,3,1,1,148,5.5138
1967,3,1,2,114,6.3696
1967,3,1,3,120,6.5501
1967,3,1,4,131,7.7373
1967,3,1,5,290,8.0323
1967,3,2,1,62,3.0012
1967,3,2,2,56,4.8534
1967,3,2,3,61,6.3709
1967,3,2,4,92,7.8017
1967,3,2,5,103,6.2583
1967,3,3,1,142,3.0614
1967,3,3,2,134,3.9843
1967,3,3,3,133,5.3442
1967,3,3,4,98,5.4485
1967,3,3,5,84,5.0802
1967,4,1,1,149,3.3702
1967,4,1,2,116,4.7398
1967,4,1,3,120,3.9469
1967,4,1,4,133,5.0036
1967,4,1,5,285,4.6353
1967,4,2,1,64,2.4967
1967,4,2,2,53,3.4670
1967,4,2,3,68,3.4338
1967,4,2,4,85,2.8140
1967,4,2,5,107,4.9894
1967,4,3,1,137,1.2663
1967,4,3,2,138,6.6150
1967,4,3,3,127,3.5696
1967,4,3,4,101,8.0456
1967,4,3,5,84,3.7433
1967,5,1,1,162,0.2518
1967,5,1,2,104,1.8421
1967,5,1,3,121,1.2099
1967,5,1,4,124,0.6323
1967,5,1,5,292,-0.4672
1967,5,2,1,62,0.5093
1967,5,2,2,59,-1.4647
1967,5,2,3,61,-2.1766
1967,5,2,4,92,-1.3641
1967,5,2,5,105,-3.2883
1967,5,3,1,135,-3.2301
1967,5,3,2,134,-5.4076
1967,5,3,3,132,-4.4304
1967,5,3,4,102,-4.5093
1967,5,3,5,85,-3.8429
1967,6,1,1,163,4.8478
1967,6,1,2,118,6.6423
1967,6,1,3,108,12.0262
1967,6,1,4,135,11.7857
1967,6,1,5,271,15.4358
1967,6,2,1,67,4.1361
1967,6,2,2,49,6.7942
1967,6,2,3,76,6.1467
1967,6,2,4,85,9.2875
1967,6,2,5,102,8.7949
1967,6,3,1,132,0.7322
1967,6,3,2,137,1.9259
1967,6,3,3,129,1.2953
1967,6,3,4,102,5.3113
1967,6,3,5,86,2.7501
1967,7,1,1,156,8.7067
1967,7,1,2,126,10.2178
1967,7,1,3,104,10.7172
1967,7,1,4,128,9.0980
1967,7,1,5,272,10.0232
1967,7,2,1,64,6.3433
1967,7,2,2,59,8.1618
1967,7,2,3,74,7.6119
1967,7,2,4,89,6.9096
1967,7,2,5,102,8.6840
1967,7,3,1,139,1.9351
1967,7,3,2,126,4.4324
1967,7,3,3,133,7.0171
1967,7,3,4,102,4.7443
1967,7,3,5,86,5.9673
1967,8,1,1,142,0.9274
1967,8,1,2,137,0.5630
1967,8,1,3,99,2.3423
1967,8,1,4,144,-0.5033
1967,8,1,5,256,0.0167
1967,8,2,1,61,0.0577
1967,8,2,2,63,0.5606
1967,8,2,3,75,-0.3480
1967,8,2,4,85,0.9041
1967,8,2,5,104,-1.0662
1967,8,3,1,148,-1.1046
1967,8,3,2,117,0.0064
1967,8,3,3,134,-1.1496
1967,8,3,4,110,0.0562
1967,8,3,5,78,-1.2641
1967,9,1,1,143,6.2964
1967,9,1,2,145,7.1818
1967,9,1,3,94,5.5921
1967,9,1,4,146,7.1825
1967,9,1,5,256,10.1956
1967,9,2,1,59,3.1273
1967,9,2,2,59,4.5384
1967,9,2,3,78,6.6254
1967,9,2,4,81,6.1880
1967,9,2,5,111,3.1304
1967,9,3,1,148,2.1534
1967,9,3,2,120,1.9956
1967,9,3,3,129,5.2947
