year,month,rank_ME,rank_DTV_12,nstocks,ret_vw
1967,1,1,1,732,18.3212
1967,1,1,2,126,21.1860
1967,1,1,3,53,27.0142
1967,1,1,4,9,21.5648
1967,1,1,5,2,2.2313
1967,1,2,1,100,10.1612
1967,1,2,2,133,15.4954
1967,1,2,3,97,17.0968
1967,1,2,4,65,18.7590
1967,1,2,5,16,23.4590
1967,1,3,1,18,5.7797
1967,1,3,2,53,11.3415
1967,1,3,3,131,6.8451
1967,1,3,4,182,7.6885
1967,1,3,5,228,7.9647
1967,2,1,1,762,5.4424
1967,2,1,2,160,4.6277
1967,2,1,3,78,4.9384
1967,2,1,4,13,6.1275
1967,2,1,5,3,5.4930
1967,2,2,1,110,2.2994
1967,2,2,2,166,1.7150
1967,2,2,3,123,2.7783
1967,2,2,4,80,3.1034
1967,2,2,5,17,1.5007
1967,2,3,1,24,1.3366
1967,2,3,2,65,-0.4592
1967,2,3,3,150,0.3214
1967,2,3,4,206,1.1325
1967,2,3,5,241,1.0200
1967,3,1,1,776,6.9281
1967,3,1,2,204,7.5073
1967,3,1,3,87,8.2115
1967,3,1,4,19,3.7181
1967,3,1,5,5,-2.6921
1967,3,2,1,129,4.3445
1967,3,2,2,184,6.2217
1967,3,2,3,153,6.9834
1967,3,2,4,97,6.7878
1967,3,2,5,24,7.4592
1967,3,3,1,26,3.8424
1967,3,3,2,73,3.8160
1967,3,3,3,167,4.2782
1967,3,3,4,228,4.1446
1967,3,3,5,255,4.3700
1967,4,1,1,778,4.1479
1967,4,1,2,243,4.8135
1967,4,1,3,111,6.1766
1967,4,1,4,25,12.0275
1967,4,1,5,7,-4.3308
1967,4,2,1,145,3.8975
1967,4,2,2,198,3.9351
1967,4,2,3,169,3.9125
1967,4,2,4,106,2.2918
1967,4,2,5,29,3.6550
1967,4,3,1,29,3.9223
1967,4,3,2,87,2.9415
1967,4,3,3,180,3.0248
1967,4,3,4,239,4.1489
1967,4,3,5,263,4.6112
1967,5,1,1,790,0.6343
1967,5,1,2,268,-0.2090
1967,5,1,3,123,-2.0151
1967,5,1,4,30,-4.5014
1967,5,1,5,8,0.3857
1967,5,2,1,151,-0.3936
1967,5,2,2,206,-2.2661
1967,5,2,3,181,-1.0113
1967,5,2,4,120,-2.5382
1967,5,2,5,35,-2.3927
1967,5,3,1,33,0.2794
1967,5,3,2,94,-0.9223
1967,5,3,3,193,-2.1666
1967,5,3,4,248,-3.3674
1967,5,3,5,270,-4.9106
1967,6,1,1,797,9.4009
1967,6,1,2,292,12.9826
1967,6,1,3,139,16.7538
1967,6,1,4,37,17.4726
1967,6,1,5,12,11.6762
1967,6,2,1,159,3.6030
1967,6,2,2,218,6.8578
1967,6,2,3,189,7.4801
1967,6,2,4,129,10.4532
1967,6,2,5,45,9.1587
1967,6,3,1,34,3.1511
1967,6,3,2,103,1.6886
1967,6,3,3,202,1.6466
1967,6,3,4,254,1.5690
1967,6,3,5,277,2.2675
1967,7,1,1,798,9.9807
1967,7,1,2,319,8.7993
1967,7,1,3,145,7.0131
1967,7,1,4,46,7.4160
1967,7,1,5,12,4.2760
1967,7,2,1,166,6.8482
1967,7,2,2,235,8.0289
1967,7,2,3,200,8.7032
1967,7,2,4,142,6.9291
1967,7,2,5,53,4.5162
1967,7,3,1,37,3.0846
1967,7,3,2,108,2.8338
1967,7,3,3,213,4.1589
1967,7,3,4,268,4.6251
1967,7,3,5,283,4.6496
1967,8,1,1,801,0.9971
1967,8,1,2,347,0.8989
1967,8,1,3,161,-2.4053
1967,8,1,4,47,-1.8390
1967,8,1,5,14,0.4462
1967,8,2,1,175,0.7439
1967,8,2,2,249,0.0681
1967,8,2,3,215,-0.3354
1967,8,2,4,149,-0.6631
1967,8,2,5,59,-3.5703
1967,8,3,1,41,1.1747
1967,8,3,2,121,0.6364
1967,8,3,3,219,0.5539
1967,8,3,4,275,-0.2685
1967,8,3,5,287,-1.0417
1967,9,1,1,810,8.4155
1967,9,1,2,372,8.5674
1967,9,1,3,178,6.9967
1967,9,1,4,55,12.5456
1967,9,1,5,15,8.1423
1967,9,2,1,182,4.7634
1967,9,2,2,258,4.7605
1967,9,2,3,226,4.6487
1967,9,2,4,158,4.4838
1967,9,2,5,62,5.3346
1967,9,3,1,41,2.0666
1967,9,3,2,128,1.2596
1967,9,3,3,231,1.6633
1967,9,3,4,287,2.0913
1967,9,3,5,290,3.7124
1967,10,1,1,812,-1.1161
1967,10,1,2,390,-2.6868
1967,10,1,3,192,-1.5714
