year,month,rank_ME,rank_ISq_1,nstocks,ret_vw
1967,2,1,1,175,6.1403
1967,2,1,2,166,5.3217
1967,2,1,3,185,5.3303
1967,2,1,4,169,4.6438
1967,2,1,5,241,5.5770
1967,2,2,1,81,2.3953
1967,2,2,2,64,2.5261
1967,2,2,3,96,2.2437
1967,2,2,4,81,2.1719
1967,2,2,5,90,2.7034
1967,2,3,1,130,2.6681
1967,2,3,2,139,-0.5722
1967,2,3,3,121,0.5816
1967,2,3,4,125,0.7273
1967,2,3,5,99,1.2477
1967,3,1,1,133,7.6857
1967,3,1,2,143,6.6755
1967,3,1,3,180,7.5537
1967,3,1,4,228,6.4625
1967,3,1,5,245,6.8022
1967,3,2,1,76,5.5848
1967,3,2,2,76,6.8147
1967,3,2,3,85,5.9086
1967,3,2,4,84,4.2977
1967,3,2,5,100,7.5585
1967,3,3,1,134,4.2966
1967,3,3,2,128,4.2119
1967,3,3,3,122,5.2298
1967,3,3,4,116,3.1582
1967,3,3,5,114,4.7230
1967,4,1,1,191,5.1669
1967,4,1,2,171,5.1399
1967,4,1,3,207,5.2008
1967,4,1,4,170,3.1765
1967,4,1,5,189,4.7852
1967,4,2,1,82,2.7302
1967,4,2,2,66,3.6250
1967,4,2,3,82,5.0666
1967,4,2,4,90,3.1472
1967,4,2,5,104,3.2740
1967,4,3,1,118,3.6211
1967,4,3,2,137,3.4017
1967,4,3,3,135,5.6563
1967,4,3,4,110,6.3718
1967,4,3,5,112,1.8716
1967,5,1,1,155,0.5969
1967,5,1,2,166,1.3661
1967,5,1,3,183,1.5071
1967,5,1,4,186,0.3136
1967,5,1,5,229,-2.0058
1967,5,2,1,79,-1.2586
1967,5,2,2,73,-1.9648
1967,5,2,3,85,-0.6126
1967,5,2,4,92,-2.5197
1967,5,2,5,101,-1.9220
1967,5,3,1,127,-3.9558
1967,5,3,2,131,-4.5331
1967,5,3,3,128,-4.0558
1967,5,3,4,118,-4.4173
1967,5,3,5,109,-4.3869
1967,6,1,1,165,6.4837
1967,6,1,2,132,10.2524
1967,6,1,3,152,12.7913
1967,6,1,4,225,10.6068
1967,6,1,5,239,13.3817
1967,6,2,1,75,5.0593
1967,6,2,2,96,6.9591
1967,6,2,3,82,7.4285
1967,6,2,4,73,10.4995
1967,6,2,5,110,7.3976
1967,6,3,1,133,1.7618
1967,6,3,2,123,-0.0395
1967,6,3,3,121,1.8328
1967,6,3,4,126,4.3579
1967,6,3,5,106,3.1546
1967,7,1,1,128,9.9831
1967,7,1,2,157,8.0503
1967,7,1,3,160,10.2455
1967,7,1,4,205,11.5536
1967,7,1,5,252,7.9061
1967,7,2,1,76,6.4510
1967,7,2,2,79,7.4859
1967,7,2,3,97,7.8650
1967,7,2,4,93,5.3524
1967,7,2,5,101,8.0191
1967,7,3,1,133,6.0775
1967,7,3,2,133,5.6860
1967,7,3,3,120,0.0080
1967,7,3,4,120,7.2396
1967,7,3,5,102,4.0585
1967,8,1,1,129,1.2211
1967,8,1,2,157,0.0748
1967,8,1,3,173,2.0601
1967,8,1,4,201,0.3032
1967,8,1,5,238,-1.1859
1967,8,2,1,74,-0.3455
1967,8,2,2,85,0.6776
1967,8,2,3,87,-1.3399
1967,8,2,4,96,0.4606
1967,8,2,5,104,-0.3735
1967,8,3,1,135,-0.0679
1967,8,3,2,132,-0.7221
1967,8,3,3,126,-0.4600
1967,8,3,4,116,-1.2899
1967,8,3,5,98,-1.6310
1967,9,1,1,152,7.4450
1967,9,1,2,139,5.5297
1967,9,1,3,164,8.8908
1967,9,1,4,189,9.9460
