year,month,rank_ME,rank_IVFF_1,nstocks,ret_vw
1967,1,1,1,64,11.4524
1967,1,1,2,69,14.4913
1967,1,1,3,81,19.2078
1967,1,1,4,148,19.0125
1967,1,1,5,570,22.7673
1967,1,2,1,57,10.7982
1967,1,2,2,59,13.5683
1967,1,2,3,75,17.1190
1967,1,2,4,95,17.1410
1967,1,2,5,128,17.0273
1967,1,3,1,165,6.7734
1967,1,3,2,148,8.6845
1967,1,3,3,137,6.6573
1967,1,3,4,111,11.6863
1967,1,3,5,52,11.8797
1967,2,1,1,59,2.8816
1967,2,1,2,49,4.3966
1967,2,1,3,92,2.8612
1967,2,1,4,160,4.9121
1967,2,1,5,576,6.6837
1967,2,2,1,56,2.1627
1967,2,2,2,63,1.4367
1967,2,2,3,75,1.0282
1967,2,2,4,104,2.5442
1967,2,2,5,114,4.0057
1967,2,3,1,167,1.0959
1967,2,3,2,161,0.5732
1967,2,3,3,134,0.8912
1967,2,3,4,88,1.0580
1967,2,3,5,64,1.9812
1967,3,1,1,48,6.9305
1967,3,1,2,75,7.0489
1967,3,1,3,93,5.5836
1967,3,1,4,144,9.0913
1967,3,1,5,569,6.5718
1967,3,2,1,56,3.5837
1967,3,2,2,60,5.7740
1967,3,2,3,78,7.6743
1967,3,2,4,101,5.6788
1967,3,2,5,126,6.8166
1967,3,3,1,172,4.1094
1967,3,3,2,151,4.3250
1967,3,3,3,126,4.8026
1967,3,3,4,103,4.6621
1967,3,3,5,62,4.5962
1967,4,1,1,60,3.5408
1967,4,1,2,53,4.6327
1967,4,1,3,108,4.6981
1967,4,1,4,166,3.3281
1967,4,1,5,541,5.4233
1967,4,2,1,62,3.9094
1967,4,2,2,53,3.6134
1967,4,2,3,69,3.3347
1967,4,2,4,95,4.1547
1967,4,2,5,146,3.0739
1967,4,3,1,153,4.1415
1967,4,3,2,156,3.6493
1967,4,3,3,129,4.9073
1967,4,3,4,112,7.0294
1967,4,3,5,62,2.7349
1967,5,1,1,54,0.6469
1967,5,1,2,72,1.3607
1967,5,1,3,98,0.2996
1967,5,1,4,153,1.7522
1967,5,1,5,542,-0.6436
1967,5,2,1,49,-1.5658
1967,5,2,2,59,1.0502
1967,5,2,3,81,-1.6458
1967,5,2,4,89,-1.4101
1967,5,2,5,152,-3.0808
1967,5,3,1,164,-4.0854
1967,5,3,2,154,-4.4897
1967,5,3,3,129,-5.4114
1967,5,3,4,105,-3.7426
1967,5,3,5,61,-0.2845
1967,6,1,1,55,4.3212
1967,6,1,2,67,3.2278
1967,6,1,3,84,7.3569
1967,6,1,4,146,10.7368
1967,6,1,5,561,13.9933
1967,6,2,1,58,2.5256
1967,6,2,2,59,3.1695
1967,6,2,3,86,8.2884
1967,6,2,4,111,8.9847
1967,6,2,5,122,10.0804
1967,6,3,1,158,1.2473
1967,6,3,2,151,2.4742
1967,6,3,3,129,2.3907
1967,6,3,4,99,3.3451
1967,6,3,5,72,6.9710
1967,7,1,1,69,6.8763
1967,7,1,2,66,8.0869
1967,7,1,3,68,10.6676
1967,7,1,4,137,12.5496
1967,7,1,5,562,9.1075
1967,7,2,1,48,5.6233
1967,7,2,2,68,7.6540
1967,7,2,3,66,6.8943
1967,7,2,4,111,8.0168
1967,7,2,5,153,6.7037
1967,7,3,1,156,4.7699
1967,7,3,2,145,2.7951
1967,7,3,3,151,4.7965
1967,7,3,4,103,8.3420
1967,7,3,5,53,4.8296
1967,8,1,1,49,3.0304
1967,8,1,2,75,2.2903
1967,8,1,3,90,1.3409
1967,8,1,4,146,-0.2112
1967,8,1,5,538,-0.3993
1967,8,2,1,58,1.2430
1967,8,2,2,55,1.4285
1967,8,2,3,83,0.0990
1967,8,2,4,117,-0.4443
1967,8,2,5,134,-1.5080
1967,8,3,1,162,-0.6650
1967,8,3,2,153,-0.2867
1967,8,3,3,130,-1.1879
1967,8,3,4,94,-0.4555
1967,8,3,5,68,-3.3678
1967,9,1,1,46,4.7913
