year,month,rank_ME,rank_TV_1,nstocks,ret_vw
1967,1,1,1,73,11.6876
1967,1,1,2,70,15.9957
1967,1,1,3,81,18.3177
1967,1,1,4,168,19.8712
1967,1,1,5,540,22.6575
1967,1,2,1,64,10.5710
1967,1,2,2,61,14.0579
1967,1,2,3,79,16.0819
1967,1,2,4,80,16.5028
1967,1,2,5,130,18.4715
1967,1,3,1,155,7.1121
1967,1,3,2,143,6.6565
1967,1,3,3,135,8.5041
1967,1,3,4,124,10.8939
1967,1,3,5,56,14.1528
1967,2,1,1,61,2.6930
1967,2,1,2,55,5.2802
1967,2,1,3,93,3.5755
1967,2,1,4,163,4.2122
1967,2,1,5,564,6.7608
1967,2,2,1,58,0.8885
1967,2,2,2,59,2.9426
1967,2,2,3,72,1.1791
1967,2,2,4,104,2.5451
1967,2,2,5,119,3.5816
1967,2,3,1,169,1.4144
1967,2,3,2,158,0.3682
1967,2,3,3,135,0.0394
1967,2,3,4,89,0.9308
1967,2,3,5,63,3.5981
1967,3,1,1,51,6.9930
1967,3,1,2,85,6.7573
1967,3,1,3,83,5.6042
1967,3,1,4,159,8.2074
1967,3,1,5,551,6.8558
1967,3,2,1,61,3.6710
1967,3,2,2,53,6.1428
1967,3,2,3,74,8.1454
1967,3,2,4,110,5.2749
1967,3,2,5,123,6.8754
1967,3,3,1,166,4.1182
1967,3,3,2,154,4.3948
1967,3,3,3,131,3.9965
1967,3,3,4,100,5.8117
1967,3,3,5,63,4.0778
1967,4,1,1,57,3.4303
1967,4,1,2,71,4.2971
1967,4,1,3,105,5.1363
1967,4,1,4,161,3.5579
1967,4,1,5,534,5.2834
1967,4,2,1,64,3.4906
1967,4,2,2,51,3.8202
1967,4,2,3,70,3.2241
1967,4,2,4,101,4.6968
1967,4,2,5,139,2.7936
1967,4,3,1,153,4.3738
1967,4,3,2,149,3.1127
1967,4,3,3,133,5.8509
1967,4,3,4,113,6.7718
1967,4,3,5,64,2.2487
1967,5,1,1,65,0.4111
1967,5,1,2,74,2.5704
1967,5,1,3,105,0.2488
1967,5,1,4,165,1.4882
1967,5,1,5,510,-0.8100
1967,5,2,1,48,-1.4444
1967,5,2,2,68,-0.2679
1967,5,2,3,73,-0.9605
1967,5,2,4,92,-1.1438
1967,5,2,5,149,-3.2239
1967,5,3,1,155,-4.1665
1967,5,3,2,146,-4.1829
1967,5,3,3,140,-4.8128
1967,5,3,4,100,-4.2928
1967,5,3,5,72,-2.9559
1967,6,1,1,71,3.9714
1967,6,1,2,69,3.2057
1967,6,1,3,93,7.2165
1967,6,1,4,153,10.9731
1967,6,1,5,527,14.4577
1967,6,2,1,60,1.9562
1967,6,2,2,69,4.3050
1967,6,2,3,69,7.5198
1967,6,2,4,101,8.0106
1967,6,2,5,137,11.2933
1967,6,3,1,149,1.5505
1967,6,3,2,145,1.3573
1967,6,3,3,143,2.3701
1967,6,3,4,99,4.1016
1967,6,3,5,73,7.1991
1967,7,1,1,71,6.0919
1967,7,1,2,75,10.1747
1967,7,1,3,82,9.2642
1967,7,1,4,145,12.0396
1967,7,1,5,529,9.3017
1967,7,2,1,58,5.7123
1967,7,2,2,56,7.6900
1967,7,2,3,71,8.1744
1967,7,2,4,103,6.5600
1967,7,2,5,158,7.1977
1967,7,3,1,147,2.4163
1967,7,3,2,153,5.5715
1967,7,3,3,141,6.8334
1967,7,3,4,104,5.1584
1967,7,3,5,63,7.4083
1967,8,1,1,50,3.4194
1967,8,1,2,70,2.3491
1967,8,1,3,93,1.4223
1967,8,1,4,154,-0.5143
1967,8,1,5,531,-0.3203
1967,8,2,1,54,1.3624
1967,8,2,2,60,1.4893
1967,8,2,3,88,0.3175
1967,8,2,4,106,-0.5926
1967,8,2,5,139,-1.6352
1967,8,3,1,163,-0.6691
1967,8,3,2,156,-0.2955
1967,8,3,3,119,-1.3716
1967,8,3,4,103,-0.2344
1967,8,3,5,66,-3.4279
1967,9,1,1,51,4.5734
1967,9,1,2,55,5.9745
1967,9,1,3,104,7.8600
1967,9,1,4,142,6.7885
1967,9,1,5,551,9.4239
1967,9,2,1,62,2.9529
1967,9,2,2,73,4.9801
1967,9,2,3,73,3.6049
1967,9,2,4,94,5.4613
1967,9,2,5,145,6.3476
1967,9,3,1,164,3.2108
1967,9,3,2,134,2.9751
1967,9,3,3,131,2.6475
1967,9,3,4,117,4.5921
1967,9,3,5,60,2.0234
1967,10,1,1,46,-1.5407
1967,10,1,2,48,-2.9759
1967,10,1,3,94,-1.0099
1967,10,1,4,182,-2.7799
1967,10,1,5,536,-1.6910
1967,10,2,1,56,-2.8261
1967,10,2,2,72,-1.4010
1967,10,2,3,75,-4.1744
1967,10,2,4,112,-3.3626
1967,10,2,5,130,-2.9787
1967,10,3,1,161,-3.1225
1967,10,3,2,149,-1.6458
1967,10,3,3,130,-3.6076
1967,10,3,4,88,-3.4906
1967,10,3,5,75,-1.7214
1967,11,1,1,60,-1.4792
1967,11,1,2,56,1.4535
1967,11,1,3,100,1.3028
1967,11,1,4,154,2.1316
1967,11,1,5,536,-0.7793
1967,11,2,1,62,-0.3424
1967,11,2,2,77,0.4015
1967,11,2,3,74,0.9745
1967,11,2,4,99,1.9593
1967,11,2,5,135,1.1946
1967,11,3,1,157,1.5260
1967,11,3,2,135,-0.3803
1967,11,3,3,134,0.4971
1967,11,3,4,102,1.6465
1967,11,3,5,77,0.9971
1967,12,1,1,70,2.8274
1967,12,1,2,71,5.4650
1967,12,1,3,108,9.0804
1967,12,1,4,169,9.6595
1967,12,1,5,491,13.5137
