year,month,rank_ME,rank_ADM,nstocks,ret_vw
1973,7,1,1,112,17.3511
1973,7,1,2,87,16.9316
1973,7,1,3,112,12.6428
1973,7,1,4,89,13.1801
1973,7,1,5,115,11.4730
1973,7,2,1,45,17.7936
1973,7,2,2,29,14.7409
1973,7,2,3,37,10.9217
1973,7,2,4,29,14.5478
1973,7,2,5,41,10.6107
1973,7,3,1,87,5.4900
1973,7,3,2,60,6.3377
1973,7,3,3,58,8.6198
1973,7,3,4,59,6.6389
1973,7,3,5,30,8.6945
1973,8,1,1,112,-5.6733
1973,8,1,2,87,-7.8858
1973,8,1,3,112,-5.3526
1973,8,1,4,89,-6.8648
1973,8,1,5,114,-6.1573
1973,8,2,1,45,-5.7081
1973,8,2,2,29,-1.8286
1973,8,2,3,37,-2.8914
1973,8,2,4,29,-2.7182
1973,8,2,5,41,-3.3269
1973,8,3,1,87,-1.1852
1973,8,3,2,60,-5.2052
1973,8,3,3,58,-5.2720
1973,8,3,4,59,-3.3921
1973,8,3,5,30,-4.3620
1973,9,1,1,112,11.5176
1973,9,1,2,87,12.8163
1973,9,1,3,113,8.4559
1973,9,1,4,88,9.3090
1973,9,1,5,114,4.0964
1973,9,2,1,44,9.2838
1973,9,2,2,29,14.0735
1973,9,2,3,37,11.3414
1973,9,2,4,28,8.8224
1973,9,2,5,41,9.2332
1973,9,3,1,85,1.3884
1973,9,3,2,60,6.6799
1973,9,3,3,58,3.3698
1973,9,3,4,59,6.9956
1973,9,3,5,30,4.5674
1973,10,1,1,112,0.2168
1973,10,1,2,87,-4.0996
1973,10,1,3,113,0.0671
1973,10,1,4,88,-3.9997
1973,10,1,5,114,0.5703
1973,10,2,1,44,-1.7241
1973,10,2,2,29,3.2985
1973,10,2,3,37,-0.8183
1973,10,2,4,28,-7.1810
1973,10,2,5,41,-2.4474
1973,10,3,1,85,0.4821
1973,10,3,2,60,0.2186
1973,10,3,3,58,-1.5643
1973,10,3,4,59,-2.8869
1973,10,3,5,30,-4.8026
1973,11,1,1,112,-21.2186
1973,11,1,2,86,-22.0811
1973,11,1,3,113,-22.1612
1973,11,1,4,89,-20.2400
1973,11,1,5,113,-21.5058
1973,11,2,1,44,-19.9157
1973,11,2,2,29,-25.1292
1973,11,2,3,37,-20.0826
1973,11,2,4,28,-21.7364
1973,11,2,5,41,-17.8039
1973,11,3,1,85,-13.1126
1973,11,3,2,60,-10.8385
1973,11,3,3,58,-14.3493
1973,11,3,4,59,-14.6976
1973,11,3,5,30,-12.2055
1973,12,1,1,111,-0.3181
1973,12,1,2,85,-3.2829
1973,12,1,3,113,-4.5092
1973,12,1,4,88,-5.5699
1973,12,1,5,112,-4.8640
1973,12,2,1,44,-1.8849
1973,12,2,2,29,1.2065
1973,12,2,3,37,-2.0257
1973,12,2,4,28,0.5123
1973,12,2,5,41,-4.7619
1973,12,3,1,86,1.4576
1973,12,3,2,60,-2.1028
1973,12,3,3,58,-1.7797
1973,12,3,4,59,-0.2678
1973,12,3,5,30,-4.4360
1974,1,1,1,111,10.8871
1974,1,1,2,86,13.1248
1974,1,1,3,113,12.3519
1974,1,1,4,88,17.9826
1974,1,1,5,111,20.5721
1974,1,2,1,43,5.0668
1974,1,2,2,29,11.7316
1974,1,2,3,37,7.2873
1974,1,2,4,28,9.9566
1974,1,2,5,41,14.4393
1974,1,3,1,86,-2.8440
1974,1,3,2,60,-2.8391
1974,1,3,3,58,3.9107
1974,1,3,4,59,5.7144
1974,1,3,5,30,4.5273
1974,2,1,1,111,1.0818
1974,2,1,2,83,2.5817
1974,2,1,3,112,2.3258
1974,2,1,4,87,-1.6841
1974,2,1,5,109,-2.8039
1974,2,2,1,43,0.8343
1974,2,2,2,29,0.3529
1974,2,2,3,37,3.4414
1974,2,2,4,28,3.1377
1974,2,2,5,41,1.3794
1974,2,3,1,86,-1.6533
1974,2,3,2,60,-0.5324
1974,2,3,3,58,0.3617
1974,2,3,4,59,1.6828
1974,2,3,5,30,2.8699
1974,3,1,1,111,-1.0845
1974,3,1,2,83,-0.4776
1974,3,1,3,112,0.3242
1974,3,1,4,88,4.5556
1974,3,1,5,109,3.2787
1974,3,2,1,43,1.3831
1974,3,2,2,29,-5.9977
1974,3,2,3,36,1.3556
1974,3,2,4,28,-0.7009
1974,3,2,5,41,-0.9147
1974,3,3,1,86,0.1756
1974,3,3,2,60,-1.7420
1974,3,3,3,58,-3.1730
1974,3,3,4,59,-1.9163
1974,3,3,5,30,-0.7388
1974,4,1,1,110,-3.9017
1974,4,1,2,84,-2.0245
1974,4,1,3,113,-3.2508
1974,4,1,4,87,-6.0408
1974,4,1,5,107,-4.3679
1974,4,2,1,43,-3.9610
1974,4,2,2,29,-3.9649
1974,4,2,3,36,-4.7900
1974,4,2,4,28,-5.8378
1974,4,2,5,41,-3.0858
1974,4,3,1,86,-2.6756
1974,4,3,2,60,-3.1352
1974,4,3,3,58,-1.2115
1974,4,3,4,59,-0.4130
1974,4,3,5,30,-3.4572
1974,5,1,1,109,-7.9721
1974,5,1,2,84,-6.5866
1974,5,1,3,113,-6.5401
1974,5,1,4,87,-5.7946
1974,5,1,5,107,-7.9687
1974,5,2,1,43,-5.1765
1974,5,2,2,29,-6.3739
1974,5,2,3,36,-5.1021
1974,5,2,4,28,-5.7830
1974,5,2,5,39,-8.8010
1974,5,3,1,86,-0.3612
1974,5,3,2,60,-3.1001
1974,5,3,3,58,0.7545
1974,5,3,4,59,-1.3710
1974,5,3,5,30,-3.0405
1974,6,1,1,109,-2.6865
1974,6,1,2,85,-3.5329
1974,6,1,3,112,-3.3934
1974,6,1,4,87,-4.6664
1974,6,1,5,106,-1.2531
1974,6,2,1,43,-2.2743
1974,6,2,2,29,-5.6998
1974,6,2,3,36,0.0360
1974,6,2,4,28,-1.4806
1974,6,2,5,38,-2.7480
1974,6,3,1,86,-1.1307
1974,6,3,2,60,-0.5533
1974,6,3,3,58,-1.3712
1974,6,3,4,59,-3.1856
1974,6,3,5,30,-0.6445
1974,7,1,1,152,-6.0652
1974,7,1,2,192,-5.8263
1974,7,1,3,199,-5.6333
1974,7,1,4,161,-6.1060
1974,7,1,5,244,-6.2185
1974,7,2,1,80,-5.6156
1974,7,2,2,56,-7.5534
1974,7,2,3,59,-5.3224
1974,7,2,4,54,-5.7447
1974,7,2,5,42,-6.4354
1974,7,3,1,109,-11.3021
1974,7,3,2,76,-14.2608
1974,7,3,3,66,-7.2889
1974,7,3,4,60,-9.5480
1974,7,3,5,34,-8.5223
1974,8,1,1,151,-8.9776
1974,8,1,2,191,-8.1731
1974,8,1,3,197,-6.7490
1974,8,1,4,160,-7.5101
1974,8,1,5,241,-7.4202
1974,8,2,1,79,-10.2743
1974,8,2,2,56,-7.4986
1974,8,2,3,59,-9.9511
1974,8,2,4,54,-9.9688
1974,8,2,5,41,-8.8501
1974,8,3,1,109,-10.1679
1974,8,3,2,76,-11.1871
1974,8,3,3,66,-10.5469
1974,8,3,4,60,-8.8345
1974,8,3,5,34,-11.3390
1974,9,1,1,150,-11.4572
1974,9,1,2,190,-11.3214
1974,9,1,3,197,-9.5427
1974,9,1,4,159,-6.7593
1974,9,1,5,234,-7.9509
1974,9,2,1,78,-15.5419
1974,9,2,2,56,-9.0066
1974,9,2,3,58,-9.5535
1974,9,2,4,54,-7.1030
1974,9,2,5,40,-8.5824
1974,9,3,1,108,-16.1469
1974,9,3,2,76,-16.3469
1974,9,3,3,66,-10.0995
1974,9,3,4,60,-8.1051
1974,9,3,5,34,-12.5915
1974,10,1,1,151,12.2545
1974,10,1,2,188,8.1932
1974,10,1,3,198,11.8184
1974,10,1,4,157,5.9639
1974,10,1,5,232,4.8490
1974,10,2,1,78,15.0511
1974,10,2,2,55,9.7753
1974,10,2,3,58,9.0505
1974,10,2,4,54,5.9256
1974,10,2,5,40,5.1315
1974,10,3,1,108,19.1765
1974,10,3,2,76,19.0285
1974,10,3,3,65,17.5361
1974,10,3,4,60,11.4672
1974,10,3,5,34,23.0662
1974,11,1,1,148,-7.2461
1974,11,1,2,187,-4.2379
1974,11,1,3,197,-6.0845
1974,11,1,4,157,-7.7083
1974,11,1,5,233,-6.4399
1974,11,2,1,78,-4.9286
1974,11,2,2,55,-3.7392
1974,11,2,3,58,-7.1573
1974,11,2,4,54,-4.7255
1974,11,2,5,40,-8.5787
1974,11,3,1,108,-6.0027
1974,11,3,2,76,-4.8068
1974,11,3,3,65,-2.7982
1974,11,3,4,60,-2.8940
1974,11,3,5,34,-1.9881
1974,12,1,1,146,-8.6802
1974,12,1,2,187,-8.4340
1974,12,1,3,195,-8.8748
1974,12,1,4,157,-9.0325
1974,12,1,5,229,-8.9985
1974,12,2,1,78,-8.2935
1974,12,2,2,55,-7.5906
1974,12,2,3,58,-5.1766
1974,12,2,4,54,-7.4474
1974,12,2,5,40,-6.6016
1974,12,3,1,108,-4.9033
1974,12,3,2,76,-4.2777
1974,12,3,3,65,-0.2420
1974,12,3,4,60,0.3448
1974,12,3,5,34,-1.5276
1975,1,1,1,146,28.8171
1975,1,1,2,187,28.4676
1975,1,1,3,195,27.6180
1975,1,1,4,156,34.6809
1975,1,1,5,229,32.5367
1975,1,2,1,78,25.7296
1975,1,2,2,55,30.1873
1975,1,2,3,58,32.7348
1975,1,2,4,54,34.1465
1975,1,2,5,39,33.5779
1975,1,3,1,108,9.1893
1975,1,3,2,76,14.2321
1975,1,3,3,65,14.8169
1975,1,3,4,60,16.3295
1975,1,3,5,34,20.2185
1975,2,1,1,147,6.1968
1975,2,1,2,187,5.7574
1975,2,1,3,194,7.5774
1975,2,1,4,155,3.2812
1975,2,1,5,228,4.2292
1975,2,2,1,78,8.3807
1975,2,2,2,54,3.7257
1975,2,2,3,58,4.3431
1975,2,2,4,54,7.2671
1975,2,2,5,39,3.8338
1975,2,3,1,108,11.7623
1975,2,3,2,76,10.1719
1975,2,3,3,65,3.7924
1975,2,3,4,60,5.6469
1975,2,3,5,34,7.8220
1975,3,1,1,149,9.6708
1975,3,1,2,185,10.2936
1975,3,1,3,194,9.9639
1975,3,1,4,158,12.8430
1975,3,1,5,227,12.9554
1975,3,2,1,78,7.6165
1975,3,2,2,54,8.4642
1975,3,2,3,58,10.7657
1975,3,2,4,54,9.3755
1975,3,2,5,39,10.6622
1975,3,3,1,108,3.2214
1975,3,3,2,76,7.3277
1975,3,3,3,65,6.2807
1975,3,3,4,60,7.7582
1975,3,3,5,34,4.7626
1975,4,1,1,149,7.1094
1975,4,1,2,184,5.9454
1975,4,1,3,193,5.8972
1975,4,1,4,157,4.8363
1975,4,1,5,228,2.3771
1975,4,2,1,78,7.1785
1975,4,2,2,54,5.5874
1975,4,2,3,58,6.3944
1975,4,2,4,54,4.2910
1975,4,2,5,39,3.7641
1975,4,3,1,108,10.5128
1975,4,3,2,76,1.3715
1975,4,3,3,65,2.7516
1975,4,3,4,60,3.0101
1975,4,3,5,34,0.0752
1975,5,1,1,149,13.4544
1975,5,1,2,182,9.2666
1975,5,1,3,191,8.9092
1975,5,1,4,158,6.1342
1975,5,1,5,229,8.0061
1975,5,2,1,78,8.4069
1975,5,2,2,54,8.2166
1975,5,2,3,58,12.2697
1975,5,2,4,54,5.5049
1975,5,2,5,39,4.4710
1975,5,3,1,108,4.6016
1975,5,3,2,76,4.3557
1975,5,3,3,65,4.1360
1975,5,3,4,60,2.9677
1975,5,3,5,34,10.3699
1975,6,1,1,149,6.9884
1975,6,1,2,181,6.9281
1975,6,1,3,191,5.5744
1975,6,1,4,158,10.2323
1975,6,1,5,229,5.3125
1975,6,2,1,77,7.0709
1975,6,2,2,53,5.8125
1975,6,2,3,58,6.6787
1975,6,2,4,54,8.5765
1975,6,2,5,39,5.1219
1975,6,3,1,108,2.4383
1975,6,3,2,76,5.6332
1975,6,3,3,65,3.9726
1975,6,3,4,60,7.3784
1975,6,3,5,34,4.0062
1975,7,1,1,169,-1.9703
1975,7,1,2,187,-2.3531
1975,7,1,3,208,-0.0023
1975,7,1,4,203,-1.8164
1975,7,1,5,264,0.6592
1975,7,2,1,78,-5.5076
1975,7,2,2,54,-2.3518
1975,7,2,3,50,-3.3573
1975,7,2,4,53,-2.2673
1975,7,2,5,48,-3.9857
1975,7,3,1,96,-7.9922
1975,7,3,2,85,-7.7862
1975,7,3,3,73,-5.3422
1975,7,3,4,54,-7.8027
1975,7,3,5,25,-3.7019
1975,8,1,1,169,-6.6308
1975,8,1,2,187,-6.9520
1975,8,1,3,208,-7.5286
1975,8,1,4,200,-5.4714
1975,8,1,5,263,-6.1415
1975,8,2,1,78,-5.2535
1975,8,2,2,54,-5.7491
1975,8,2,3,50,-3.5155
1975,8,2,4,53,-5.2413
1975,8,2,5,48,-5.4646
1975,8,3,1,96,-2.2712
1975,8,3,2,85,-1.6324
1975,8,3,3,73,-2.6323
1975,8,3,4,54,-2.4438
1975,8,3,5,24,-1.3455
1975,9,1,1,171,-4.5190
1975,9,1,2,188,-1.9708
1975,9,1,3,208,-2.1353
1975,9,1,4,201,-2.6927
1975,9,1,5,262,-2.4134
1975,9,2,1,77,-3.0418
1975,9,2,2,54,-2.5796
1975,9,2,3,50,-2.9020
1975,9,2,4,53,-3.8898
1975,9,2,5,48,-4.4879
1975,9,3,1,96,-6.1725
1975,9,3,2,85,-3.7857
1975,9,3,3,73,-3.3616
1975,9,3,4,54,-2.0603
1975,9,3,5,24,-1.0219
1975,10,1,1,170,1.3753
1975,10,1,2,188,1.3552
1975,10,1,3,208,2.4235
1975,10,1,4,199,4.9001
1975,10,1,5,262,3.6168
1975,10,2,1,77,0.8306
1975,10,2,2,54,1.4007
1975,10,2,3,50,7.2114
1975,10,2,4,53,8.1561
1975,10,2,5,47,4.9023
1975,10,3,1,96,7.8932
1975,10,3,2,84,10.0662
1975,10,3,3,73,10.0016
1975,10,3,4,54,10.9159
1975,10,3,5,24,9.4466
1975,11,1,1,170,1.0591
1975,11,1,2,189,3.5650
1975,11,1,3,206,2.5318
1975,11,1,4,198,2.7658
1975,11,1,5,261,5.7226
1975,11,2,1,77,1.0705
1975,11,2,2,54,4.6025
1975,11,2,3,50,6.1515
1975,11,2,4,53,6.6130
1975,11,2,5,46,3.9293
1975,11,3,1,96,3.5763
1975,11,3,2,84,4.1930
1975,11,3,3,73,4.8294
1975,11,3,4,54,5.2646
1975,11,3,5,24,5.7205
1975,12,1,1,170,-1.9104
1975,12,1,2,189,-1.1252
1975,12,1,3,205,-0.6023
1975,12,1,4,197,-2.2046
1975,12,1,5,258,-1.3903
1975,12,2,1,76,-3.2925
1975,12,2,2,54,-4.5530
1975,12,2,3,50,-1.3975
1975,12,2,4,53,-0.5624
1975,12,2,5,46,-1.6737
1975,12,3,1,96,-3.1446
1975,12,3,2,85,-3.0532
1975,12,3,3,73,-1.4371
1975,12,3,4,54,-1.0698
1975,12,3,5,24,-1.1609
1976,1,1,1,165,20.3439
1976,1,1,2,185,21.3550
1976,1,1,3,197,22.8689
1976,1,1,4,191,26.9398
1976,1,1,5,245,22.6412
1976,1,2,1,75,16.7987
1976,1,2,2,53,19.5061
1976,1,2,3,50,20.8391
1976,1,2,4,53,16.9625
1976,1,2,5,46,25.1790
1976,1,3,1,96,13.8704
1976,1,3,2,85,10.9966
1976,1,3,3,73,11.9497
1976,1,3,4,54,10.2432
1976,1,3,5,24,16.4994
1976,2,1,1,162,7.8354
1976,2,1,2,184,10.6921
1976,2,1,3,198,10.9655
1976,2,1,4,191,12.6767
1976,2,1,5,245,16.9034
1976,2,2,1,75,6.4694
1976,2,2,2,53,10.0550
1976,2,2,3,50,6.6338
1976,2,2,4,53,7.1674
1976,2,2,5,46,7.6901
1976,2,3,1,96,-1.9124
1976,2,3,2,85,-0.3056
1976,2,3,3,73,0.0901
1976,2,3,4,54,-1.3962
1976,2,3,5,24,5.3427
1976,3,1,1,166,1.5900
1976,3,1,2,185,1.3933
1976,3,1,3,198,3.2867
1976,3,1,4,194,2.0370
1976,3,1,5,252,1.4435
1976,3,2,1,75,1.9379
1976,3,2,2,53,1.8943
1976,3,2,3,49,2.9071
1976,3,2,4,53,2.9360
1976,3,2,5,46,1.0875
1976,3,3,1,96,3.3741
1976,3,3,2,85,3.3177
1976,3,3,3,73,1.9416
1976,3,3,4,54,2.4198
1976,3,3,5,24,3.3659
1976,4,1,1,167,-2.2419
1976,4,1,2,185,-0.7284
1976,4,1,3,196,-2.3709
1976,4,1,4,194,-1.9306
1976,4,1,5,247,-3.3824
1976,4,2,1,75,-1.6309
1976,4,2,2,53,-2.0957
1976,4,2,3,49,-1.5067
1976,4,2,4,52,-1.5357
1976,4,2,5,46,-4.4301
1976,4,3,1,96,-3.0552
1976,4,3,2,85,-2.1641
1976,4,3,3,73,-1.3010
1976,4,3,4,54,-2.3703
1976,4,3,5,24,-6.5110
1976,5,1,1,167,-1.9794
1976,5,1,2,185,-2.4532
1976,5,1,3,200,-2.9747
1976,5,1,4,196,-3.8063
1976,5,1,5,250,-5.2936
1976,5,2,1,75,1.6738
1976,5,2,2,53,-1.7790
1976,5,2,3,50,-5.0381
1976,5,2,4,52,-5.4282
1976,5,2,5,44,-5.8876
1976,5,3,1,96,-1.6341
1976,5,3,2,85,-2.8079
1976,5,3,3,73,-2.9792
1976,5,3,4,54,-2.4596
1976,5,3,5,24,-4.6926
1976,6,1,1,167,3.0839
1976,6,1,2,184,3.9525
1976,6,1,3,201,2.6285
1976,6,1,4,196,2.6967
1976,6,1,5,249,1.8199
1976,6,2,1,75,4.4960
1976,6,2,2,53,5.4525
1976,6,2,3,49,4.3597
1976,6,2,4,52,2.0402
1976,6,2,5,44,1.1346
1976,6,3,1,96,1.9656
1976,6,3,2,85,3.3767
1976,6,3,3,73,6.7339
1976,6,3,4,54,5.0018
1976,6,3,5,24,4.1541
1976,7,1,1,188,-2.1072
1976,7,1,2,190,-0.5011
1976,7,1,3,171,-0.7019
1976,7,1,4,182,-0.1419
1976,7,1,5,285,-0.9273
1976,7,2,1,73,-1.5719
1976,7,2,2,49,0.1680
1976,7,2,3,52,-0.3200
1976,7,2,4,45,0.1158
1976,7,2,5,45,1.8806
1976,7,3,1,93,-2.1519
1976,7,3,2,90,-2.4332
1976,7,3,3,66,0.4069
1976,7,3,4,50,1.2304
1976,7,3,5,23,2.4188
1976,8,1,1,170,-3.5310
1976,8,1,2,178,-3.1509
1976,8,1,3,154,-2.5557
1976,8,1,4,159,-0.9708
1976,8,1,5,253,-1.8473
1976,8,2,1,71,-4.0842
1976,8,2,2,48,-0.8757
1976,8,2,3,50,-3.4338
1976,8,2,4,45,-2.1244
1976,8,2,5,45,-0.8684
1976,8,3,1,92,-1.5991
1976,8,3,2,90,1.2212
1976,8,3,3,66,0.4634
1976,8,3,4,50,-0.1275
1976,8,3,5,23,-3.3179
1976,9,1,1,170,1.9934
1976,9,1,2,177,2.3614
1976,9,1,3,154,2.2073
1976,9,1,4,158,0.7139
1976,9,1,5,253,0.7152
1976,9,2,1,71,3.9330
1976,9,2,2,48,3.4607
1976,9,2,3,49,2.2923
1976,9,2,4,43,3.9510
1976,9,2,5,45,1.6865
1976,9,3,1,92,1.4208
1976,9,3,2,90,1.7653
1976,9,3,3,66,2.4897
1976,9,3,4,50,0.4015
1976,9,3,5,23,-0.8478
1976,10,1,1,185,-2.0702
1976,10,1,2,189,-2.6141
1976,10,1,3,168,-2.8593
1976,10,1,4,179,-3.0355
1976,10,1,5,279,-2.8487
1976,10,2,1,73,-3.6677
1976,10,2,2,49,-3.2882
1976,10,2,3,51,-1.3368
1976,10,2,4,43,0.2118
1976,10,2,5,43,-2.0085
1976,10,3,1,92,-2.9737
1976,10,3,2,90,-2.6013
1976,10,3,3,66,-2.8865
1976,10,3,4,50,-2.1913
1976,10,3,5,23,-5.4476
1976,11,1,1,184,4.0796
1976,11,1,2,190,2.9921
1976,11,1,3,168,4.1824
1976,11,1,4,179,3.2770
1976,11,1,5,279,4.0207
1976,11,2,1,73,4.1754
1976,11,2,2,49,2.4088
1976,11,2,3,51,4.1550
1976,11,2,4,43,4.0289
1976,11,2,5,43,4.3541
1976,11,3,1,92,-2.3257
1976,11,3,2,90,-1.1976
1976,11,3,3,66,2.1408
1976,11,3,4,50,-0.2615
1976,11,3,5,23,-0.4186
1976,12,1,1,183,9.8143
1976,12,1,2,189,9.7311
1976,12,1,3,168,9.2866
1976,12,1,4,180,10.0351
1976,12,1,5,284,10.3031
1976,12,2,1,73,8.9566
1976,12,2,2,49,8.7730
1976,12,2,3,50,10.3074
1976,12,2,4,43,9.4371
1976,12,2,5,45,8.8875
1976,12,3,1,92,4.1631
1976,12,3,2,90,4.5613
1976,12,3,3,66,4.0308
1976,12,3,4,50,6.4830
1976,12,3,5,23,9.5208
1977,1,1,1,183,3.3409
1977,1,1,2,186,4.0564
1977,1,1,3,168,3.5751
1977,1,1,4,175,3.2561
1977,1,1,5,280,4.3700
1977,1,2,1,71,-0.1951
1977,1,2,2,48,-0.7060
1977,1,2,3,50,-1.3396
1977,1,2,4,43,-2.0814
1977,1,2,5,45,2.1997
1977,1,3,1,92,-8.9111
1977,1,3,2,90,-7.2005
1977,1,3,3,66,-5.5521
1977,1,3,4,50,-4.0453
1977,1,3,5,23,-2.4206
1977,2,1,1,183,-0.7365
1977,2,1,2,185,0.0331
1977,2,1,3,168,0.5831
1977,2,1,4,175,0.2573
1977,2,1,5,274,-1.7603
1977,2,2,1,71,-2.1356
1977,2,2,2,46,-1.6247
1977,2,2,3,48,-1.8555
1977,2,2,4,43,-0.0129
1977,2,2,5,45,-2.3755
1977,2,3,1,92,-1.6580
1977,2,3,2,90,-1.4983
1977,2,3,3,66,-1.9535
1977,2,3,4,50,-1.3874
1977,2,3,5,23,-1.9781
1977,3,1,1,183,1.7632
1977,3,1,2,187,1.5415
1977,3,1,3,168,2.4989
1977,3,1,4,178,-0.8897
1977,3,1,5,276,0.4481
1977,3,2,1,72,2.3070
1977,3,2,2,46,0.6413
1977,3,2,3,48,0.2379
1977,3,2,4,43,-1.6423
1977,3,2,5,45,-2.7341
1977,3,3,1,92,-1.5544
1977,3,3,2,90,-1.5120
1977,3,3,3,66,-2.8976
1977,3,3,4,50,-1.2080
1977,3,3,5,23,-2.4039
1977,4,1,1,181,1.9463
1977,4,1,2,185,1.4086
1977,4,1,3,167,2.1132
1977,4,1,4,178,1.1112
1977,4,1,5,276,1.0728
1977,4,2,1,72,0.4191
1977,4,2,2,46,0.1378
1977,4,2,3,48,1.0760
1977,4,2,4,43,0.9859
1977,4,2,5,45,1.4836
1977,4,3,1,92,-2.3799
1977,4,3,2,90,-0.0079
1977,4,3,3,66,0.7106
1977,4,3,4,50,-0.1755
1977,4,3,5,23,0.0835
1977,5,1,1,181,-1.8319
1977,5,1,2,187,-0.6734
1977,5,1,3,166,1.1046
1977,5,1,4,178,0.7910
1977,5,1,5,276,1.3355
1977,5,2,1,72,-2.0551
1977,5,2,2,46,-0.2965
1977,5,2,3,48,-1.6485
1977,5,2,4,43,-0.8680
1977,5,2,5,45,1.4846
1977,5,3,1,92,-2.8534
1977,5,3,2,90,-2.6172
1977,5,3,3,66,-1.5761
1977,5,3,4,50,0.1715
1977,5,3,5,23,-2.1115
1977,6,1,1,182,6.4920
1977,6,1,2,186,4.9978
1977,6,1,3,166,6.1645
1977,6,1,4,177,6.5991
1977,6,1,5,275,5.8676
1977,6,2,1,71,9.5309
1977,6,2,2,46,7.1147
1977,6,2,3,48,7.4384
1977,6,2,4,43,9.1659
1977,6,2,5,45,7.4429
1977,6,3,1,92,4.7186
1977,6,3,2,90,5.6220
1977,6,3,3,66,5.1373
1977,6,3,4,50,3.6881
1977,6,3,5,23,5.6519
1977,7,1,1,201,0.6285
1977,7,1,2,196,1.9093
1977,7,1,3,158,1.3903
1977,7,1,4,206,1.4356
1977,7,1,5,254,0.2933
1977,7,2,1,67,-1.5375
1977,7,2,2,49,-0.5275
1977,7,2,3,49,-0.3146
1977,7,2,4,42,1.0970
1977,7,2,5,44,-0.6579
1977,7,3,1,88,-2.7568
1977,7,3,2,74,-1.4843
1977,7,3,3,71,-1.3580
1977,7,3,4,45,0.5675
1977,7,3,5,30,0.7240
1977,8,1,1,201,1.2924
1977,8,1,2,196,-0.5070
1977,8,1,3,158,-0.5474
1977,8,1,4,206,-0.4097
1977,8,1,5,251,-1.5505
1977,8,2,1,66,-0.5055
1977,8,2,2,48,0.5173
1977,8,2,3,49,0.7274
1977,8,2,4,40,0.7626
1977,8,2,5,43,0.5391
1977,8,3,1,88,-0.2219
1977,8,3,2,74,2.5261
1977,8,3,3,71,0.5790
1977,8,3,4,44,-0.0001
1977,8,3,5,29,0.4705
1977,9,1,1,202,1.9747
1977,9,1,2,194,1.2283
1977,9,1,3,157,1.7871
1977,9,1,4,205,2.7622
1977,9,1,5,251,1.6291
1977,9,2,1,66,2.0371
1977,9,2,2,48,0.5982
