year,month,rank_ME,rank_DLS_1,nstocks,ret_vw
1982,1,1,1,62,-1.5958
1982,1,1,2,34,0.1026
1982,1,1,3,27,-1.5516
1982,1,1,4,33,-2.6385
1982,1,1,5,60,0.6410
1982,1,2,1,83,-2.7455
1982,1,2,2,74,-3.6938
1982,1,2,3,69,-4.0942
1982,1,2,4,59,-2.5514
1982,1,2,5,71,-3.2920
1982,1,3,1,93,-3.3380
1982,1,3,2,117,-2.4638
1982,1,3,3,123,0.7088
1982,1,3,4,117,0.3751
1982,1,3,5,87,-4.1237
1982,2,1,1,64,-5.8244
1982,2,1,2,39,-2.3129
1982,2,1,3,25,-3.8091
1982,2,1,4,42,-1.2984
1982,2,1,5,62,-7.5933
1982,2,2,1,94,-4.1432
1982,2,2,2,75,-4.5873
1982,2,2,3,74,-2.9427
1982,2,2,4,67,-4.2351
1982,2,2,5,74,-6.2843
1982,2,3,1,92,-4.4681
1982,2,3,2,127,-5.2325
1982,2,3,3,135,-4.1595
1982,2,3,4,127,-4.2121
1982,2,3,5,98,-4.8068
1982,3,1,1,71,1.3257
1982,3,1,2,35,1.0031
1982,3,1,3,26,-0.8184
1982,3,1,4,39,1.5196
1982,3,1,5,67,-3.5387
1982,3,2,1,97,0.7664
1982,3,2,2,70,0.0317
1982,3,2,3,68,-0.1863
1982,3,2,4,69,-1.4797
1982,3,2,5,81,-0.9955
1982,3,3,1,80,0.0528
1982,3,3,2,140,-1.2121
1982,3,3,3,140,0.0183
1982,3,3,4,125,-0.0742
1982,3,3,5,95,-2.3235
1982,4,1,1,79,4.8146
1982,4,1,2,35,4.5497
1982,4,1,3,27,6.7020
1982,4,1,4,38,4.2501
1982,4,1,5,55,8.3369
1982,4,2,1,99,6.7894
1982,4,2,2,58,5.5291
1982,4,2,3,75,6.8394
1982,4,2,4,64,5.0844
1982,4,2,5,87,5.1456
1982,4,3,1,76,5.4086
1982,4,3,2,144,4.1527
1982,4,3,3,132,4.3799
1982,4,3,4,128,3.2718
1982,4,3,5,96,4.6062
1982,5,1,1,88,-3.1855
1982,5,1,2,27,-0.8981
1982,5,1,3,31,-1.9472
1982,5,1,4,43,-2.0378
1982,5,1,5,49,-1.5491
1982,5,2,1,96,-5.1408
1982,5,2,2,64,-1.9995
1982,5,2,3,62,-5.1745
1982,5,2,4,64,-2.0259
1982,5,2,5,90,-5.2377
1982,5,3,1,76,-1.9622
1982,5,3,2,138,-2.9152
1982,5,3,3,140,-2.8248
1982,5,3,4,127,-2.7315
1982,5,3,5,94,-2.8443
1982,6,1,1,77,-3.2347
1982,6,1,2,28,-5.3338
1982,6,1,3,37,-2.6781
1982,6,1,4,36,-5.3506
1982,6,1,5,63,-4.5739
1982,6,2,1,103,-3.0277
1982,6,2,2,65,-1.4914
1982,6,2,3,59,-1.2273
1982,6,2,4,72,-2.7229
1982,6,2,5,84,-1.5559
1982,6,3,1,80,0.0343
1982,6,3,2,146,-0.7821
1982,6,3,3,143,-1.9012
1982,6,3,4,121,-2.0021
1982,6,3,5,89,-2.7055
1982,7,1,1,94,0.8004
1982,7,1,2,30,0.4907
1982,7,1,3,41,-3.3820
1982,7,1,4,56,-2.3877
1982,7,1,5,82,-2.6189
1982,7,2,1,111,0.8755
1982,7,2,2,81,-0.1772
1982,7,2,3,78,-0.1639
1982,7,2,4,83,-2.5392
1982,7,2,5,90,-2.8726
1982,7,3,1,96,-1.5842
1982,7,3,2,153,1.3345
1982,7,3,3,142,-2.1426
