year,month,rank_ME,rank_EPRD,nstocks,ret_vw
1967,1,1,1,2,32.7023
1967,1,1,2,9,10.4895
1967,1,1,3,9,24.1685
1967,1,1,4,8,9.3183
1967,1,1,5,15,21.2908
1967,1,2,1,10,10.2630
1967,1,2,2,4,13.7442
1967,1,2,3,16,18.1329
1967,1,2,4,14,18.1818
1967,1,2,5,19,15.0017
1967,1,3,1,61,6.3563
1967,1,3,2,60,6.6201
1967,1,3,3,48,8.8067
1967,1,3,4,51,7.2672
1967,1,3,5,38,14.4805
1967,2,1,1,2,-0.3033
1967,2,1,2,9,9.3920
1967,2,1,3,9,1.0721
1967,2,1,4,8,2.2727
1967,2,1,5,15,9.4252
1967,2,2,1,10,-0.7170
1967,2,2,2,4,-4.1410
1967,2,2,3,16,1.5321
1967,2,2,4,14,0.7445
1967,2,2,5,19,-0.1362
1967,2,3,1,61,2.5163
1967,2,3,2,60,0.8957
1967,2,3,3,48,0.8944
1967,2,3,4,51,0.2608
1967,2,3,5,38,-1.8364
1967,3,1,1,2,6.1634
1967,3,1,2,9,9.4625
1967,3,1,3,9,8.6452
1967,3,1,4,8,4.7329
1967,3,1,5,15,4.2244
1967,3,2,1,10,8.9960
1967,3,2,2,4,10.2545
1967,3,2,3,16,4.8106
1967,3,2,4,14,6.2244
1967,3,2,5,19,3.9707
1967,3,3,1,61,5.4616
1967,3,3,2,60,2.5107
1967,3,3,3,48,3.5436
1967,3,3,4,51,4.7383
1967,3,3,5,38,5.9163
1967,4,1,1,2,7.6871
1967,4,1,2,9,3.7509
1967,4,1,3,9,7.6202
1967,4,1,4,8,2.0041
1967,4,1,5,15,4.2598
1967,4,2,1,10,8.6427
1967,4,2,2,4,9.8750
1967,4,2,3,16,4.6809
1967,4,2,4,14,2.3054
1967,4,2,5,19,3.8273
1967,4,3,1,61,4.9882
1967,4,3,2,60,4.4515
1967,4,3,3,48,6.2230
1967,4,3,4,51,0.7470
1967,4,3,5,38,8.3125
1967,5,1,1,2,2.2379
1967,5,1,2,9,3.4771
1967,5,1,3,9,-0.4912
1967,5,1,4,8,-3.2468
1967,5,1,5,15,0.1539
1967,5,2,1,10,-2.5362
1967,5,2,2,4,2.3756
1967,5,2,3,16,1.9346
1967,5,2,4,14,-5.9308
1967,5,2,5,19,-2.9658
1967,5,3,1,61,-3.7645
1967,5,3,2,60,-5.3733
1967,5,3,3,48,-4.7868
1967,5,3,4,51,-5.1557
1967,5,3,5,38,-5.8537
1967,6,1,1,2,3.8354
1967,6,1,2,9,15.5330
1967,6,1,3,9,10.7313
1967,6,1,4,8,0.8598
1967,6,1,5,15,12.2256
1967,6,2,1,10,3.7691
1967,6,2,2,4,12.8094
1967,6,2,3,16,2.4837
1967,6,2,4,14,7.4433
1967,6,2,5,19,6.6101
1967,6,3,1,61,3.0775
1967,6,3,2,60,1.0240
1967,6,3,3,48,3.4960
1967,6,3,4,51,3.4237
1967,6,3,5,38,-0.4340
1967,7,1,1,0,
1967,7,1,2,7,11.0217
1967,7,1,3,12,13.5343
1967,7,1,4,10,7.2025
1967,7,1,5,12,8.7227
1967,7,2,1,14,12.0323
1967,7,2,2,6,3.6824
1967,7,2,3,17,11.9975
1967,7,2,4,17,9.4586
1967,7,2,5,22,12.5658
1967,7,3,1,61,4.8213
1967,7,3,2,62,5.3654
1967,7,3,3,46,6.5771
1967,7,3,4,47,-1.3460
1967,7,3,5,40,8.7766
1967,8,1,1,0,
1967,8,1,2,7,6.3654
1967,8,1,3,12,0.7307
1967,8,1,4,10,-0.2509
1967,8,1,5,12,-0.4063
1967,8,2,1,14,1.2296
1967,8,2,2,6,-0.6864
1967,8,2,3,17,0.7715
1967,8,2,4,17,-0.3760
1967,8,2,5,22,1.7614
1967,8,3,1,61,-1.6509
1967,8,3,2,62,-0.0472
1967,8,3,3,46,-0.8362
1967,8,3,4,47,-1.1448
1967,8,3,5,40,0.2131
1967,9,1,1,0,
1967,9,1,2,7,8.4267
1967,9,1,3,12,3.0859
1967,9,1,4,10,2.2471
1967,9,1,5,12,2.3250
1967,9,2,1,14,2.3382
1967,9,2,2,6,9.0388
1967,9,2,3,17,2.2912
1967,9,2,4,17,3.1149
1967,9,2,5,22,2.6260
1967,9,3,1,61,5.1905
1967,9,3,2,61,3.6165
1967,9,3,3,46,1.9666
1967,9,3,4,47,2.1390
1967,9,3,5,40,3.9686
1967,10,1,1,0,
1967,10,1,2,7,-6.9820
1967,10,1,3,12,-1.4174
1967,10,1,4,10,-3.3446
1967,10,1,5,12,-3.4870
1967,10,2,1,14,0.4362
1967,10,2,2,6,-2.0164
1967,10,2,3,17,-1.5811
1967,10,2,4,17,-6.6690
1967,10,2,5,22,-6.8341
1967,10,3,1,61,0.5539
1967,10,3,2,61,-3.3156
1967,10,3,3,46,-1.7424
1967,10,3,4,47,-4.8090
1967,10,3,5,40,-6.5857
1967,11,1,1,0,
1967,11,1,2,7,-2.1139
1967,11,1,3,11,8.0926
1967,11,1,4,10,-4.0186
1967,11,1,5,12,-3.3878
1967,11,2,1,14,0.4551
1967,11,2,2,6,-2.7817
1967,11,2,3,17,-2.0976
1967,11,2,4,17,0.7636
1967,11,2,5,22,-0.1921
1967,11,3,1,61,1.6627
1967,11,3,2,62,0.7349
1967,11,3,3,46,-1.5270
1967,11,3,4,47,0.3928
1967,11,3,5,40,-1.5520
1967,12,1,1,0,
1967,12,1,2,7,5.1024
1967,12,1,3,11,3.1200
1967,12,1,4,10,5.6361
1967,12,1,5,12,19.1994
1967,12,2,1,14,7.6780
1967,12,2,2,6,1.0771
1967,12,2,3,17,6.0180
1967,12,2,4,17,4.0651
1967,12,2,5,22,6.7758
