year,month,rank_ME,rank_ETL,nstocks,ret_vw
1967,1,1,1,8,11.4916
1967,1,1,2,10,24.4804
1967,1,1,3,3,15.9053
1967,1,1,4,11,11.7721
1967,1,1,5,12,24.4817
1967,1,2,1,16,14.3756
1967,1,2,2,6,8.1761
1967,1,2,3,19,15.1623
1967,1,2,4,14,18.1567
1967,1,2,5,18,13.8426
1967,1,3,1,63,6.3437
1967,1,3,2,70,8.1690
1967,1,3,3,64,6.5707
1967,1,3,4,61,8.6345
1967,1,3,5,56,6.0845
1967,2,1,1,8,2.8359
1967,2,1,2,10,8.2320
1967,2,1,3,3,-1.6726
1967,2,1,4,11,5.2507
1967,2,1,5,12,4.9249
1967,2,2,1,16,1.2363
1967,2,2,2,6,-0.9842
1967,2,2,3,19,-0.8089
1967,2,2,4,14,-1.1494
1967,2,2,5,18,3.3615
1967,2,3,1,63,2.3901
1967,2,3,2,70,1.9749
1967,2,3,3,64,0.8638
1967,2,3,4,61,-1.0843
1967,2,3,5,56,-1.2381
1967,3,1,1,8,5.4161
1967,3,1,2,10,8.2151
1967,3,1,3,3,9.5765
1967,3,1,4,11,8.2283
1967,3,1,5,12,3.5678
1967,3,2,1,16,4.5591
1967,3,2,2,6,2.9658
1967,3,2,3,19,2.1700
1967,3,2,4,14,7.8155
1967,3,2,5,18,5.0441
1967,3,3,1,63,3.3260
1967,3,3,2,70,3.1501
1967,3,3,3,64,4.2310
1967,3,3,4,61,4.9606
1967,3,3,5,56,4.2898
1967,4,1,1,8,8.2577
1967,4,1,2,10,-0.1642
1967,4,1,3,3,5.2191
1967,4,1,4,11,4.2278
1967,4,1,5,12,4.9361
1967,4,2,1,16,3.0463
1967,4,2,2,6,7.1063
1967,4,2,3,19,3.9617
1967,4,2,4,14,2.9830
1967,4,2,5,18,5.0737
1967,4,3,1,63,4.2742
1967,4,3,2,70,5.8782
1967,4,3,3,64,1.6163
1967,4,3,4,61,6.8116
1967,4,3,5,56,3.0314
1967,5,1,1,8,0.2753
1967,5,1,2,10,2.1976
1967,5,1,3,3,-3.3031
1967,5,1,4,11,1.8388
1967,5,1,5,12,1.2801
1967,5,2,1,16,-4.6136
1967,5,2,2,6,-1.0333
1967,5,2,3,19,-0.5648
1967,5,2,4,14,-2.2419
1967,5,2,5,18,1.2215
1967,5,3,1,63,-4.9392
1967,5,3,2,70,-3.9985
1967,5,3,3,64,-5.3677
1967,5,3,4,61,-6.0556
1967,5,3,5,56,-3.3707
1967,6,1,1,8,12.3936
1967,6,1,2,10,3.8855
1967,6,1,3,3,3.1155
1967,6,1,4,11,9.5412
1967,6,1,5,12,17.0410
1967,6,2,1,16,4.0592
1967,6,2,2,6,1.3249
1967,6,2,3,19,3.8455
1967,6,2,4,14,5.3873
1967,6,2,5,18,10.8460
1967,6,3,1,63,1.8715
1967,6,3,2,70,2.5880
1967,6,3,3,64,1.9284
1967,6,3,4,61,0.6860
1967,6,3,5,56,2.0612
1967,7,1,1,8,14.2104
1967,7,1,2,7,6.3230
1967,7,1,3,9,12.2792
1967,7,1,4,9,9.2287
1967,7,1,5,10,11.3630
1967,7,2,1,19,8.5858
1967,7,2,2,14,13.2710
1967,7,2,3,19,12.0536
1967,7,2,4,16,7.9658
1967,7,2,5,19,8.2647
1967,7,3,1,62,3.5016
1967,7,3,2,66,4.3403
1967,7,3,3,61,2.4195
1967,7,3,4,63,8.7057
1967,7,3,5,59,5.6388
1967,8,1,1,8,1.1997
1967,8,1,2,7,3.3332
1967,8,1,3,9,2.0420
1967,8,1,4,9,-1.6945
1967,8,1,5,10,1.3536
1967,8,2,1,19,3.6895
1967,8,2,2,14,-1.2298
1967,8,2,3,19,1.9541
1967,8,2,4,16,-1.3600
1967,8,2,5,19,0.5088
1967,8,3,1,62,-1.1430
1967,8,3,2,66,-0.6674
1967,8,3,3,61,-1.2732
1967,8,3,4,63,0.1212
1967,8,3,5,59,-1.1310
1967,9,1,1,8,-1.0173
1967,9,1,2,7,1.2912
1967,9,1,3,9,-0.8061
1967,9,1,4,9,3.8833
1967,9,1,5,10,9.0424
1967,9,2,1,19,1.7137
1967,9,2,2,14,3.0375
1967,9,2,3,19,3.1535
1967,9,2,4,16,0.4969
1967,9,2,5,19,6.7331
1967,9,3,1,61,2.1604
1967,9,3,2,66,4.4069
1967,9,3,3,61,2.5387
1967,9,3,4,63,3.4047
1967,9,3,5,59,4.6879
1967,10,1,1,8,-3.2593
1967,10,1,2,7,-7.5419
1967,10,1,3,9,4.3913
1967,10,1,4,9,-3.9666
1967,10,1,5,10,-5.8790
1967,10,2,1,19,-4.5104
1967,10,2,2,14,1.4120
1967,10,2,3,19,-3.8763
1967,10,2,4,16,-6.8781
1967,10,2,5,19,-3.9041
1967,10,3,1,61,-4.1661
1967,10,3,2,67,0.1102
1967,10,3,3,61,-3.4896
1967,10,3,4,63,-5.8884
1967,10,3,5,59,-2.3222
1967,11,1,1,8,-2.1706
1967,11,1,2,7,-2.3215
1967,11,1,3,9,7.7416
1967,11,1,4,9,-2.9623
1967,11,1,5,10,0.0062
1967,11,2,1,19,-2.0588
1967,11,2,2,14,-0.3034
1967,11,2,3,19,1.6569
1967,11,2,4,16,-1.0516
1967,11,2,5,19,-2.4536
1967,11,3,1,62,3.2576
1967,11,3,2,67,1.4307
1967,11,3,3,61,-0.0384
1967,11,3,4,63,-1.3775
1967,11,3,5,59,0.2273
1967,12,1,1,8,14.1968
1967,12,1,2,7,15.4259
1967,12,1,3,9,1.4708
1967,12,1,4,9,9.7335
1967,12,1,5,10,1.5355
1967,12,2,1,19,8.8561
1967,12,2,2,14,4.4716
1967,12,2,3,19,5.7414
1967,12,2,4,16,5.7889
1967,12,2,5,19,2.9354
1967,12,3,1,62,2.5668
1967,12,3,2,67,3.2490
1967,12,3,3,61,2.6473
1967,12,3,4,63,2.8519
1967,12,3,5,59,2.0090
1968,1,1,1,8,9.0470
1968,1,1,2,7,-1.9813
1968,1,1,3,9,4.8213
1968,1,1,4,9,0.9973
1968,1,1,5,10,-2.3400
1968,1,2,1,19,-0.3931
1968,1,2,2,14,0.9905
1968,1,2,3,19,-3.6562
1968,1,2,4,16,0.7548
1968,1,2,5,19,1.8016
1968,1,3,1,62,-4.9464
1968,1,3,2,67,-4.2510
1968,1,3,3,61,-3.1543
1968,1,3,4,63,-4.7200
1968,1,3,5,59,-2.5066
1968,2,1,1,8,-4.4437
1968,2,1,2,7,-4.4202
1968,2,1,3,9,-3.9403
1968,2,1,4,9,-5.8795
1968,2,1,5,10,-8.2211
1968,2,2,1,19,1.1722
1968,2,2,2,14,-3.3176
1968,2,2,3,19,-8.9324
1968,2,2,4,16,0.1912
1968,2,2,5,19,-0.3147
1968,2,3,1,62,-1.9956
1968,2,3,2,67,-2.8609
1968,2,3,3,61,-3.1244
1968,2,3,4,63,-2.1463
1968,2,3,5,59,-2.4255
1968,3,1,1,8,-1.9709
1968,3,1,2,7,1.7586
1968,3,1,3,9,1.7812
1968,3,1,4,9,-1.5711
1968,3,1,5,10,0.4447
1968,3,2,1,19,-2.7468
1968,3,2,2,14,-0.2332
1968,3,2,3,19,-0.1030
1968,3,2,4,16,-0.2553
1968,3,2,5,19,-3.4947
1968,3,3,1,62,0.6980
1968,3,3,2,67,1.8044
1968,3,3,3,61,-0.5414
1968,3,3,4,63,-0.9145
1968,3,3,5,59,1.1965
1968,4,1,1,8,19.0779
1968,4,1,2,7,8.9558
1968,4,1,3,9,10.1222
1968,4,1,4,9,16.9662
1968,4,1,5,10,12.2229
1968,4,2,1,19,9.8760
1968,4,2,2,14,13.4790
1968,4,2,3,19,13.8688
1968,4,2,4,16,8.1860
1968,4,2,5,19,12.2784
1968,4,3,1,62,10.5927
1968,4,3,2,67,8.3870
1968,4,3,3,61,6.5619
1968,4,3,4,63,9.4495
1968,4,3,5,59,7.5434
1968,5,1,1,8,4.7567
1968,5,1,2,7,4.9443
1968,5,1,3,9,5.2755
1968,5,1,4,9,11.4005
1968,5,1,5,10,5.5892
1968,5,2,1,19,8.0158
1968,5,2,2,14,7.1670
1968,5,2,3,19,6.0513
1968,5,2,4,16,3.3657
1968,5,2,5,19,6.4562
1968,5,3,1,62,1.8310
1968,5,3,2,67,2.5400
1968,5,3,3,61,0.9370
1968,5,3,4,63,-1.5847
1968,5,3,5,59,-0.3038
1968,6,1,1,8,0.7651
1968,6,1,2,7,5.2394
1968,6,1,3,9,1.0875
1968,6,1,4,9,5.5308
1968,6,1,5,10,4.9141
1968,6,2,1,19,0.3250
1968,6,2,2,14,0.9301
1968,6,2,3,19,3.2661
1968,6,2,4,16,2.5389
1968,6,2,5,19,0.6232
