year,month,rank_ME,rank_ETR,nstocks,ret_vw
1967,1,1,1,12,20.1542
1967,1,1,2,6,20.9754
1967,1,1,3,2,30.5184
1967,1,1,4,0,
1967,1,1,5,12,17.8425
1967,1,2,1,31,14.5354
1967,1,2,2,18,15.4753
1967,1,2,3,17,12.3204
1967,1,2,4,12,13.2695
1967,1,2,5,29,20.2504
1967,1,3,1,73,10.9007
1967,1,3,2,83,8.6314
1967,1,3,3,88,9.6359
1967,1,3,4,99,4.9504
1967,1,3,5,68,7.7160
1967,2,1,1,12,3.8022
1967,2,1,2,6,2.9825
1967,2,1,3,2,-0.8475
1967,2,1,4,0,
1967,2,1,5,12,3.9044
1967,2,2,1,31,2.2722
1967,2,2,2,18,-2.7798
1967,2,2,3,17,3.2896
1967,2,2,4,12,1.8270
1967,2,2,5,29,2.0114
1967,2,3,1,73,-0.5092
1967,2,3,2,83,2.0452
1967,2,3,3,88,-0.3267
1967,2,3,4,99,1.3771
1967,2,3,5,68,0.0877
1967,3,1,1,12,4.1650
1967,3,1,2,6,2.2522
1967,3,1,3,2,7.7364
1967,3,1,4,0,
1967,3,1,5,12,3.8251
1967,3,2,1,31,10.1107
1967,3,2,2,18,8.1813
1967,3,2,3,17,3.4006
1967,3,2,4,12,5.2386
1967,3,2,5,29,4.2465
1967,3,3,1,73,6.6469
1967,3,3,2,83,5.6987
1967,3,3,3,88,4.3270
1967,3,3,4,99,3.2754
1967,3,3,5,68,2.6264
1967,4,1,1,12,9.6039
1967,4,1,2,6,2.0970
1967,4,1,3,2,10.4111
1967,4,1,4,0,
1967,4,1,5,12,3.3497
1967,4,2,1,31,4.1225
1967,4,2,2,18,3.3204
1967,4,2,3,17,7.9412
1967,4,2,4,12,1.1530
1967,4,2,5,29,2.4714
1967,4,3,1,73,5.6039
1967,4,3,2,83,3.7294
1967,4,3,3,88,6.6489
1967,4,3,4,99,3.1646
1967,4,3,5,68,4.8671
1967,5,1,1,12,2.3998
1967,5,1,2,6,-4.2703
1967,5,1,3,2,6.3856
1967,5,1,4,0,
1967,5,1,5,12,3.2065
1967,5,2,1,31,-0.5204
1967,5,2,2,18,0.3620
1967,5,2,3,17,-3.5788
1967,5,2,4,12,-5.0908
1967,5,2,5,29,-4.3338
1967,5,3,1,73,-3.4333
1967,5,3,2,83,-5.5574
1967,5,3,3,88,-5.5916
1967,5,3,4,99,-4.3481
1967,5,3,5,68,-4.0395
1967,6,1,1,12,7.4066
1967,6,1,2,6,4.9619
1967,6,1,3,2,31.3517
1967,6,1,4,0,
1967,6,1,5,12,11.8132
1967,6,2,1,31,8.5466
1967,6,2,2,18,4.1212
1967,6,2,3,17,3.5563
1967,6,2,4,12,6.5459
1967,6,2,5,29,5.7582
1967,6,3,1,73,2.3677
1967,6,3,2,83,2.0408
1967,6,3,3,88,0.3241
1967,6,3,4,99,1.6878
1967,6,3,5,68,3.4118
1967,7,1,1,21,6.1797
1967,7,1,2,7,14.9378
1967,7,1,3,12,11.9751
1967,7,1,4,12,9.5990
1967,7,1,5,26,8.7988
1967,7,2,1,27,11.0763
1967,7,2,2,32,6.3244
1967,7,2,3,15,9.0954
1967,7,2,4,24,5.3075
1967,7,2,5,32,7.8110
1967,7,3,1,85,6.0226
1967,7,3,2,87,4.7044
1967,7,3,3,99,-0.7604
1967,7,3,4,90,5.5249
1967,7,3,5,76,8.0297
1967,8,1,1,21,1.4674
1967,8,1,2,7,0.6583
1967,8,1,3,12,-0.2745
1967,8,1,4,12,6.0488
1967,8,1,5,26,0.4973
1967,8,2,1,27,1.3992
1967,8,2,2,32,0.1002
1967,8,2,3,15,1.5421
1967,8,2,4,24,-0.1120
1967,8,2,5,32,0.0179
1967,8,3,1,85,-1.2191
1967,8,3,2,86,-2.3724
1967,8,3,3,99,-0.3677
1967,8,3,4,90,-0.3607
1967,8,3,5,76,-0.7930
1967,9,1,1,21,5.9145
1967,9,1,2,7,9.4149
1967,9,1,3,12,3.4602
1967,9,1,4,12,7.6167
1967,9,1,5,26,3.4387
1967,9,2,1,27,4.0691
1967,9,2,2,32,3.7973
