year,month,rank_ME,rank_HS,nstocks,ret_vw
1967,1,1,1,35,21.2289
1967,1,1,2,59,19.7434
1967,1,1,3,58,16.7424
1967,1,1,4,54,19.7408
1967,1,1,5,67,20.4044
1967,1,2,1,27,18.8944
1967,1,2,2,39,16.6348
1967,1,2,3,33,16.0470
1967,1,2,4,44,20.9491
1967,1,2,5,34,16.6955
1967,1,3,1,94,4.8423
1967,1,3,2,64,12.5431
1967,1,3,3,73,9.5024
1967,1,3,4,50,13.5229
1967,1,3,5,68,7.1845
1967,2,1,1,35,4.9719
1967,2,1,2,59,5.9617
1967,2,1,3,58,6.6130
1967,2,1,4,54,1.6701
1967,2,1,5,67,5.8809
1967,2,2,1,27,1.0796
1967,2,2,2,39,4.2602
1967,2,2,3,33,0.5064
1967,2,2,4,44,2.1196
1967,2,2,5,34,3.9621
1967,2,3,1,94,-0.3638
1967,2,3,2,64,-0.5966
1967,2,3,3,73,3.8193
1967,2,3,4,50,-0.2322
1967,2,3,5,68,2.9457
1967,3,1,1,35,1.1510
1967,3,1,2,59,8.7326
1967,3,1,3,58,6.6267
1967,3,1,4,54,5.7205
1967,3,1,5,67,6.8942
1967,3,2,1,27,7.1482
1967,3,2,2,39,7.7288
1967,3,2,3,33,6.8894
1967,3,2,4,44,4.9034
1967,3,2,5,34,6.5089
1967,3,3,1,94,4.8089
1967,3,3,2,64,7.5926
1967,3,3,3,73,4.9029
1967,3,3,4,50,4.4778
1967,3,3,5,68,3.8502
1967,4,1,1,35,-0.3819
1967,4,1,2,59,9.4225
1967,4,1,3,58,3.6782
1967,4,1,4,54,6.2370
1967,4,1,5,67,4.1780
1967,4,2,1,27,2.3738
1967,4,2,2,39,7.0561
1967,4,2,3,33,5.1284
1967,4,2,4,44,4.1561
1967,4,2,5,34,3.1718
1967,4,3,1,94,2.4385
1967,4,3,2,64,4.0419
1967,4,3,3,73,8.3536
1967,4,3,4,50,9.9863
1967,4,3,5,68,4.5858
1967,5,1,1,35,1.9987
1967,5,1,2,59,0.1768
1967,5,1,3,58,0.4432
1967,5,1,4,54,2.2843
1967,5,1,5,67,0.7246
1967,5,2,1,27,-0.7060
1967,5,2,2,39,-3.9082
1967,5,2,3,33,-2.5572
1967,5,2,4,44,-0.5929
1967,5,2,5,34,-2.7163
1967,5,3,1,94,-3.2699
1967,5,3,2,64,-4.3763
1967,5,3,3,73,-4.5506
1967,5,3,4,50,-5.9578
1967,5,3,5,68,-5.3346
1967,6,1,1,35,11.5544
1967,6,1,2,59,10.1417
1967,6,1,3,58,14.4152
1967,6,1,4,53,12.9791
1967,6,1,5,67,15.1015
1967,6,2,1,27,9.8551
1967,6,2,2,39,10.2243
1967,6,2,3,33,5.1300
1967,6,2,4,44,8.7430
1967,6,2,5,34,6.5197
1967,6,3,1,93,2.8629
1967,6,3,2,64,0.5886
1967,6,3,3,73,4.7473
1967,6,3,4,50,0.5189
1967,6,3,5,68,0.7662
1967,7,1,1,52,11.1676
1967,7,1,2,88,8.9915
1967,7,1,3,68,10.9946
1967,7,1,4,109,8.8605
1967,7,1,5,84,9.8500
1967,7,2,1,43,6.6558
1967,7,2,2,46,7.2580
1967,7,2,3,35,6.5102
1967,7,2,4,56,6.6103
1967,7,2,5,42,8.7748
1967,7,3,1,96,6.3890
1967,7,3,2,74,5.0584
1967,7,3,3,67,6.6140
1967,7,3,4,72,5.6600
1967,7,3,5,73,1.1990
1967,8,1,1,52,-1.5604
1967,8,1,2,88,1.4738
1967,8,1,3,68,1.3446
1967,8,1,4,109,0.2624
1967,8,1,5,84,0.2065
1967,8,2,1,43,0.4082
1967,8,2,2,46,-0.1805
1967,8,2,3,35,0.1179
1967,8,2,4,56,-1.5383
1967,8,2,5,42,2.9792
1967,8,3,1,96,-2.1483
1967,8,3,2,74,0.1041
1967,8,3,3,67,-0.8536
1967,8,3,4,72,-0.3133
1967,8,3,5,73,-0.1737
1967,9,1,1,52,7.3220
1967,9,1,2,88,8.7402
1967,9,1,3,68,7.0419
1967,9,1,4,108,9.7867
1967,9,1,5,84,7.9079
1967,9,2,1,43,1.9742
1967,9,2,2,46,3.0644
1967,9,2,3,35,2.0470
1967,9,2,4,56,9.0948
1967,9,2,5,42,5.0162
1967,9,3,1,96,1.5183
