year,month,rank_ME,rank_IOCA,nstocks,ret_vw
1967,1,1,1,68,14.2021
1967,1,1,2,71,17.7273
1967,1,1,3,70,21.6427
1967,1,1,4,80,21.3872
1967,1,1,5,115,17.8375
1967,1,2,1,51,16.5188
1967,1,2,2,46,18.3530
1967,1,2,3,41,19.1982
1967,1,2,4,37,18.2697
1967,1,2,5,51,14.7026
1967,1,3,1,74,9.8950
1967,1,3,2,82,11.1960
1967,1,3,3,92,6.8472
1967,1,3,4,86,6.5325
1967,1,3,5,72,6.6556
1967,2,1,1,68,4.1147
1967,2,1,2,71,2.0670
1967,2,1,3,70,5.8762
1967,2,1,4,80,8.1982
1967,2,1,5,115,5.6466
1967,2,2,1,51,3.9433
1967,2,2,2,46,1.4972
1967,2,2,3,41,0.9368
1967,2,2,4,37,2.2074
1967,2,2,5,51,3.2043
1967,2,3,1,74,0.8840
1967,2,3,2,82,-0.2391
1967,2,3,3,92,-0.2339
1967,2,3,4,86,2.8267
1967,2,3,5,72,2.0752
1967,3,1,1,69,7.6913
1967,3,1,2,71,6.3556
1967,3,1,3,70,6.8161
1967,3,1,4,80,5.4147
1967,3,1,5,115,6.8896
1967,3,2,1,51,5.3296
1967,3,2,2,46,7.3585
1967,3,2,3,41,7.0870
1967,3,2,4,37,8.4372
1967,3,2,5,51,8.1546
1967,3,3,1,74,4.8742
1967,3,3,2,82,5.3143
1967,3,3,3,92,4.1406
1967,3,3,4,86,3.8223
1967,3,3,5,72,5.9771
1967,4,1,1,69,4.0378
1967,4,1,2,71,4.7677
1967,4,1,3,70,6.0873
1967,4,1,4,80,5.5123
1967,4,1,5,115,3.4552
1967,4,2,1,51,4.5455
1967,4,2,2,46,5.2512
1967,4,2,3,41,3.8096
1967,4,2,4,37,6.7627
1967,4,2,5,51,3.6865
1967,4,3,1,74,3.5930
1967,4,3,2,82,6.1704
1967,4,3,3,92,6.1449
1967,4,3,4,86,4.5942
1967,4,3,5,72,4.4088
1967,5,1,1,69,-1.1564
1967,5,1,2,71,1.3139
1967,5,1,3,70,1.2426
1967,5,1,4,80,0.2210
1967,5,1,5,115,1.3288
1967,5,2,1,51,-1.4542
1967,5,2,2,46,-3.6069
1967,5,2,3,41,-1.9860
1967,5,2,4,37,-2.5843
1967,5,2,5,51,-1.2775
1967,5,3,1,74,-5.4564
1967,5,3,2,82,-4.6072
1967,5,3,3,92,-4.5297
1967,5,3,4,86,-3.6658
1967,5,3,5,72,-3.7781
1967,6,1,1,69,13.6307
1967,6,1,2,70,10.0800
1967,6,1,3,70,13.6894
1967,6,1,4,80,13.6285
1967,6,1,5,114,10.9424
1967,6,2,1,51,10.0457
1967,6,2,2,46,6.2347
1967,6,2,3,41,6.4708
1967,6,2,4,37,9.2670
1967,6,2,5,51,7.1701
1967,6,3,1,74,0.8034
1967,6,3,2,82,1.5599
1967,6,3,3,92,1.2370
1967,6,3,4,85,4.2929
1967,6,3,5,72,3.4006
1967,7,1,1,88,10.0174
1967,7,1,2,110,10.7348
1967,7,1,3,93,8.8122
1967,7,1,4,126,9.9614
1967,7,1,5,158,8.8010
1967,7,2,1,60,9.0642
1967,7,2,2,51,7.7598
