year,month,rank_ME,rank_OCA,nstocks,ret_vw
1967,1,1,1,61,16.1015
1967,1,1,2,68,18.7699
1967,1,1,3,83,19.5985
1967,1,1,4,81,21.1131
1967,1,1,5,111,17.0101
1967,1,2,1,48,16.8171
1967,1,2,2,45,18.0698
1967,1,2,3,46,20.0469
1967,1,2,4,51,17.4385
1967,1,2,5,36,13.4325
1967,1,3,1,89,9.1562
1967,1,3,2,78,7.1684
1967,1,3,3,80,9.1842
1967,1,3,4,72,8.2211
1967,1,3,5,88,7.0304
1967,2,1,1,61,3.0370
1967,2,1,2,68,3.3699
1967,2,1,3,83,6.2226
1967,2,1,4,81,7.6025
1967,2,1,5,111,5.6917
1967,2,2,1,48,2.3242
1967,2,2,2,45,1.8082
1967,2,2,3,46,2.5814
1967,2,2,4,51,1.2561
1967,2,2,5,36,4.6638
1967,2,3,1,89,-0.6130
1967,2,3,2,78,-0.9965
1967,2,3,3,80,3.3189
1967,2,3,4,72,3.9809
1967,2,3,5,88,2.5066
1967,3,1,1,62,6.6581
1967,3,1,2,68,9.4515
1967,3,1,3,83,7.4524
1967,3,1,4,81,5.0025
1967,3,1,5,111,5.2074
1967,3,2,1,48,6.7391
1967,3,2,2,45,6.3912
1967,3,2,3,46,7.9387
1967,3,2,4,51,7.5187
1967,3,2,5,36,7.6579
1967,3,3,1,89,4.4925
1967,3,3,2,78,5.2739
1967,3,3,3,80,4.3903
1967,3,3,4,72,3.5393
1967,3,3,5,88,5.7792
1967,4,1,1,62,4.1501
1967,4,1,2,68,4.7030
1967,4,1,3,83,5.0279
1967,4,1,4,81,4.9664
1967,4,1,5,111,4.5982
1967,4,2,1,48,2.1405
1967,4,2,2,45,6.2537
1967,4,2,3,46,6.5028
1967,4,2,4,51,4.0984
1967,4,2,5,36,4.8004
1967,4,3,1,89,3.5334
1967,4,3,2,78,3.8731
1967,4,3,3,80,4.6799
1967,4,3,4,72,6.7284
1967,4,3,5,88,6.0800
1967,5,1,1,62,0.7403
1967,5,1,2,68,-0.7287
1967,5,1,3,83,2.6726
1967,5,1,4,81,-1.4626
1967,5,1,5,111,1.8231
1967,5,2,1,48,-1.7244
1967,5,2,2,45,-2.6997
1967,5,2,3,46,-2.1433
1967,5,2,4,51,-2.4811
1967,5,2,5,36,-1.6494
1967,5,3,1,89,-4.4242
1967,5,3,2,78,-3.8883
1967,5,3,3,80,-5.4651
1967,5,3,4,72,-5.1040
1967,5,3,5,88,-3.7061
1967,6,1,1,61,9.8062
1967,6,1,2,68,14.8895
1967,6,1,3,83,13.6533
1967,6,1,4,80,12.0458
1967,6,1,5,111,11.3730
1967,6,2,1,48,9.1709
1967,6,2,2,45,6.8436
