year,month,rank_ME,rank_OL,nstocks,ret_vw
1967,1,1,1,50,17.0187
1967,1,1,2,55,19.1420
1967,1,1,3,69,18.1056
1967,1,1,4,79,16.3208
1967,1,1,5,157,21.0208
1967,1,2,1,44,15.8838
1967,1,2,2,27,19.4422
1967,1,2,3,45,17.9475
1967,1,2,4,60,17.8788
1967,1,2,5,50,15.9427
1967,1,3,1,94,6.8282
1967,1,3,2,100,8.8906
1967,1,3,3,77,8.2545
1967,1,3,4,69,11.4091
1967,1,3,5,69,9.5618
1967,2,1,1,50,3.5937
1967,2,1,2,55,5.7601
1967,2,1,3,69,8.0653
1967,2,1,4,79,5.7584
1967,2,1,5,157,3.8144
1967,2,2,1,44,2.8752
1967,2,2,2,27,2.5603
1967,2,2,3,45,1.0803
1967,2,2,4,60,3.3005
1967,2,2,5,50,2.0352
1967,2,3,1,94,1.3138
1967,2,3,2,100,0.8922
1967,2,3,3,77,0.4893
1967,2,3,4,69,0.7746
1967,2,3,5,69,2.8597
1967,3,1,1,51,11.7328
1967,3,1,2,55,6.6369
1967,3,1,3,69,6.3678
1967,3,1,4,79,5.7230
1967,3,1,5,157,6.1497
1967,3,2,1,44,7.3079
1967,3,2,2,27,6.4994
1967,3,2,3,45,8.8768
1967,3,2,4,60,8.4822
1967,3,2,5,50,4.4261
1967,3,3,1,94,4.4515
1967,3,3,2,100,4.5794
1967,3,3,3,77,5.3881
1967,3,3,4,69,5.1390
1967,3,3,5,69,3.7118
1967,4,1,1,51,3.2138
1967,4,1,2,55,5.3039
1967,4,1,3,69,6.8577
1967,4,1,4,79,5.1486
1967,4,1,5,157,3.6958
1967,4,2,1,44,3.6580
1967,4,2,2,27,9.0900
1967,4,2,3,45,3.4174
1967,4,2,4,60,4.8088
1967,4,2,5,50,4.3742
1967,4,3,1,94,2.9350
1967,4,3,2,100,3.3033
1967,4,3,3,77,7.7151
1967,4,3,4,69,8.6706
1967,4,3,5,69,5.1771
1967,5,1,1,51,0.3099
1967,5,1,2,55,0.6887
1967,5,1,3,69,1.2157
1967,5,1,4,79,-0.3283
1967,5,1,5,157,0.4701
1967,5,2,1,44,-2.5356
1967,5,2,2,27,-5.2587
1967,5,2,3,45,-1.6430
1967,5,2,4,60,-2.5192
1967,5,2,5,50,0.2301
1967,5,3,1,94,-3.9607
1967,5,3,2,100,-4.6113
1967,5,3,3,77,-4.9306
1967,5,3,4,69,-5.9384
1967,5,3,5,69,-3.6590
1967,6,1,1,49,10.7959
1967,6,1,2,55,14.4722
1967,6,1,3,69,15.4012
1967,6,1,4,79,9.4803
1967,6,1,5,157,11.7802
1967,6,2,1,44,7.2064
1967,6,2,2,27,8.0853
1967,6,2,3,45,6.0912
1967,6,2,4,60,9.4386
1967,6,2,5,50,7.8863
1967,6,3,1,94,2.2638
1967,6,3,2,100,1.3016
1967,6,3,3,77,2.7829
1967,6,3,4,68,0.6762
1967,6,3,5,69,5.7373
1967,7,1,1,72,11.3897
1967,7,1,2,67,10.7523
1967,7,1,3,82,9.5290
1967,7,1,4,131,8.7825
1967,7,1,5,229,9.2312
1967,7,2,1,47,8.4600
1967,7,2,2,46,6.5181
1967,7,2,3,56,8.8803
1967,7,2,4,63,8.2221
1967,7,2,5,61,8.1992
1967,7,3,1,109,2.6598
1967,7,3,2,97,6.5125
1967,7,3,3,89,6.4498
1967,7,3,4,65,8.4463
1967,7,3,5,64,6.2831
1967,8,1,1,72,1.6703
1967,8,1,2,67,1.5088
1967,8,1,3,82,-0.9696
1967,8,1,4,131,1.1037
1967,8,1,5,228,-0.0896
1967,8,2,1,47,-0.2696
1967,8,2,2,46,0.7562
1967,8,2,3,56,-0.7498
1967,8,2,4,63,0.4072
1967,8,2,5,61,0.1245
1967,8,3,1,109,-1.0918
1967,8,3,2,97,-0.7418
1967,8,3,3,89,-0.3530
1967,8,3,4,65,-0.5499
1967,8,3,5,63,0.2524
1967,9,1,1,72,7.1072
1967,9,1,2,66,9.8102
1967,9,1,3,82,7.7264
1967,9,1,4,131,8.7304
1967,9,1,5,228,8.9633
1967,9,2,1,47,2.0858
1967,9,2,2,46,5.1847
1967,9,2,3,56,4.6278
1967,9,2,4,63,4.6034
1967,9,2,5,61,5.3788
1967,9,3,1,109,4.0387
1967,9,3,2,97,3.0210
1967,9,3,3,89,3.5440
1967,9,3,4,65,4.8222
1967,9,3,5,63,4.0467
1967,10,1,1,72,-3.7871
1967,10,1,2,66,0.2813
1967,10,1,3,82,1.7688
1967,10,1,4,131,-2.2619
1967,10,1,5,229,-2.1152
1967,10,2,1,47,-4.6902
1967,10,2,2,45,-6.7914
1967,10,2,3,56,-7.4327
1967,10,2,4,63,-3.4842
1967,10,2,5,61,2.7211
1967,10,3,1,109,-1.0892
1967,10,3,2,97,-3.4187
1967,10,3,3,89,-3.7494
1967,10,3,4,65,-1.9286
1967,10,3,5,63,-2.3519
1967,11,1,1,71,1.5791
1967,11,1,2,65,-0.1990
1967,11,1,3,82,-3.0143
1967,11,1,4,131,0.7850
1967,11,1,5,229,0.3814
1967,11,2,1,47,1.6114
1967,11,2,2,44,0.5426
1967,11,2,3,56,0.4196
1967,11,2,4,63,1.0006
1967,11,2,5,61,0.4235
1967,11,3,1,109,0.4855
1967,11,3,2,97,0.4779
1967,11,3,3,89,1.0875
1967,11,3,4,65,-1.6836
1967,11,3,5,63,1.2405
1967,12,1,1,71,11.8716
1967,12,1,2,65,7.6003
1967,12,1,3,81,8.9413
1967,12,1,4,131,8.5100
1967,12,1,5,229,10.3906
1967,12,2,1,47,7.4477
1967,12,2,2,44,6.5297
1967,12,2,3,56,5.4590
1967,12,2,4,63,7.4242
1967,12,2,5,61,6.0219
1967,12,3,1,109,2.8467
1967,12,3,2,97,2.8656
1967,12,3,3,89,3.2655
1967,12,3,4,65,0.6566
1967,12,3,5,63,2.3510
1968,1,1,1,72,4.0221
1968,1,1,2,64,2.7026
1968,1,1,3,81,1.1840
1968,1,1,4,131,0.5031
1968,1,1,5,229,4.9666
1968,1,2,1,47,0.2940
1968,1,2,2,44,-0.7094
1968,1,2,3,56,-1.7470
1968,1,2,4,63,-2.1528
1968,1,2,5,61,-0.7291
1968,1,3,1,109,-3.6730
1968,1,3,2,97,-5.1680
1968,1,3,3,89,-5.3340
1968,1,3,4,65,-8.0797
1968,1,3,5,63,-5.2165
1968,2,1,1,72,-8.5673
1968,2,1,2,64,-9.5671
1968,2,1,3,81,-7.1139
1968,2,1,4,131,-6.6602
1968,2,1,5,228,-5.7933
1968,2,2,1,47,-2.6388
1968,2,2,2,43,-4.4874
1968,2,2,3,56,-5.7327
1968,2,2,4,63,-6.1684
1968,2,2,5,61,-5.6924
1968,2,3,1,109,-2.5723
1968,2,3,2,97,-6.1879
1968,2,3,3,89,-3.0358
1968,2,3,4,64,-2.7744
1968,2,3,5,63,-1.3843
1968,3,1,1,72,-1.7590
1968,3,1,2,65,-3.1931
1968,3,1,3,81,-0.6849
1968,3,1,4,131,-0.6241
1968,3,1,5,228,-0.5100
1968,3,2,1,47,-0.7342
1968,3,2,2,43,-1.7759
1968,3,2,3,56,-2.2355
1968,3,2,4,63,-1.0040
1968,3,2,5,61,-0.1901
1968,3,3,1,109,1.2951
1968,3,3,2,97,1.7042
1968,3,3,3,89,1.2208
1968,3,3,4,64,0.5822
1968,3,3,5,63,2.4648
1968,4,1,1,72,22.2546
1968,4,1,2,65,14.2454
1968,4,1,3,81,16.8014
1968,4,1,4,130,16.2023
1968,4,1,5,228,19.1598
1968,4,2,1,47,13.4695
1968,4,2,2,43,13.7338
1968,4,2,3,56,14.9449
1968,4,2,4,63,14.3917
1968,4,2,5,61,14.2623
1968,4,3,1,109,6.7288
1968,4,3,2,97,11.2106
1968,4,3,3,89,10.8782
1968,4,3,4,64,12.8219
1968,4,3,5,63,12.7852
1968,5,1,1,72,12.8337
