year,month,rank_ME,rank_OLq_1,nstocks,ret_vw
1973,1,1,1,26,0.9931
1973,1,1,2,19,-3.5033
1973,1,1,3,26,-6.2175
1973,1,1,4,22,-0.5787
1973,1,1,5,41,-6.1630
1973,1,2,1,7,-9.9058
1973,1,2,2,8,-7.6098
1973,1,2,3,10,-6.4957
1973,1,2,4,13,-8.0326
1973,1,2,5,13,-7.4109
1973,1,3,1,12,-10.0612
1973,1,3,2,18,-3.7523
1973,1,3,3,10,-4.0862
1973,1,3,4,10,-6.8566
1973,1,3,5,10,-1.5716
1973,2,1,1,13,-10.6682
1973,2,1,2,21,-12.7250
1973,2,1,3,14,-8.7424
1973,2,1,4,19,-13.1453
1973,2,1,5,44,-7.8436
1973,2,2,1,7,-10.2833
1973,2,2,2,7,-13.1947
1973,2,2,3,9,-10.1844
1973,2,2,4,11,-6.2802
1973,2,2,5,8,-12.6085
1973,2,3,1,11,-5.6736
1973,2,3,2,12,-8.1055
1973,2,3,3,12,-5.0143
1973,2,3,4,9,-3.9092
1973,2,3,5,9,-5.3556
1973,3,1,1,10,3.1747
1973,3,1,2,20,-4.6536
1973,3,1,3,15,-0.6719
1973,3,1,4,28,-1.7987
1973,3,1,5,47,-1.7837
1973,3,2,1,8,0.0484
1973,3,2,2,10,-1.7844
1973,3,2,3,9,-8.1987
1973,3,2,4,8,0.7442
1973,3,2,5,11,-6.5274
1973,3,3,1,14,-1.7910
1973,3,3,2,11,-2.7911
1973,3,3,3,14,-4.7954
1973,3,3,4,7,-1.9288
1973,3,3,5,11,-4.8310
1973,4,1,1,16,-7.5129
1973,4,1,2,21,-10.3651
1973,4,1,3,17,-10.5629
1973,4,1,4,27,-11.0876
1973,4,1,5,48,-9.4861
1973,4,2,1,9,-15.5550
1973,4,2,2,6,-12.3481
1973,4,2,3,10,-10.6784
1973,4,2,4,6,4.6954
1973,4,2,5,9,-12.3772
1973,4,3,1,11,-3.2923
1973,4,3,2,11,-7.9575
1973,4,3,3,11,-8.7000
1973,4,3,4,9,-7.5677
1973,4,3,5,11,-8.0433
1973,5,1,1,51,-10.2842
1973,5,1,2,88,-10.5798
1973,5,1,3,72,-9.2552
1973,5,1,4,130,-10.2713
1973,5,1,5,183,-10.6517
1973,5,2,1,60,-7.6936
1973,5,2,2,43,-10.1741
1973,5,2,3,51,-9.0021
1973,5,2,4,48,-9.4275
1973,5,2,5,64,-6.9543
1973,5,3,1,119,-2.2537
1973,5,3,2,84,-0.8625
1973,5,3,3,73,-2.5745
1973,5,3,4,61,0.3272
1973,5,3,5,50,-3.3979
1973,6,1,1,59,-1.8874
1973,6,1,2,94,-4.2012
1973,6,1,3,81,-6.5091
1973,6,1,4,131,-3.4975
1973,6,1,5,185,-3.0504
1973,6,2,1,62,-4.2388
1973,6,2,2,42,-6.6334
1973,6,2,3,44,-4.6344
1973,6,2,4,53,-4.5778
1973,6,2,5,59,-2.7454
1973,6,3,1,119,-0.1963
1973,6,3,2,90,0.6130
1973,6,3,3,70,-3.1803
1973,6,3,4,60,-1.3607
1973,6,3,5,56,-6.6294
1973,7,1,1,51,10.1356
1973,7,1,2,93,17.6120
1973,7,1,3,83,15.9081
1973,7,1,4,133,14.0174
1973,7,1,5,171,12.9683
1973,7,2,1,63,11.7980
1973,7,2,2,40,17.1377
1973,7,2,3,49,14.4309
1973,7,2,4,53,14.8476
1973,7,2,5,67,9.6762
1973,7,3,1,123,3.2169
1973,7,3,2,93,3.1137
1973,7,3,3,70,8.7369
1973,7,3,4,60,6.1654
1973,7,3,5,57,11.5846
1973,8,1,1,33,-9.3988
1973,8,1,2,22,-6.3152
1973,8,1,3,24,-5.5758
1973,8,1,4,25,-9.3976
1973,8,1,5,21,-6.0829
1973,8,2,1,24,-3.4573
1973,8,2,2,11,-5.0443
1973,8,2,3,7,-8.3267
1973,8,2,4,11,-6.7382
1973,8,2,5,12,-5.3286
1973,8,3,1,31,-1.2446
1973,8,3,2,8,-4.8857
1973,8,3,3,10,-5.6829
1973,8,3,4,10,-5.1066
1973,8,3,5,7,-2.2371
1973,9,1,1,22,17.9827
1973,9,1,2,25,5.2625
1973,9,1,3,18,11.0473
1973,9,1,4,33,9.5203
1973,9,1,5,18,7.5908
1973,9,2,1,24,8.4869
1973,9,2,2,10,14.8273
1973,9,2,3,7,18.4791
1973,9,2,4,7,11.8172
1973,9,2,5,10,6.8400
1973,9,3,1,32,4.8673
1973,9,3,2,2,3.3368
1973,9,3,3,7,9.1800
1973,9,3,4,8,10.3331
1973,9,3,5,5,3.5621
1973,10,1,1,24,5.6388
1973,10,1,2,23,2.4298
1973,10,1,3,15,2.1042
1973,10,1,4,25,-6.6395
1973,10,1,5,29,-6.5414
1973,10,2,1,27,6.9086
1973,10,2,2,8,-1.7422
1973,10,2,3,9,-6.5174
1973,10,2,4,6,2.7699
1973,10,2,5,11,-2.1048
1973,10,3,1,31,2.7028
1973,10,3,2,2,-5.1423
1973,10,3,3,5,4.6736
1973,10,3,4,9,1.7717
1973,10,3,5,3,-8.8536
1973,11,1,1,43,-18.3569
1973,11,1,2,24,-15.9180
1973,11,1,3,30,-24.4099
1973,11,1,4,42,-25.1475
1973,11,1,5,38,-23.5953
1973,11,2,1,33,-16.3927
1973,11,2,2,14,-20.9314
1973,11,2,3,12,-27.3606
1973,11,2,4,9,-27.1899
1973,11,2,5,16,-23.0574
1973,11,3,1,37,-13.8861
1973,11,3,2,11,-14.1644
1973,11,3,3,10,-11.6050
1973,11,3,4,12,-19.3400
1973,11,3,5,8,-16.6857
1973,12,1,1,42,-3.3907
1973,12,1,2,29,-7.3268
1973,12,1,3,31,-6.6595
1973,12,1,4,38,-8.9902
1973,12,1,5,42,-9.8306
1973,12,2,1,30,4.3073
1973,12,2,2,12,-0.0781
1973,12,2,3,14,2.6940
1973,12,2,4,14,-6.1136
1973,12,2,5,13,-6.2302
1973,12,3,1,35,5.7025
1973,12,3,2,12,6.7579
1973,12,3,3,11,-2.5979
1973,12,3,4,8,2.0307
1973,12,3,5,10,-4.8681
1974,1,1,1,30,18.0712
1974,1,1,2,34,16.9932
1974,1,1,3,29,16.8145
1974,1,1,4,37,21.2145
1974,1,1,5,55,13.3178
1974,1,2,1,27,7.5185
1974,1,2,2,13,10.7141
1974,1,2,3,10,8.5829
1974,1,2,4,16,10.5530
1974,1,2,5,14,8.0183
1974,1,3,1,43,0.1857
1974,1,3,2,15,-0.9618
1974,1,3,3,16,-2.1629
1974,1,3,4,8,5.9345
1974,1,3,5,8,3.2855
1974,2,1,1,14,-5.3190
1974,2,1,2,30,-1.9238
1974,2,1,3,25,-3.9203
1974,2,1,4,29,-3.7388
1974,2,1,5,54,-2.5988
1974,2,2,1,20,-1.8019
1974,2,2,2,9,-1.3373
1974,2,2,3,11,-4.2610
1974,2,2,4,14,2.6676
1974,2,2,5,11,-2.2453
1974,2,3,1,41,-0.3735
1974,2,3,2,10,0.8578
1974,2,3,3,9,-2.4730
1974,2,3,4,9,-3.1903
1974,2,3,5,8,-3.8931
1974,3,1,1,9,5.0175
1974,3,1,2,27,-3.5534
1974,3,1,3,28,0.6233
1974,3,1,4,36,-0.6543
1974,3,1,5,56,2.8396
1974,3,2,1,23,-0.6547
1974,3,2,2,7,-6.7712
1974,3,2,3,11,-2.3543
1974,3,2,4,12,-6.1122
1974,3,2,5,9,-1.2192
1974,3,3,1,40,-3.7716
1974,3,3,2,13,-2.0871
1974,3,3,3,12,-0.2322
1974,3,3,4,10,4.1290
1974,3,3,5,9,2.6862
1974,4,1,1,15,-10.6831
1974,4,1,2,32,-5.6397
1974,4,1,3,30,-4.4749
1974,4,1,4,23,-4.5392
1974,4,1,5,59,-2.7604
1974,4,2,1,26,-6.6386
1974,4,2,2,6,-8.8758
1974,4,2,3,9,-7.5482
1974,4,2,4,13,-7.9519
1974,4,2,5,10,-6.5826
1974,4,3,1,36,-6.8023
1974,4,3,2,12,-2.2668
1974,4,3,3,8,-4.9456
1974,4,3,4,10,-4.4910
1974,4,3,5,9,-5.0734
1974,5,1,1,44,-9.1896
1974,5,1,2,76,-6.4929
1974,5,1,3,84,-7.6498
1974,5,1,4,113,-6.6116
1974,5,1,5,206,-5.7893
1974,5,2,1,65,-9.9150
1974,5,2,2,48,-8.6411
1974,5,2,3,49,-9.3160
1974,5,2,4,55,-8.1408
1974,5,2,5,70,-5.8308
1974,5,3,1,129,-6.0955
1974,5,3,2,88,-1.4665
1974,5,3,3,79,0.6045
1974,5,3,4,59,-2.4774
1974,5,3,5,47,-5.7654
1974,6,1,1,44,-2.4425
1974,6,1,2,81,-1.0381
1974,6,1,3,97,-4.2043
1974,6,1,4,130,-1.9525
1974,6,1,5,184,-2.4031
1974,6,2,1,70,-2.8145
1974,6,2,2,54,-4.9175
1974,6,2,3,48,-2.3351
1974,6,2,4,53,-0.8031
1974,6,2,5,69,-1.5709
