year,month,rank_ME,rank_r10n,nstocks,ret_vw
1967,1,1,1,46,23.0449
1967,1,1,2,27,20.2210
1967,1,1,3,27,12.0862
1967,1,1,4,16,19.0593
1967,1,1,5,18,15.6176
1967,1,2,1,50,16.5397
1967,1,2,2,43,16.8480
1967,1,2,3,29,12.3784
1967,1,2,4,35,13.9411
1967,1,2,5,26,15.1892
1967,1,3,1,57,11.4874
1967,1,3,2,80,7.4401
1967,1,3,3,95,8.5964
1967,1,3,4,99,5.6705
1967,1,3,5,105,7.8665
1967,2,1,1,42,2.0722
1967,2,1,2,19,-0.1354
1967,2,1,3,31,4.6989
1967,2,1,4,21,3.3162
1967,2,1,5,22,4.4115
1967,2,2,1,44,2.7900
1967,2,2,2,49,2.5793
1967,2,2,3,33,-0.8818
1967,2,2,4,30,1.1874
1967,2,2,5,33,0.0568
1967,2,3,1,68,-1.8720
1967,2,3,2,82,-1.3303
1967,2,3,3,86,-0.5725
1967,2,3,4,101,1.5505
1967,2,3,5,94,3.1920
1967,3,1,1,43,7.6661
1967,3,1,2,22,10.1049
1967,3,1,3,30,6.7117
1967,3,1,4,18,4.5592
1967,3,1,5,23,5.7697
1967,3,2,1,43,5.4655
1967,3,2,2,49,4.7427
1967,3,2,3,39,5.2709
1967,3,2,4,29,4.4845
1967,3,2,5,30,7.8038
1967,3,3,1,66,4.6554
1967,3,3,2,80,3.3999
1967,3,3,3,82,4.3587
1967,3,3,4,106,3.1364
1967,3,3,5,96,4.8330
1967,4,1,1,34,3.3796
1967,4,1,2,27,3.7171
1967,4,1,3,24,4.2548
1967,4,1,4,26,7.0844
1967,4,1,5,27,3.0813
1967,4,2,1,47,2.9643
1967,4,2,2,36,3.6733
1967,4,2,3,44,2.7020
1967,4,2,4,31,2.7739
1967,4,2,5,31,1.7457
1967,4,3,1,72,3.1171
1967,4,3,2,87,6.9635
1967,4,3,3,83,3.7910
1967,4,3,4,95,0.3319
1967,4,3,5,93,7.6000
1967,5,1,1,34,1.4825
1967,5,1,2,26,0.8437
1967,5,1,3,33,2.6078
1967,5,1,4,24,-1.7335
1967,5,1,5,22,1.7613
1967,5,2,1,43,-2.6336
1967,5,2,2,44,-0.4685
1967,5,2,3,38,-2.4556
1967,5,2,4,31,0.0756
1967,5,2,5,33,-2.3536
1967,5,3,1,76,-2.4751
1967,5,3,2,80,-5.4129
1967,5,3,3,82,-5.4189
1967,5,3,4,96,-4.8036
1967,5,3,5,96,-4.2329
1967,6,1,1,39,10.6352
1967,6,1,2,17,10.2372
1967,6,1,3,34,4.4105
1967,6,1,4,29,9.3702
1967,6,1,5,20,5.8156
1967,6,2,1,44,6.8520
1967,6,2,2,45,7.6622
1967,6,2,3,36,5.8364
1967,6,2,4,32,5.2568
1967,6,2,5,34,3.1921
1967,6,3,1,70,1.9100
1967,6,3,2,88,2.4914
1967,6,3,3,84,-0.9135
1967,6,3,4,90,0.8873
1967,6,3,5,97,4.0162
1967,7,1,1,32,10.3064
1967,7,1,2,27,11.7626
1967,7,1,3,27,9.9449
1967,7,1,4,29,9.2982
1967,7,1,5,20,8.3147
1967,7,2,1,55,9.0906
1967,7,2,2,42,8.0886
1967,7,2,3,36,7.7084
1967,7,2,4,31,8.2536
1967,7,2,5,34,6.9249
1967,7,3,1,65,7.6622
1967,7,3,2,83,8.1499
1967,7,3,3,89,5.0024
1967,7,3,4,90,-1.0658
1967,7,3,5,96,4.5801
1967,8,1,1,36,0.4945
1967,8,1,2,19,2.3107
1967,8,1,3,30,-1.2032
1967,8,1,4,23,0.8611
1967,8,1,5,23,1.8414
1967,8,2,1,49,-1.1015
1967,8,2,2,44,1.4468
1967,8,2,3,40,0.7354
1967,8,2,4,34,0.4578
1967,8,2,5,30,1.2407
1967,8,3,1,66,-0.1815
1967,8,3,2,86,-0.4685
1967,8,3,3,80,-0.5242
1967,8,3,4,95,-1.2195
1967,8,3,5,96,-1.1488
1967,9,1,1,39,1.5709
1967,9,1,2,24,3.6881
1967,9,1,3,28,6.8876
1967,9,1,4,16,8.8668
1967,9,1,5,23,5.8383
1967,9,2,1,48,1.7350
1967,9,2,2,41,4.3593
1967,9,2,3,39,2.2149
1967,9,2,4,42,4.7633
1967,9,2,5,29,5.9605
1967,9,3,1,64,2.8594
1967,9,3,2,84,3.4027
1967,9,3,3,83,2.0114
1967,9,3,4,92,3.0142
1967,9,3,5,96,4.1644
1967,10,1,1,36,-6.1077
1967,10,1,2,26,-1.2887
1967,10,1,3,22,-2.7727
1967,10,1,4,23,-3.1110
1967,10,1,5,25,-0.5559
1967,10,2,1,42,-6.4191
1967,10,2,2,41,-1.6573
1967,10,2,3,40,-3.7561
1967,10,2,4,36,-3.3781
1967,10,2,5,34,-1.8406
1967,10,3,1,72,-3.3115
1967,10,3,2,81,-5.8946
1967,10,3,3,86,-4.0615
1967,10,3,4,92,-3.6075
1967,10,3,5,89,0.9721
1967,11,1,1,38,-1.7565
1967,11,1,2,28,1.0790
1967,11,1,3,21,-0.5918
1967,11,1,4,19,0.5606
1967,11,1,5,24,0.9713
1967,11,2,1,48,0.2943
1967,11,2,2,36,0.3671
1967,11,2,3,39,0.9031
1967,11,2,4,39,0.5030
1967,11,2,5,30,2.2925
1967,11,3,1,63,0.5259
1967,11,3,2,85,0.5212
1967,11,3,3,88,-0.5518
1967,11,3,4,91,1.8876
1967,11,3,5,95,1.1710
1967,12,1,1,36,14.5700
1967,12,1,2,29,8.8113
1967,12,1,3,23,6.4470
1967,12,1,4,19,7.3000
1967,12,1,5,27,7.4181
1967,12,2,1,46,7.7809
1967,12,2,2,36,7.1261
1967,12,2,3,39,5.3330
1967,12,2,4,36,5.2540
1967,12,2,5,35,8.7713
1967,12,3,1,66,2.2129
1967,12,3,2,85,4.5008
1967,12,3,3,85,2.6487
1967,12,3,4,94,2.0860
1967,12,3,5,87,2.3307
1968,1,1,1,52,3.1111
1968,1,1,2,26,4.0133
1968,1,1,3,20,6.5371
1968,1,1,4,22,3.7620
1968,1,1,5,15,-0.6388
1968,1,2,1,45,-0.9586
1968,1,2,2,49,0.9916
1968,1,2,3,36,2.8450
1968,1,2,4,26,2.6846
1968,1,2,5,34,2.5086
1968,1,3,1,52,-4.1252
1968,1,3,2,73,-3.3024
1968,1,3,3,92,-4.0531
1968,1,3,4,100,-1.5861
1968,1,3,5,98,-6.1828
1968,2,1,1,42,-5.2395
1968,2,1,2,26,-5.3399
1968,2,1,3,23,-2.6408
1968,2,1,4,19,-4.6580
1968,2,1,5,20,-1.8928
1968,2,2,1,45,-6.3728
1968,2,2,2,40,-4.2471
1968,2,2,3,37,-0.0627
1968,2,2,4,29,-3.8738
1968,2,2,5,34,-2.7820
1968,2,3,1,58,-5.0194
1968,2,3,2,81,-1.9773
1968,2,3,3,84,-2.7841
1968,2,3,4,99,-2.6345
1968,2,3,5,91,-2.6533
1968,3,1,1,46,-2.3737
1968,3,1,2,20,-0.2818
1968,3,1,3,22,-0.4703
1968,3,1,4,23,-1.1847
1968,3,1,5,18,1.7553
1968,3,2,1,41,-3.0628
1968,3,2,2,46,0.4155
1968,3,2,3,31,-2.0845
1968,3,2,4,31,-1.3430
1968,3,2,5,35,0.2603
1968,3,3,1,61,-0.0974
1968,3,3,2,78,1.0646
1968,3,3,3,92,-0.6134
1968,3,3,4,93,-0.5388
1968,3,3,5,92,2.8351
1968,4,1,1,38,13.0254
1968,4,1,2,29,10.4243
1968,4,1,3,17,12.1912
1968,4,1,4,17,16.6638
1968,4,1,5,26,9.7239
1968,4,2,1,43,13.5359
1968,4,2,2,39,12.0775
1968,4,2,3,36,8.6692
1968,4,2,4,38,11.2337
1968,4,2,5,32,14.1112
1968,4,3,1,65,7.0855
1968,4,3,2,77,7.3163
1968,4,3,3,90,8.1518
1968,4,3,4,93,6.9698
1968,4,3,5,86,11.1100
1968,5,1,1,37,11.8102
1968,5,1,2,29,6.3067
1968,5,1,3,24,13.0943
1968,5,1,4,17,14.3973
1968,5,1,5,21,8.3123
1968,5,2,1,47,7.2066
1968,5,2,2,34,4.6464
1968,5,2,3,38,5.4180
1968,5,2,4,33,6.7497
1968,5,2,5,30,7.1698
1968,5,3,1,60,0.0674
1968,5,3,2,81,1.0046
1968,5,3,3,83,-0.3342
1968,5,3,4,92,2.4038
1968,5,3,5,92,3.1937
1968,6,1,1,39,1.8514
1968,6,1,2,25,1.4713
1968,6,1,3,20,3.5033
1968,6,1,4,19,4.4304
1968,6,1,5,22,0.8501
1968,6,2,1,46,0.5047
1968,6,2,2,31,2.7567
1968,6,2,3,38,1.1101
1968,6,2,4,36,3.5073
1968,6,2,5,31,0.2079
1968,6,3,1,60,0.3733
1968,6,3,2,89,1.3900
1968,6,3,3,86,4.1206
1968,6,3,4,89,1.3694
1968,6,3,5,90,-0.6998
1968,7,1,1,49,-0.5372
1968,7,1,2,17,1.0726
1968,7,1,3,20,1.0526
1968,7,1,4,23,-2.2237
1968,7,1,5,20,-2.2044
1968,7,2,1,43,-3.6146
1968,7,2,2,40,-2.8423
1968,7,2,3,32,-0.7774
1968,7,2,4,29,-1.8496
1968,7,2,5,33,-3.8822
1968,7,3,1,54,-2.8922
1968,7,3,2,85,1.5579
1968,7,3,3,92,-1.6751
1968,7,3,4,91,-0.7094
1968,7,3,5,88,-4.8395
1968,8,1,1,41,2.5063
1968,8,1,2,19,1.8409
1968,8,1,3,26,2.7529
1968,8,1,4,12,-3.0425
1968,8,1,5,23,3.7535
1968,8,2,1,42,3.5293
1968,8,2,2,39,2.6911
1968,8,2,3,33,3.3243
1968,8,2,4,31,1.8494
1968,8,2,5,32,5.7413
1968,8,3,1,60,1.6489
1968,8,3,2,85,2.2000
1968,8,3,3,84,1.7293
1968,8,3,4,98,1.5013
1968,8,3,5,86,0.8250
1968,9,1,1,45,6.3817
1968,9,1,2,26,7.5915
1968,9,1,3,22,6.4969
1968,9,1,4,17,5.5335
1968,9,1,5,18,9.2379
1968,9,2,1,42,7.2015
1968,9,2,2,40,5.8372
1968,9,2,3,28,4.2618
1968,9,2,4,30,4.7730
1968,9,2,5,29,7.9673
1968,9,3,1,57,6.2240
1968,9,3,2,76,2.9977
1968,9,3,3,93,5.6034
1968,9,3,4,92,3.4458
1968,9,3,5,94,2.9468
1968,10,1,1,48,1.5263
1968,10,1,2,19,6.4388
1968,10,1,3,20,-1.4233
1968,10,1,4,14,1.1782
1968,10,1,5,24,3.5573
1968,10,2,1,38,1.2654
1968,10,2,2,32,1.6318
1968,10,2,3,31,1.6794
1968,10,2,4,29,0.9421
1968,10,2,5,36,2.4139
1968,10,3,1,56,1.3570
1968,10,3,2,89,3.2650
1968,10,3,3,90,0.5833
1968,10,3,4,96,1.8939
1968,10,3,5,80,-2.9663
1968,11,1,1,43,8.9385
1968,11,1,2,25,10.7525
1968,11,1,3,18,4.5080
1968,11,1,4,16,7.4431
1968,11,1,5,22,5.4969
1968,11,2,1,38,6.6020
1968,11,2,2,30,6.7528
1968,11,2,3,28,8.0386
1968,11,2,4,31,6.8258
1968,11,2,5,37,7.7928
1968,11,3,1,60,7.2678
1968,11,3,2,84,5.6166
1968,11,3,3,93,5.7038
1968,11,3,4,93,6.1453
1968,11,3,5,81,4.0338
1968,12,1,1,43,1.6253
1968,12,1,2,25,-3.4245
1968,12,1,3,20,-2.4402
1968,12,1,4,15,1.4060
1968,12,1,5,22,2.0618
1968,12,2,1,40,-0.7557
1968,12,2,2,31,-0.8286
1968,12,2,3,34,1.8619
1968,12,2,4,31,-2.1950
1968,12,2,5,30,0.1194
1968,12,3,1,60,-0.6331
1968,12,3,2,83,-3.1587
1968,12,3,3,85,-3.9136
1968,12,3,4,93,-4.8842
1968,12,3,5,87,-4.1823
1969,1,1,1,50,-1.1385
1969,1,1,2,22,-0.4768
1969,1,1,3,25,-2.2879
1969,1,1,4,12,-2.4933
1969,1,1,5,13,0.7713
1969,1,2,1,45,0.2631
1969,1,2,2,39,-0.2746
1969,1,2,3,23,-1.7055
1969,1,2,4,28,-1.0759
1969,1,2,5,27,0.3620
1969,1,3,1,47,-0.1508
1969,1,3,2,77,-0.6561
1969,1,3,3,90,-0.1515
1969,1,3,4,96,0.3088
1969,1,3,5,97,-2.5288
1969,2,1,1,47,-11.3883
1969,2,1,2,22,-7.7328
1969,2,1,3,20,-7.6976
1969,2,1,4,13,-8.5163
1969,2,1,5,17,-6.6638
1969,2,2,1,41,-11.1725
1969,2,2,2,38,-7.6243
1969,2,2,3,24,-5.2468
1969,2,2,4,33,-4.5330
1969,2,2,5,25,-6.3505
1969,2,3,1,51,-7.4777
1969,2,3,2,79,-5.0786
1969,2,3,3,92,-6.1850
1969,2,3,4,91,-4.0684
1969,2,3,5,94,-2.6863
