year,month,rank_ME,rank_RCA,nstocks,ret_vw
1980,7,1,1,127,8.6531
1980,7,1,2,134,10.8172
1980,7,1,3,138,15.0179
1980,7,1,4,143,11.0869
1980,7,1,5,200,19.1411
1980,7,2,1,46,9.6949
1980,7,2,2,48,11.1548
1980,7,2,3,57,12.8330
1980,7,2,4,53,16.9544
1980,7,2,5,62,19.0744
1980,7,3,1,75,2.0218
1980,7,3,2,67,4.3376
1980,7,3,3,63,9.3739
1980,7,3,4,65,10.5005
1980,7,3,5,78,12.5206
1980,8,1,1,127,6.2997
1980,8,1,2,133,10.4809
1980,8,1,3,138,10.1131
1980,8,1,4,141,9.9520
1980,8,1,5,200,14.7153
1980,8,2,1,45,7.3662
1980,8,2,2,48,4.8015
1980,8,2,3,57,7.6673
1980,8,2,4,53,9.4386
1980,8,2,5,62,7.8206
1980,8,3,1,75,3.3978
1980,8,3,2,67,1.9836
1980,8,3,3,63,2.5066
1980,8,3,4,65,-0.1818
1980,8,3,5,78,1.7343
1980,9,1,1,127,5.5856
1980,9,1,2,132,4.0284
1980,9,1,3,138,2.4269
1980,9,1,4,140,2.7067
1980,9,1,5,197,4.0419
1980,9,2,1,43,1.4700
1980,9,2,2,48,7.5261
1980,9,2,3,57,2.8656
1980,9,2,4,52,2.9020
1980,9,2,5,62,4.7463
1980,9,3,1,75,5.3667
1980,9,3,2,66,3.5496
1980,9,3,3,63,4.1368
1980,9,3,4,65,1.3504
1980,9,3,5,78,2.3242
1980,10,1,1,126,5.7563
1980,10,1,2,130,5.1463
1980,10,1,3,136,6.6514
1980,10,1,4,139,4.9282
1980,10,1,5,196,7.2867
1980,10,2,1,43,4.8655
1980,10,2,2,47,3.0895
1980,10,2,3,56,3.6791
1980,10,2,4,50,2.9420
1980,10,2,5,62,3.0419
1980,10,3,1,75,5.1009
1980,10,3,2,64,5.1413
1980,10,3,3,63,0.3420
1980,10,3,4,65,-0.6104
1980,10,3,5,78,-0.8212
1980,11,1,1,125,2.5446
1980,11,1,2,131,5.8898
1980,11,1,3,136,7.8715
1980,11,1,4,139,7.8191
1980,11,1,5,196,12.0382
1980,11,2,1,43,11.2492
1980,11,2,2,47,10.9208
1980,11,2,3,56,8.2290
1980,11,2,4,50,4.0497
1980,11,2,5,61,10.0151
1980,11,3,1,75,18.8362
1980,11,3,2,63,14.6645
1980,11,3,3,63,10.2819
1980,11,3,4,65,10.1022
1980,11,3,5,78,7.4636
1980,12,1,1,123,-5.5590
1980,12,1,2,130,-6.0317
1980,12,1,3,135,-3.6559
1980,12,1,4,138,-5.1578
1980,12,1,5,196,-6.0829
1980,12,2,1,43,-7.5364
1980,12,2,2,46,-2.4612
1980,12,2,3,56,0.6070
1980,12,2,4,50,-4.1199
1980,12,2,5,61,-1.7347
1980,12,3,1,75,-10.0285
1980,12,3,2,63,-3.9009
1980,12,3,3,63,-0.6966
1980,12,3,4,65,-0.6778
1980,12,3,5,78,0.7683
1981,1,1,1,124,1.4439
1981,1,1,2,130,1.4714
1981,1,1,3,135,0.3489
1981,1,1,4,137,-0.6844
1981,1,1,5,194,-4.8821
