year,month,rank_ME,rank_RDM,nstocks,ret_vw
1976,7,1,1,97,-3.1867
1976,7,1,2,96,-1.7587
1976,7,1,3,146,1.2138
1976,7,1,4,178,0.2947
1976,7,1,5,293,-0.6050
1976,7,2,1,59,-0.6606
1976,7,2,2,55,-0.6995
1976,7,2,3,69,-1.0668
1976,7,2,4,62,-1.1478
1976,7,2,5,40,2.1256
1976,7,3,1,106,-0.4462
1976,7,3,2,89,-0.2981
1976,7,3,3,69,-2.2977
1976,7,3,4,58,-1.2729
1976,7,3,5,45,-1.1642
1976,8,1,1,93,-0.2346
1976,8,1,2,86,-2.0575
1976,8,1,3,132,-2.9599
1976,8,1,4,165,-3.0012
1976,8,1,5,267,-2.7102
1976,8,2,1,56,-3.1447
1976,8,2,2,54,-0.7202
1976,8,2,3,68,-3.1266
1976,8,2,4,61,-3.1111
1976,8,2,5,40,-4.7053
1976,8,3,1,106,0.6058
1976,8,3,2,88,-0.8299
1976,8,3,3,69,-0.6868
1976,8,3,4,58,-1.2028
1976,8,3,5,45,-0.4731
1976,9,1,1,93,1.0995
1976,9,1,2,86,3.3639
1976,9,1,3,132,3.3171
1976,9,1,4,160,2.0754
1976,9,1,5,264,1.1682
1976,9,2,1,57,2.8005
1976,9,2,2,54,4.3796
1976,9,2,3,66,2.4536
1976,9,2,4,60,-0.3472
1976,9,2,5,40,2.5652
1976,9,3,1,106,3.4933
1976,9,3,2,88,1.4961
1976,9,3,3,69,1.7002
1976,9,3,4,58,4.0507
1976,9,3,5,45,4.2747
1976,10,1,1,95,-1.7898
1976,10,1,2,96,-1.9856
1976,10,1,3,145,-2.2348
1976,10,1,4,170,-1.6279
1976,10,1,5,287,-5.1064
1976,10,2,1,58,-2.0322
1976,10,2,2,55,-1.8268
1976,10,2,3,66,-1.6450
1976,10,2,4,61,-3.6181
1976,10,2,5,40,-5.0283
1976,10,3,1,105,-2.1236
1976,10,3,2,88,-2.8700
1976,10,3,3,69,-2.9885
1976,10,3,4,58,-2.8690
1976,10,3,5,45,-4.6003
1976,11,1,1,94,3.2725
1976,11,1,2,95,3.3565
1976,11,1,3,145,2.2739
1976,11,1,4,172,3.6446
1976,11,1,5,288,3.4124
1976,11,2,1,58,3.9277
1976,11,2,2,55,3.7977
1976,11,2,3,66,2.2762
1976,11,2,4,61,2.4365
1976,11,2,5,40,5.3176
1976,11,3,1,105,0.6492
1976,11,3,2,88,-2.4671
1976,11,3,3,69,-1.8157
1976,11,3,4,58,0.3736
1976,11,3,5,45,0.7103
1976,12,1,1,96,9.8506
1976,12,1,2,95,7.3936
1976,12,1,3,145,11.9417
1976,12,1,4,171,9.4177
1976,12,1,5,286,9.8750
1976,12,2,1,59,9.6671
1976,12,2,2,55,10.5605
1976,12,2,3,67,9.7760
1976,12,2,4,61,11.5041
1976,12,2,5,40,11.3073
1976,12,3,1,105,4.0201
1976,12,3,2,88,5.3913
1976,12,3,3,69,4.9341
1976,12,3,4,58,8.2569
1976,12,3,5,45,9.0814
1977,1,1,1,96,2.6941
1977,1,1,2,94,5.4826
1977,1,1,3,143,4.5852
1977,1,1,4,167,3.6992
1977,1,1,5,281,5.4677
1977,1,2,1,57,0.3578
1977,1,2,2,55,1.2858
1977,1,2,3,66,2.1700
1977,1,2,4,61,-1.3542
1977,1,2,5,39,4.7371
1977,1,3,1,105,-3.3986
1977,1,3,2,88,-6.6233
1977,1,3,3,69,-5.2009
1977,1,3,4,58,-4.6150
1977,1,3,5,45,-2.3088
1977,2,1,1,96,-0.0731
1977,2,1,2,94,-0.6140
1977,2,1,3,143,-0.2855
1977,2,1,4,167,-0.3153
1977,2,1,5,279,2.7481
1977,2,2,1,57,-1.6076
1977,2,2,2,55,0.1829
