year,month,rank_ME,rank_RDSq_6,nstocks,ret_vw
1990,1,1,1,101,-8.5047
1990,1,1,2,80,-11.0600
1990,1,1,3,142,-8.0470
1990,1,1,4,140,-6.7485
1990,1,1,5,320,-5.1191
1990,1,2,1,17,-7.7776
1990,1,2,2,18,-5.2370
1990,1,2,3,29,-7.4329
1990,1,2,4,41,-12.5305
1990,1,2,5,61,-7.7266
1990,1,3,1,21,-10.2778
1990,1,3,2,22,-4.3139
1990,1,3,3,22,-9.9114
1990,1,3,4,25,-5.8842
1990,1,3,5,33,-1.7170
1990,2,1,1,133,4.7054
1990,2,1,2,118,3.8773
1990,2,1,3,168,2.1303
1990,2,1,4,195,3.7308
1990,2,1,5,387,1.6168
1990,2,2,1,20,5.6950
1990,2,2,2,23,3.5883
1990,2,2,3,37,4.7716
1990,2,2,4,47,6.5822
1990,2,2,5,72,7.8645
1990,2,3,1,25,1.6940
1990,2,3,2,30,3.2221
1990,2,3,3,29,2.2176
1990,2,3,4,30,0.1778
1990,2,3,5,39,1.1298
1990,3,1,1,139,5.8892
1990,3,1,2,120,3.7169
1990,3,1,3,182,3.0744
1990,3,1,4,211,4.5300
1990,3,1,5,404,5.0389
1990,3,2,1,25,5.9351
1990,3,2,2,25,4.2040
1990,3,2,3,40,9.5488
1990,3,2,4,53,7.2075
1990,3,2,5,75,6.1251
1990,3,3,1,29,3.3456
1990,3,3,2,31,4.7670
1990,3,3,3,31,6.0879
1990,3,3,4,33,3.6128
1990,3,3,5,42,3.9241
1990,4,1,1,145,-1.7607
1990,4,1,2,125,-0.3812
1990,4,1,3,185,-2.4059
1990,4,1,4,222,-1.0947
1990,4,1,5,412,-1.6280
1990,4,2,1,28,-7.1022
1990,4,2,2,30,-2.9235
1990,4,2,3,40,-2.2306
1990,4,2,4,58,-3.2935
1990,4,2,5,80,-3.0615
1990,4,3,1,31,-1.8596
1990,4,3,2,31,-2.9308
1990,4,3,3,32,-4.3470
1990,4,3,4,36,0.0720
1990,4,3,5,42,1.0247
1990,5,1,1,204,5.2681
1990,5,1,2,184,8.1543
1990,5,1,3,268,7.2629
1990,5,1,4,290,8.7137
1990,5,1,5,483,8.1233
1990,5,2,1,44,8.0926
1990,5,2,2,54,6.5791
1990,5,2,3,62,12.7074
1990,5,2,4,86,11.3982
1990,5,2,5,112,15.6835
1990,5,3,1,60,8.6556
1990,5,3,2,48,10.4747
1990,5,3,3,58,8.1328
1990,5,3,4,56,10.6604
1990,5,3,5,71,13.0522
1990,6,1,1,213,2.5646
1990,6,1,2,188,2.0631
1990,6,1,3,271,3.9189
1990,6,1,4,298,2.2354
1990,6,1,5,489,1.7758
1990,6,2,1,44,0.6117
1990,6,2,2,57,-0.5760
1990,6,2,3,67,5.6189
1990,6,2,4,88,1.8473
1990,6,2,5,119,0.2306
1990,6,3,1,62,-2.9510
1990,6,3,2,48,1.2095
1990,6,3,3,60,-4.5212
1990,6,3,4,57,3.0348
1990,6,3,5,78,0.4159
1990,7,1,1,191,-3.4657
1990,7,1,2,165,-4.2470
1990,7,1,3,241,-3.9537
1990,7,1,4,268,-6.2140
1990,7,1,5,431,-7.2862
1990,7,2,1,45,-6.9783
1990,7,2,2,50,-3.9502
1990,7,2,3,59,-0.8052
1990,7,2,4,84,-7.9706
1990,7,2,5,117,-7.5211
1990,7,3,1,56,1.7440
1990,7,3,2,47,0.9950
1990,7,3,3,63,-2.1251
1990,7,3,4,61,1.9047
1990,7,3,5,74,-3.6740
1990,8,1,1,194,-15.8236
1990,8,1,2,183,-15.6945
1990,8,1,3,271,-14.0281
1990,8,1,4,295,-13.1250
1990,8,1,5,481,-16.5555
1990,8,2,1,49,-12.8343
1990,8,2,2,54,-12.8361
1990,8,2,3,62,-16.0903
1990,8,2,4,88,-16.1428
1990,8,2,5,122,-16.6455
1990,8,3,1,58,-7.2180
1990,8,3,2,53,-9.2905
1990,8,3,3,67,-10.5386
1990,8,3,4,62,-8.6983
1990,8,3,5,75,-10.2577
1990,9,1,1,198,-9.1693
1990,9,1,2,180,-9.9521
1990,9,1,3,264,-9.7910
1990,9,1,4,296,-9.5456
1990,9,1,5,484,-10.5923
1990,9,2,1,49,-8.6480
1990,9,2,2,53,-7.6082
1990,9,2,3,61,-10.3094
1990,9,2,4,87,-12.6622
1990,9,2,5,126,-11.1420
1990,9,3,1,57,-5.0165
1990,9,3,2,52,-4.5042
1990,9,3,3,68,-5.5780
1990,9,3,4,60,-4.2616
1990,9,3,5,75,-7.2052
1990,10,1,1,178,-4.5768
1990,10,1,2,158,-7.1722
1990,10,1,3,249,-2.2644
1990,10,1,4,248,-5.0921
1990,10,1,5,439,-5.8689
1990,10,2,1,48,-10.7407
1990,10,2,2,51,-3.6728
1990,10,2,3,58,-6.2785
1990,10,2,4,79,-2.2648
1990,10,2,5,121,-4.7827
1990,10,3,1,57,-0.8888
1990,10,3,2,51,-0.3465
1990,10,3,3,64,4.0776
1990,10,3,4,58,-0.2272
1990,10,3,5,70,-2.1867
1990,11,1,1,196,4.2491
1990,11,1,2,183,9.4564
1990,11,1,3,265,6.0158
1990,11,1,4,291,6.0091
1990,11,1,5,479,5.0189
1990,11,2,1,50,6.0616
1990,11,2,2,57,13.7103
1990,11,2,3,62,11.1232
1990,11,2,4,82,13.5980
1990,11,2,5,132,14.0560
1990,11,3,1,56,6.4954
1990,11,3,2,49,6.6477
1990,11,3,3,66,3.8444
1990,11,3,4,59,9.8381
1990,11,3,5,74,9.2540
1990,12,1,1,205,0.5236
1990,12,1,2,190,1.5905
1990,12,1,3,265,1.2862
1990,12,1,4,299,3.2685
1990,12,1,5,487,-1.3444
1990,12,2,1,47,5.1716
1990,12,2,2,53,12.0346
1990,12,2,3,61,7.9962
1990,12,2,4,77,3.9958
1990,12,2,5,130,6.7052
1990,12,3,1,55,5.6371
1990,12,3,2,50,4.1890
1990,12,3,3,64,1.0080
1990,12,3,4,56,3.2020
1990,12,3,5,73,3.2250
1991,1,1,1,151,12.5821
1991,1,1,2,135,12.6811
1991,1,1,3,214,11.0235
1991,1,1,4,239,13.3783
1991,1,1,5,417,18.8854
1991,1,2,1,32,7.8434
1991,1,2,2,31,13.1584
1991,1,2,3,44,10.7753
1991,1,2,4,69,14.2084
1991,1,2,5,108,23.1327
1991,1,3,1,24,5.1010
1991,1,3,2,37,7.5111
1991,1,3,3,36,9.6466
1991,1,3,4,36,6.5296
1991,1,3,5,46,9.6018
1991,2,1,1,164,13.0799
1991,2,1,2,152,9.6831
1991,2,1,3,231,13.2428
1991,2,1,4,276,14.1322
1991,2,1,5,456,18.4236
1991,2,2,1,34,10.1643
1991,2,2,2,36,8.7111
1991,2,2,3,51,10.0258
