year,month,rank_ME,rank_RER,nstocks,ret_vw
1970,7,1,1,95,7.4138
1970,7,1,2,81,5.6173
1970,7,1,3,65,2.8473
1970,7,1,4,80,2.1604
1970,7,1,5,87,7.7737
1970,7,2,1,34,7.5336
1970,7,2,2,37,8.4231
1970,7,2,3,39,8.7737
1970,7,2,4,40,2.8817
1970,7,2,5,25,9.0507
1970,7,3,1,59,4.2753
1970,7,3,2,44,5.9019
1970,7,3,3,41,7.0436
1970,7,3,4,47,3.4190
1970,7,3,5,53,6.8750
1970,8,1,1,95,8.1744
1970,8,1,2,81,6.7378
1970,8,1,3,65,6.7345
1970,8,1,4,80,4.0053
1970,8,1,5,87,5.1336
1970,8,2,1,34,10.4002
1970,8,2,2,37,7.4345
1970,8,2,3,39,4.5985
1970,8,2,4,40,6.3309
1970,8,2,5,25,7.4289
1970,8,3,1,59,6.4976
1970,8,3,2,44,5.4656
1970,8,3,3,41,3.8072
1970,8,3,4,47,3.7008
1970,8,3,5,53,4.4443
1970,9,1,1,95,14.7026
1970,9,1,2,81,13.7948
1970,9,1,3,65,13.0725
1970,9,1,4,80,16.4020
1970,9,1,5,87,14.2682
1970,9,2,1,34,12.3686
1970,9,2,2,37,11.3786
1970,9,2,3,39,12.8231
1970,9,2,4,40,11.8940
1970,9,2,5,25,11.7954
1970,9,3,1,59,7.1993
1970,9,3,2,44,2.1409
1970,9,3,3,41,4.9316
1970,9,3,4,47,5.7269
1970,9,3,5,53,3.0313
1970,10,1,1,95,-9.3861
1970,10,1,2,81,-8.2095
1970,10,1,3,65,-9.4675
1970,10,1,4,80,-7.3840
1970,10,1,5,87,-7.7596
1970,10,2,1,34,-6.7800
1970,10,2,2,37,-4.9789
1970,10,2,3,39,-6.9091
1970,10,2,4,40,-6.8407
1970,10,2,5,25,-3.5109
1970,10,3,1,59,-1.1852
1970,10,3,2,44,-0.7125
1970,10,3,3,41,-0.5558
1970,10,3,4,47,0.1873
1970,10,3,5,53,-2.7239
1970,11,1,1,94,-2.3426
1970,11,1,2,81,-2.9048
1970,11,1,3,65,-0.7962
1970,11,1,4,80,-3.3241
1970,11,1,5,87,-1.1029
1970,11,2,1,34,4.1138
1970,11,2,2,37,2.6919
1970,11,2,3,39,3.8214
1970,11,2,4,40,-0.0083
1970,11,2,5,25,-1.2314
1970,11,3,1,59,4.2078
1970,11,3,2,44,6.6567
1970,11,3,3,41,2.8934
1970,11,3,4,47,4.6579
1970,11,3,5,53,4.4165
1970,12,1,1,94,7.6982
1970,12,1,2,81,9.8550
1970,12,1,3,65,13.0693
1970,12,1,4,80,14.4332
1970,12,1,5,87,10.6089
1970,12,2,1,34,7.7374
1970,12,2,2,37,7.8269
1970,12,2,3,39,8.1001
1970,12,2,4,40,8.5503
1970,12,2,5,25,9.8906
1970,12,3,1,59,3.9491
1970,12,3,2,44,6.2663
1970,12,3,3,41,9.5307
1970,12,3,4,47,7.9335
1970,12,3,5,53,8.5145
1971,1,1,1,94,15.3776
1971,1,1,2,81,17.4918
1971,1,1,3,65,14.0894
1971,1,1,4,80,14.4985
1971,1,1,5,87,17.6515
1971,1,2,1,34,11.5702
1971,1,2,2,37,13.9142
1971,1,2,3,39,12.2735
1971,1,2,4,40,11.9781
1971,1,2,5,25,10.7991
1971,1,3,1,59,5.0512
1971,1,3,2,44,3.5353
1971,1,3,3,41,3.4095
1971,1,3,4,47,6.2248
1971,1,3,5,53,5.3127
1971,2,1,1,94,7.1170
1971,2,1,2,81,5.2630
1971,2,1,3,65,6.9515
1971,2,1,4,80,5.6025
1971,2,1,5,87,3.6792
1971,2,2,1,34,1.6867
1971,2,2,2,37,2.4155
1971,2,2,3,39,2.5419
1971,2,2,4,40,1.9152
1971,2,2,5,25,1.8657
1971,2,3,1,59,2.1613
1971,2,3,2,44,1.8421
1971,2,3,3,41,2.7539
1971,2,3,4,47,1.2688
1971,2,3,5,53,2.5500
1971,3,1,1,94,2.8666
1971,3,1,2,81,6.5569
1971,3,1,3,65,6.6826
1971,3,1,4,80,5.3380
1971,3,1,5,87,7.8057
1971,3,2,1,34,8.2935
1971,3,2,2,37,6.8765
1971,3,2,3,39,5.4780
1971,3,2,4,39,7.4459
1971,3,2,5,25,8.6580
1971,3,3,1,59,6.0906
1971,3,3,2,44,4.4515
1971,3,3,3,41,5.5036
1971,3,3,4,47,4.7487
1971,3,3,5,53,3.9189
1971,4,1,1,94,2.4545
1971,4,1,2,81,1.6750
1971,4,1,3,65,1.3626
1971,4,1,4,80,3.3246
1971,4,1,5,87,1.6640
1971,4,2,1,34,6.1773
1971,4,2,2,37,4.4291
1971,4,2,3,39,1.8981
1971,4,2,4,39,3.2737
1971,4,2,5,25,5.0839
1971,4,3,1,59,1.8455
1971,4,3,2,44,6.9127
1971,4,3,3,41,4.9767
1971,4,3,4,47,4.3945
1971,4,3,5,53,4.3852
1971,5,1,1,94,-4.4006
1971,5,1,2,81,-5.1104
1971,5,1,3,65,-4.8398
1971,5,1,4,80,-7.7698
1971,5,1,5,87,-6.4034
1971,5,2,1,34,-2.8406
1971,5,2,2,37,-4.7940
1971,5,2,3,39,-6.0320
1971,5,2,4,40,-5.4408
1971,5,2,5,25,-6.4203
1971,5,3,1,59,-4.8789
1971,5,3,2,44,-2.8466
1971,5,3,3,41,-3.5579
1971,5,3,4,47,-2.7240
1971,5,3,5,53,-1.1548
1971,6,1,1,93,-2.8817
1971,6,1,2,81,-3.6319
1971,6,1,3,65,-4.4538
1971,6,1,4,80,-0.7333
1971,6,1,5,87,-3.4620
1971,6,2,1,34,-0.8301
