year,month,rank_ME,rank_ADM,nstocks,ret_vw
1973,7,1,1,112,17.3523
1973,7,1,2,87,16.9413
1973,7,1,3,114,12.2868
1973,7,1,4,89,13.1880
1973,7,1,5,115,11.4751
1973,7,2,1,45,17.7928
1973,7,2,2,29,14.7511
1973,7,2,3,37,10.9242
1973,7,2,4,29,14.5590
1973,7,2,5,41,10.6322
1973,7,3,1,87,5.4900
1973,7,3,2,60,6.3422
1973,7,3,3,58,8.6281
1973,7,3,4,59,6.6459
1973,7,3,5,30,8.7020
1973,8,1,1,112,-5.6715
1973,8,1,2,87,-7.8846
1973,8,1,3,112,-5.3540
1973,8,1,4,89,-6.8686
1973,8,1,5,115,-6.0560
1973,8,2,1,45,-5.7084
1973,8,2,2,29,-1.8264
1973,8,2,3,37,-2.8836
1973,8,2,4,29,-2.7217
1973,8,2,5,41,-3.3271
1973,8,3,1,87,-1.1842
1973,8,3,2,60,-5.2026
1973,8,3,3,58,-5.2763
1973,8,3,4,59,-3.3963
1973,8,3,5,30,-4.3642
1973,9,1,1,112,11.5190
1973,9,1,2,87,12.8214
1973,9,1,3,113,8.4595
1973,9,1,4,89,9.3039
1973,9,1,5,114,4.1173
1973,9,2,1,44,9.2891
1973,9,2,2,29,14.0975
1973,9,2,3,37,11.3553
1973,9,2,4,28,8.8471
1973,9,2,5,41,9.2393
1973,9,3,1,86,1.3830
1973,9,3,2,60,6.6910
1973,9,3,3,58,3.3735
1973,9,3,4,59,7.0033
1973,9,3,5,30,4.5708
1973,10,1,1,112,0.2059
1973,10,1,2,87,-4.1037
1973,10,1,3,113,0.0661
1973,10,1,4,88,-4.0059
1973,10,1,5,114,0.5695
1973,10,2,1,44,-1.7247
1973,10,2,2,29,3.2984
1973,10,2,3,37,-0.8243
1973,10,2,4,28,-7.1993
1973,10,2,5,41,-2.4624
1973,10,3,1,85,0.4814
1973,10,3,2,60,0.2157
1973,10,3,3,58,-1.5651
1973,10,3,4,59,-2.9011
1973,10,3,5,30,-4.8158
1973,11,1,1,112,-21.2322
1973,11,1,2,87,-22.2492
1973,11,1,3,113,-22.1856
1973,11,1,4,89,-20.2487
1973,11,1,5,114,-21.5059
1973,11,2,1,44,-19.9347
1973,11,2,2,29,-25.1521
1973,11,2,3,37,-20.1209
1973,11,2,4,28,-21.7630
1973,11,2,5,41,-17.8253
1973,11,3,1,85,-13.1371
1973,11,3,2,60,-10.8574
1973,11,3,3,58,-14.3799
1973,11,3,4,59,-14.7276
1973,11,3,5,30,-12.2347
1973,12,1,1,112,-0.3336
1973,12,1,2,86,-3.3669
1973,12,1,3,113,-4.5052
1973,12,1,4,89,-5.5671
1973,12,1,5,113,-4.8572
1973,12,2,1,44,-1.8947
1973,12,2,2,29,1.1980
1973,12,2,3,37,-2.0132
1973,12,2,4,28,0.5169
1973,12,2,5,41,-4.7780
1973,12,3,1,86,1.4606
1973,12,3,2,60,-2.1023
1973,12,3,3,58,-1.7764
1973,12,3,4,59,-0.2691
1973,12,3,5,30,-4.4405
1974,1,1,1,111,10.8885
1974,1,1,2,86,13.1334
1974,1,1,3,113,12.3557
1974,1,1,4,88,17.9865
1974,1,1,5,113,20.6085
1974,1,2,1,43,5.0663
1974,1,2,2,29,11.7383
1974,1,2,3,37,7.2898
1974,1,2,4,28,9.9515
1974,1,2,5,41,14.4403
1974,1,3,1,86,-2.8440
1974,1,3,2,60,-2.8399
1974,1,3,3,58,3.9154
1974,1,3,4,59,5.7236
1974,1,3,5,30,4.5319
1974,2,1,1,111,1.0692
