year,month,rank_ME,rank_ALAq_1,nstocks,ret_vw
1976,1,1,1,61,24.8767
1976,1,1,2,60,24.3163
1976,1,1,3,83,26.2689
1976,1,1,4,88,21.5125
1976,1,1,5,113,26.0622
1976,1,2,1,41,19.8662
1976,1,2,2,32,18.5505
1976,1,2,3,48,19.8883
1976,1,2,4,48,22.5813
1976,1,2,5,59,19.9443
1976,1,3,1,85,14.6983
1976,1,3,2,79,14.7134
1976,1,3,3,73,11.6334
1976,1,3,4,53,12.6412
1976,1,3,5,68,11.0406
1976,2,1,1,62,13.7490
1976,2,1,2,54,14.6857
1976,2,1,3,84,10.9382
1976,2,1,4,98,16.4113
1976,2,1,5,108,14.1942
1976,2,2,1,49,6.8268
1976,2,2,2,40,8.4388
1976,2,2,3,38,9.5441
1976,2,2,4,58,7.8615
1976,2,2,5,62,8.5981
1976,2,3,1,78,2.5774
1976,2,3,2,85,0.8017
1976,2,3,3,81,-0.7638
1976,2,3,4,65,-0.7015
1976,2,3,5,74,-0.1695
1976,3,1,1,66,0.0532
1976,3,1,2,62,3.5732
1976,3,1,3,95,0.1276
1976,3,1,4,102,2.2836
1976,3,1,5,114,2.2064
1976,3,2,1,49,0.8167
1976,3,2,2,40,3.6367
1976,3,2,3,41,0.1101
1976,3,2,4,51,2.2401
1976,3,2,5,64,2.2981
1976,3,3,1,80,1.1249
1976,3,3,2,89,2.4659
1976,3,3,3,77,4.2057
1976,3,3,4,73,4.3047
1976,3,3,5,68,3.1804
1976,4,1,1,68,0.1980
1976,4,1,2,61,-1.8766
1976,4,1,3,89,-2.2803
1976,4,1,4,108,-1.7056
1976,4,1,5,105,-2.4300
1976,4,2,1,49,1.0544
1976,4,2,2,44,-1.0372
1976,4,2,3,42,-0.0748
1976,4,2,4,55,-1.3454
1976,4,2,5,67,-1.9448
1976,4,3,1,77,-1.6716
1976,4,3,2,88,1.7234
1976,4,3,3,76,0.5667
1976,4,3,4,71,-3.9218
1976,4,3,5,71,-2.1979
1976,5,1,1,79,0.6039
1976,5,1,2,80,-3.5335
1976,5,1,3,93,-1.5760
1976,5,1,4,134,-3.9409
1976,5,1,5,131,-3.9496
1976,5,2,1,57,-1.0807
1976,5,2,2,47,0.1206
1976,5,2,3,54,0.3669
1976,5,2,4,59,-1.3177
1976,5,2,5,67,-2.1579
1976,5,3,1,86,0.2121
1976,5,3,2,91,-0.6552
1976,5,3,3,88,1.6461
1976,5,3,4,76,-1.8922
1976,5,3,5,84,-2.3112
1976,6,1,1,81,3.7369
1976,6,1,2,90,3.4653
1976,6,1,3,85,1.6418
1976,6,1,4,144,4.0337
1976,6,1,5,123,4.8836
1976,6,2,1,62,5.3205
1976,6,2,2,49,4.2851
1976,6,2,3,55,4.8063
1976,6,2,4,57,4.2794
1976,6,2,5,69,4.3454
1976,6,3,1,85,4.5995
1976,6,3,2,91,2.5563
1976,6,3,3,88,4.8295
1976,6,3,4,74,3.2420
1976,6,3,5,89,5.1879
1976,7,1,1,80,2.2537
1976,7,1,2,85,-0.4199
1976,7,1,3,85,0.7629
1976,7,1,4,158,-0.9444
1976,7,1,5,123,-0.1877
1976,7,2,1,71,1.2143
1976,7,2,2,47,-0.7488
1976,7,2,3,57,0.0291
1976,7,2,4,51,-2.3434
1976,7,2,5,75,-0.8788
1976,7,3,1,81,-1.4113
1976,7,3,2,94,-1.1329
1976,7,3,3,85,-0.4285
1976,7,3,4,82,-2.4464
1976,7,3,5,83,-1.6264
