year,month,rank_ME,rank_DLS_1,nstocks,ret_vw
1982,1,1,1,62,-1.5968
1982,1,1,2,34,0.1039
1982,1,1,3,27,-1.5535
1982,1,1,4,33,-2.6318
1982,1,1,5,60,0.6385
1982,1,2,1,83,-2.7437
1982,1,2,2,74,-3.6902
1982,1,2,3,69,-4.0918
1982,1,2,4,60,-2.5298
1982,1,2,5,70,-3.3217
1982,1,3,1,92,-3.3807
1982,1,3,2,117,-2.4607
1982,1,3,3,123,0.7138
1982,1,3,4,116,0.2941
1982,1,3,5,87,-4.1202
1982,2,1,1,64,-5.8305
1982,2,1,2,39,-2.3211
1982,2,1,3,25,-3.8205
1982,2,1,4,42,-1.2987
1982,2,1,5,62,-7.5939
1982,2,2,1,95,-4.1176
1982,2,2,2,74,-4.6279
1982,2,2,3,74,-2.9480
1982,2,2,4,67,-4.2425
1982,2,2,5,74,-6.2981
1982,2,3,1,91,-4.4487
1982,2,3,2,127,-5.2316
1982,2,3,3,135,-4.1622
1982,2,3,4,126,-4.3837
1982,2,3,5,98,-4.5065
1982,3,1,1,71,1.3280
1982,3,1,2,35,1.0182
1982,3,1,3,26,-0.7808
1982,3,1,4,39,1.5279
1982,3,1,5,68,-3.6569
1982,3,2,1,98,0.2676
1982,3,2,2,69,0.6782
1982,3,2,3,68,-0.1849
1982,3,2,4,69,-1.4737
1982,3,2,5,81,-0.9857
1982,3,3,1,80,0.0139
1982,3,3,2,139,-1.2150
1982,3,3,3,140,0.0286
1982,3,3,4,124,-0.0826
1982,3,3,5,95,-2.5226
1982,4,1,1,79,4.8171
1982,4,1,2,35,4.5466
1982,4,1,3,27,6.7124
1982,4,1,4,38,4.2604
1982,4,1,5,55,8.3381
1982,4,2,1,99,6.7979
1982,4,2,2,58,5.5289
1982,4,2,3,76,6.8867
1982,4,2,4,63,5.0045
1982,4,2,5,87,5.1445
1982,4,3,1,76,5.5163
1982,4,3,2,144,4.1753
1982,4,3,3,130,4.3469
1982,4,3,4,129,3.3181
1982,4,3,5,95,4.5085
1982,5,1,1,88,-3.1894
1982,5,1,2,27,-0.9114
1982,5,1,3,31,-1.9630
1982,5,1,4,43,-2.0524
1982,5,1,5,49,-1.5454
1982,5,2,1,99,-4.8694
1982,5,2,2,62,-2.3435
1982,5,2,3,62,-5.2984
1982,5,2,4,63,-1.8493
1982,5,2,5,90,-5.2510
1982,5,3,1,74,-2.0573
1982,5,3,2,138,-2.9430
1982,5,3,3,141,-2.8423
1982,5,3,4,126,-2.7602
1982,5,3,5,94,-2.8772
1982,6,1,1,77,-3.2346
1982,6,1,2,28,-5.3317
1982,6,1,3,38,-2.6279
1982,6,1,4,35,-5.4680
1982,6,1,5,64,-4.7178
1982,6,2,1,104,-2.9672
1982,6,2,2,64,-1.5708
1982,6,2,3,59,-1.2262
1982,6,2,4,73,-2.8614
1982,6,2,5,84,-1.5495
1982,6,3,1,79,-0.2385
1982,6,3,2,147,-0.7771
1982,6,3,3,141,-1.8929
1982,6,3,4,122,-2.0104
1982,6,3,5,88,-2.6960
1982,7,1,1,95,1.1132
1982,7,1,2,29,-0.5478
1982,7,1,3,41,-3.3848
1982,7,1,4,56,-2.3828
1982,7,1,5,82,-2.6253
1982,7,2,1,111,0.8757
1982,7,2,2,82,-0.0083
1982,7,2,3,78,-0.0191
1982,7,2,4,82,-2.9205
1982,7,2,5,90,-2.8761
1982,7,3,1,94,-1.7100
1982,7,3,2,153,1.3312
1982,7,3,3,142,-2.1458
1982,7,3,4,124,-4.7279
1982,7,3,5,93,-3.9365
1982,8,1,1,100,8.0218
1982,8,1,2,30,7.6643
1982,8,1,3,53,9.5380
1982,8,1,4,44,11.7108
1982,8,1,5,88,8.5220
1982,8,2,1,105,9.8412
1982,8,2,2,79,8.6417
1982,8,2,3,82,10.1022
1982,8,2,4,89,13.7590
1982,8,2,5,92,11.9824
1982,8,3,1,101,10.0550
1982,8,3,2,158,11.1671
1982,8,3,3,139,12.9926
1982,8,3,4,126,14.4353
1982,8,3,5,85,16.7317
1982,9,1,1,104,3.8372
1982,9,1,2,37,5.2857
1982,9,1,3,47,7.6178
1982,9,1,4,51,3.3189
1982,9,1,5,105,0.2553
1982,9,2,1,107,3.2766
1982,9,2,2,80,5.5491
1982,9,2,3,95,4.9800
1982,9,2,4,89,1.8981
1982,9,2,5,100,0.1417
1982,9,3,1,105,2.1898
1982,9,3,2,157,1.6777
1982,9,3,3,146,0.9987
1982,9,3,4,120,0.4216
1982,9,3,5,83,-3.0529
1982,10,1,1,105,16.5460
1982,10,1,2,32,15.8467
1982,10,1,3,51,14.7052
1982,10,1,4,54,15.4501
1982,10,1,5,105,9.3638
1982,10,2,1,117,14.1690
1982,10,2,2,86,14.6710
1982,10,2,3,84,13.3163
1982,10,2,4,102,13.2197
1982,10,2,5,100,14.4411
1982,10,3,1,102,12.4660
1982,10,3,2,152,11.3258
1982,10,3,3,152,9.3775
1982,10,3,4,128,11.5956
