year,month,rank_ME,rank_EPRD,nstocks,ret_vw
1967,1,1,1,2,32.7023
1967,1,1,2,9,10.4995
1967,1,1,3,9,24.1762
1967,1,1,4,8,9.3183
1967,1,1,5,15,21.2939
1967,1,2,1,10,10.2630
1967,1,2,2,4,13.7424
1967,1,2,3,16,18.1436
1967,1,2,4,14,18.1858
1967,1,2,5,19,15.0026
1967,1,3,1,61,6.3598
1967,1,3,2,60,6.6599
1967,1,3,3,47,8.7987
1967,1,3,4,51,7.2696
1967,1,3,5,38,14.4868
1967,2,1,1,2,-0.3101
1967,2,1,2,9,9.3862
1967,2,1,3,9,1.0647
1967,2,1,4,8,2.2681
1967,2,1,5,15,9.4218
1967,2,2,1,10,-0.7240
1967,2,2,2,4,-4.1475
1967,2,2,3,16,1.5306
1967,2,2,4,14,0.7148
1967,2,2,5,19,-0.1492
1967,2,3,1,61,2.5094
1967,2,3,2,60,0.7534
1967,2,3,3,47,0.8883
1967,2,3,4,51,0.2550
1967,2,3,5,38,-1.8521
1967,3,1,1,2,6.2118
1967,3,1,2,9,9.4708
1967,3,1,3,9,8.6319
1967,3,1,4,8,4.7414
1967,3,1,5,15,4.2256
1967,3,2,1,10,9.0243
1967,3,2,2,4,10.2823
1967,3,2,3,16,4.8414
1967,3,2,4,14,6.2285
1967,3,2,5,19,3.9764
1967,3,3,1,61,5.4651
1967,3,3,2,60,2.5879
1967,3,3,3,47,3.5622
1967,3,3,4,51,4.7405
1967,3,3,5,38,5.9161
1967,4,1,1,2,7.6871
1967,4,1,2,9,3.7510
1967,4,1,3,9,7.6324
1967,4,1,4,8,2.0041
1967,4,1,5,15,4.3011
1967,4,2,1,10,8.6427
1967,4,2,2,4,9.8740
1967,4,2,3,16,4.6891
1967,4,2,4,14,2.3147
1967,4,2,5,19,3.8273
1967,4,3,1,61,4.9938
1967,4,3,2,60,4.3355
1967,4,3,3,47,6.2504
1967,4,3,4,51,0.7481
1967,4,3,5,38,8.3130
1967,5,1,1,2,2.2379
1967,5,1,2,9,3.4860
1967,5,1,3,9,-0.4918
1967,5,1,4,8,-3.2488
1967,5,1,5,15,0.1411
1967,5,2,1,10,-2.5428
1967,5,2,2,4,2.3789
1967,5,2,3,16,1.9416
1967,5,2,4,14,-5.9685
1967,5,2,5,19,-2.9811
1967,5,3,1,61,-3.7920
1967,5,3,2,60,-5.3345
1967,5,3,3,47,-4.8206
1967,5,3,4,51,-5.1722
1967,5,3,5,38,-5.8996
1967,6,1,1,2,3.8721
1967,6,1,2,9,15.5223
1967,6,1,3,9,10.7514
1967,6,1,4,8,0.8692
1967,6,1,5,15,12.2282
1967,6,2,1,10,3.7676
1967,6,2,2,4,12.8459
1967,6,2,3,16,2.4836
1967,6,2,4,14,7.4636
