year,month,rank_ME,rank_ETL,nstocks,ret_vw
1967,1,1,1,7,14.1145
1967,1,1,2,10,24.4834
1967,1,1,3,2,19.6328
1967,1,1,4,15,11.5065
1967,1,1,5,12,24.4956
1967,1,2,1,17,13.1548
1967,1,2,2,6,11.8694
1967,1,2,3,19,15.0669
1967,1,2,4,14,18.5799
1967,1,2,5,19,14.0157
1967,1,3,1,64,6.2017
1967,1,3,2,72,8.1563
1967,1,3,3,67,6.5377
1967,1,3,4,59,8.8598
1967,1,3,5,57,6.1713
1967,2,1,1,7,1.5716
1967,2,1,2,10,8.2296
1967,2,1,3,2,-1.8796
1967,2,1,4,15,5.1701
1967,2,1,5,12,4.9151
1967,2,2,1,17,0.7549
1967,2,2,2,6,-0.2802
1967,2,2,3,19,-1.3726
1967,2,2,4,14,-0.0045
1967,2,2,5,19,3.4834
1967,2,3,1,64,2.2809
1967,2,3,2,72,1.7965
1967,2,3,3,67,0.8985
1967,2,3,4,59,-1.5207
1967,2,3,5,57,-1.1043
1967,3,1,1,7,6.9302
1967,3,1,2,10,8.2500
1967,3,1,3,2,8.5160
1967,3,1,4,15,7.3925
1967,3,1,5,12,3.5704
1967,3,2,1,17,4.6003
1967,3,2,2,6,2.6649
1967,3,2,3,19,2.5161
1967,3,2,4,14,7.9557
1967,3,2,5,19,5.6491
1967,3,3,1,64,3.4043
1967,3,3,2,72,3.2990
1967,3,3,3,67,4.3861
1967,3,3,4,59,4.7818
1967,3,3,5,57,4.2425
1967,4,1,1,7,9.1577
1967,4,1,2,10,-0.1642
1967,4,1,3,2,4.5151
1967,4,1,4,15,6.0107
1967,4,1,5,12,4.9480
1967,4,2,1,17,3.0357
1967,4,2,2,6,7.2144
1967,4,2,3,19,4.4330
1967,4,2,4,14,2.0148
1967,4,2,5,19,5.6233
1967,4,3,1,64,4.4023
1967,4,3,2,72,5.6045
1967,4,3,3,67,1.3213
1967,4,3,4,59,7.6746
1967,4,3,5,57,3.1311
1967,5,1,1,7,0.5823
1967,5,1,2,10,2.1976
1967,5,1,3,2,-0.8869
1967,5,1,4,15,0.6021
1967,5,1,5,12,1.2690
1967,5,2,1,17,-4.5410
1967,5,2,2,6,-0.7622
1967,5,2,3,19,0.8960
1967,5,2,4,14,-4.2819
1967,5,2,5,19,0.3109
1967,5,3,1,64,-5.0406
1967,5,3,2,72,-3.8250
1967,5,3,3,67,-5.2746
1967,5,3,4,59,-6.0652
1967,5,3,5,57,-3.7438
1967,6,1,1,7,14.4989
1967,6,1,2,10,3.8943
1967,6,1,3,2,1.9579
1967,6,1,4,15,10.3354
1967,6,1,5,12,17.0487
1967,6,2,1,17,3.7512
1967,6,2,2,6,1.3067
1967,6,2,3,19,4.5552
1967,6,2,4,14,5.1224
1967,6,2,5,19,10.9650
1967,6,3,1,64,1.7951
1967,6,3,2,72,2.8137
1967,6,3,3,67,1.6224
1967,6,3,4,59,0.8898
1967,6,3,5,57,2.1179
1967,7,1,1,8,14.2283
1967,7,1,2,7,6.6314
1967,7,1,3,10,12.5642
1967,7,1,4,8,7.7213
1967,7,1,5,11,11.8269
1967,7,2,1,19,8.5897
1967,7,2,2,14,13.2850
1967,7,2,3,20,12.0812
1967,7,2,4,18,7.4372
1967,7,2,5,19,8.2648
1967,7,3,1,63,3.4411
1967,7,3,2,68,4.4912
1967,7,3,3,60,2.3214
1967,7,3,4,64,8.6922
1967,7,3,5,59,5.6314
1967,8,1,1,8,1.2179
1967,8,1,2,7,3.5486
1967,8,1,3,10,1.9655
1967,8,1,4,8,-1.9168
1967,8,1,5,11,1.2938
1967,8,2,1,19,3.6881
1967,8,2,2,14,-1.2262
1967,8,2,3,20,1.6822
1967,8,2,4,18,-1.5061
1967,8,2,5,19,0.5101
1967,8,3,1,63,-1.1163
1967,8,3,2,68,-0.6543
1967,8,3,3,60,-1.2324
1967,8,3,4,64,0.1110
1967,8,3,5,59,-1.1886
1967,9,1,1,8,-1.0173
1967,9,1,2,7,2.4132
1967,9,1,3,10,-1.6472
1967,9,1,4,8,3.6482
1967,9,1,5,11,9.0043
1967,9,2,1,19,1.7236
1967,9,2,2,14,3.0402
1967,9,2,3,20,3.2147
1967,9,2,4,18,0.2804
1967,9,2,5,19,6.7386
1967,9,3,1,63,2.2963
1967,9,3,2,68,4.3432
1967,9,3,3,60,2.5422
1967,9,3,4,64,3.3880
1967,9,3,5,59,4.7212
1967,10,1,1,8,-3.2603
1967,10,1,2,7,-4.6322
1967,10,1,3,10,1.6707
1967,10,1,4,8,-3.4219
1967,10,1,5,11,-6.0123
1967,10,2,1,19,-4.5147
1967,10,2,2,14,1.4031
1967,10,2,3,20,-3.9684
1967,10,2,4,18,-6.6145
1967,10,2,5,19,-3.9031
1967,10,3,1,62,-4.1353
1967,10,3,2,69,0.2499
1967,10,3,3,60,-3.4912
1967,10,3,4,64,-5.8911
1967,10,3,5,59,-2.3078
1967,11,1,1,8,-2.1799
1967,11,1,2,7,4.0246
1967,11,1,3,10,3.6961
1967,11,1,4,8,-4.9942
1967,11,1,5,11,0.5295
1967,11,2,1,19,-2.0578
1967,11,2,2,14,-0.3005
1967,11,2,3,20,1.6536
1967,11,2,4,18,-0.0746
1967,11,2,5,19,-2.4512
1967,11,3,1,63,3.2977
1967,11,3,2,69,1.3669
1967,11,3,3,60,0.0110
1967,11,3,4,64,-1.3804
1967,11,3,5,59,0.2499
1967,12,1,1,8,14.1968
1967,12,1,2,7,12.0007
1967,12,1,3,9,1.8913
1967,12,1,4,8,7.8515
1967,12,1,5,11,4.1589
1967,12,2,1,19,8.8877
1967,12,2,2,14,4.4726
1967,12,2,3,20,5.8870
1967,12,2,4,18,5.9976
1967,12,2,5,19,2.9363
1967,12,3,1,63,2.5610
1967,12,3,2,69,3.2770
1967,12,3,3,60,2.5911
1967,12,3,4,64,2.8499
1967,12,3,5,59,1.9884
1968,1,1,1,8,9.0392
1968,1,1,2,7,1.8715
1968,1,1,3,9,1.1014
1968,1,1,4,8,2.4964
1968,1,1,5,11,-2.1088
1968,1,2,1,19,-0.3969
1968,1,2,2,14,0.9847
1968,1,2,3,20,-2.6257
1968,1,2,4,18,1.2908
1968,1,2,5,19,1.7981
1968,1,3,1,63,-4.8303
1968,1,3,2,69,-4.2252
1968,1,3,3,60,-3.1476
1968,1,3,4,64,-4.6978
1968,1,3,5,59,-2.5068
1968,2,1,1,8,-4.4467
1968,2,1,2,7,-3.0906
1968,2,1,3,9,-4.6919
1968,2,1,4,8,-5.6883
1968,2,1,5,11,-8.5641
1968,2,2,1,19,1.1778
1968,2,2,2,14,-3.3135
1968,2,2,3,20,-8.2626
1968,2,2,4,18,-1.0558
1968,2,2,5,19,-0.3036
1968,2,3,1,63,-2.1147
1968,2,3,2,69,-2.7672
1968,2,3,3,60,-3.1519
1968,2,3,4,64,-2.1279
1968,2,3,5,59,-2.4562
1968,3,1,1,8,-1.9668
1968,3,1,2,7,5.7251
1968,3,1,3,9,-1.0049
1968,3,1,4,8,-3.2282
