year,month,rank_ME,rank_ETR,nstocks,ret_vw
1967,1,1,1,12,20.1556
1967,1,1,2,6,20.9754
1967,1,1,3,2,30.5184
1967,1,1,4,0,
1967,1,1,5,12,17.8425
1967,1,2,1,31,14.5375
1967,1,2,2,18,15.4753
1967,1,2,3,17,12.3278
1967,1,2,4,12,13.2787
1967,1,2,5,29,20.2597
1967,1,3,1,73,10.8984
1967,1,3,2,83,8.6349
1967,1,3,3,88,9.6372
1967,1,3,4,99,4.9522
1967,1,3,5,68,7.7192
1967,2,1,1,12,3.7967
1967,2,1,2,6,2.9962
1967,2,1,3,2,-0.8850
1967,2,1,4,0,
1967,2,1,5,12,3.9128
1967,2,2,1,31,2.2723
1967,2,2,2,18,-2.7990
1967,2,2,3,17,3.2853
1967,2,2,4,12,1.8322
1967,2,2,5,29,1.9989
1967,2,3,1,73,-0.5160
1967,2,3,2,83,2.0407
1967,2,3,3,88,-0.3357
1967,2,3,4,99,1.3704
1967,2,3,5,68,0.0782
1967,3,1,1,12,4.1759
1967,3,1,2,6,2.2580
1967,3,1,3,2,7.7364
1967,3,1,4,0,
1967,3,1,5,12,3.8278
1967,3,2,1,31,10.1312
1967,3,2,2,18,8.1841
1967,3,2,3,17,3.4006
1967,3,2,4,12,5.2422
1967,3,2,5,29,4.2582
1967,3,3,1,73,6.6498
1967,3,3,2,83,5.7020
1967,3,3,3,88,4.3304
1967,3,3,4,99,3.2754
1967,3,3,5,68,2.6270
1967,4,1,1,12,9.6527
1967,4,1,2,6,2.0970
1967,4,1,3,2,10.4111
1967,4,1,4,0,
1967,4,1,5,12,3.3490
1967,4,2,1,31,4.1229
1967,4,2,2,18,3.3204
1967,4,2,3,17,7.9452
1967,4,2,4,12,1.1538
1967,4,2,5,29,2.4814
1967,4,3,1,73,5.6111
1967,4,3,2,83,3.7358
1967,4,3,3,88,6.6501
1967,4,3,4,99,3.1649
1967,4,3,5,68,4.8678
1967,5,1,1,12,2.3928
1967,5,1,2,6,-4.2794
1967,5,1,3,2,6.4133
1967,5,1,4,0,
1967,5,1,5,12,3.2028
1967,5,2,1,31,-0.5258
1967,5,2,2,18,0.3587
1967,5,2,3,17,-3.5997
1967,5,2,4,12,-5.1044
1967,5,2,5,29,-4.3553
1967,5,3,1,73,-3.4441
1967,5,3,2,83,-5.5703
1967,5,3,3,88,-5.6236
1967,5,3,4,99,-4.3670
1967,5,3,5,68,-4.0661
1967,6,1,1,12,7.4037
1967,6,1,2,6,4.9679
1967,6,1,3,2,31.3517
1967,6,1,4,0,
1967,6,1,5,12,11.8067
1967,6,2,1,31,8.5633
1967,6,2,2,18,4.1225
1967,6,2,3,17,3.5691
1967,6,2,4,12,6.5513
1967,6,2,5,29,5.7631
1967,6,3,1,73,2.3714
1967,6,3,2,83,2.0398
1967,6,3,3,88,0.3250
1967,6,3,4,99,1.6881
1967,6,3,5,68,3.4142
1967,7,1,1,21,6.1782
1967,7,1,2,7,14.9378
1967,7,1,3,12,11.9897
1967,7,1,4,12,9.5990
1967,7,1,5,26,8.8078
1967,7,2,1,27,11.0894
1967,7,2,2,32,6.3303
1967,7,2,3,15,9.1059
1967,7,2,4,24,5.3071
1967,7,2,5,32,7.8159
1967,7,3,1,85,6.0249
1967,7,3,2,87,4.7094
1967,7,3,3,99,-0.7594
1967,7,3,4,90,5.5251
1967,7,3,5,76,8.0289
1967,8,1,1,21,1.4699
1967,8,1,2,7,0.6529
1967,8,1,3,12,-0.2712
1967,8,1,4,12,6.0645
1967,8,1,5,26,0.4917
1967,8,2,1,27,1.4019
1967,8,2,2,32,0.1018
1967,8,2,3,15,1.5418
1967,8,2,4,24,-0.1094
1967,8,2,5,32,0.0148
1967,8,3,1,85,-1.2277
1967,8,3,2,86,-2.3755
1967,8,3,3,99,-0.3730
1967,8,3,4,90,-0.3674
1967,8,3,5,76,-0.8124
1967,9,1,1,21,5.9189
1967,9,1,2,7,9.4343
1967,9,1,3,12,3.4859
1967,9,1,4,12,7.6164
1967,9,1,5,26,3.4450
1967,9,2,1,27,4.0751
1967,9,2,2,32,3.8039
1967,9,2,3,15,-1.7436
1967,9,2,4,24,2.7474
1967,9,2,5,32,3.9371
1967,9,3,1,85,3.2525
1967,9,3,2,86,3.6057
1967,9,3,3,99,1.8570
1967,9,3,4,90,4.9559
1967,9,3,5,76,3.3106
1967,10,1,1,21,-1.6402
1967,10,1,2,7,-3.5911
1967,10,1,3,12,-2.8689
1967,10,1,4,12,-3.7509
1967,10,1,5,26,-2.0333
1967,10,2,1,27,-3.1037
1967,10,2,2,32,-4.2418
1967,10,2,3,15,-6.4730
1967,10,2,4,24,-6.2724
1967,10,2,5,32,-4.1895
1967,10,3,1,85,-4.5731
1967,10,3,2,85,-4.0762
1967,10,3,3,99,-2.7149
1967,10,3,4,91,-1.0401
1967,10,3,5,76,-3.1119
1967,11,1,1,21,-2.3759
1967,11,1,2,7,7.3558
1967,11,1,3,12,8.0100
1967,11,1,4,12,1.6492
1967,11,1,5,26,0.3074
1967,11,2,1,27,-0.5597
1967,11,2,2,32,1.2850
1967,11,2,3,15,-2.5335
1967,11,2,4,24,-1.5799
1967,11,2,5,32,1.8343
1967,11,3,1,85,0.4451
1967,11,3,2,86,1.0485
1967,11,3,3,99,1.3777
1967,11,3,4,91,0.9986
1967,11,3,5,76,-0.2655
1967,12,1,1,20,8.8543
1967,12,1,2,7,6.5556
1967,12,1,3,12,0.0156
1967,12,1,4,12,7.2478
1967,12,1,5,26,6.7663
1967,12,2,1,27,3.7750
1967,12,2,2,32,4.5184
1967,12,2,3,15,6.4860
1967,12,2,4,24,3.3851
1967,12,2,5,32,8.3490
1967,12,3,1,85,5.2546
1967,12,3,2,86,2.5776
1967,12,3,3,99,2.4497
1967,12,3,4,91,1.5077
1967,12,3,5,76,3.2516
1968,1,1,1,21,-2.5274
1968,1,1,2,7,2.2023
1968,1,1,3,12,0.6206
1968,1,1,4,12,-0.7159
1968,1,1,5,26,1.8887
1968,1,2,1,27,-0.9126
1968,1,2,2,32,1.0057
1968,1,2,3,15,-0.1069
1968,1,2,4,24,1.7309
1968,1,2,5,32,-1.7333
1968,1,3,1,85,-7.7620
1968,1,3,2,86,-6.6917
1968,1,3,3,99,-1.5398
1968,1,3,4,91,-4.5470
1968,1,3,5,76,-4.0491
1968,2,1,1,21,-7.9382
1968,2,1,2,7,-2.9266
1968,2,1,3,12,0.9510
1968,2,1,4,12,-5.0392
1968,2,1,5,26,-3.1128
1968,2,2,1,27,-1.8042
1968,2,2,2,32,-4.0692
1968,2,2,3,15,-4.0721
1968,2,2,4,23,-2.2311
1968,2,2,5,32,-0.5327
1968,2,3,1,85,-5.0074
1968,2,3,2,86,-3.5164
1968,2,3,3,98,-3.1664
1968,2,3,4,91,-1.9933
1968,2,3,5,76,-2.6538
1968,3,1,1,21,-0.8013
1968,3,1,2,7,2.8659
1968,3,1,3,12,0.9441
1968,3,1,4,12,2.2329
1968,3,1,5,26,1.1831
1968,3,2,1,27,-0.3083
1968,3,2,2,32,0.5373
1968,3,2,3,15,-2.4574
1968,3,2,4,23,-2.1006
1968,3,2,5,32,-3.5714
1968,3,3,1,85,-0.3210
1968,3,3,2,86,1.8725
1968,3,3,3,98,0.1054
1968,3,3,4,91,1.7636
1968,3,3,5,76,-0.4286
1968,4,1,1,21,11.5232
1968,4,1,2,7,15.2815
1968,4,1,3,12,11.4714
1968,4,1,4,12,17.2195
1968,4,1,5,26,16.2343
1968,4,2,1,27,13.1025
1968,4,2,2,32,10.6084
1968,4,2,3,15,9.6115
1968,4,2,4,23,11.1458
1968,4,2,5,32,16.2363
1968,4,3,1,85,11.5975
1968,4,3,2,86,9.3413
1968,4,3,3,98,6.3320
1968,4,3,4,91,10.2943
1968,4,3,5,76,7.7122
1968,5,1,1,21,8.4907
1968,5,1,2,7,12.3540
1968,5,1,3,12,5.7782
1968,5,1,4,12,10.9261
1968,5,1,5,26,8.8582
1968,5,2,1,27,4.3957
1968,5,2,2,32,5.4509
1968,5,2,3,15,3.1240
1968,5,2,4,23,3.4411
1968,5,2,5,32,7.5595
1968,5,3,1,85,4.4544
1968,5,3,2,86,2.9232
1968,5,3,3,98,1.3956
1968,5,3,4,91,1.5261
1968,5,3,5,76,-0.1227
1968,6,1,1,21,2.5633
1968,6,1,2,7,4.8312
1968,6,1,3,12,-3.2420
1968,6,1,4,12,1.1312
1968,6,1,5,26,0.2401
1968,6,2,1,27,3.1183
1968,6,2,2,32,1.5334
1968,6,2,3,15,1.2733
1968,6,2,4,23,3.2810
1968,6,2,5,32,-0.6548
1968,6,3,1,85,0.7240
1968,6,3,2,86,1.7372
1968,6,3,3,98,2.1903
1968,6,3,4,91,0.6582
1968,6,3,5,76,-0.1223
1968,7,1,1,77,-2.2325
1968,7,1,2,32,-1.2290
1968,7,1,3,28,-5.1823
1968,7,1,4,41,-1.9822
1968,7,1,5,80,-5.2774
1968,7,2,1,46,-3.8764
1968,7,2,2,30,-3.9774
1968,7,2,3,42,-1.2216
1968,7,2,4,47,-2.9018
1968,7,2,5,46,-3.1530
1968,7,3,1,82,-1.5686
1968,7,3,2,113,-3.5539
1968,7,3,3,106,-3.6934
1968,7,3,4,88,2.2844
1968,7,3,5,79,-3.6530
1968,8,1,1,77,5.2369
1968,8,1,2,32,5.1033
1968,8,1,3,28,5.2765
1968,8,1,4,41,1.7424
1968,8,1,5,80,5.1304
1968,8,2,1,46,5.2440
1968,8,2,2,30,2.4610
1968,8,2,3,41,4.7006
1968,8,2,4,47,2.5431
1968,8,2,5,46,4.8479
1968,8,3,1,82,1.5901
1968,8,3,2,113,0.0469
1968,8,3,3,106,1.9561
1968,8,3,4,87,2.2796
1968,8,3,5,79,1.6728
1968,9,1,1,77,7.3761
1968,9,1,2,32,5.4243
1968,9,1,3,28,4.5776
1968,9,1,4,41,4.9906
1968,9,1,5,80,7.7882
1968,9,2,1,46,5.8095
1968,9,2,2,30,6.1172
1968,9,2,3,41,6.6438
1968,9,2,4,47,5.5893
1968,9,2,5,46,6.5164
1968,9,3,1,82,5.6882
1968,9,3,2,113,2.0277
1968,9,3,3,106,3.3908
1968,9,3,4,87,4.0603
1968,9,3,5,79,7.7445
1968,10,1,1,77,0.0452
1968,10,1,2,32,3.2492
1968,10,1,3,28,2.7307
1968,10,1,4,41,0.7621
1968,10,1,5,80,2.2407
1968,10,2,1,46,2.3644
1968,10,2,2,30,2.8818
1968,10,2,3,40,2.9052
1968,10,2,4,47,2.7673
1968,10,2,5,46,-1.0971
1968,10,3,1,81,0.2939
1968,10,3,2,113,-1.7361
1968,10,3,3,106,0.1971
1968,10,3,4,87,2.9586
1968,10,3,5,79,3.1072
1968,11,1,1,75,5.3268
1968,11,1,2,32,6.5869
1968,11,1,3,28,5.0440
1968,11,1,4,41,5.4575
1968,11,1,5,80,6.2550
1968,11,2,1,46,8.4958
1968,11,2,2,30,6.2180
1968,11,2,3,41,6.7210
1968,11,2,4,47,8.3499
1968,11,2,5,46,7.5271
1968,11,3,1,81,7.7248
1968,11,3,2,113,7.1515
1968,11,3,3,106,5.7891
1968,11,3,4,87,2.8391
1968,11,3,5,79,4.5727
1968,12,1,1,77,-0.6475
1968,12,1,2,32,0.5671
1968,12,1,3,28,2.4300
1968,12,1,4,41,-0.1345
1968,12,1,5,80,0.2770
1968,12,2,1,46,-1.8944
1968,12,2,2,30,-0.8045
1968,12,2,3,41,-0.6289
1968,12,2,4,47,-0.5042
1968,12,2,5,46,-0.4325
1968,12,3,1,81,-2.1920
1968,12,3,2,113,-4.2010
1968,12,3,3,106,-5.3661
1968,12,3,4,87,-3.8163
1968,12,3,5,79,-2.6620
1969,1,1,1,77,-1.8854
1969,1,1,2,32,-0.4836
1969,1,1,3,28,1.2908
1969,1,1,4,41,-2.0292
1969,1,1,5,80,-1.7054
