year,month,rank_ME,rank_HS,nstocks,ret_vw
1967,1,1,1,35,21.2299
1967,1,1,2,59,19.7545
1967,1,1,3,58,16.7507
1967,1,1,4,55,20.0081
1967,1,1,5,70,20.6727
1967,1,2,1,27,18.9063
1967,1,2,2,39,16.6376
1967,1,2,3,33,16.0528
1967,1,2,4,45,20.7495
1967,1,2,5,34,17.0701
1967,1,3,1,94,4.8440
1967,1,3,2,64,12.5438
1967,1,3,3,73,9.5100
1967,1,3,4,55,13.4191
1967,1,3,5,64,7.0728
1967,2,1,1,35,4.9720
1967,2,1,2,59,5.9591
1967,2,1,3,58,6.6112
1967,2,1,4,55,1.4803
1967,2,1,5,70,5.9619
1967,2,2,1,27,1.0707
1967,2,2,2,39,4.2487
1967,2,2,3,33,0.5008
1967,2,2,4,45,2.3573
1967,2,2,5,34,3.6101
1967,2,3,1,94,-0.3806
1967,2,3,2,64,-0.6119
1967,2,3,3,73,3.8197
1967,2,3,4,55,0.0963
1967,2,3,5,64,2.7993
1967,3,1,1,35,1.1600
1967,3,1,2,59,8.7534
1967,3,1,3,58,6.6294
1967,3,1,4,55,5.8530
1967,3,1,5,70,7.4751
1967,3,2,1,27,7.1507
1967,3,2,2,39,7.7363
1967,3,2,3,33,6.9048
1967,3,2,4,45,4.7583
1967,3,2,5,34,7.4511
1967,3,3,1,94,4.8109
1967,3,3,2,64,7.5966
1967,3,3,3,73,4.9077
1967,3,3,4,55,4.6411
1967,3,3,5,64,3.7486
1967,4,1,1,35,-0.3811
1967,4,1,2,59,9.4288
1967,4,1,3,58,3.6845
1967,4,1,4,55,6.5600
1967,4,1,5,70,3.7450
1967,4,2,1,27,2.3831
1967,4,2,2,39,7.0594
1967,4,2,3,33,5.1300
1967,4,2,4,45,4.2041
1967,4,2,5,34,3.5171
1967,4,3,1,94,2.4394
1967,4,3,2,64,4.0418
1967,4,3,3,73,8.3621
1967,4,3,4,55,9.8181
1967,4,3,5,64,4.5573
1967,5,1,1,35,1.9797
1967,5,1,2,59,0.1765
1967,5,1,3,58,0.4316
1967,5,1,4,55,1.8327
1967,5,1,5,70,1.2739
1967,5,2,1,27,-0.7167
1967,5,2,2,39,-3.9196
1967,5,2,3,33,-2.5638
1967,5,2,4,45,-0.6153
1967,5,2,5,34,-2.2177
1967,5,3,1,94,-3.2998
1967,5,3,2,64,-4.4062
1967,5,3,3,73,-4.5566
1967,5,3,4,55,-5.8764
1967,5,3,5,64,-5.3961
1967,6,1,1,35,11.5536
1967,6,1,2,59,10.1402
1967,6,1,3,58,14.4176
1967,6,1,4,55,14.1194
1967,6,1,5,70,15.9313
1967,6,2,1,27,9.8673
1967,6,2,2,39,10.2408
1967,6,2,3,33,5.1302
1967,6,2,4,45,8.5662
1967,6,2,5,34,7.1462
1967,6,3,1,93,2.8633
1967,6,3,2,64,0.5878
1967,6,3,3,73,4.7489
1967,6,3,4,55,0.5845
1967,6,3,5,64,0.7992
1967,7,1,1,52,11.1703
1967,7,1,2,88,8.9949
1967,7,1,3,68,10.9952
1967,7,1,4,101,8.6128
1967,7,1,5,92,10.0821
1967,7,2,1,43,6.6598
1967,7,2,2,46,7.2599
1967,7,2,3,35,6.5189
1967,7,2,4,54,6.4453
1967,7,2,5,44,8.9268
1967,7,3,1,96,6.3895
1967,7,3,2,74,5.0625
1967,7,3,3,67,6.6156
1967,7,3,4,70,5.6576
1967,7,3,5,75,1.2365
1967,8,1,1,52,-1.5555
1967,8,1,2,88,1.4750
1967,8,1,3,68,1.3483
1967,8,1,4,101,0.0302
1967,8,1,5,92,0.4570
1967,8,2,1,43,0.4085
1967,8,2,2,46,-0.1886
1967,8,2,3,35,0.1169
1967,8,2,4,54,-1.5418
1967,8,2,5,44,2.8243
1967,8,3,1,96,-2.1665
1967,8,3,2,74,0.0968
1967,8,3,3,67,-0.8560
