year,month,rank_ME,rank_IOCA,nstocks,ret_vw
1967,1,1,1,69,14.1772
1967,1,1,2,72,18.2716
1967,1,1,3,69,21.1984
1967,1,1,4,80,21.3906
1967,1,1,5,116,18.0885
1967,1,2,1,51,16.5278
1967,1,2,2,46,18.3615
1967,1,2,3,41,19.2117
1967,1,2,4,37,18.2731
1967,1,2,5,51,14.7073
1967,1,3,1,74,9.8962
1967,1,3,2,82,11.1976
1967,1,3,3,92,6.8515
1967,1,3,4,86,6.5342
1967,1,3,5,72,6.6594
1967,2,1,1,68,4.1094
1967,2,1,2,72,2.0270
1967,2,1,3,69,5.9899
1967,2,1,4,80,8.2016
1967,2,1,5,116,5.4975
1967,2,2,1,51,3.9378
1967,2,2,2,46,1.4932
1967,2,2,3,41,0.9282
1967,2,2,4,37,2.2023
1967,2,2,5,51,3.1998
1967,2,3,1,74,0.8785
1967,2,3,2,82,-0.2533
1967,2,3,3,92,-0.2423
1967,2,3,4,86,2.8218
1967,2,3,5,72,2.0648
1967,3,1,1,69,7.6944
1967,3,1,2,72,6.5101
1967,3,1,3,69,6.6959
1967,3,1,4,80,5.4244
1967,3,1,5,116,7.0787
1967,3,2,1,51,5.3316
1967,3,2,2,46,7.3669
1967,3,2,3,41,7.0891
1967,3,2,4,37,8.4448
1967,3,2,5,51,8.1685
1967,3,3,1,74,4.8761
1967,3,3,2,82,5.3119
1967,3,3,3,92,4.1423
1967,3,3,4,86,3.8261
1967,3,3,5,72,5.9784
1967,4,1,1,69,4.0441
1967,4,1,2,72,4.7411
1967,4,1,3,69,6.1495
1967,4,1,4,80,5.5150
1967,4,1,5,116,3.4530
1967,4,2,1,51,4.5519
1967,4,2,2,46,5.2567
1967,4,2,3,41,3.8127
1967,4,2,4,37,6.7656
1967,4,2,5,51,3.6903
1967,4,3,1,74,3.5961
1967,4,3,2,82,6.1728
1967,4,3,3,92,6.1484
1967,4,3,4,86,4.5961
1967,4,3,5,72,4.4095
1967,5,1,1,69,-1.1648
1967,5,1,2,72,1.3124
1967,5,1,3,69,1.2307
1967,5,1,4,80,0.2122
1967,5,1,5,116,1.4005
1967,5,2,1,51,-1.4755
1967,5,2,2,46,-3.6172
1967,5,2,3,41,-1.9919
1967,5,2,4,37,-2.5941
1967,5,2,5,51,-1.2751
1967,5,3,1,74,-5.4754
1967,5,3,2,82,-4.6213
1967,5,3,3,92,-4.5453
1967,5,3,4,86,-3.6946
1967,5,3,5,72,-3.7971
1967,6,1,1,69,13.6394
1967,6,1,2,72,11.6685
1967,6,1,3,69,13.4736
1967,6,1,4,80,13.6306
1967,6,1,5,116,11.3704
1967,6,2,1,51,10.0526
1967,6,2,2,46,6.2492
1967,6,2,3,41,6.4684
1967,6,2,4,37,9.2732
1967,6,2,5,51,7.1764
1967,6,3,1,74,0.8034
1967,6,3,2,82,1.5607
1967,6,3,3,92,1.2401
1967,6,3,4,85,4.2938
1967,6,3,5,72,3.4008
1967,7,1,1,88,10.0224
1967,7,1,2,110,10.7379
1967,7,1,3,92,8.4719
1967,7,1,4,127,10.1994
1967,7,1,5,158,8.8050
1967,7,2,1,60,9.0705
1967,7,2,2,51,7.7667
1967,7,2,3,54,7.5957
1967,7,2,4,40,6.1578
1967,7,2,5,65,8.8670
1967,7,3,1,86,2.0209
1967,7,3,2,80,6.6307
1967,7,3,3,91,7.9148
1967,7,3,4,92,5.0415
1967,7,3,5,73,5.7569
1967,8,1,1,88,2.5280
1967,8,1,2,110,-1.2331
1967,8,1,3,92,2.4201
1967,8,1,4,127,-0.0498
1967,8,1,5,158,0.1746
1967,8,2,1,60,-1.2827
1967,8,2,2,51,2.6817
1967,8,2,3,54,0.0630
1967,8,2,4,40,-0.9434
1967,8,2,5,65,-0.3944
1967,8,3,1,86,-0.5508
1967,8,3,2,80,-0.3588
1967,8,3,3,91,-1.1656
1967,8,3,4,92,-1.1607
1967,8,3,5,72,-0.2893
1967,9,1,1,88,9.0746
1967,9,1,2,110,7.7261
1967,9,1,3,92,10.3816
1967,9,1,4,127,7.4181
1967,9,1,5,157,8.8691
1967,9,2,1,60,2.4605
1967,9,2,2,51,3.8971
1967,9,2,3,54,3.4290
1967,9,2,4,40,6.9770
1967,9,2,5,65,5.7284
1967,9,3,1,86,3.9409
1967,9,3,2,80,3.5468
1967,9,3,3,91,1.4513
1967,9,3,4,92,5.9056
1967,9,3,5,72,2.5249
1967,10,1,1,88,-0.6951
1967,10,1,2,110,-3.2245
1967,10,1,3,92,-2.3391
1967,10,1,4,127,-0.0529
1967,10,1,5,158,-1.4792
1967,10,2,1,60,-3.1038
1967,10,2,2,51,-5.2532
1967,10,2,3,53,-3.6733
1967,10,2,4,40,-3.1759
1967,10,2,5,65,-2.2119
1967,10,3,1,86,-2.4164
1967,10,3,2,80,-5.4476
1967,10,3,3,91,-3.2362
1967,10,3,4,92,0.9743
1967,10,3,5,72,-3.1155
1967,11,1,1,88,1.9925
1967,11,1,2,110,-1.2455
1967,11,1,3,92,0.3363
1967,11,1,4,127,-1.2169
1967,11,1,5,158,0.7709
1967,11,2,1,59,-0.1661
1967,11,2,2,51,1.4034
1967,11,2,3,53,1.8565
1967,11,2,4,40,0.6165
1967,11,2,5,65,0.4857
1967,11,3,1,86,0.0788
1967,11,3,2,80,-1.2753
1967,11,3,3,91,-0.1327
1967,11,3,4,92,1.1696
1967,11,3,5,72,2.4203
1967,12,1,1,87,8.0843
1967,12,1,2,109,10.1364
1967,12,1,3,92,9.7639
1967,12,1,4,127,7.9200
1967,12,1,5,158,11.4862
1967,12,2,1,59,5.8320
1967,12,2,2,51,7.7404
1967,12,2,3,53,8.4243
1967,12,2,4,40,7.1697
1967,12,2,5,65,4.7663
1967,12,3,1,86,2.5217
1967,12,3,2,80,3.2361
1967,12,3,3,91,1.8563
1967,12,3,4,92,2.9202
1967,12,3,5,72,2.7751
1968,1,1,1,87,3.6207
1968,1,1,2,110,2.6063
1968,1,1,3,91,2.7396
1968,1,1,4,127,2.8330
1968,1,1,5,158,3.1223
1968,1,2,1,59,0.8891
1968,1,2,2,51,-1.2099
1968,1,2,3,53,-2.3139
1968,1,2,4,40,-1.1373
1968,1,2,5,65,-1.3194
1968,1,3,1,86,-3.3773
1968,1,3,2,80,-4.6443
1968,1,3,3,91,-8.6212
1968,1,3,4,92,-4.3540
1968,1,3,5,72,-5.0114
1968,2,1,1,87,-8.7135
1968,2,1,2,110,-7.5784
1968,2,1,3,91,-6.7400
1968,2,1,4,126,-7.0489
1968,2,1,5,157,-5.6825
1968,2,2,1,59,-5.5764
1968,2,2,2,50,-4.8968
1968,2,2,3,53,-4.7644
1968,2,2,4,40,-5.0314
1968,2,2,5,65,-5.3159
1968,2,3,1,86,-3.5162
1968,2,3,2,80,-3.0782
1968,2,3,3,90,-3.9931
1968,2,3,4,92,-2.2387
1968,2,3,5,72,-3.2730
1968,3,1,1,87,-1.3979
1968,3,1,2,110,-0.9583
1968,3,1,3,91,-2.1348
1968,3,1,4,126,-0.4186
1968,3,1,5,158,-0.6685
1968,3,2,1,59,-0.9101
1968,3,2,2,50,-0.8262
1968,3,2,3,53,-2.9806
1968,3,2,4,40,0.6632
1968,3,2,5,65,-0.9872
1968,3,3,1,86,0.2312
1968,3,3,2,80,0.4126
1968,3,3,3,90,2.3289
1968,3,3,4,92,2.8675
1968,3,3,5,72,0.3049
1968,4,1,1,87,16.6940
1968,4,1,2,109,16.7074
1968,4,1,3,91,17.5180
1968,4,1,4,126,16.6935
1968,4,1,5,158,21.3215
1968,4,2,1,59,10.5818
1968,4,2,2,50,16.7406
1968,4,2,3,53,15.5693
1968,4,2,4,40,15.4431
1968,4,2,5,65,13.7161
1968,4,3,1,86,7.8122
1968,4,3,2,80,10.8328
1968,4,3,3,90,10.5003
1968,4,3,4,92,9.0781
1968,4,3,5,72,10.4864
1968,5,1,1,87,9.7330
1968,5,1,2,109,12.3448
1968,5,1,3,90,11.7907
1968,5,1,4,126,13.4387
1968,5,1,5,158,11.0232
1968,5,2,1,59,8.5356
1968,5,2,2,50,6.0926
1968,5,2,3,53,9.4992
1968,5,2,4,40,9.1391
1968,5,2,5,65,7.1999
1968,5,3,1,86,1.2810
1968,5,3,2,80,1.9111
1968,5,3,3,90,1.2934
1968,5,3,4,92,2.2621
1968,5,3,5,72,2.8176
1968,6,1,1,87,1.8380
1968,6,1,2,109,0.6886
1968,6,1,3,90,-0.0031
1968,6,1,4,126,0.7013
1968,6,1,5,158,-2.3196
1968,6,2,1,59,-0.0391
1968,6,2,2,50,1.0245
1968,6,2,3,53,-2.0045
1968,6,2,4,40,-3.0188
1968,6,2,5,64,1.0424
1968,6,3,1,86,0.6289
1968,6,3,2,80,0.1919
1968,6,3,3,90,-1.0283
1968,6,3,4,92,0.4933
1968,6,3,5,72,0.7426
1968,7,1,1,94,-2.4221
1968,7,1,2,90,-4.3493
1968,7,1,3,125,-4.6060
1968,7,1,4,139,-3.3494
1968,7,1,5,183,-2.5023
1968,7,2,1,65,-5.9915
1968,7,2,2,58,-2.4680
1968,7,2,3,54,-4.1345
1968,7,2,4,48,-6.6384
1968,7,2,5,67,-2.9413
1968,7,3,1,88,-1.7084
1968,7,3,2,85,-4.4157
1968,7,3,3,85,-2.5636
1968,7,3,4,94,-1.0045
1968,7,3,5,69,-2.6394
1968,8,1,1,94,4.8965
1968,8,1,2,90,4.3004
1968,8,1,3,125,4.4224
1968,8,1,4,139,3.9942
1968,8,1,5,183,5.2482
1968,8,2,1,65,3.9209
1968,8,2,2,57,3.9176
1968,8,2,3,54,6.0814
1968,8,2,4,48,3.9346
1968,8,2,5,67,3.5837
1968,8,3,1,87,1.8600
1968,8,3,2,85,1.7437
1968,8,3,3,85,2.0503
1968,8,3,4,94,1.2463
1968,8,3,5,69,0.8712
1968,9,1,1,94,9.3308
1968,9,1,2,90,8.5173
1968,9,1,3,125,6.3188
1968,9,1,4,139,6.2595
1968,9,1,5,182,8.1353
1968,9,2,1,65,6.7131
1968,9,2,2,57,7.4144
1968,9,2,3,54,6.2036
1968,9,2,4,48,6.5199
1968,9,2,5,67,8.4348
1968,9,3,1,87,4.7611
1968,9,3,2,85,5.6181
1968,9,3,3,85,6.0476
1968,9,3,4,94,1.7271
1968,9,3,5,69,4.9232
1968,10,1,1,94,-1.2304
1968,10,1,2,90,0.1821
1968,10,1,3,125,0.6038
1968,10,1,4,139,1.6583
1968,10,1,5,182,0.2840
1968,10,2,1,65,1.5119
1968,10,2,2,57,-0.6526
1968,10,2,3,54,1.4227
1968,10,2,4,48,0.9587
1968,10,2,5,66,0.6512
1968,10,3,1,87,2.3215
1968,10,3,2,85,0.4427
1968,10,3,3,85,0.7362
1968,10,3,4,94,-0.4596
1968,10,3,5,68,0.4818
1968,11,1,1,94,7.1588
1968,11,1,2,90,5.3975
1968,11,1,3,123,7.1295
1968,11,1,4,139,8.3088
1968,11,1,5,182,6.9514
1968,11,2,1,65,7.1398
1968,11,2,2,57,6.4094
1968,11,2,3,54,9.2887
1968,11,2,4,48,7.8838
1968,11,2,5,67,8.1846
1968,11,3,1,87,3.1553
1968,11,3,2,85,4.3428
1968,11,3,3,85,7.1792
1968,11,3,4,94,5.9790
1968,11,3,5,68,7.4051
1968,12,1,1,94,2.8845
1968,12,1,2,90,0.3536
1968,12,1,3,125,1.5751
1968,12,1,4,139,4.3560
1968,12,1,5,181,1.0392
1968,12,2,1,65,0.0225
1968,12,2,2,57,-1.9999
1968,12,2,3,54,-1.7398
1968,12,2,4,48,-2.5404
1968,12,2,5,67,0.1231
1968,12,3,1,87,-4.7539
1968,12,3,2,85,-3.3344
1968,12,3,3,85,-3.9759
1968,12,3,4,94,-4.0674
1968,12,3,5,68,-3.8490
1969,1,1,1,94,-2.2712
1969,1,1,2,90,-0.5768
1969,1,1,3,125,-3.0459
1969,1,1,4,139,0.6095
1969,1,1,5,181,-2.1614
1969,1,2,1,65,-1.3973
1969,1,2,2,57,-0.5899
1969,1,2,3,54,-1.9106
1969,1,2,4,48,-2.4600
1969,1,2,5,67,-3.0068
1969,1,3,1,86,0.1299
1969,1,3,2,85,-0.5501
1969,1,3,3,85,-1.1801
1969,1,3,4,94,-2.4987
1969,1,3,5,68,-1.6740
1969,2,1,1,94,-10.5847
1969,2,1,2,90,-8.3886
1969,2,1,3,125,-11.2586
1969,2,1,4,139,-10.4301
1969,2,1,5,179,-9.7169
1969,2,2,1,65,-9.7735
1969,2,2,2,57,-8.3152
1969,2,2,3,54,-8.1551
1969,2,2,4,48,-7.7131
1969,2,2,5,67,-7.8772
1969,2,3,1,86,-3.9817
1969,2,3,2,85,-5.2025
1969,2,3,3,85,-6.4293
1969,2,3,4,94,-3.5012
1969,2,3,5,68,-4.2080
1969,3,1,1,94,1.4592
1969,3,1,2,90,1.4696
1969,3,1,3,125,3.6598
1969,3,1,4,139,3.6701
1969,3,1,5,178,2.8077
1969,3,2,1,65,3.1850
1969,3,2,2,57,2.4309
1969,3,2,3,54,2.8385
1969,3,2,4,48,2.3407
1969,3,2,5,67,4.1487
1969,3,3,1,86,2.2556
