year,month,rank_ME,rank_OL,nstocks,ret_vw
1967,1,1,1,51,16.9717
1967,1,1,2,55,19.1498
1967,1,1,3,70,18.4610
1967,1,1,4,79,16.3310
1967,1,1,5,157,21.0282
1967,1,2,1,44,15.8885
1967,1,2,2,27,19.4476
1967,1,2,3,45,17.9548
1967,1,2,4,60,17.8829
1967,1,2,5,50,15.9602
1967,1,3,1,94,6.8286
1967,1,3,2,100,8.8925
1967,1,3,3,77,8.2568
1967,1,3,4,69,11.4119
1967,1,3,5,69,9.5736
1967,2,1,1,50,3.5863
1967,2,1,2,55,5.7589
1967,2,1,3,70,7.8183
1967,2,1,4,79,5.7580
1967,2,1,5,157,3.8161
1967,2,2,1,44,2.8704
1967,2,2,2,27,2.5523
1967,2,2,3,45,1.0693
1967,2,2,4,60,3.2992
1967,2,2,5,50,2.0309
1967,2,3,1,94,1.3057
1967,2,3,2,100,0.8817
1967,2,3,3,77,0.4825
1967,2,3,4,69,0.7700
1967,2,3,5,69,2.8539
1967,3,1,1,51,11.7348
1967,3,1,2,55,6.6482
1967,3,1,3,70,6.6474
1967,3,1,4,79,5.7323
1967,3,1,5,157,6.1488
1967,3,2,1,44,7.3187
1967,3,2,2,27,6.5034
1967,3,2,3,45,8.8824
1967,3,2,4,60,8.4895
1967,3,2,5,50,4.4321
1967,3,3,1,94,4.4520
1967,3,3,2,100,4.5853
1967,3,3,3,77,5.3898
1967,3,3,4,69,5.1393
1967,3,3,5,69,3.7138
1967,4,1,1,51,3.2139
1967,4,1,2,55,5.3082
1967,4,1,3,70,6.8141
1967,4,1,4,79,5.1628
1967,4,1,5,157,3.6974
1967,4,2,1,44,3.6622
1967,4,2,2,27,9.0990
1967,4,2,3,45,3.4186
1967,4,2,4,60,4.8104
1967,4,2,5,50,4.3830
1967,4,3,1,94,2.9352
1967,4,3,2,100,3.3037
1967,4,3,3,77,7.7233
1967,4,3,4,69,8.6740
1967,4,3,5,69,5.1854
1967,5,1,1,51,0.3025
1967,5,1,2,55,0.6888
1967,5,1,3,70,1.3146
1967,5,1,4,79,-0.3314
1967,5,1,5,157,0.4584
1967,5,2,1,44,-2.5505
1967,5,2,2,27,-5.2709
1967,5,2,3,45,-1.6483
1967,5,2,4,60,-2.5293
1967,5,2,5,50,0.2268
1967,5,3,1,94,-3.9824
1967,5,3,2,100,-4.6344
1967,5,3,3,77,-4.9364
1967,5,3,4,69,-5.9662
1967,5,3,5,69,-3.6749
1967,6,1,1,51,12.1368
1967,6,1,2,55,14.4750
1967,6,1,3,70,15.9828
1967,6,1,4,79,9.4864
1967,6,1,5,157,11.7861
1967,6,2,1,44,7.2127
1967,6,2,2,27,8.0841
1967,6,2,3,45,6.0912
1967,6,2,4,60,9.4513
1967,6,2,5,50,7.8963
1967,6,3,1,94,2.2636
1967,6,3,2,100,1.3023
1967,6,3,3,77,2.7876
1967,6,3,4,68,0.6756
1967,6,3,5,69,5.7411
1967,7,1,1,72,11.3921
1967,7,1,2,67,10.7545
1967,7,1,3,82,9.5317
1967,7,1,4,131,8.7867
1967,7,1,5,229,9.2365
1967,7,2,1,47,8.4630
1967,7,2,2,46,6.5250
1967,7,2,3,56,8.8840
1967,7,2,4,63,8.2275
1967,7,2,5,61,8.2085
1967,7,3,1,109,2.6601
1967,7,3,2,97,6.5127
1967,7,3,3,89,6.4511
1967,7,3,4,65,8.4488
1967,7,3,5,64,6.2881
1967,8,1,1,72,1.6707
1967,8,1,2,67,1.5091
1967,8,1,3,82,-0.9708
1967,8,1,4,131,1.1074
1967,8,1,5,229,-0.1548
1967,8,2,1,47,-0.2717
1967,8,2,2,46,0.7551
1967,8,2,3,56,-0.7476
1967,8,2,4,63,0.4067
1967,8,2,5,61,0.1241
1967,8,3,1,109,-1.1026
1967,8,3,2,97,-0.7507
1967,8,3,3,89,-0.3646
1967,8,3,4,65,-0.5532
1967,8,3,5,63,0.2487
1967,9,1,1,72,7.1074
1967,9,1,2,66,9.8108
1967,9,1,3,82,7.7309
1967,9,1,4,131,8.7346
1967,9,1,5,228,8.9705
1967,9,2,1,47,2.0863
1967,9,2,2,46,5.1894
1967,9,2,3,56,4.6337
1967,9,2,4,63,4.6075
1967,9,2,5,61,5.3857
1967,9,3,1,109,4.0384
1967,9,3,2,97,3.0235
1967,9,3,3,89,3.5485
1967,9,3,4,65,4.8203
1967,9,3,5,63,4.0533
1967,10,1,1,72,-3.7916
1967,10,1,2,66,0.2797
1967,10,1,3,82,1.7675
1967,10,1,4,131,-2.2658
1967,10,1,5,229,-2.1211
1967,10,2,1,47,-4.6968
1967,10,2,2,45,-6.7977
1967,10,2,3,56,-7.4389
1967,10,2,4,63,-3.4874
1967,10,2,5,61,2.7212
1967,10,3,1,109,-1.0903
1967,10,3,2,97,-3.4211
1967,10,3,3,89,-3.7520
1967,10,3,4,65,-1.9321
1967,10,3,5,63,-2.3559
1967,11,1,1,72,1.4713
1967,11,1,2,66,-0.1880
1967,11,1,3,82,-3.0160
1967,11,1,4,131,0.7853
1967,11,1,5,229,0.3827
1967,11,2,1,47,1.6163
1967,11,2,2,44,0.5505
1967,11,2,3,56,0.4210
1967,11,2,4,63,1.0027
1967,11,2,5,61,0.4248
1967,11,3,1,109,0.4912
1967,11,3,2,97,0.4805
1967,11,3,3,89,1.0941
1967,11,3,4,65,-1.6815
1967,11,3,5,63,1.2466
1967,12,1,1,71,11.8785
1967,12,1,2,65,7.6033
1967,12,1,3,82,8.9128
1967,12,1,4,131,8.5143
1967,12,1,5,229,10.3915
1967,12,2,1,47,7.4546
1967,12,2,2,44,6.5402
1967,12,2,3,56,5.4646
1967,12,2,4,63,7.4266
1967,12,2,5,61,6.0282
1967,12,3,1,109,2.8466
1967,12,3,2,97,2.8665
1967,12,3,3,89,3.2675
1967,12,3,4,65,0.6503
1967,12,3,5,63,2.3514
1968,1,1,1,72,4.0195
1968,1,1,2,65,3.5776
1968,1,1,3,81,1.1837
1968,1,1,4,131,0.5000
1968,1,1,5,229,4.9709
1968,1,2,1,47,0.2973
