year,month,rank_ME,rank_OLq_12,nstocks,ret_vw
1973,1,1,1,26,0.9931
1973,1,1,2,19,-3.5033
1973,1,1,3,26,-6.2186
1973,1,1,4,22,-0.5824
1973,1,1,5,41,-6.1810
1973,1,2,1,7,-9.9058
1973,1,2,2,8,-7.6125
1973,1,2,3,10,-6.4974
1973,1,2,4,13,-8.0416
1973,1,2,5,13,-7.4147
1973,1,3,1,12,-10.0755
1973,1,3,2,18,-3.7523
1973,1,3,3,10,-4.1085
1973,1,3,4,10,-6.8592
1973,1,3,5,10,-1.5789
1973,2,1,1,33,-11.4429
1973,2,1,2,34,-10.6423
1973,2,1,3,33,-9.7905
1973,2,1,4,36,-12.7938
1973,2,1,5,65,-9.0526
1973,2,2,1,13,-7.0345
1973,2,2,2,13,-12.9608
1973,2,2,3,15,-9.5596
1973,2,2,4,19,-8.3628
1973,2,2,5,17,-9.0559
1973,2,3,1,18,-6.5837
1973,2,3,2,26,-7.6865
1973,2,3,3,19,-3.3416
1973,2,3,4,16,-5.6244
1973,2,3,5,15,-7.0927
1973,3,1,1,37,-1.1184
1973,3,1,2,40,-5.3044
1973,3,1,3,39,-2.5028
1973,3,1,4,47,-3.2865
1973,3,1,5,79,-1.7185
1973,3,2,1,14,-3.9450
1973,3,2,2,16,-2.7487
1973,3,2,3,19,-6.3839
1973,3,2,4,20,-1.7095
1973,3,2,5,22,-6.7363
1973,3,3,1,23,-3.4619
1973,3,3,2,31,-2.6288
1973,3,3,3,23,-4.5240
1973,3,3,4,17,-4.5250
1973,3,3,5,19,-3.4439
1973,4,1,1,44,-6.9563
1973,4,1,2,46,-10.7325
1973,4,1,3,45,-10.2372
1973,4,1,4,54,-11.4920
1973,4,1,5,92,-8.8213
1973,4,2,1,16,-15.1856
1973,4,2,2,17,-10.1622
1973,4,2,3,23,-9.8986
1973,4,2,4,21,-1.2296
1973,4,2,5,25,-10.5506
1973,4,3,1,23,-4.6438
1973,4,3,2,35,-9.3540
1973,4,3,3,23,-6.3959
1973,4,3,4,21,-8.7517
1973,4,3,5,21,-8.5038
1973,5,1,1,88,-11.6247
1973,5,1,2,130,-10.8213
1973,5,1,3,114,-9.4235
1973,5,1,4,178,-11.7662
1973,5,1,5,250,-11.1030
1973,5,2,1,75,-8.6419
1973,5,2,2,58,-10.1542
1973,5,2,3,71,-11.7030
1973,5,2,4,70,-7.7518
1973,5,2,5,84,-8.4931
1973,5,3,1,138,-4.9835
1973,5,3,2,119,-1.7583
1973,5,3,3,95,-2.0888
1973,5,3,4,79,-3.9175
1973,5,3,5,66,-3.9711
1973,6,1,1,101,-3.8784
1973,6,1,2,150,-4.8934
1973,6,1,3,138,-4.9257
1973,6,1,4,201,-4.3143
1973,6,1,5,289,-2.6915
1973,6,2,1,81,-6.2580
1973,6,2,2,66,-6.4303
1973,6,2,3,78,-4.8672
1973,6,2,4,82,-2.7457
1973,6,2,5,99,-6.0304
1973,6,3,1,143,0.1625
1973,6,3,2,129,-1.9965
1973,6,3,3,106,-2.6196
1973,6,3,4,90,-4.2033
1973,6,3,5,83,-5.9225
1973,7,1,1,102,10.7866
1973,7,1,2,157,16.6487
1973,7,1,3,143,15.7686
1973,7,1,4,214,14.6808
1973,7,1,5,303,14.5525
1973,7,2,1,83,13.2962
1973,7,2,2,72,17.3107
1973,7,2,3,83,16.3533
1973,7,2,4,85,10.6672
1973,7,2,5,108,10.3330
1973,7,3,1,146,7.5985
1973,7,3,2,134,9.6727
1973,7,3,3,109,9.7497
1973,7,3,4,93,9.6096
1973,7,3,5,90,13.4311
1973,8,1,1,134,-4.8457
1973,8,1,2,179,-5.9404
1973,8,1,3,167,-6.6287
1973,8,1,4,239,-7.9382
1973,8,1,5,307,-6.4965
1973,8,2,1,96,-4.0550
1973,8,2,2,83,-4.2628
1973,8,2,3,90,-5.0216
1973,8,2,4,97,-2.5952
1973,8,2,5,110,-2.6287
1973,8,3,1,156,-2.4512
1973,8,3,2,142,-2.7847
1973,8,3,3,119,-2.2830
1973,8,3,4,103,-4.3201
1973,8,3,5,91,-2.4862
1973,9,1,1,141,13.4592
1973,9,1,2,198,10.2773
1973,9,1,3,182,10.4019
1973,9,1,4,260,8.3680
1973,9,1,5,316,7.5683
1973,9,2,1,99,11.7631
1973,9,2,2,89,15.1195
1973,9,2,3,97,13.0601
1973,9,2,4,101,8.6867
1973,9,2,5,114,9.1221
1973,9,3,1,161,8.5731
1973,9,3,2,143,2.8084
1973,9,3,3,124,7.3574
1973,9,3,4,109,7.7452
1973,9,3,5,92,8.8178
1973,10,1,1,149,3.5755
1973,10,1,2,202,2.9073
1973,10,1,3,185,-0.5221
1973,10,1,4,270,-1.5340
1973,10,1,5,331,-1.0115
1973,10,2,1,105,4.1915
1973,10,2,2,91,-0.3698
1973,10,2,3,99,-2.5070
1973,10,2,4,104,-1.0043
1973,10,2,5,120,-2.6458
1973,10,3,1,161,2.0736
1973,10,3,2,144,-0.9902
1973,10,3,3,124,0.4112
1973,10,3,4,114,-2.2885
1973,10,3,5,94,-3.4838
1973,11,1,1,165,-15.0355
1973,11,1,2,212,-22.4898
1973,11,1,3,193,-22.8910
1973,11,1,4,287,-22.8536
1973,11,1,5,341,-20.6844
1973,11,2,1,112,-17.7626
1973,11,2,2,98,-20.1570
1973,11,2,3,105,-22.1468
1973,11,2,4,107,-22.1279
1973,11,2,5,125,-18.9239
1973,11,3,1,167,-11.4432
1973,11,3,2,148,-14.4169
1973,11,3,3,128,-16.1960
1973,11,3,4,116,-18.9254
1973,11,3,5,95,-16.6052
1973,12,1,1,169,-2.4113
1973,12,1,2,217,-4.8858
1973,12,1,3,200,-5.9737
1973,12,1,4,292,-4.9426
1973,12,1,5,343,-4.5407
1973,12,2,1,117,3.0303
1973,12,2,2,102,-3.1067
1973,12,2,3,107,-3.7939
1973,12,2,4,111,-1.6405
1973,12,2,5,126,-3.4211
1973,12,3,1,170,4.0950
1973,12,3,2,150,-1.1876
1973,12,3,3,130,-1.0507
1973,12,3,4,116,0.1245
1973,12,3,5,96,0.3032
1974,1,1,1,169,14.1167
1974,1,1,2,223,16.4029
1974,1,1,3,197,16.0242
1974,1,1,4,287,17.0775
1974,1,1,5,346,16.0919
1974,1,2,1,120,4.6781
1974,1,2,2,102,9.4578
1974,1,2,3,106,11.2578
1974,1,2,4,109,11.6069
1974,1,2,5,125,11.0697
1974,1,3,1,176,-1.7399
1974,1,3,2,146,1.7752
1974,1,3,3,132,1.3680
1974,1,3,4,113,2.8598
1974,1,3,5,95,5.9435
1974,2,1,1,170,-2.4836
1974,2,1,2,234,-0.0873
1974,2,1,3,208,-2.4820
1974,2,1,4,298,-2.1656
1974,2,1,5,353,-0.0063
1974,2,2,1,121,-0.8869
1974,2,2,2,106,-0.5451
1974,2,2,3,112,-1.8024
1974,2,2,4,113,0.5736
1974,2,2,5,128,2.5047
1974,2,3,1,179,0.4195
1974,2,3,2,147,-0.0960
1974,2,3,3,134,-1.4308
1974,2,3,4,117,-0.9175
1974,2,3,5,95,-0.1903
1974,3,1,1,170,0.5190
1974,3,1,2,234,-2.2406
1974,3,1,3,212,1.7854
1974,3,1,4,303,3.0370
1974,3,1,5,353,2.6180
1974,3,2,1,122,-1.2258
1974,3,2,2,105,-2.1437
1974,3,2,3,113,-2.2252
1974,3,2,4,113,0.4697
1974,3,2,5,126,-0.5918
1974,3,3,1,179,-3.2259
1974,3,3,2,146,-1.7794
1974,3,3,3,134,0.0895
1974,3,3,4,117,-2.3583
1974,3,3,5,95,0.3458
1974,4,1,1,166,-8.7341
1974,4,1,2,235,-5.3319
1974,4,1,3,215,-4.7540
1974,4,1,4,296,-5.2926
1974,4,1,5,355,-5.0157
1974,4,2,1,122,-7.0904
1974,4,2,2,103,-4.3167
1974,4,2,3,109,-6.6281
1974,4,2,4,113,-3.3129
1974,4,2,5,125,-5.7625
1974,4,3,1,180,-4.9063
1974,4,3,2,145,-3.8557
1974,4,3,3,128,-2.5369
1974,4,3,4,117,-3.1598
1974,4,3,5,94,-3.9189
1974,5,1,1,174,-8.5640
1974,5,1,2,251,-8.2040
1974,5,1,3,245,-6.3815
1974,5,1,4,324,-7.7696
1974,5,1,5,398,-8.3172
1974,5,2,1,140,-8.7500
1974,5,2,2,123,-6.1022
1974,5,2,3,119,-6.4594
1974,5,2,4,129,-7.3412
1974,5,2,5,141,-7.5659
1974,5,3,1,198,-8.1111
1974,5,3,2,164,-1.0409
1974,5,3,3,150,-1.2915
1974,5,3,4,126,-4.2730
1974,5,3,5,100,-3.6964
1974,6,1,1,171,-5.2612
1974,6,1,2,253,-2.8091
1974,6,1,3,256,-4.2053
1974,6,1,4,335,-0.9460
1974,6,1,5,396,-2.7246
1974,6,2,1,143,-5.3717
1974,6,2,2,122,-2.3182
1974,6,2,3,122,-3.5717
1974,6,2,4,137,-1.9012
