year,month,rank_ME,rank_r10n,nstocks,ret_vw
1967,1,1,1,46,23.0488
1967,1,1,2,27,20.2212
1967,1,1,3,27,12.0909
1967,1,1,4,16,19.0779
1967,1,1,5,18,15.6248
1967,1,2,1,50,16.5491
1967,1,2,2,43,16.8628
1967,1,2,3,29,12.3813
1967,1,2,4,35,13.9602
1967,1,2,5,26,15.2077
1967,1,3,1,57,11.4890
1967,1,3,2,80,7.4370
1967,1,3,3,95,8.5478
1967,1,3,4,99,5.7360
1967,1,3,5,105,7.8711
1967,2,1,1,41,2.8365
1967,2,1,2,20,-1.3812
1967,2,1,3,30,4.9107
1967,2,1,4,22,3.1211
1967,2,1,5,22,4.4021
1967,2,2,1,44,2.7809
1967,2,2,2,49,2.5716
1967,2,2,3,32,-0.8868
1967,2,2,4,30,1.1890
1967,2,2,5,33,0.0545
1967,2,3,1,69,-1.8585
1967,2,3,2,81,-1.3681
1967,2,3,3,87,-0.5716
1967,2,3,4,100,1.5634
1967,2,3,5,94,3.1926
1967,3,1,1,43,7.6655
1967,3,1,2,22,10.1109
1967,3,1,3,30,6.7072
1967,3,1,4,18,4.5698
1967,3,1,5,23,5.7743
1967,3,2,1,43,5.4663
1967,3,2,2,49,4.7484
1967,3,2,3,39,5.2728
1967,3,2,4,29,4.5048
1967,3,2,5,30,7.8252
1967,3,3,1,66,4.6576
1967,3,3,2,80,3.3997
1967,3,3,3,82,4.3595
1967,3,3,4,106,3.1393
1967,3,3,5,96,4.8348
1967,4,1,1,34,3.3839
1967,4,1,2,27,3.7215
1967,4,1,3,24,4.2549
1967,4,1,4,25,7.1216
1967,4,1,5,27,3.0804
1967,4,2,1,47,2.9654
1967,4,2,2,36,3.6770
1967,4,2,3,43,2.3440
1967,4,2,4,32,3.2437
1967,4,2,5,31,1.7571
1967,4,3,1,72,3.1183
1967,4,3,2,87,6.9643
1967,4,3,3,84,3.7477
1967,4,3,4,95,0.3483
1967,4,3,5,92,7.6165
1967,5,1,1,34,1.4791
1967,5,1,2,26,0.8343
1967,5,1,3,33,2.6091
1967,5,1,4,24,-1.7429
1967,5,1,5,22,1.7455
1967,5,2,1,43,-2.6443
1967,5,2,2,44,-0.4834
1967,5,2,3,37,-2.5881
1967,5,2,4,32,0.1396
1967,5,2,5,33,-2.3510
1967,5,3,1,76,-2.4970
1967,5,3,2,80,-5.4583
1967,5,3,3,83,-5.3675
1967,5,3,4,95,-4.8425
1967,5,3,5,96,-4.2408
1967,6,1,1,37,9.7954
1967,6,1,2,20,8.6228
1967,6,1,3,33,4.8883
1967,6,1,4,28,9.4953
1967,6,1,5,20,5.8284
1967,6,2,1,44,6.8625
1967,6,2,2,44,7.3464
1967,6,2,3,36,6.2992
1967,6,2,4,34,4.9297
1967,6,2,5,33,3.4504
1967,6,3,1,71,1.9177
1967,6,3,2,86,2.3756
1967,6,3,3,84,-0.7169
1967,6,3,4,88,0.8377
1967,6,3,5,97,4.0062
1967,7,1,1,32,10.3116
1967,7,1,2,27,11.7632
1967,7,1,3,26,10.0441
1967,7,1,4,30,9.2378
1967,7,1,5,20,8.3177
1967,7,2,1,55,9.1036
1967,7,2,2,42,8.0922
1967,7,2,3,36,7.6454
1967,7,2,4,31,8.3243
1967,7,2,5,34,6.9344
1967,7,3,1,65,7.6631
1967,7,3,2,83,8.1509
1967,7,3,3,90,4.9864
1967,7,3,4,89,-1.0647
1967,7,3,5,96,4.5830
1967,8,1,1,36,0.4903
1967,8,1,2,19,2.3020
1967,8,1,3,30,-1.1932
1967,8,1,4,23,0.8604
1967,8,1,5,23,1.8363
1967,8,2,1,49,-1.1058
1967,8,2,2,44,1.4533
