year,month,rank_ME,rank_r20a,nstocks,ret_vw
1967,1,1,1,14,15.3755
1967,1,1,2,15,20.9832
1967,1,1,3,22,19.0014
1967,1,1,4,32,19.4753
1967,1,1,5,32,17.1141
1967,1,2,1,20,15.4667
1967,1,2,2,26,13.8702
1967,1,2,3,25,13.5011
1967,1,2,4,37,17.3892
1967,1,2,5,36,14.9509
1967,1,3,1,85,6.2203
1967,1,3,2,77,6.9050
1967,1,3,3,71,8.1256
1967,1,3,4,51,8.8913
1967,1,3,5,51,12.8941
1967,2,1,1,33,3.9249
1967,2,1,2,23,3.6751
1967,2,1,3,21,1.8989
1967,2,1,4,22,4.1636
1967,2,1,5,16,5.0794
1967,2,2,1,38,1.4153
1967,2,2,2,27,-1.7800
1967,2,2,3,32,2.9951
1967,2,2,4,18,1.1469
1967,2,2,5,32,3.1012
1967,2,3,1,48,0.8558
1967,2,3,2,69,0.3574
1967,2,3,3,66,1.2453
1967,2,3,4,79,0.2819
1967,2,3,5,69,1.6508
1967,3,1,1,38,8.3322
1967,3,1,2,24,4.8457
1967,3,1,3,20,7.9383
1967,3,1,4,14,6.0102
1967,3,1,5,19,10.3712
1967,3,2,1,38,4.5838
1967,3,2,2,24,7.0761
1967,3,2,3,30,4.0515
1967,3,2,4,30,5.2219
1967,3,2,5,26,9.2054
1967,3,3,1,44,6.2521
1967,3,3,2,71,3.8838
1967,3,3,3,70,4.6452
1967,3,3,4,73,3.0277
1967,3,3,5,73,3.2870
1967,4,1,1,36,4.5947
1967,4,1,2,22,4.4259
1967,4,1,3,26,3.2400
1967,4,1,4,21,6.8170
1967,4,1,5,12,1.0042
1967,4,2,1,33,3.9023
1967,4,2,2,27,-0.4391
1967,4,2,3,27,2.8892
1967,4,2,4,27,2.5714
1967,4,2,5,33,1.8699
1967,4,3,1,53,2.9023
1967,4,3,2,69,6.3629
1967,4,3,3,66,5.7472
1967,4,3,4,72,4.5532
1967,4,3,5,74,2.7210
1967,5,1,1,35,2.3755
1967,5,1,2,23,2.1461
1967,5,1,3,26,2.0147
1967,5,1,4,21,-2.7209
1967,5,1,5,13,0.1407
1967,5,2,1,29,0.1161
1967,5,2,2,31,-2.6454
1967,5,2,3,33,-1.4809
1967,5,2,4,29,-1.7325
1967,5,2,5,23,-0.5583
1967,5,3,1,56,-3.9555
1967,5,3,2,65,-2.0341
1967,5,3,3,62,-5.7653
1967,5,3,4,68,-5.6434
1967,5,3,5,84,-3.8224
1967,6,1,1,32,10.9623
1967,6,1,2,23,7.4262
1967,6,1,3,18,5.7615
1967,6,1,4,23,4.7294
1967,6,1,5,23,6.0500
1967,6,2,1,36,6.3634
1967,6,2,2,34,5.1780
1967,6,2,3,34,8.2208
1967,6,2,4,19,5.3024
1967,6,2,5,23,3.3637
1967,6,3,1,53,3.0475
1967,6,3,2,63,4.8293
1967,6,3,3,66,2.2568
1967,6,3,4,76,0.6599
1967,6,3,5,73,1.4335
1967,7,1,1,33,6.9631
1967,7,1,2,23,9.1867
1967,7,1,3,24,8.1285
1967,7,1,4,16,16.1958
1967,7,1,5,22,8.1795
1967,7,2,1,20,5.9360
1967,7,2,2,29,11.4539
1967,7,2,3,25,7.2734
1967,7,2,4,34,9.8497
1967,7,2,5,42,7.8034
1967,7,3,1,67,0.3579
1967,7,3,2,68,4.3863
1967,7,3,3,72,7.4197
1967,7,3,4,68,7.9127
1967,7,3,5,56,6.7409
1967,8,1,1,29,-0.8019
1967,8,1,2,24,3.6801
1967,8,1,3,19,0.4539
1967,8,1,4,25,-0.0504
1967,8,1,5,22,0.0819
1967,8,2,1,27,0.7013
1967,8,2,2,30,-0.7858
1967,8,2,3,26,0.2849
1967,8,2,4,27,1.8790
1967,8,2,5,35,1.3309
1967,8,3,1,62,-1.6850
1967,8,3,2,66,-0.9596
1967,8,3,3,75,-0.5270
1967,8,3,4,67,-0.4849
1967,8,3,5,63,-0.5524
1967,9,1,1,29,3.9097
1967,9,1,2,23,3.6144
1967,9,1,3,24,6.7737
1967,9,1,4,18,4.6127
1967,9,1,5,24,3.5899
