year,month,rank_ME,rank_RCA,nstocks,ret_vw
1980,7,1,1,127,8.6542
1980,7,1,2,134,10.8208
1980,7,1,3,140,15.0074
1980,7,1,4,143,11.0858
1980,7,1,5,200,19.1454
1980,7,2,1,46,9.7079
1980,7,2,2,48,11.1646
1980,7,2,3,57,12.8324
1980,7,2,4,53,16.9642
1980,7,2,5,62,19.0789
1980,7,3,1,75,2.0159
1980,7,3,2,67,4.3384
1980,7,3,3,63,9.3722
1980,7,3,4,65,10.5204
1980,7,3,5,78,12.5291
1980,8,1,1,127,6.3059
1980,8,1,2,133,10.4852
1980,8,1,3,139,10.1114
1980,8,1,4,142,9.8492
1980,8,1,5,200,14.7168
1980,8,2,1,45,7.3718
1980,8,2,2,48,4.7988
1980,8,2,3,57,7.6711
1980,8,2,4,53,9.4434
1980,8,2,5,62,7.8184
1980,8,3,1,75,3.4008
1980,8,3,2,67,1.9845
1980,8,3,3,63,2.5034
1980,8,3,4,65,-0.1864
1980,8,3,5,78,1.7247
1980,9,1,1,127,5.5847
1980,9,1,2,133,3.9739
1980,9,1,3,139,2.4324
1980,9,1,4,140,2.7221
1980,9,1,5,198,4.0336
1980,9,2,1,43,1.4625
1980,9,2,2,48,7.5186
1980,9,2,3,57,2.8612
1980,9,2,4,52,2.8920
1980,9,2,5,62,4.7418
1980,9,3,1,75,5.3662
1980,9,3,2,66,3.5694
1980,9,3,3,63,4.1355
1980,9,3,4,65,1.3512
1980,9,3,5,78,2.3263
1980,10,1,1,126,5.7560
1980,10,1,2,130,5.1435
1980,10,1,3,137,6.6438
1980,10,1,4,139,4.9265
1980,10,1,5,196,7.2876
1980,10,2,1,43,4.8656
1980,10,2,2,47,3.0905
1980,10,2,3,56,3.6783
1980,10,2,4,50,2.9427
1980,10,2,5,62,3.0378
1980,10,3,1,75,5.1035
1980,10,3,2,64,5.1401
1980,10,3,3,63,0.3390
1980,10,3,4,65,-0.6188
1980,10,3,5,78,-0.8222
1980,11,1,1,125,2.5464
1980,11,1,2,131,5.8884
1980,11,1,3,137,7.9724
1980,11,1,4,139,7.8218
1980,11,1,5,196,12.0402
1980,11,2,1,43,11.2683
1980,11,2,2,47,10.9335
1980,11,2,3,56,8.2229
1980,11,2,4,50,4.0469
1980,11,2,5,62,9.8802
1980,11,3,1,75,18.8636
1980,11,3,2,63,14.7179
1980,11,3,3,63,10.2887
1980,11,3,4,65,10.1069
1980,11,3,5,78,7.4524
1980,12,1,1,124,-5.5259
1980,12,1,2,130,-6.0284
1980,12,1,3,136,-3.6454
1980,12,1,4,138,-5.1525
1980,12,1,5,196,-6.0833
1980,12,2,1,43,-7.5348
1980,12,2,2,46,-2.4585
1980,12,2,3,56,0.6204
1980,12,2,4,50,-4.1125
1980,12,2,5,61,-1.7334
1980,12,3,1,75,-10.0285
1980,12,3,2,63,-3.8965
1980,12,3,3,63,-0.6941
1980,12,3,4,65,-0.6708
1980,12,3,5,78,0.7714
1981,1,1,1,124,1.4450
1981,1,1,2,130,1.4668
1981,1,1,3,136,0.3670
1981,1,1,4,138,-0.7051
1981,1,1,5,194,-4.8834
1981,1,2,1,43,-0.1801
1981,1,2,2,46,-3.2288
1981,1,2,3,56,-1.7139
1981,1,2,4,49,-2.3928
1981,1,2,5,62,-6.2607
1981,1,3,1,75,-6.7337
1981,1,3,2,63,-5.9818
1981,1,3,3,63,-4.4656
1981,1,3,4,65,-1.8217
1981,1,3,5,78,-5.2309
1981,2,1,1,125,0.1759
1981,2,1,2,129,1.8011
1981,2,1,3,136,-0.3643
1981,2,1,4,137,-0.7186
1981,2,1,5,193,-3.6186
1981,2,2,1,42,1.3515
1981,2,2,2,46,1.0924
1981,2,2,3,56,2.0029
1981,2,2,4,49,1.6375
1981,2,2,5,61,-3.0119
1981,2,3,1,75,1.4874
1981,2,3,2,63,-0.6413
1981,2,3,3,63,2.7269
1981,2,3,4,65,4.8503
1981,2,3,5,77,3.8706
1981,3,1,1,124,7.4980
1981,3,1,2,128,11.7118
1981,3,1,3,135,11.6162
1981,3,1,4,136,8.3043
1981,3,1,5,191,9.9614
1981,3,2,1,42,8.1371
1981,3,2,2,46,7.6187
1981,3,2,3,56,8.9111
1981,3,2,4,49,8.3035
1981,3,2,5,60,10.7996
1981,3,3,1,75,1.3085
1981,3,3,2,63,1.9690
1981,3,3,3,63,6.6921
1981,3,3,4,65,4.9393
1981,3,3,5,77,3.1610
1981,4,1,1,124,3.7472
1981,4,1,2,129,4.7213
1981,4,1,3,135,4.6693
1981,4,1,4,137,3.4582
1981,4,1,5,189,6.4821
1981,4,2,1,41,0.4691
1981,4,2,2,46,2.5223
1981,4,2,3,55,3.0796
1981,4,2,4,49,2.5369
1981,4,2,5,60,4.6899
1981,4,3,1,74,-4.3018
1981,4,3,2,63,-4.0456
1981,4,3,3,62,-0.6317
1981,4,3,4,65,0.4288
1981,4,3,5,76,-0.3558
1981,5,1,1,123,0.8916
1981,5,1,2,128,6.2455
1981,5,1,3,135,6.6947
1981,5,1,4,133,5.4266
1981,5,1,5,187,7.5648
1981,5,2,1,41,2.3624
1981,5,2,2,45,4.1344
1981,5,2,3,55,7.2352
1981,5,2,4,49,6.4921
1981,5,2,5,59,7.1064
1981,5,3,1,75,-1.5018
1981,5,3,2,63,-1.4909
1981,5,3,3,62,0.2086
1981,5,3,4,65,0.0733
1981,5,3,5,76,2.1956
1981,6,1,1,123,1.1374
1981,6,1,2,129,-0.0206
1981,6,1,3,134,-1.2793
1981,6,1,4,134,-4.1088
1981,6,1,5,186,-7.3929
1981,6,2,1,41,-3.8020
1981,6,2,2,44,-1.4346
1981,6,2,3,55,-4.8628
1981,6,2,4,49,-6.7899
1981,6,2,5,59,-8.8898
1981,6,3,1,75,2.5055
1981,6,3,2,62,1.6859
1981,6,3,3,61,-1.2012
1981,6,3,4,65,-3.2361
1981,6,3,5,76,-4.7444
1981,7,1,1,120,-4.4372
