year,month,rank_ME,rank_RDM,nstocks,ret_vw
1976,7,1,1,97,-3.1928
1976,7,1,2,96,-1.7595
1976,7,1,3,146,1.2113
1976,7,1,4,178,0.2941
1976,7,1,5,293,-0.6061
1976,7,2,1,60,-0.6354
1976,7,2,2,55,-0.6997
1976,7,2,3,69,-1.0682
1976,7,2,4,62,-1.1509
1976,7,2,5,40,2.1265
1976,7,3,1,106,-0.4475
1976,7,3,2,89,-0.2989
1976,7,3,3,69,-2.2987
1976,7,3,4,58,-1.2730
1976,7,3,5,45,-1.1624
1976,8,1,1,97,-0.2064
1976,8,1,2,96,-1.8902
1976,8,1,3,146,-2.9396
1976,8,1,4,177,-3.1010
1976,8,1,5,292,-2.6331
1976,8,2,1,59,-3.3267
1976,8,2,2,55,-0.8336
1976,8,2,3,69,-3.1027
1976,8,2,4,62,-3.1185
1976,8,2,5,40,-4.7058
1976,8,3,1,106,0.6004
1976,8,3,2,88,-0.8354
1976,8,3,3,69,-0.6925
1976,8,3,4,58,-1.2163
1976,8,3,5,45,-0.4819
1976,9,1,1,93,1.0982
1976,9,1,2,86,3.3679
1976,9,1,3,132,3.3171
1976,9,1,4,163,2.6629
1976,9,1,5,265,1.1561
1976,9,2,1,57,2.8038
1976,9,2,2,54,4.3814
1976,9,2,3,66,2.4486
1976,9,2,4,60,-0.3547
1976,9,2,5,40,2.5638
1976,9,3,1,106,3.4937
1976,9,3,2,88,1.4954
1976,9,3,3,69,1.6996
1976,9,3,4,58,4.0480
1976,9,3,5,45,4.2739
1976,10,1,1,97,-1.8243
1976,10,1,2,96,-1.9888
1976,10,1,3,145,-2.2332
1976,10,1,4,171,-1.6387
1976,10,1,5,289,-5.0749
1976,10,2,1,59,-2.0345
1976,10,2,2,55,-1.8230
1976,10,2,3,67,-1.6534
1976,10,2,4,61,-3.6213
1976,10,2,5,40,-5.0273
1976,10,3,1,105,-2.1235
1976,10,3,2,88,-2.8683
1976,10,3,3,69,-2.9870
1976,10,3,4,58,-2.8701
1976,10,3,5,45,-4.5970
1976,11,1,1,94,3.2819
1976,11,1,2,95,3.3629
1976,11,1,3,145,2.2792
1976,11,1,4,172,3.6484
1976,11,1,5,288,3.4156
1976,11,2,1,58,3.9415
1976,11,2,2,55,3.8098
1976,11,2,3,66,2.2865
1976,11,2,4,61,2.4555
1976,11,2,5,40,5.3302
1976,11,3,1,105,0.6559
1976,11,3,2,88,-2.4572
1976,11,3,3,69,-1.8142
1976,11,3,4,58,0.3651
1976,11,3,5,45,0.7181
1976,12,1,1,96,9.8752
1976,12,1,2,95,7.3974
1976,12,1,3,145,11.9452
1976,12,1,4,171,9.4333
1976,12,1,5,287,9.7994
1976,12,2,1,59,9.6773
1976,12,2,2,55,10.5740
1976,12,2,3,67,9.7976
1976,12,2,4,61,11.5100
1976,12,2,5,40,11.3112
1976,12,3,1,105,4.0220
1976,12,3,2,88,5.3939
1976,12,3,3,69,4.9400
1976,12,3,4,58,8.2625
1976,12,3,5,45,9.0888
1977,1,1,1,96,2.6883
1977,1,1,2,94,5.4833
1977,1,1,3,145,4.5898
1977,1,1,4,169,3.6918
1977,1,1,5,286,5.3880
1977,1,2,1,58,0.4124
1977,1,2,2,55,1.2909
1977,1,2,3,66,2.1699
1977,1,2,4,61,-1.3531
1977,1,2,5,39,4.7421
1977,1,3,1,105,-3.3990
1977,1,3,2,88,-6.6265
1977,1,3,3,69,-5.2043
1977,1,3,4,58,-4.6163
1977,1,3,5,45,-2.3059
1977,2,1,1,96,-0.0638
1977,2,1,2,94,-0.6167
1977,2,1,3,143,-0.2896
1977,2,1,4,167,-0.3198
1977,2,1,5,280,2.7364
1977,2,2,1,57,-1.6134
1977,2,2,2,55,0.1747
1977,2,2,3,64,-0.8874
1977,2,2,4,60,-1.0839
1977,2,2,5,39,0.2992
1977,2,3,1,104,-1.0486
1977,2,3,2,88,-2.0268
1977,2,3,3,69,-0.9953
1977,2,3,4,58,-2.0043
1977,2,3,5,45,-1.7292
1977,3,1,1,95,2.0277
1977,3,1,2,94,-1.0719
1977,3,1,3,144,3.2773
1977,3,1,4,169,0.1266
1977,3,1,5,284,1.8487
1977,3,2,1,58,1.1532
1977,3,2,2,55,0.5854
1977,3,2,3,64,0.3058
1977,3,2,4,60,0.1236
1977,3,2,5,39,0.5135
1977,3,3,1,104,-1.5637
1977,3,3,2,88,-1.9486
1977,3,3,3,69,-0.2216
1977,3,3,4,58,-1.7071
1977,3,3,5,45,-0.3085
1977,4,1,1,95,2.4521
1977,4,1,2,94,2.6916
1977,4,1,3,144,1.6967
1977,4,1,4,165,2.5853
1977,4,1,5,284,0.6075
1977,4,2,1,58,0.8874
1977,4,2,2,55,-1.1144
1977,4,2,3,64,1.3408
1977,4,2,4,60,2.5131
1977,4,2,5,39,5.4907
1977,4,3,1,104,1.1531
1977,4,3,2,88,-0.9423
1977,4,3,3,69,-2.3143
1977,4,3,4,58,2.1372
1977,4,3,5,44,3.8192
1977,5,1,1,94,-1.2685
1977,5,1,2,93,-1.0169
1977,5,1,3,143,-1.5300
1977,5,1,4,166,0.9333
1977,5,1,5,285,0.0966
1977,5,2,1,58,-1.4568
1977,5,2,2,55,-0.6685
1977,5,2,3,64,-1.2822
1977,5,2,4,60,0.4074
1977,5,2,5,39,0.6772
1977,5,3,1,104,-1.3501
1977,5,3,2,88,-1.8830
1977,5,3,3,69,-1.8966
1977,5,3,4,58,-1.2910
1977,5,3,5,45,-0.8413
1977,6,1,1,95,5.2275
1977,6,1,2,92,5.1310
1977,6,1,3,142,5.9052
1977,6,1,4,166,7.1969
1977,6,1,5,285,6.4672
1977,6,2,1,58,5.9886
1977,6,2,2,54,6.9793
1977,6,2,3,63,6.2404
1977,6,2,4,59,6.5417
1977,6,2,5,39,11.4752
1977,6,3,1,104,4.3357
1977,6,3,2,88,3.9181
1977,6,3,3,69,5.4381
1977,6,3,4,58,3.2783
1977,6,3,5,45,5.3796
1977,7,1,1,105,0.3468
1977,7,1,2,118,-1.7059
1977,7,1,3,137,0.0177
1977,7,1,4,148,0.9477
1977,7,1,5,301,-0.1770
1977,7,2,1,59,-0.7687
1977,7,2,2,57,-2.0228
1977,7,2,3,46,-2.7206
1977,7,2,4,60,-2.6673
1977,7,2,5,44,0.0863
1977,7,3,1,105,-2.1953
1977,7,3,2,78,-1.4975
1977,7,3,3,78,-2.1542
1977,7,3,4,61,-1.4756
1977,7,3,5,45,-3.8869
1977,8,1,1,104,-3.0668
1977,8,1,2,117,1.0388
1977,8,1,3,136,-0.0112
1977,8,1,4,148,-1.0969
1977,8,1,5,300,-1.2424
1977,8,2,1,59,1.6937
1977,8,2,2,56,-0.9732
1977,8,2,3,46,-1.3289
1977,8,2,4,60,2.4964
1977,8,2,5,43,-2.4261
1977,8,3,1,105,-3.2689
1977,8,3,2,78,-1.3965
1977,8,3,3,78,0.4517
1977,8,3,4,61,-0.0606
1977,8,3,5,45,-2.4114
1977,9,1,1,104,-0.9507
1977,9,1,2,116,2.3739
1977,9,1,3,135,-0.2476
1977,9,1,4,147,1.4292
1977,9,1,5,301,0.2721
1977,9,2,1,59,-0.5383
1977,9,2,2,56,-0.4407
1977,9,2,3,45,-0.8689
1977,9,2,4,60,0.3887
1977,9,2,5,43,2.8304
1977,9,3,1,104,1.0242
1977,9,3,2,78,-0.4399
1977,9,3,3,78,-1.6909
1977,9,3,4,61,1.2669
1977,9,3,5,45,-0.8893
1977,10,1,1,104,-3.7760
1977,10,1,2,114,-2.5679
1977,10,1,3,134,-2.2624
1977,10,1,4,145,-2.8290
1977,10,1,5,301,-2.9507
1977,10,2,1,59,-5.2736
1977,10,2,2,56,-1.7257
1977,10,2,3,44,1.8587
1977,10,2,4,60,-2.6639
1977,10,2,5,43,-3.4733
1977,10,3,1,104,-4.7571
1977,10,3,2,77,-3.0771
1977,10,3,3,78,-3.9635
1977,10,3,4,61,-4.6845
1977,10,3,5,45,-4.4232
1977,11,1,1,104,7.9636
1977,11,1,2,113,8.7118
1977,11,1,3,135,8.3985
1977,11,1,4,144,10.8854
1977,11,1,5,296,10.8792
1977,11,2,1,59,8.6284
1977,11,2,2,56,9.2529
1977,11,2,3,44,7.9362
1977,11,2,4,60,9.9662
1977,11,2,5,42,9.4111
1977,11,3,1,104,2.4428
1977,11,3,2,77,4.2036
1977,11,3,3,77,2.9047
1977,11,3,4,61,3.3556
1977,11,3,5,45,6.3451
1977,12,1,1,104,0.8314
1977,12,1,2,112,0.5235
1977,12,1,3,135,2.1125
1977,12,1,4,146,3.2338
1977,12,1,5,296,2.6826
1977,12,2,1,59,1.3287
1977,12,2,2,55,1.6669
1977,12,2,3,44,1.8352
1977,12,2,4,60,1.2669
1977,12,2,5,42,-0.9072
1977,12,3,1,103,1.6563
1977,12,3,2,77,-0.1738
1977,12,3,3,78,1.0636
1977,12,3,4,61,0.0053
1977,12,3,5,45,1.4006
1978,1,1,1,103,-0.6238
1978,1,1,2,112,-1.9524
