year,month,rank_ME,rank_RDMq_6,nstocks,ret_vw
1990,1,1,1,146,-6.9229
1990,1,1,2,119,-6.2607
1990,1,1,3,134,-10.1592
1990,1,1,4,132,-5.7505
1990,1,1,5,283,-6.6795
1990,1,2,1,35,-9.3914
1990,1,2,2,37,-7.0772
1990,1,2,3,39,-9.6859
1990,1,2,4,34,-9.1238
1990,1,2,5,25,-7.2576
1990,1,3,1,38,-7.8960
1990,1,3,2,31,-5.7778
1990,1,3,3,27,-8.0518
1990,1,3,4,16,-0.6015
1990,1,3,5,11,-4.4668
1990,2,1,1,191,3.3794
1990,2,1,2,172,2.1466
1990,2,1,3,177,3.0361
1990,2,1,4,209,4.0275
1990,2,1,5,340,1.9493
1990,2,2,1,42,3.8913
1990,2,2,2,44,4.4902
1990,2,2,3,47,9.8231
1990,2,2,4,46,9.4336
1990,2,2,5,31,4.3772
1990,2,3,1,43,-0.2475
1990,2,3,2,39,0.6530
1990,2,3,3,35,2.9224
1990,2,3,4,21,3.0438
1990,2,3,5,16,0.8430
1990,3,1,1,202,4.9239
1990,3,1,2,191,4.5484
1990,3,1,3,204,2.7419
1990,3,1,4,247,4.5473
1990,3,1,5,361,5.3671
1990,3,2,1,51,8.5065
1990,3,2,2,50,5.9116
1990,3,2,3,50,5.0086
1990,3,2,4,56,4.4398
1990,3,2,5,31,9.9626
1990,3,3,1,48,4.0103
1990,3,3,2,46,3.4346
1990,3,3,3,37,6.6456
1990,3,3,4,24,4.3560
1990,3,3,5,17,3.0562
1990,4,1,1,207,2.1520
1990,4,1,2,212,-2.7345
1990,4,1,3,218,-3.1698
1990,4,1,4,277,-2.1597
1990,4,1,5,380,-3.2209
1990,4,2,1,55,-5.5358
1990,4,2,2,56,-2.8538
1990,4,2,3,59,-3.9806
1990,4,2,4,62,-1.6430
1990,4,2,5,34,-3.7298
1990,4,3,1,50,0.9896
1990,4,3,2,50,-1.2236
1990,4,3,3,38,-3.4882
1990,4,3,4,28,-0.7655
1990,4,3,5,18,-1.2194
1990,5,1,1,246,6.1956
1990,5,1,2,261,4.9155
1990,5,1,3,286,8.8362
1990,5,1,4,328,9.3870
1990,5,1,5,477,8.3148
1990,5,2,1,85,8.7019
1990,5,2,2,82,10.4728
1990,5,2,3,78,14.4082
1990,5,2,4,100,13.0373
1990,5,2,5,56,14.0870
1990,5,3,1,73,11.3303
1990,5,3,2,81,11.3333
1990,5,3,3,61,9.3722
1990,5,3,4,43,10.6736
1990,5,3,5,41,9.8925
1990,6,1,1,257,1.7155
1990,6,1,2,279,4.5353
1990,6,1,3,312,2.7740
1990,6,1,4,359,1.2900
1990,6,1,5,496,2.6060
1990,6,2,1,91,1.4373
1990,6,2,2,91,0.7343
1990,6,2,3,83,-0.3720
1990,6,2,4,106,3.0707
1990,6,2,5,61,0.9595
1990,6,3,1,76,1.3716
1990,6,3,2,85,1.7594
1990,6,3,3,65,-3.0176
1990,6,3,4,49,-1.6234
1990,6,3,5,42,-4.0098
1990,7,1,1,239,-4.3744
1990,7,1,2,256,-5.3729
1990,7,1,3,282,-5.4439
1990,7,1,4,347,-7.5202
1990,7,1,5,423,-5.3021
1990,7,2,1,88,-5.4526
1990,7,2,2,86,-7.0338
1990,7,2,3,82,-6.7982
1990,7,2,4,106,-5.4083
1990,7,2,5,57,-6.5666
1990,7,3,1,72,-0.0211
1990,7,3,2,82,2.7456
1990,7,3,3,70,-1.7917
1990,7,3,4,47,-5.6702
1990,7,3,5,42,-5.1673
1990,8,1,1,249,-16.0083
1990,8,1,2,258,-14.1911
1990,8,1,3,303,-14.6314
1990,8,1,4,381,-14.9152
1990,8,1,5,464,-15.1191
1990,8,2,1,92,-14.2783
1990,8,2,2,91,-13.4230
1990,8,2,3,94,-16.5290
1990,8,2,4,114,-17.0112
1990,8,2,5,62,-17.0206
1990,8,3,1,72,-7.3432
1990,8,3,2,86,-8.5160
1990,8,3,3,72,-10.7982
1990,8,3,4,49,-9.2185
1990,8,3,5,41,-12.0760
1990,9,1,1,246,-8.5111
1990,9,1,2,267,-9.5635
1990,9,1,3,296,-9.6839
1990,9,1,4,384,-11.6286
1990,9,1,5,461,-9.0630
1990,9,2,1,92,-9.1269
1990,9,2,2,91,-11.0001
1990,9,2,3,98,-10.0378
1990,9,2,4,110,-12.1895
1990,9,2,5,64,-11.0503
1990,9,3,1,75,-4.5229
1990,9,3,2,84,-4.3022
1990,9,3,3,75,-6.2813
1990,9,3,4,49,-4.6459
1990,9,3,5,42,-11.1262
1990,10,1,1,228,-2.7330
1990,10,1,2,262,-4.1564
1990,10,1,3,302,-5.1661
1990,10,1,4,372,-4.8238
1990,10,1,5,427,-7.2935
1990,10,2,1,86,-7.1071
1990,10,2,2,92,-2.6524
1990,10,2,3,101,-4.3932
1990,10,2,4,107,-4.7615
1990,10,2,5,64,-5.7168
1990,10,3,1,80,1.0776
1990,10,3,2,76,0.7601
1990,10,3,3,73,2.3204
1990,10,3,4,50,-5.7667
1990,10,3,5,41,-6.7590
1990,11,1,1,242,5.2081
1990,11,1,2,273,4.6935
1990,11,1,3,304,8.1585
1990,11,1,4,387,5.3698
1990,11,1,5,452,3.9154
1990,11,2,1,89,12.1895
1990,11,2,2,95,10.2200
1990,11,2,3,104,15.4580
1990,11,2,4,106,12.6619
1990,11,2,5,67,11.3563
1990,11,3,1,82,9.4954
1990,11,3,2,77,6.1362
1990,11,3,3,73,5.4188
1990,11,3,4,50,12.7843
1990,11,3,5,42,9.5477
1990,12,1,1,238,0.5156
1990,12,1,2,270,2.3558
1990,12,1,3,296,0.8186
1990,12,1,4,411,1.2042
1990,12,1,5,450,-1.3225
1990,12,2,1,85,5.4841
1990,12,2,2,88,7.6068
1990,12,2,3,100,8.8468
1990,12,2,4,105,5.2708
1990,12,2,5,63,5.8687
1990,12,3,1,79,3.5573
1990,12,3,2,75,3.2447
1990,12,3,3,70,1.1685
1990,12,3,4,52,7.6955
1990,12,3,5,43,4.0968
1991,1,1,1,207,11.8679
1991,1,1,2,229,11.4359
1991,1,1,3,256,12.6510
1991,1,1,4,355,15.9190
1991,1,1,5,381,21.5559
1991,1,2,1,67,12.0553
1991,1,2,2,68,14.9690
1991,1,2,3,83,17.6716
1991,1,2,4,79,20.0891
1991,1,2,5,48,19.4242
1991,1,3,1,56,5.1198
1991,1,3,2,52,6.0323
1991,1,3,3,43,8.3938
1991,1,3,4,38,14.1528
1991,1,3,5,20,18.0308
1991,2,1,1,220,14.2833
1991,2,1,2,233,13.9626
1991,2,1,3,272,15.5927
1991,2,1,4,360,15.5807
1991,2,1,5,419,17.7520
1991,2,2,1,71,9.3717
1991,2,2,2,77,10.7806
1991,2,2,3,85,10.9743
1991,2,2,4,76,10.6088
1991,2,2,5,48,10.7713
1991,2,3,1,58,8.5471
1991,2,3,2,54,7.1137
1991,2,3,3,44,4.3304
1991,2,3,4,42,7.9907
1991,2,3,5,22,6.7801
1991,3,1,1,220,7.7438
1991,3,1,2,234,11.3411
1991,3,1,3,271,13.9216
1991,3,1,4,368,13.8287
1991,3,1,5,421,13.5669
1991,3,2,1,73,9.2180
1991,3,2,2,75,8.1798
1991,3,2,3,83,6.6458
1991,3,2,4,79,6.5431
1991,3,2,5,46,12.3726
1991,3,3,1,60,5.9611
1991,3,3,2,54,0.6850
1991,3,3,3,49,-1.1154
1991,3,3,4,43,-0.1159
1991,3,3,5,22,-0.7792
1991,4,1,1,222,1.2318
1991,4,1,2,222,2.6345
1991,4,1,3,254,1.9878
1991,4,1,4,358,1.0725
1991,4,1,5,393,-0.0216
1991,4,2,1,77,-1.5783
1991,4,2,2,77,-3.3386
1991,4,2,3,84,-1.7394
1991,4,2,4,76,-0.8833
1991,4,2,5,42,0.5383
1991,4,3,1,62,-0.4376
1991,4,3,2,52,-1.7071
1991,4,3,3,49,-0.2441
1991,4,3,4,43,-2.5199
1991,4,3,5,22,3.3876
1991,5,1,1,252,5.4963
1991,5,1,2,250,4.0917
1991,5,1,3,308,2.2906
1991,5,1,4,411,3.7864
1991,5,1,5,463,1.4844
1991,5,2,1,99,5.4741
1991,5,2,2,95,2.3359
1991,5,2,3,92,7.1388
1991,5,2,4,94,1.4334
1991,5,2,5,66,3.3248
1991,5,3,1,89,4.7216
1991,5,3,2,80,3.8210
1991,5,3,3,76,4.8781
1991,5,3,4,57,4.3441
1991,5,3,5,44,5.5597
1991,6,1,1,258,-7.5799
1991,6,1,2,240,-6.5099
1991,6,1,3,317,-6.6875
1991,6,1,4,402,-7.6681
1991,6,1,5,460,-6.1180
1991,6,2,1,104,-7.2392
1991,6,2,2,93,-7.8432
