year,month,rank_ME,rank_RDSq_6,nstocks,ret_vw
1990,1,1,1,101,-8.5070
1990,1,1,2,80,-11.0600
1990,1,1,3,142,-8.0474
1990,1,1,4,140,-6.7484
1990,1,1,5,321,-5.1518
1990,1,2,1,17,-7.7801
1990,1,2,2,18,-5.2367
1990,1,2,3,29,-7.4336
1990,1,2,4,41,-12.5307
1990,1,2,5,62,-7.7413
1990,1,3,1,21,-10.2773
1990,1,3,2,22,-4.3136
1990,1,3,3,22,-9.9113
1990,1,3,4,25,-5.8861
1990,1,3,5,33,-1.7232
1990,2,1,1,133,4.7060
1990,2,1,2,118,3.8794
1990,2,1,3,168,2.1288
1990,2,1,4,195,3.7322
1990,2,1,5,387,1.6173
1990,2,2,1,20,5.7116
1990,2,2,2,23,3.5961
1990,2,2,3,37,4.7724
1990,2,2,4,47,6.5845
1990,2,2,5,72,7.8647
1990,2,3,1,25,1.6955
1990,2,3,2,30,3.2299
1990,2,3,3,29,2.2215
1990,2,3,4,30,0.1684
1990,2,3,5,39,1.1396
1990,3,1,1,139,5.8569
1990,3,1,2,121,3.7356
1990,3,1,3,182,3.0738
1990,3,1,4,211,4.5303
1990,3,1,5,404,5.0391
1990,3,2,1,25,5.9354
1990,3,2,2,25,4.2054
1990,3,2,3,40,9.5392
1990,3,2,4,53,7.2049
1990,3,2,5,75,6.1252
1990,3,3,1,29,3.3463
1990,3,3,2,31,4.7665
1990,3,3,3,31,6.0886
1990,3,3,4,33,3.6113
1990,3,3,5,42,3.9257
1990,4,1,1,145,-1.7699
1990,4,1,2,125,-0.3827
1990,4,1,3,185,-2.4062
1990,4,1,4,222,-1.0946
1990,4,1,5,412,-1.6280
1990,4,2,1,28,-7.1072
1990,4,2,2,30,-2.9274
1990,4,2,3,40,-2.2330
1990,4,2,4,58,-3.2937
1990,4,2,5,80,-3.0619
1990,4,3,1,31,-1.8620
1990,4,3,2,31,-2.9318
1990,4,3,3,32,-4.3470
1990,4,3,4,36,0.0811
1990,4,3,5,42,1.0235
1990,5,1,1,204,5.2851
1990,5,1,2,184,8.1601
1990,5,1,3,268,7.2651
1990,5,1,4,290,8.7144
1990,5,1,5,483,8.1242
1990,5,2,1,44,8.1071
1990,5,2,2,54,6.5862
1990,5,2,3,62,12.7076
1990,5,2,4,86,11.4029
1990,5,2,5,112,15.6818
1990,5,3,1,60,8.6622
1990,5,3,2,48,10.4961
1990,5,3,3,58,8.1369
1990,5,3,4,56,10.6748
1990,5,3,5,71,13.0880
1990,6,1,1,215,2.5640
1990,6,1,2,188,2.0606
1990,6,1,3,271,3.9192
1990,6,1,4,298,2.2348
1990,6,1,5,489,1.7754
1990,6,2,1,44,0.6118
1990,6,2,2,57,-0.5781
1990,6,2,3,67,5.6205
1990,6,2,4,88,1.8474
1990,6,2,5,119,0.2297
1990,6,3,1,62,-2.9503
1990,6,3,2,48,1.2140
1990,6,3,3,60,-4.5423
1990,6,3,4,57,3.0334
1990,6,3,5,78,0.4157
1990,7,1,1,191,-3.4337
1990,7,1,2,165,-4.2305
1990,7,1,3,241,-3.9551
1990,7,1,4,268,-6.2139
1990,7,1,5,431,-7.2864
1990,7,2,1,45,-6.9785
1990,7,2,2,50,-3.9512
1990,7,2,3,59,-0.8060
1990,7,2,4,84,-7.9704
1990,7,2,5,117,-7.5203
1990,7,3,1,56,1.7443
1990,7,3,2,47,0.9954
1990,7,3,3,63,-2.1254
1990,7,3,4,61,1.9075
1990,7,3,5,74,-3.6740
1990,8,1,1,194,-15.8205
1990,8,1,2,183,-15.6926
1990,8,1,3,271,-14.0266
1990,8,1,4,295,-13.1245
1990,8,1,5,481,-16.5565
1990,8,2,1,49,-12.8564
1990,8,2,2,54,-12.9061
1990,8,2,3,62,-16.0924
1990,8,2,4,88,-16.1449
1990,8,2,5,122,-16.6490
1990,8,3,1,58,-7.2295
1990,8,3,2,53,-9.3053
1990,8,3,3,67,-10.5456
1990,8,3,4,62,-8.7026
1990,8,3,5,75,-10.2684
1990,9,1,1,198,-9.1736
1990,9,1,2,181,-9.9481
1990,9,1,3,265,-9.7855
1990,9,1,4,296,-9.5492
1990,9,1,5,484,-10.5941
1990,9,2,1,49,-8.6585
1990,9,2,2,53,-7.6100
1990,9,2,3,61,-10.3153
1990,9,2,4,87,-12.6639
1990,9,2,5,126,-11.1413
1990,9,3,1,57,-5.0250
1990,9,3,2,52,-4.5038
1990,9,3,3,68,-5.5799
