year,month,rank_ME,rank_RER,nstocks,ret_vw
1970,7,1,1,95,7.4166
1970,7,1,2,81,5.6274
1970,7,1,3,65,2.8546
1970,7,1,4,80,2.1613
1970,7,1,5,87,7.7784
1970,7,2,1,34,7.5328
1970,7,2,2,37,8.4298
1970,7,2,3,39,8.7896
1970,7,2,4,40,2.9005
1970,7,2,5,25,9.0556
1970,7,3,1,59,4.2746
1970,7,3,2,44,5.9029
1970,7,3,3,41,7.0495
1970,7,3,4,47,3.4266
1970,7,3,5,53,6.8806
1970,8,1,1,95,8.1901
1970,8,1,2,81,6.7514
1970,8,1,3,65,6.7615
1970,8,1,4,80,4.0171
1970,8,1,5,87,5.1490
1970,8,2,1,34,10.4376
1970,8,2,2,37,7.4453
1970,8,2,3,39,4.6346
1970,8,2,4,40,6.3560
1970,8,2,5,25,7.4524
1970,8,3,1,59,6.5057
1970,8,3,2,44,5.5058
1970,8,3,3,41,3.8243
1970,8,3,4,47,3.7273
1970,8,3,5,53,4.4752
1970,9,1,1,95,14.7081
1970,9,1,2,81,13.8003
1970,9,1,3,65,13.0875
1970,9,1,4,80,16.4239
1970,9,1,5,87,14.2857
1970,9,2,1,34,12.3604
1970,9,2,2,37,11.3940
1970,9,2,3,39,12.8387
1970,9,2,4,40,11.9102
1970,9,2,5,25,11.8002
1970,9,3,1,59,7.2012
1970,9,3,2,44,2.1461
1970,9,3,3,41,4.9480
1970,9,3,4,47,5.7318
1970,9,3,5,53,3.0294
1970,10,1,1,95,-9.3891
1970,10,1,2,81,-8.2158
1970,10,1,3,65,-9.4767
1970,10,1,4,80,-7.3874
1970,10,1,5,87,-7.7621
1970,10,2,1,34,-6.7823
1970,10,2,2,37,-4.9845
1970,10,2,3,39,-6.9160
1970,10,2,4,40,-6.8450
1970,10,2,5,25,-3.5139
1970,10,3,1,59,-1.1852
1970,10,3,2,44,-0.7126
1970,10,3,3,41,-0.5598
1970,10,3,4,47,0.1851
1970,10,3,5,53,-2.7274
