year,month,rank_ME,rank_VCF_1,nstocks,ret_vw
1978,1,1,1,54,-2.1657
1978,1,1,2,42,0.1660
1978,1,1,3,52,-2.9065
1978,1,1,4,51,2.2396
1978,1,1,5,60,2.6522
1978,1,2,1,26,-6.0520
1978,1,2,2,30,-3.6779
1978,1,2,3,27,-4.0620
1978,1,2,4,28,0.2171
1978,1,2,5,40,-2.4896
1978,1,3,1,51,-5.5051
1978,1,3,2,49,-8.0290
1978,1,3,3,60,-5.8585
1978,1,3,4,51,-7.6395
1978,1,3,5,60,-7.6167
1978,2,1,1,60,4.6107
1978,2,1,2,51,4.2191
1978,2,1,3,55,3.6084
1978,2,1,4,59,2.4522
1978,2,1,5,78,0.3296
1978,2,2,1,32,3.1946
1978,2,2,2,36,1.9426
1978,2,2,3,28,1.9647
1978,2,2,4,33,3.4591
1978,2,2,5,46,3.7081
1978,2,3,1,58,-1.6020
1978,2,3,2,53,-1.1498
1978,2,3,3,65,1.0468
1978,2,3,4,60,-5.0308
1978,2,3,5,65,-1.7112
1978,3,1,1,59,6.7958
1978,3,1,2,48,8.1826
1978,3,1,3,57,10.3190
1978,3,1,4,67,8.3658
1978,3,1,5,82,9.2487
1978,3,2,1,33,8.3768
1978,3,2,2,38,6.5826
1978,3,2,3,28,5.2114
1978,3,2,4,32,8.8666
1978,3,2,5,43,6.4650
1978,3,3,1,59,1.6871
1978,3,3,2,55,4.2260
1978,3,3,3,65,2.7519
1978,3,3,4,59,5.3637
1978,3,3,5,67,2.9063
1978,4,1,1,58,8.3149
1978,4,1,2,53,7.9481
1978,4,1,3,59,7.4143
1978,4,1,4,68,9.9358
1978,4,1,5,83,10.1991
1978,4,2,1,29,8.7207
1978,4,2,2,40,10.1979
1978,4,2,3,29,9.1983
1978,4,2,4,29,7.2594
1978,4,2,5,45,6.3755
1978,4,3,1,62,7.9444
1978,4,3,2,56,8.8097
1978,4,3,3,63,7.6180
1978,4,3,4,62,9.9530
1978,4,3,5,65,6.4759
1978,5,1,1,83,6.6133
1978,5,1,2,90,10.5369
1978,5,1,3,69,7.8762
1978,5,1,4,84,7.7866
1978,5,1,5,124,6.5401
1978,5,2,1,40,6.7103
1978,5,2,2,48,4.2087
1978,5,2,3,40,6.2651
1978,5,2,4,46,6.5462
1978,5,2,5,61,7.1468
1978,5,3,1,82,0.8844
1978,5,3,2,74,0.7250
1978,5,3,3,78,1.3284
1978,5,3,4,65,1.3151
1978,5,3,5,78,2.2370
1978,6,1,1,92,-1.0235
1978,6,1,2,93,0.1236
1978,6,1,3,73,-1.2225
1978,6,1,4,93,2.0177
1978,6,1,5,133,-0.6405
1978,6,2,1,38,0.8727
1978,6,2,2,50,0.0271
1978,6,2,3,42,-1.5668
1978,6,2,4,44,-2.0213
1978,6,2,5,62,1.5114
1978,6,3,1,84,-2.4160
1978,6,3,2,74,-2.6142
1978,6,3,3,78,-2.7261
1978,6,3,4,68,-1.8276
1978,6,3,5,80,-2.0418
