year,month,rank_ME,rank_ACI,nstocks,ret_vw
1967,1,1,1,31,19.4497
1967,1,1,2,15,12.1350
1967,1,1,3,10,21.4553
1967,1,1,4,15,16.3139
1967,1,1,5,32,18.2673
1967,1,2,1,39,16.0998
1967,1,2,2,23,18.6775
1967,1,2,3,24,18.2776
1967,1,2,4,18,18.3342
1967,1,2,5,34,15.3688
1967,1,3,1,58,7.7614
1967,1,3,2,84,6.8707
1967,1,3,3,83,6.9614
1967,1,3,4,81,11.6511
1967,1,3,5,54,8.4303
1967,2,1,1,31,4.8894
1967,2,1,2,15,4.4643
1967,2,1,3,10,6.6829
1967,2,1,4,15,1.9593
1967,2,1,5,32,2.2475
1967,2,2,1,39,0.3918
1967,2,2,2,23,2.1932
1967,2,2,3,24,1.9137
1967,2,2,4,18,2.3558
1967,2,2,5,34,2.7739
1967,2,3,1,58,2.0913
1967,2,3,2,84,1.1135
1967,2,3,3,83,2.3010
1967,2,3,4,81,-0.6866
1967,2,3,5,54,-0.6535
1967,3,1,1,31,8.5801
1967,3,1,2,15,4.9779
1967,3,1,3,10,3.4512
1967,3,1,4,15,8.8436
1967,3,1,5,32,6.5363
1967,3,2,1,39,4.9819
1967,3,2,2,23,10.1673
1967,3,2,3,24,5.1733
1967,3,2,4,18,6.5600
1967,3,2,5,34,7.1832
1967,3,3,1,58,4.8649
1967,3,3,2,84,5.2296
1967,3,3,3,83,3.5790
1967,3,3,4,81,4.8775
1967,3,3,5,54,5.1082
1967,4,1,1,31,4.6577
1967,4,1,2,15,12.2974
1967,4,1,3,10,0.8126
1967,4,1,4,15,0.9122
1967,4,1,5,32,5.1421
1967,4,2,1,39,5.5599
1967,4,2,2,23,1.3203
1967,4,2,3,24,2.3303
1967,4,2,4,18,4.8542
1967,4,2,5,34,5.8924
1967,4,3,1,58,5.7028
1967,4,3,2,84,3.9405
1967,4,3,3,83,2.8459
1967,4,3,4,81,7.0430
1967,4,3,5,54,6.8531
1967,5,1,1,31,-0.1984
1967,5,1,2,15,-2.7643
1967,5,1,3,10,0.8043
1967,5,1,4,15,0.4053
1967,5,1,5,32,-0.2369
1967,5,2,1,39,-0.2839
1967,5,2,2,23,-2.6852
1967,5,2,3,24,-3.5543
1967,5,2,4,18,-2.3297
1967,5,2,5,34,-2.6193
1967,5,3,1,58,-2.0773
1967,5,3,2,84,-3.6279
1967,5,3,3,83,-4.8208
1967,5,3,4,81,-6.1410
1967,5,3,5,54,-4.5523
1967,6,1,1,31,8.2297
1967,6,1,2,15,9.3792
1967,6,1,3,10,12.8109
1967,6,1,4,15,10.5685
1967,6,1,5,32,11.5679
1967,6,2,1,39,9.1679
1967,6,2,2,23,8.8642
1967,6,2,3,24,4.1112
1967,6,2,4,18,7.5166
