year,month,rank_ME,rank_CEI,nstocks,ret_vw
1967,1,1,1,43,17.0550
1967,1,1,2,26,16.9824
1967,1,1,3,17,17.8950
1967,1,1,4,23,16.5966
1967,1,1,5,40,19.6898
1967,1,2,1,66,15.9926
1967,1,2,2,44,12.5241
1967,1,2,3,36,14.1293
1967,1,2,4,49,16.4107
1967,1,2,5,41,20.5176
1967,1,3,1,63,12.7384
1967,1,3,2,103,6.9503
1967,1,3,3,121,4.7471
1967,1,3,4,100,7.5192
1967,1,3,5,94,9.2853
1967,2,1,1,43,3.2933
1967,2,1,2,26,1.4293
1967,2,1,3,17,8.4802
1967,2,1,4,23,3.0836
1967,2,1,5,40,4.3800
1967,2,2,1,65,3.2480
1967,2,2,2,44,1.4360
1967,2,2,3,36,1.3930
1967,2,2,4,49,0.3366
1967,2,2,5,41,2.7122
1967,2,3,1,63,-2.0581
1967,2,3,2,103,-0.9126
1967,2,3,3,121,0.4800
1967,2,3,4,100,0.7430
1967,2,3,5,94,4.0419
1967,3,1,1,43,6.6823
1967,3,1,2,26,8.9923
1967,3,1,3,17,5.9672
1967,3,1,4,23,7.4973
1967,3,1,5,40,7.0926
1967,3,2,1,65,6.3098
1967,3,2,2,44,3.8930
1967,3,2,3,36,6.7860
1967,3,2,4,49,5.7371
1967,3,2,5,41,3.6615
1967,3,3,1,63,4.8224
1967,3,3,2,103,4.3056
1967,3,3,3,121,2.8026
1967,3,3,4,100,4.0312
1967,3,3,5,94,5.3778
1967,4,1,1,43,4.3821
1967,4,1,2,26,3.8107
1967,4,1,3,17,2.3895
1967,4,1,4,23,5.0785
1967,4,1,5,40,2.9421
1967,4,2,1,64,2.7992
1967,4,2,2,44,3.4761
1967,4,2,3,36,4.5254
1967,4,2,4,49,4.6449
1967,4,2,5,41,1.5401
1967,4,3,1,63,7.8347
1967,4,3,2,103,2.5024
1967,4,3,3,121,2.6093
1967,4,3,4,100,4.0420
1967,4,3,5,93,6.5623
1967,5,1,1,43,-2.2325
1967,5,1,2,26,2.1882
1967,5,1,3,17,-2.6359
1967,5,1,4,23,2.0825
1967,5,1,5,40,3.1121
1967,5,2,1,64,-0.9716
1967,5,2,2,44,-2.4343
1967,5,2,3,35,-0.9980
1967,5,2,4,49,-0.8303
1967,5,2,5,41,-2.3355
1967,5,3,1,63,-5.3646
1967,5,3,2,103,-2.7544
1967,5,3,3,121,-4.7590
1967,5,3,4,99,-4.9588
1967,5,3,5,93,-4.6006
1967,6,1,1,43,8.4805
1967,6,1,2,26,12.7434
1967,6,1,3,17,9.1643
1967,6,1,4,23,7.2074
1967,6,1,5,40,9.7835
1967,6,2,1,63,8.2379
1967,6,2,2,44,5.3751
1967,6,2,3,34,4.1902
1967,6,2,4,49,8.6396
1967,6,2,5,39,5.2411
1967,6,3,1,63,0.5849
1967,6,3,2,103,2.6622
1967,6,3,3,121,0.2346
1967,6,3,4,96,2.3277
1967,6,3,5,93,4.0924
1967,7,1,1,51,9.7776
1967,7,1,2,30,8.1453
1967,7,1,3,16,11.1428
1967,7,1,4,34,11.9575
1967,7,1,5,36,8.5635
1967,7,2,1,58,8.0023
1967,7,2,2,52,8.5176
1967,7,2,3,46,7.1839
1967,7,2,4,44,5.9350
1967,7,2,5,39,10.4692
1967,7,3,1,71,7.8479
1967,7,3,2,98,6.1295
1967,7,3,3,116,6.5788
1967,7,3,4,100,1.3890
1967,7,3,5,104,4.0821
1967,8,1,1,51,-0.1780
1967,8,1,2,30,0.0429
1967,8,1,3,16,-0.0324
1967,8,1,4,33,1.6029
1967,8,1,5,35,0.8464
1967,8,2,1,58,0.4322
1967,8,2,2,52,1.3638
1967,8,2,3,45,-0.0950
1967,8,2,4,44,-1.4178
1967,8,2,5,39,1.1823
1967,8,3,1,71,0.8392
1967,8,3,2,96,-1.5065
1967,8,3,3,116,-0.9550
1967,8,3,4,99,-0.6911
1967,8,3,5,104,-0.9418
1967,9,1,1,51,5.0705
1967,9,1,2,30,7.4719
1967,9,1,3,16,5.0913
1967,9,1,4,33,4.9769
1967,9,1,5,35,3.1779
1967,9,2,1,58,2.8490
1967,9,2,2,52,4.2360
1967,9,2,3,44,3.4432
1967,9,2,4,44,3.4210
1967,9,2,5,39,3.5858
1967,9,3,1,70,3.6290
1967,9,3,2,96,1.9669
1967,9,3,3,116,3.1918
1967,9,3,4,98,3.8792
1967,9,3,5,104,2.3454
1967,10,1,1,51,-3.9094
1967,10,1,2,30,-1.8177
1967,10,1,3,16,-1.4158
1967,10,1,4,32,-2.2050
1967,10,1,5,35,-4.1702
1967,10,2,1,57,-4.1726
1967,10,2,2,51,-2.5355
1967,10,2,3,44,-0.4808
1967,10,2,4,44,-4.5272
1967,10,2,5,39,-5.2747
1967,10,3,1,69,-6.2747
1967,10,3,2,96,-3.5024
1967,10,3,3,116,-4.6403
1967,10,3,4,96,-0.6378
1967,10,3,5,104,-1.8091
1967,11,1,1,51,-0.5360
1967,11,1,2,30,-0.2333
1967,11,1,3,16,3.8961
1967,11,1,4,32,-1.5191
1967,11,1,5,34,1.5205
1967,11,2,1,56,1.2432
1967,11,2,2,50,-1.6650
1967,11,2,3,44,0.8057
1967,11,2,4,42,1.0070
1967,11,2,5,39,2.4081
1967,11,3,1,70,-1.5961
1967,11,3,2,96,-0.2251
1967,11,3,3,115,0.6109
1967,11,3,4,96,1.5382
1967,11,3,5,104,1.8136
1967,12,1,1,51,7.0368
1967,12,1,2,30,7.4221
1967,12,1,3,16,7.7662
1967,12,1,4,32,7.3170
1967,12,1,5,33,17.1404
1967,12,2,1,56,4.0746
1967,12,2,2,50,8.2281
1967,12,2,3,44,5.9177
1967,12,2,4,42,5.1350
1967,12,2,5,39,7.8425
1967,12,3,1,70,4.3841
1967,12,3,2,95,3.4079
1967,12,3,3,115,3.1294
1967,12,3,4,96,1.4108
1967,12,3,5,103,2.8618
1968,1,1,1,51,3.3670
1968,1,1,2,30,1.2450
1968,1,1,3,16,5.6225
1968,1,1,4,32,0.6291
1968,1,1,5,33,3.2664
1968,1,2,1,56,0.2175
1968,1,2,2,50,-1.0268
1968,1,2,3,44,2.5669
1968,1,2,4,41,-0.5806
1968,1,2,5,39,1.6341
1968,1,3,1,70,-2.6584
1968,1,3,2,93,-0.5405
1968,1,3,3,115,-2.9681
1968,1,3,4,96,-4.3698
1968,1,3,5,103,-9.1062
1968,2,1,1,50,-1.9058
1968,2,1,2,30,-3.1222
1968,2,1,3,14,-5.5139
1968,2,1,4,31,-5.2276
1968,2,1,5,33,-9.7480
1968,2,2,1,55,-4.2718
1968,2,2,2,48,-2.5629
1968,2,2,3,42,-1.8479
1968,2,2,4,39,-6.0017
1968,2,2,5,39,-4.4854
1968,2,3,1,69,-2.6318
1968,2,3,2,93,-1.6665
1968,2,3,3,115,-3.2786
1968,2,3,4,95,-2.0608
1968,2,3,5,103,-5.2506
1968,3,1,1,50,-0.5923
1968,3,1,2,30,0.3988
1968,3,1,3,14,6.4516
1968,3,1,4,31,1.7585
1968,3,1,5,32,-3.8397
1968,3,2,1,54,-1.0851
1968,3,2,2,47,-0.3398
1968,3,2,3,42,-2.7110
1968,3,2,4,38,-3.0819
1968,3,2,5,39,-3.5630
