year,month,rank_ME,rank_DAC,nstocks,ret_vw
1967,1,1,1,70,20.1496
1967,1,1,2,49,19.7768
1967,1,1,3,29,15.4203
1967,1,1,4,49,21.0224
1967,1,1,5,70,19.0873
1967,1,2,1,27,14.3017
1967,1,2,2,38,16.7682
1967,1,2,3,31,16.8414
1967,1,2,4,31,15.4517
1967,1,2,5,43,19.2066
1967,1,3,1,73,10.4272
1967,1,3,2,81,7.6972
1967,1,3,3,81,9.6330
1967,1,3,4,77,4.9861
1967,1,3,5,61,10.7827
1967,2,1,1,70,5.6219
1967,2,1,2,49,6.5205
1967,2,1,3,29,3.9914
1967,2,1,4,49,2.7031
1967,2,1,5,70,4.7557
1967,2,2,1,27,2.5988
1967,2,2,2,38,2.5148
1967,2,2,3,31,0.7616
1967,2,2,4,31,0.6904
1967,2,2,5,43,4.2940
1967,2,3,1,73,2.6245
1967,2,3,2,81,0.9187
1967,2,3,3,81,-0.0880
1967,2,3,4,77,0.3072
1967,2,3,5,61,2.2316
1967,3,1,1,70,5.7685
1967,3,1,2,49,8.2784
1967,3,1,3,29,6.9239
1967,3,1,4,49,5.8339
1967,3,1,5,70,6.0093
1967,3,2,1,27,4.9199
1967,3,2,2,38,4.5551
1967,3,2,3,31,4.1221
1967,3,2,4,31,10.1335
1967,3,2,5,43,8.5070
1967,3,3,1,73,5.2600
1967,3,3,2,81,4.1074
1967,3,3,3,81,5.4730
1967,3,3,4,77,3.8495
1967,3,3,5,61,5.2571
1967,4,1,1,70,4.3916
1967,4,1,2,49,7.7105
1967,4,1,3,29,4.7862
1967,4,1,4,49,4.3692
1967,4,1,5,70,6.0413
1967,4,2,1,27,4.6519
1967,4,2,2,38,2.7211
1967,4,2,3,31,2.7184
1967,4,2,4,31,4.6459
1967,4,2,5,43,6.1025
1967,4,3,1,73,8.3407
1967,4,3,2,81,2.8655
1967,4,3,3,81,3.0591
1967,4,3,4,77,2.3185
1967,4,3,5,61,6.8482
1967,5,1,1,70,-1.2109
1967,5,1,2,49,1.8118
1967,5,1,3,29,5.6352
1967,5,1,4,49,1.0619
1967,5,1,5,70,-0.1862
1967,5,2,1,27,-1.6193
1967,5,2,2,38,0.8101
1967,5,2,3,31,-1.8119
1967,5,2,4,31,-4.1854
1967,5,2,5,43,-1.9588
1967,5,3,1,73,-5.8562
1967,5,3,2,81,-4.9034
1967,5,3,3,81,-2.5287
1967,5,3,4,77,-4.2137
1967,5,3,5,61,-3.8769
1967,6,1,1,68,11.5600
