year,month,rank_ME,rank_dBE,nstocks,ret_vw
1967,1,1,1,34,16.9753
1967,1,1,2,20,17.7535
1967,1,1,3,19,16.4685
1967,1,1,4,26,15.3543
1967,1,1,5,20,26.1511
1967,1,2,1,25,16.4678
1967,1,2,2,15,12.2907
1967,1,2,3,21,18.1896
1967,1,2,4,17,12.2527
1967,1,2,5,20,17.8875
1967,1,3,1,49,7.2295
1967,1,3,2,62,1.9675
1967,1,3,3,59,7.7225
1967,1,3,4,60,9.0025
1967,1,3,5,68,7.6165
1967,2,1,1,34,5.4413
1967,2,1,2,20,4.2636
1967,2,1,3,19,2.6682
1967,2,1,4,26,4.0099
1967,2,1,5,20,3.2379
1967,2,2,1,25,4.1379
1967,2,2,2,15,-0.8466
1967,2,2,3,21,2.2925
1967,2,2,4,17,2.1367
1967,2,2,5,20,2.5650
1967,2,3,1,49,-1.5444
1967,2,3,2,62,-1.4876
1967,2,3,3,59,0.4892
1967,2,3,4,60,-0.6241
1967,2,3,5,68,5.4897
1967,3,1,1,34,9.6804
1967,3,1,2,20,9.7845
1967,3,1,3,19,1.5032
1967,3,1,4,26,9.1363
1967,3,1,5,20,11.7559
1967,3,2,1,25,2.8270
1967,3,2,2,15,4.9808
1967,3,2,3,21,6.5097
1967,3,2,4,17,9.4798
1967,3,2,5,20,4.2540
1967,3,3,1,49,1.9954
1967,3,3,2,62,3.5633
1967,3,3,3,59,4.3382
1967,3,3,4,60,3.6506
1967,3,3,5,68,4.4815
1967,4,1,1,34,3.7691
1967,4,1,2,20,3.2345
1967,4,1,3,19,3.1531
1967,4,1,4,26,11.4978
1967,4,1,5,20,5.5960
1967,4,2,1,25,4.2933
1967,4,2,2,15,-0.1591
1967,4,2,3,21,1.4035
1967,4,2,4,17,2.5514
1967,4,2,5,20,5.9760
1967,4,3,1,49,0.8784
1967,4,3,2,62,2.2296
1967,4,3,3,59,1.1308
1967,4,3,4,60,6.9801
1967,4,3,5,68,5.4884
1967,5,1,1,34,4.8597
1967,5,1,2,20,-3.1072
1967,5,1,3,19,-1.1919
1967,5,1,4,26,0.3732
1967,5,1,5,20,-0.6195
1967,5,2,1,25,-3.0612
1967,5,2,2,15,-1.7343
1967,5,2,3,21,-3.7840
1967,5,2,4,17,1.1925
1967,5,2,5,20,-3.6911
1967,5,3,1,49,-3.2790
1967,5,3,2,62,-3.6440
1967,5,3,3,59,-5.4545
1967,5,3,4,60,-6.0788
1967,5,3,5,68,-4.4481
1967,6,1,1,33,11.4912
1967,6,1,2,20,8.0075
1967,6,1,3,19,6.9469
1967,6,1,4,26,15.4421
1967,6,1,5,20,22.3738
1967,6,2,1,25,7.3238
1967,6,2,2,15,1.2018
1967,6,2,3,21,11.3609
1967,6,2,4,17,10.8155
1967,6,2,5,20,4.4658
1967,6,3,1,49,1.8794
1967,6,3,2,62,-1.3009
1967,6,3,3,58,3.0552
1967,6,3,4,60,-0.0865
1967,6,3,5,68,3.9831
1967,7,1,1,57,10.3004
1967,7,1,2,25,8.4781
1967,7,1,3,25,12.1135
1967,7,1,4,35,10.1219
1967,7,1,5,37,10.4261
1967,7,2,1,27,4.1898
1967,7,2,2,25,7.7593
1967,7,2,3,28,11.5922
1967,7,2,4,19,6.0535
1967,7,2,5,28,8.3116
1967,7,3,1,50,4.8641
1967,7,3,2,73,2.0235
1967,7,3,3,67,6.5237
1967,7,3,4,83,4.9353
1967,7,3,5,74,3.2619
1967,8,1,1,57,1.8667
1967,8,1,2,25,-2.5820
1967,8,1,3,25,1.0514
1967,8,1,4,35,0.5646
1967,8,1,5,37,-0.6432
1967,8,2,1,27,-0.7026
1967,8,2,2,25,-0.2292
1967,8,2,3,28,-0.2355
1967,8,2,4,19,3.6155
1967,8,2,5,28,-2.3082
1967,8,3,1,50,0.1038
1967,8,3,2,73,-0.8615
1967,8,3,3,66,0.3186
