year,month,rank_ME,rank_dCOA,nstocks,ret_vw
1967,1,1,1,99,16.1159
1967,1,1,2,44,18.5925
1967,1,1,3,43,22.4895
1967,1,1,4,69,17.2396
1967,1,1,5,97,19.8000
1967,1,2,1,51,15.1931
1967,1,2,2,36,11.6948
1967,1,2,3,41,17.0533
1967,1,2,4,38,17.2329
1967,1,2,5,49,21.8597
1967,1,3,1,61,6.8334
1967,1,3,2,100,6.8932
1967,1,3,3,93,9.4154
1967,1,3,4,92,11.5869
1967,1,3,5,72,7.9180
1967,2,1,1,99,4.1009
1967,2,1,2,44,4.8779
1967,2,1,3,43,3.7073
1967,2,1,4,69,3.6449
1967,2,1,5,97,6.8369
1967,2,2,1,51,3.0280
1967,2,2,2,36,2.4764
1967,2,2,3,41,2.1847
1967,2,2,4,38,2.1321
1967,2,2,5,49,1.2540
1967,2,3,1,61,0.5258
1967,2,3,2,100,1.1138
1967,2,3,3,93,0.6803
1967,2,3,4,92,2.7806
1967,2,3,5,72,1.6563
1967,3,1,1,99,7.7700
1967,3,1,2,44,4.3973
1967,3,1,3,43,5.9305
1967,3,1,4,69,6.1896
1967,3,1,5,98,7.1312
1967,3,2,1,51,4.6388
1967,3,2,2,36,5.5813
1967,3,2,3,41,8.9164
1967,3,2,4,38,8.5565
1967,3,2,5,49,8.0291
1967,3,3,1,61,4.0707
1967,3,3,2,100,4.2765
1967,3,3,3,93,4.2211
1967,3,3,4,92,7.1961
1967,3,3,5,72,4.1910
1967,4,1,1,99,4.7619
1967,4,1,2,44,3.3598
1967,4,1,3,43,5.0185
1967,4,1,4,69,5.2294
1967,4,1,5,98,5.6158
1967,4,2,1,51,2.1395
1967,4,2,2,36,5.2026
1967,4,2,3,41,4.1106
1967,4,2,4,38,6.9454
1967,4,2,5,49,3.8308
1967,4,3,1,61,1.5896
1967,4,3,2,100,4.1117
1967,4,3,3,93,4.8104
1967,4,3,4,92,6.5030
1967,4,3,5,72,8.6198
1967,5,1,1,99,1.0525
1967,5,1,2,44,2.1660
1967,5,1,3,43,0.9787
1967,5,1,4,69,-1.0081
1967,5,1,5,98,0.9243
1967,5,2,1,51,-1.1718
1967,5,2,2,36,-0.6168
1967,5,2,3,41,-2.5224
1967,5,2,4,38,-1.5324
1967,5,2,5,49,-3.4926
1967,5,3,1,61,-5.0394
1967,5,3,2,100,-2.9794
1967,5,3,3,93,-5.3281
1967,5,3,4,92,-5.0719
1967,5,3,5,72,-5.4308
1967,6,1,1,97,9.1985
1967,6,1,2,44,12.0233
1967,6,1,3,43,10.8103
1967,6,1,4,69,8.7128
1967,6,1,5,98,16.9614
1967,6,2,1,51,6.6273
1967,6,2,2,36,3.9845
1967,6,2,3,41,8.9524
1967,6,2,4,38,8.0174
1967,6,2,5,49,8.3942
1967,6,3,1,61,3.1571
1967,6,3,2,100,2.5498
1967,6,3,3,93,-0.6094
1967,6,3,4,92,3.3375
1967,6,3,5,71,4.6504
1967,7,1,1,131,13.3352
1967,7,1,2,51,10.2580
1967,7,1,3,56,7.9430
1967,7,1,4,66,6.7702
1967,7,1,5,105,10.2553
1967,7,2,1,57,8.4879
1967,7,2,2,45,11.3652
1967,7,2,3,39,5.9669
1967,7,2,4,47,8.0354
1967,7,2,5,60,7.5328
1967,7,3,1,65,-0.9460
1967,7,3,2,98,7.4419
1967,7,3,3,95,3.7651
1967,7,3,4,93,7.0349
1967,7,3,5,90,4.0807
1967,8,1,1,131,2.2801
1967,8,1,2,51,3.4079
1967,8,1,3,56,0.4537
1967,8,1,4,66,-0.1137
1967,8,1,5,105,-1.4797
1967,8,2,1,57,0.3702
1967,8,2,2,45,0.1613
1967,8,2,3,39,2.8422
1967,8,2,4,47,0.1982
1967,8,2,5,60,-3.4027
1967,8,3,1,65,-1.1392
1967,8,3,2,98,-1.2405
1967,8,3,3,95,-0.4124
1967,8,3,4,92,0.1245
1967,8,3,5,90,-0.5353
1967,9,1,1,131,6.5520
1967,9,1,2,51,8.7088
1967,9,1,3,56,8.0140
1967,9,1,4,66,6.4389
1967,9,1,5,105,8.3067
1967,9,2,1,57,4.5014
1967,9,2,2,45,4.6696
