year,month,rank_ME,rank_dFIN,nstocks,ret_vw
1967,1,1,1,97,17.8359
1967,1,1,2,51,20.9325
1967,1,1,3,79,16.0584
1967,1,1,4,39,20.6783
1967,1,1,5,91,18.1542
1967,1,2,1,53,17.6408
1967,1,2,2,37,17.5451
1967,1,2,3,44,16.5176
1967,1,2,4,39,11.8617
1967,1,2,5,58,16.3340
1967,1,3,1,90,8.0192
1967,1,3,2,109,7.6136
1967,1,3,3,111,7.0524
1967,1,3,4,102,7.2057
1967,1,3,5,84,9.0535
1967,2,1,1,97,5.9385
1967,2,1,2,51,3.7172
1967,2,1,3,79,3.1391
1967,2,1,4,39,5.8520
1967,2,1,5,91,4.8224
1967,2,2,1,53,2.5143
1967,2,2,2,37,2.1311
1967,2,2,3,44,1.3619
1967,2,2,4,39,0.9778
1967,2,2,5,58,2.4958
1967,2,3,1,90,3.2871
1967,2,3,2,109,-0.4460
1967,2,3,3,111,-0.7138
1967,2,3,4,102,2.1131
1967,2,3,5,84,1.0137
1967,3,1,1,98,7.4870
1967,3,1,2,51,6.3874
1967,3,1,3,79,9.0978
1967,3,1,4,39,3.6973
1967,3,1,5,91,4.7976
1967,3,2,1,53,8.1673
1967,3,2,2,37,3.3228
1967,3,2,3,44,4.9686
1967,3,2,4,39,5.0942
1967,3,2,5,58,8.8448
1967,3,3,1,90,5.0954
1967,3,3,2,109,4.2535
1967,3,3,3,111,4.1873
1967,3,3,4,102,3.4483
1967,3,3,5,84,4.5612
1967,4,1,1,98,6.6315
1967,4,1,2,51,5.1494
1967,4,1,3,79,3.3044
1967,4,1,4,39,4.1004
1967,4,1,5,91,4.5742
1967,4,2,1,53,3.7905
1967,4,2,2,37,2.8854
1967,4,2,3,44,4.2039
1967,4,2,4,39,4.6450
1967,4,2,5,58,3.9598
1967,4,3,1,90,7.3978
1967,4,3,2,109,2.6774
1967,4,3,3,111,4.6024
1967,4,3,4,102,2.7791
1967,4,3,5,84,4.2271
1967,5,1,1,98,0.6123
1967,5,1,2,51,0.9083
1967,5,1,3,79,2.3402
1967,5,1,4,39,-1.0354
1967,5,1,5,91,0.5558
1967,5,2,1,53,-3.1549
1967,5,2,2,37,-2.5078
1967,5,2,3,44,-2.7902
1967,5,2,4,39,-0.7815
1967,5,2,5,58,-1.2221
1967,5,3,1,90,-5.2325
1967,5,3,2,109,-3.2735
1967,5,3,3,111,-5.0311
1967,5,3,4,102,-4.4931
1967,5,3,5,84,-4.3357
1967,6,1,1,97,15.8117
1967,6,1,2,51,11.2701
1967,6,1,3,79,9.3683
1967,6,1,4,39,8.2134
1967,6,1,5,90,11.4908
1967,6,2,1,53,7.4721
1967,6,2,2,37,6.5059
1967,6,2,3,44,5.9828
1967,6,2,4,39,4.5737
1967,6,2,5,58,8.2693
1967,6,3,1,90,3.2046
