year,month,rank_ME,rank_dFNL,nstocks,ret_vw
1967,1,1,1,91,19.0265
1967,1,1,2,40,21.0517
1967,1,1,3,35,14.9595
1967,1,1,4,49,20.5434
1967,1,1,5,93,17.6805
1967,1,2,1,55,15.6986
1967,1,2,2,40,13.3121
1967,1,2,3,34,17.3393
1967,1,2,4,41,16.8436
1967,1,2,5,48,18.5196
1967,1,3,1,76,8.1753
1967,1,3,2,113,7.7801
1967,1,3,3,103,7.1842
1967,1,3,4,94,7.8657
1967,1,3,5,82,8.2327
1967,2,1,1,91,4.7668
1967,2,1,2,40,6.9275
1967,2,1,3,35,2.8538
1967,2,1,4,49,3.8748
1967,2,1,5,93,5.9167
1967,2,2,1,55,1.9742
1967,2,2,2,40,1.9876
1967,2,2,3,34,-0.2958
1967,2,2,4,41,3.0340
1967,2,2,5,48,2.3750
1967,2,3,1,76,1.2330
1967,2,3,2,113,0.9181
1967,2,3,3,103,0.3817
1967,2,3,4,94,-0.3558
1967,2,3,5,82,2.0390
1967,3,1,1,91,5.4798
1967,3,1,2,40,4.1199
1967,3,1,3,35,9.6482
1967,3,1,4,49,5.8358
1967,3,1,5,94,7.4282
1967,3,2,1,55,9.3162
1967,3,2,2,40,4.1810
1967,3,2,3,34,5.3637
1967,3,2,4,41,3.7252
1967,3,2,5,48,7.9260
1967,3,3,1,76,5.0964
1967,3,3,2,113,3.3172
1967,3,3,3,103,4.7968
1967,3,3,4,94,3.4260
1967,3,3,5,82,5.8247
1967,4,1,1,91,5.0929
1967,4,1,2,40,4.0423
1967,4,1,3,35,1.7712
1967,4,1,4,49,5.1116
1967,4,1,5,94,6.7308
1967,4,2,1,55,4.0794
1967,4,2,2,40,3.7922
1967,4,2,3,34,4.8361
1967,4,2,4,41,2.0419
1967,4,2,5,48,4.5058
1967,4,3,1,76,3.6326
1967,4,3,2,113,3.8806
1967,4,3,3,103,4.7976
1967,4,3,4,94,4.2502
1967,4,3,5,82,5.1748
1967,5,1,1,91,0.5401
1967,5,1,2,40,-1.3601
1967,5,1,3,35,4.1056
1967,5,1,4,49,1.1093
1967,5,1,5,94,0.7065
1967,5,2,1,55,-2.0393
1967,5,2,2,40,0.2340
1967,5,2,3,34,-2.4486
1967,5,2,4,41,-3.4000
1967,5,2,5,48,-3.3557
1967,5,3,1,76,-4.1646
1967,5,3,2,113,-4.2194
1967,5,3,3,103,-4.8587
1967,5,3,4,94,-3.6777
1967,5,3,5,82,-5.4768
1967,6,1,1,90,11.9181
1967,6,1,2,40,8.8352
1967,6,1,3,35,6.7269
1967,6,1,4,49,10.9288
1967,6,1,5,93,15.7415
1967,6,2,1,55,8.5569
1967,6,2,2,40,4.1424
1967,6,2,3,34,7.8296
1967,6,2,4,41,6.7678
1967,6,2,5,48,7.0695
1967,6,3,1,76,4.2256
1967,6,3,2,113,1.5610
1967,6,3,3,102,1.6560
1967,6,3,4,94,1.0575
1967,6,3,5,82,2.4058
1967,7,1,1,126,11.4187
