year,month,rank_ME,rank_dII,nstocks,ret_vw
1967,1,1,1,45,18.7698
1967,1,1,2,35,17.7201
1967,1,1,3,22,18.1185
1967,1,1,4,27,16.5737
1967,1,1,5,44,19.3398
1967,1,2,1,37,17.2330
1967,1,2,2,38,17.4792
1967,1,2,3,22,15.8287
1967,1,2,4,36,14.3889
1967,1,2,5,43,14.7301
1967,1,3,1,85,10.1419
1967,1,3,2,96,5.3405
1967,1,3,3,107,6.4069
1967,1,3,4,93,9.0358
1967,1,3,5,74,7.9833
1967,2,1,1,45,4.7440
1967,2,1,2,35,4.0447
1967,2,1,3,22,3.7108
1967,2,1,4,27,2.9406
1967,2,1,5,44,4.1279
1967,2,2,1,37,1.1714
1967,2,2,2,38,1.4063
1967,2,2,3,22,2.0426
1967,2,2,4,36,3.1134
1967,2,2,5,43,2.8686
1967,2,3,1,85,-0.0074
1967,2,3,2,96,0.4746
1967,2,3,3,107,1.0544
1967,2,3,4,93,1.2713
1967,2,3,5,74,0.0356
1967,3,1,1,45,7.8123
1967,3,1,2,35,6.3897
1967,3,1,3,22,10.9179
1967,3,1,4,27,6.5563
1967,3,1,5,44,4.4810
1967,3,2,1,37,5.4402
1967,3,2,2,38,7.9397
1967,3,2,3,22,3.1501
1967,3,2,4,36,5.1206
1967,3,2,5,43,6.6394
1967,3,3,1,85,4.6186
1967,3,3,2,96,4.3374
1967,3,3,3,107,3.4654
1967,3,3,4,93,4.6017
1967,3,3,5,74,4.3072
1967,4,1,1,45,4.8954
1967,4,1,2,35,4.5453
1967,4,1,3,22,6.1451
1967,4,1,4,27,3.3433
1967,4,1,5,44,5.6699
1967,4,2,1,37,3.0164
1967,4,2,2,38,3.5143
1967,4,2,3,22,4.0283
1967,4,2,4,36,2.1167
1967,4,2,5,43,5.3133
1967,4,3,1,85,4.9834
1967,4,3,2,96,3.2434
1967,4,3,3,107,1.9636
1967,4,3,4,93,7.2799
1967,4,3,5,74,4.8475
1967,5,1,1,45,-1.8211
1967,5,1,2,35,-0.3745
1967,5,1,3,22,-1.0470
1967,5,1,4,27,3.0101
1967,5,1,5,44,-0.0067
1967,5,2,1,37,-2.5382
1967,5,2,2,38,0.0686
1967,5,2,3,22,-5.0047
1967,5,2,4,36,-2.4090
1967,5,2,5,43,-3.0714
1967,5,3,1,85,-2.8793
1967,5,3,2,96,-3.6948
1967,5,3,3,107,-5.4759
1967,5,3,4,93,-5.0117
1967,5,3,5,74,-4.2085
1967,6,1,1,44,12.9692
1967,6,1,2,35,9.5595
1967,6,1,3,22,11.5514
1967,6,1,4,27,8.4078
