year,month,rank_ME,rank_dLNO,nstocks,ret_vw
1967,1,1,1,126,16.6683
1967,1,1,2,64,20.2300
1967,1,1,3,51,20.7254
1967,1,1,4,35,20.9976
1967,1,1,5,64,16.3013
1967,1,2,1,52,15.9531
1967,1,2,2,50,16.2684
1967,1,2,3,34,16.1499
1967,1,2,4,31,17.2237
1967,1,2,5,38,19.1416
1967,1,3,1,53,10.7964
1967,1,3,2,73,8.2400
1967,1,3,3,95,6.9208
1967,1,3,4,93,8.6659
1967,1,3,5,90,8.2158
1967,2,1,1,126,5.1757
1967,2,1,2,64,5.3257
1967,2,1,3,51,4.8702
1967,2,1,4,35,3.2823
1967,2,1,5,64,5.2490
1967,2,2,1,52,2.3127
1967,2,2,2,50,3.6703
1967,2,2,3,34,1.2087
1967,2,2,4,31,1.8255
1967,2,2,5,38,2.5300
1967,2,3,1,53,0.7315
1967,2,3,2,73,0.6160
1967,2,3,3,95,1.5216
1967,2,3,4,93,0.0801
1967,2,3,5,90,2.5086
1967,3,1,1,126,7.4786
1967,3,1,2,64,7.3588
1967,3,1,3,52,4.5528
1967,3,1,4,35,7.5049
1967,3,1,5,64,5.0719
1967,3,2,1,52,7.1409
1967,3,2,2,50,5.3052
1967,3,2,3,34,10.9995
1967,3,2,4,31,6.2751
1967,3,2,5,38,6.0713
1967,3,3,1,53,5.9502
1967,3,3,2,73,4.3264
1967,3,3,3,95,4.1058
1967,3,3,4,93,4.5574
1967,3,3,5,90,4.8821
1967,4,1,1,126,5.4250
1967,4,1,2,64,4.7714
1967,4,1,3,52,4.1419
1967,4,1,4,35,5.3451
1967,4,1,5,64,4.9438
1967,4,2,1,52,4.6850
1967,4,2,2,50,3.6182
1967,4,2,3,34,3.9810
1967,4,2,4,31,5.9439
1967,4,2,5,38,4.3845
1967,4,3,1,53,3.9368
1967,4,3,2,73,6.8433
1967,4,3,3,95,2.8677
1967,4,3,4,93,5.0126
1967,4,3,5,90,5.1351
1967,5,1,1,126,1.5805
1967,5,1,2,64,0.3137
1967,5,1,3,52,-0.2367
1967,5,1,4,35,0.2757
1967,5,1,5,64,1.0877
1967,5,2,1,52,-0.9507
1967,5,2,2,50,-2.3590
1967,5,2,3,34,-0.0364
1967,5,2,4,31,-1.8436
1967,5,2,5,38,-3.9366
1967,5,3,1,53,-1.1493
1967,5,3,2,73,-3.6456
1967,5,3,3,95,-3.9307
1967,5,3,4,93,-5.8462
1967,5,3,5,90,-4.1393
1967,6,1,1,125,10.0380
1967,6,1,2,64,11.5083
1967,6,1,3,51,11.1268
1967,6,1,4,35,13.9141
1967,6,1,5,64,14.8483
1967,6,2,1,52,9.5978
1967,6,2,2,50,7.4903
1967,6,2,3,34,6.9684
1967,6,2,4,31,6.2885
1967,6,2,5,38,6.3416
1967,6,3,1,53,4.9994
1967,6,3,2,73,2.7627
1967,6,3,3,95,1.7571
1967,6,3,4,92,1.7891
1967,6,3,5,90,2.3057
1967,7,1,1,158,9.3736
1967,7,1,2,62,10.0390
1967,7,1,3,58,10.2233
1967,7,1,4,61,9.4318
1967,7,1,5,58,11.4831
1967,7,2,1,56,7.7228
1967,7,2,2,50,10.0509
1967,7,2,3,39,8.5220
1967,7,2,4,39,7.4535
1967,7,2,5,52,8.6441
1967,7,3,1,49,5.2861
1967,7,3,2,85,5.6957
1967,7,3,3,93,8.6481
1967,7,3,4,99,1.0984
1967,7,3,5,99,4.1886
1967,8,1,1,158,1.9225
1967,8,1,2,62,1.8916
1967,8,1,3,58,-2.0555
1967,8,1,4,61,1.3803
1967,8,1,5,58,-0.2370
1967,8,2,1,56,0.8495
1967,8,2,2,50,0.5282
1967,8,2,3,39,0.0399
1967,8,2,4,39,-1.5179
1967,8,2,5,52,-2.0836
1967,8,3,1,48,-0.4132
1967,8,3,2,85,-0.2710
1967,8,3,3,93,-0.7606
1967,8,3,4,99,-1.0177
1967,8,3,5,99,-0.7180
1967,9,1,1,158,6.7158
1967,9,1,2,62,8.5001
1967,9,1,3,58,9.4303
1967,9,1,4,61,4.3951
1967,9,1,5,58,8.0289
1967,9,2,1,56,3.7599
1967,9,2,2,50,6.6330
1967,9,2,3,39,2.3502
1967,9,2,4,39,3.5514
1967,9,2,5,52,4.9163
1967,9,3,1,48,0.8440
1967,9,3,2,84,3.4381
1967,9,3,3,93,3.4191
1967,9,3,4,99,3.6586
1967,9,3,5,99,4.9023
1967,10,1,1,158,-1.7851
1967,10,1,2,62,-0.6418
1967,10,1,3,58,-0.5582
1967,10,1,4,61,-3.4869
1967,10,1,5,58,-3.3132
1967,10,2,1,56,-3.4334
1967,10,2,2,50,-3.4562
1967,10,2,3,39,-6.0801
1967,10,2,4,39,-3.1299
1967,10,2,5,52,-2.5729
1967,10,3,1,48,-2.2318
1967,10,3,2,84,-3.8458
1967,10,3,3,93,-3.1947
1967,10,3,4,99,-2.6174
1967,10,3,5,99,-0.2277
1967,11,1,1,156,-0.9964
1967,11,1,2,62,0.1469
1967,11,1,3,58,-2.2293
1967,11,1,4,61,2.9385
1967,11,1,5,58,3.7142
1967,11,2,1,56,3.4163
1967,11,2,2,50,0.7625
1967,11,2,3,39,0.8130
1967,11,2,4,39,-0.9518
1967,11,2,5,52,-0.5991
1967,11,3,1,48,1.0291
1967,11,3,2,85,0.4782
1967,11,3,3,93,-0.0718
1967,11,3,4,99,0.2768
1967,11,3,5,99,0.9767
1967,12,1,1,156,9.9729
1967,12,1,2,62,10.1199
1967,12,1,3,58,8.1441
1967,12,1,4,60,9.2270
1967,12,1,5,58,5.4502
1967,12,2,1,56,8.4093
1967,12,2,2,50,5.0371
1967,12,2,3,39,4.6727
1967,12,2,4,39,5.5822
1967,12,2,5,52,8.0197
1967,12,3,1,48,2.4054
1967,12,3,2,85,2.9724
1967,12,3,3,93,1.6581
1967,12,3,4,99,2.9440
1967,12,3,5,99,2.9408
1968,1,1,1,156,3.2891
1968,1,1,2,62,0.9315
1968,1,1,3,58,2.4428
1968,1,1,4,60,2.6314
1968,1,1,5,58,4.7555
1968,1,2,1,56,0.7451
1968,1,2,2,50,-4.3374
1968,1,2,3,39,2.3018
1968,1,2,4,39,-1.0906
1968,1,2,5,52,-2.2339
1968,1,3,1,48,0.0198
1968,1,3,2,85,-5.6463
1968,1,3,3,93,-3.9655
1968,1,3,4,99,-4.3520
1968,1,3,5,99,-6.4841
1968,2,1,1,156,-6.3703
1968,2,1,2,62,-5.8295
1968,2,1,3,58,-6.0587
1968,2,1,4,60,-4.0168
1968,2,1,5,57,-7.0237
1968,2,2,1,56,-6.8962
1968,2,2,2,49,-3.9789
1968,2,2,3,39,-1.4139
1968,2,2,4,39,-2.9831
1968,2,2,5,52,-7.5475
1968,2,3,1,48,-2.5432
1968,2,3,2,85,-2.5005
1968,2,3,3,93,-3.0640
1968,2,3,4,99,-2.7156
1968,2,3,5,98,-3.6070
1968,3,1,1,157,-1.2801
1968,3,1,2,62,0.8789
1968,3,1,3,58,-2.5465
1968,3,1,4,60,0.9631
1968,3,1,5,57,-1.7894
1968,3,2,1,56,-0.3224
1968,3,2,2,49,-1.5800
1968,3,2,3,39,-1.4097
1968,3,2,4,39,-1.5219
1968,3,2,5,52,-1.6685
1968,3,3,1,48,1.4861
1968,3,3,2,85,0.8160
1968,3,3,3,93,0.5926
1968,3,3,4,99,1.5962
1968,3,3,5,98,1.6535
1968,4,1,1,156,15.6293
1968,4,1,2,62,15.3953
1968,4,1,3,58,16.9962
1968,4,1,4,60,19.1010
1968,4,1,5,57,20.0642
1968,4,2,1,56,15.0103
1968,4,2,2,49,14.4915
1968,4,2,3,39,7.8942
1968,4,2,4,39,14.6216
1968,4,2,5,52,15.3801
1968,4,3,1,48,10.6776
1968,4,3,2,85,11.6437
1968,4,3,3,93,7.9390
1968,4,3,4,99,7.3590
1968,4,3,5,98,10.5535
1968,5,1,1,156,10.5903
1968,5,1,2,62,8.1955
1968,5,1,3,58,12.0442
1968,5,1,4,60,8.6306
1968,5,1,5,57,14.5303
1968,5,2,1,56,8.2220
1968,5,2,2,49,6.3024
1968,5,2,3,38,8.1396
1968,5,2,4,39,9.0438
1968,5,2,5,52,7.1910
1968,5,3,1,48,1.9360
1968,5,3,2,85,2.2566
1968,5,3,3,93,-0.0598
1968,5,3,4,99,1.3852
1968,5,3,5,98,3.6749
1968,6,1,1,156,0.6061
1968,6,1,2,62,0.7158
1968,6,1,3,58,-1.4097
1968,6,1,4,60,0.4480
1968,6,1,5,57,1.8843
1968,6,2,1,56,-0.4250
1968,6,2,2,49,0.3373
1968,6,2,3,38,0.2399
1968,6,2,4,39,0.3133
1968,6,2,5,52,0.1404
1968,6,3,1,48,1.4568
1968,6,3,2,85,0.1295
1968,6,3,3,93,1.0173
1968,6,3,4,99,0.2594
1968,6,3,5,98,-0.2192
1968,7,1,1,228,-1.6790
1968,7,1,2,116,-3.3590
1968,7,1,3,75,-5.3297
1968,7,1,4,71,-4.1255
1968,7,1,5,87,-4.8543
1968,7,2,1,59,-3.8474
1968,7,2,2,53,-0.9113
1968,7,2,3,57,-4.3162
1968,7,2,4,43,-6.8640
1968,7,2,5,61,-5.9388
1968,7,3,1,49,-2.8401
1968,7,3,2,92,-4.4515
1968,7,3,3,86,-2.8521
1968,7,3,4,106,1.2469
1968,7,3,5,103,-4.2560
1968,8,1,1,227,5.8387
1968,8,1,2,116,5.2248
1968,8,1,3,75,3.9724
1968,8,1,4,71,3.2995
1968,8,1,5,87,2.9184
1968,8,2,1,59,4.0147
1968,8,2,2,52,4.3298
1968,8,2,3,57,4.2628
1968,8,2,4,43,3.9665
1968,8,2,5,61,5.4679
1968,8,3,1,48,2.7218
1968,8,3,2,92,0.3342
1968,8,3,3,86,2.1328
1968,8,3,4,106,1.6987
1968,8,3,5,103,1.5369
1968,9,1,1,227,7.3625
1968,9,1,2,116,6.5378
1968,9,1,3,75,7.8291
1968,9,1,4,71,5.7997
1968,9,1,5,87,9.6457
1968,9,2,1,59,6.4252
1968,9,2,2,52,8.5671
1968,9,2,3,57,6.2482
1968,9,2,4,42,7.8146
1968,9,2,5,61,6.9686
1968,9,3,1,48,4.4307
1968,9,3,2,92,6.6882
1968,9,3,3,86,5.6145
1968,9,3,4,106,3.7751
1968,9,3,5,103,2.4450
1968,10,1,1,226,-0.2883
1968,10,1,2,115,1.2318
1968,10,1,3,75,0.6291
1968,10,1,4,71,1.0946
1968,10,1,5,87,0.4760
1968,10,2,1,59,0.4443
1968,10,2,2,52,-0.8013
1968,10,2,3,57,1.7631
1968,10,2,4,42,3.5198
1968,10,2,5,61,0.5310
1968,10,3,1,48,1.0185
1968,10,3,2,92,2.2816
1968,10,3,3,86,0.0944
1968,10,3,4,105,2.7814
