year,month,rank_ME,rank_dLTI,nstocks,ret_vw
1967,1,1,1,42,17.3871
1967,1,1,2,40,19.5808
1967,1,1,3,1,19.6512
1967,1,1,4,22,22.9838
1967,1,1,5,36,19.2443
1967,1,2,1,22,17.4460
1967,1,2,2,42,14.0185
1967,1,2,3,9,15.9347
1967,1,2,4,17,22.6835
1967,1,2,5,24,17.3023
1967,1,3,1,49,11.4981
1967,1,3,2,52,8.1414
1967,1,3,3,52,5.1502
1967,1,3,4,54,9.9201
1967,1,3,5,51,8.1540
1967,2,1,1,42,2.1570
1967,2,1,2,40,3.4404
1967,2,1,3,1,6.1224
1967,2,1,4,22,2.8257
1967,2,1,5,36,4.6564
1967,2,2,1,22,3.3143
1967,2,2,2,42,1.6782
1967,2,2,3,9,0.2715
1967,2,2,4,17,3.4920
1967,2,2,5,24,2.9657
1967,2,3,1,49,-1.1827
1967,2,3,2,52,-0.3158
1967,2,3,3,52,1.5340
1967,2,3,4,54,0.8140
1967,2,3,5,51,1.1566
1967,3,1,1,43,8.3099
1967,3,1,2,40,5.7090
1967,3,1,3,1,-9.6154
1967,3,1,4,22,7.1696
1967,3,1,5,36,7.2547
1967,3,2,1,22,6.7483
1967,3,2,2,42,6.4766
1967,3,2,3,9,2.2367
1967,3,2,4,17,7.6367
1967,3,2,5,24,7.4333
1967,3,3,1,49,5.0659
1967,3,3,2,52,3.8379
1967,3,3,3,52,3.7026
1967,3,3,4,54,5.1893
1967,3,3,5,51,5.8261
1967,4,1,1,43,5.1455
1967,4,1,2,40,5.0135
1967,4,1,3,1,8.5106
1967,4,1,4,22,3.5449
1967,4,1,5,36,4.8220
1967,4,2,1,22,5.0890
1967,4,2,2,42,1.8800
1967,4,2,3,9,2.9130
1967,4,2,4,17,5.5043
1967,4,2,5,24,6.6895
1967,4,3,1,49,9.6371
1967,4,3,2,52,3.7918
1967,4,3,3,52,0.7057
1967,4,3,4,54,6.3122
1967,4,3,5,51,6.1328
1967,5,1,1,43,-0.9074
1967,5,1,2,40,3.9468
1967,5,1,3,1,-9.8039
1967,5,1,4,22,-1.7000
1967,5,1,5,36,0.9767
1967,5,2,1,22,-3.5705
1967,5,2,2,42,-0.6410
1967,5,2,3,9,-1.5874
1967,5,2,4,17,-4.6848
1967,5,2,5,24,3.2539
1967,5,3,1,49,-5.5214
1967,5,3,2,52,-3.7036
1967,5,3,3,52,-5.1141
1967,5,3,4,54,-4.8658
1967,5,3,5,51,-4.3754
1967,6,1,1,43,11.4409
1967,6,1,2,39,11.1999
1967,6,1,3,1,-2.1739
1967,6,1,4,22,6.5864
1967,6,1,5,36,14.4434
1967,6,2,1,22,7.9433
1967,6,2,2,42,7.3631
1967,6,2,3,9,4.8919
1967,6,2,4,17,10.6287
1967,6,2,5,24,7.7622
1967,6,3,1,49,1.0398
1967,6,3,2,52,0.6066
1967,6,3,3,52,2.0782
1967,6,3,4,54,2.6063
1967,6,3,5,51,2.9894
1967,7,1,1,35,10.5933
1967,7,1,2,61,8.5233
1967,7,1,3,5,13.4030
1967,7,1,4,27,10.7832
1967,7,1,5,35,7.2206
1967,7,2,1,31,11.3859
1967,7,2,2,35,8.2398
1967,7,2,3,8,13.3746
1967,7,2,4,26,6.3616
1967,7,2,5,31,6.9540
1967,7,3,1,52,8.8761
1967,7,3,2,53,2.5472
1967,7,3,3,56,4.6101
1967,7,3,4,58,5.3973
1967,7,3,5,43,9.0096
1967,8,1,1,35,1.6624
1967,8,1,2,61,1.2883
1967,8,1,3,5,-4.9420
1967,8,1,4,27,1.0980
1967,8,1,5,35,-0.6472
1967,8,2,1,31,1.2870
