year,month,rank_ME,rank_dNCA,nstocks,ret_vw
1967,1,1,1,135,17.2901
1967,1,1,2,67,20.3241
1967,1,1,3,40,16.5112
1967,1,1,4,44,20.9913
1967,1,1,5,71,17.4567
1967,1,2,1,61,15.8253
1967,1,2,2,56,16.0155
1967,1,2,3,32,14.9576
1967,1,2,4,32,15.0828
1967,1,2,5,49,17.6523
1967,1,3,1,62,10.8326
1967,1,3,2,93,6.7257
1967,1,3,3,119,7.0798
1967,1,3,4,120,7.1471
1967,1,3,5,102,8.6089
1967,2,1,1,135,5.9247
1967,2,1,2,67,4.2899
1967,2,1,3,40,0.6297
1967,2,1,4,44,3.9298
1967,2,1,5,71,5.7789
1967,2,2,1,61,1.3187
1967,2,2,2,56,2.5704
1967,2,2,3,32,1.0647
1967,2,2,4,32,2.2182
1967,2,2,5,49,2.5885
1967,2,3,1,62,0.4691
1967,2,3,2,93,-0.9930
1967,2,3,3,119,-0.1428
1967,2,3,4,120,0.7986
1967,2,3,5,102,3.2149
1967,3,1,1,135,7.4943
1967,3,1,2,67,5.7946
1967,3,1,3,41,5.6574
1967,3,1,4,44,5.9097
1967,3,1,5,71,6.3542
1967,3,2,1,61,6.7445
1967,3,2,2,56,8.0010
1967,3,2,3,32,4.9653
1967,3,2,4,32,5.9317
1967,3,2,5,49,5.9462
1967,3,3,1,62,5.4762
1967,3,3,2,93,4.0548
1967,3,3,3,119,4.3256
1967,3,3,4,120,3.2884
1967,3,3,5,102,5.8790
1967,4,1,1,135,4.4763
1967,4,1,2,67,5.5284
1967,4,1,3,41,4.7183
1967,4,1,4,44,5.9825
1967,4,1,5,71,4.3942
1967,4,2,1,61,4.0571
1967,4,2,2,56,3.7913
1967,4,2,3,32,3.3945
1967,4,2,4,32,3.0387
1967,4,2,5,49,4.9143
1967,4,3,1,62,2.7863
1967,4,3,2,93,3.6966
1967,4,3,3,119,4.6122
1967,4,3,4,120,4.2163
1967,4,3,5,102,5.5062
1967,5,1,1,135,1.3461
1967,5,1,2,67,-1.5194
1967,5,1,3,41,0.9619
1967,5,1,4,44,2.0821
1967,5,1,5,71,1.2464
1967,5,2,1,61,-1.2534
1967,5,2,2,56,-3.2156
1967,5,2,3,32,0.6620
1967,5,2,4,32,-1.3879
1967,5,2,5,49,-3.6280
1967,5,3,1,62,-0.5340
1967,5,3,2,93,-3.9104
1967,5,3,3,119,-3.8675
1967,5,3,4,120,-5.6638
1967,5,3,5,102,-4.6607
1967,6,1,1,135,9.9723
1967,6,1,2,67,12.7934
1967,6,1,3,40,5.7072
1967,6,1,4,44,13.4462
1967,6,1,5,70,15.5901
1967,6,2,1,61,9.0444
1967,6,2,2,56,7.2279
1967,6,2,3,32,4.6118
1967,6,2,4,32,5.8436
1967,6,2,5,49,5.9707
1967,6,3,1,62,4.4534
1967,6,3,2,93,2.6807
1967,6,3,3,119,0.5953
1967,6,3,4,120,0.9263
1967,6,3,5,101,3.1761
1967,7,1,1,172,10.1286
1967,7,1,2,65,7.9546
1967,7,1,3,53,10.1374
1967,7,1,4,57,9.8996
1967,7,1,5,70,11.0754
1967,7,2,1,74,7.9052
1967,7,2,2,48,9.0183
1967,7,2,3,51,6.9117
1967,7,2,4,35,7.2544
1967,7,2,5,57,8.0175
1967,7,3,1,53,6.5213
1967,7,3,2,108,5.2503
1967,7,3,3,117,8.1188
1967,7,3,4,128,1.4699
1967,7,3,5,112,3.8099
1967,8,1,1,172,1.3939
1967,8,1,2,65,1.3432
1967,8,1,3,53,0.2843
1967,8,1,4,57,-1.8446
1967,8,1,5,70,0.7746
1967,8,2,1,74,1.0557
1967,8,2,2,48,0.2121
1967,8,2,3,51,-0.5779
1967,8,2,4,35,0.3094
1967,8,2,5,57,-2.4950
