year,month,rank_ME,rank_dNCO,nstocks,ret_vw
1967,1,1,1,123,18.2094
1967,1,1,2,57,18.7692
1967,1,1,3,40,18.1149
1967,1,1,4,51,21.7059
1967,1,1,5,70,16.8625
1967,1,2,1,54,15.7088
1967,1,2,2,55,16.3575
1967,1,2,3,27,15.7431
1967,1,2,4,30,14.6274
1967,1,2,5,40,17.2751
1967,1,3,1,64,10.9536
1967,1,3,2,85,9.1980
1967,1,3,3,115,5.6630
1967,1,3,4,109,7.1196
1967,1,3,5,101,8.4924
1967,2,1,1,123,7.0745
1967,2,1,2,57,2.9519
1967,2,1,3,40,1.1523
1967,2,1,4,51,3.5006
1967,2,1,5,70,5.9785
1967,2,2,1,54,1.3606
1967,2,2,2,55,2.6551
1967,2,2,3,27,3.2739
1967,2,2,4,30,1.5120
1967,2,2,5,40,2.3192
1967,2,3,1,64,0.4709
1967,2,3,2,85,-0.8715
1967,2,3,3,115,0.4524
1967,2,3,4,109,0.4420
1967,2,3,5,101,3.1600
1967,3,1,1,123,7.0527
1967,3,1,2,57,6.3703
1967,3,1,3,41,6.0383
1967,3,1,4,51,6.0989
1967,3,1,5,70,6.2203
1967,3,2,1,54,7.3308
1967,3,2,2,55,6.9535
1967,3,2,3,27,5.1462
1967,3,2,4,30,5.6207
1967,3,2,5,40,5.5831
1967,3,3,1,64,4.6792
1967,3,3,2,85,3.4001
1967,3,3,3,115,4.0588
1967,3,3,4,109,3.4522
1967,3,3,5,101,6.0237
1967,4,1,1,123,3.8033
1967,4,1,2,57,5.9469
1967,4,1,3,41,5.5438
1967,4,1,4,51,5.8702
1967,4,1,5,70,4.4752
1967,4,2,1,54,2.7809
1967,4,2,2,55,4.5256
1967,4,2,3,27,4.7573
1967,4,2,4,30,2.9970
1967,4,2,5,40,4.8438
1967,4,3,1,64,2.8037
1967,4,3,2,85,7.0198
1967,4,3,3,115,2.3935
1967,4,3,4,109,4.3523
1967,4,3,5,101,5.7043
1967,5,1,1,123,2.1429
1967,5,1,2,57,-0.6028
1967,5,1,3,41,-1.2096
1967,5,1,4,51,0.9736
1967,5,1,5,70,1.1906
1967,5,2,1,54,0.1211
1967,5,2,2,55,-3.3192
1967,5,2,3,27,-0.8428
1967,5,2,4,30,-2.1019
1967,5,2,5,40,-2.7980
1967,5,3,1,64,-1.6585
1967,5,3,2,85,-4.4959
1967,5,3,3,115,-3.6323
1967,5,3,4,109,-5.5928
1967,5,3,5,101,-4.5801
1967,6,1,1,123,10.7829
1967,6,1,2,57,12.3505
1967,6,1,3,40,5.7141
1967,6,1,4,51,13.4644
1967,6,1,5,69,15.7975
1967,6,2,1,54,8.3263
1967,6,2,2,55,7.9761
1967,6,2,3,27,5.3761
1967,6,2,4,30,3.4043
1967,6,2,5,40,6.1909
1967,6,3,1,64,3.8906
1967,6,3,2,85,2.9121
1967,6,3,3,115,0.7905
1967,6,3,4,109,0.8443
1967,6,3,5,100,3.1306
1967,7,1,1,159,10.3025
1967,7,1,2,60,8.8818
1967,7,1,3,55,8.0047
1967,7,1,4,48,8.4756
1967,7,1,5,73,11.5042
1967,7,2,1,64,7.4016
1967,7,2,2,43,10.3996
1967,7,2,3,51,6.2811
1967,7,2,4,32,7.5758
1967,7,2,5,49,7.6306
1967,7,3,1,57,5.2404
1967,7,3,2,103,5.3938
1967,7,3,3,110,8.3448
1967,7,3,4,122,1.6489
1967,7,3,5,107,3.8419
1967,8,1,1,159,1.7621
