year,month,rank_ME,rank_dNOA,nstocks,ret_vw
1967,1,1,1,31,16.3845
1967,1,1,2,17,17.8559
1967,1,1,3,18,14.3445
1967,1,1,4,17,17.7171
1967,1,1,5,31,24.4006
1967,1,2,1,24,13.6246
1967,1,2,2,15,16.4912
1967,1,2,3,13,21.8190
1967,1,2,4,15,16.0959
1967,1,2,5,16,21.4710
1967,1,3,1,30,11.5448
1967,1,3,2,45,8.4055
1967,1,3,3,52,7.2686
1967,1,3,4,44,6.6041
1967,1,3,5,49,8.4965
1967,2,1,1,31,5.2214
1967,2,1,2,17,6.3864
1967,2,1,3,18,3.5882
1967,2,1,4,17,-1.9445
1967,2,1,5,31,6.5456
1967,2,2,1,24,2.7050
1967,2,2,2,15,6.2684
1967,2,2,3,13,0.1435
1967,2,2,4,15,1.4648
1967,2,2,5,16,3.0704
1967,2,3,1,30,-0.2549
1967,2,3,2,45,-0.5766
1967,2,3,3,52,1.2564
1967,2,3,4,44,0.0228
1967,2,3,5,49,5.4723
1967,3,1,1,31,8.5720
1967,3,1,2,17,9.3479
1967,3,1,3,18,10.0939
1967,3,1,4,17,4.5679
1967,3,1,5,31,10.5238
1967,3,2,1,24,5.3909
1967,3,2,2,15,10.0834
1967,3,2,3,13,5.0860
1967,3,2,4,15,8.6410
1967,3,2,5,16,4.5181
1967,3,3,1,30,5.0298
1967,3,3,2,45,4.0758
1967,3,3,3,52,3.7662
1967,3,3,4,44,3.7291
1967,3,3,5,49,5.6314
1967,4,1,1,31,2.1989
1967,4,1,2,17,6.8191
1967,4,1,3,18,3.7740
1967,4,1,4,17,5.5971
1967,4,1,5,31,10.3596
1967,4,2,1,24,2.4027
1967,4,2,2,15,4.2508
1967,4,2,3,13,3.8961
1967,4,2,4,15,3.0426
1967,4,2,5,16,4.4783
1967,4,3,1,30,3.2036
1967,4,3,2,45,7.0416
1967,4,3,3,52,1.2092
1967,4,3,4,44,4.7362
1967,4,3,5,49,6.9146
1967,5,1,1,31,-1.6715
1967,5,1,2,17,5.1128
1967,5,1,3,18,0.8313
1967,5,1,4,17,1.5562
1967,5,1,5,31,-1.6988
1967,5,2,1,24,-0.8677
1967,5,2,2,15,-4.1359
1967,5,2,3,13,-1.0937
1967,5,2,4,15,-1.5708
1967,5,2,5,16,-3.2598
1967,5,3,1,30,-3.2837
1967,5,3,2,45,-5.4262
1967,5,3,3,52,-5.0034
1967,5,3,4,44,-6.1379
1967,5,3,5,49,-4.1886
1967,6,1,1,31,9.6762
1967,6,1,2,17,14.5332
1967,6,1,3,18,6.6222
1967,6,1,4,17,9.4057
1967,6,1,5,30,22.4426
1967,6,2,1,24,11.0266
1967,6,2,2,15,13.3569
1967,6,2,3,13,4.3966
1967,6,2,4,15,7.3442
1967,6,2,5,16,5.5701
1967,6,3,1,30,5.3566
1967,6,3,2,45,1.0545
1967,6,3,3,51,1.2469
1967,6,3,4,44,-0.1576
1967,6,3,5,49,5.5727
1967,7,1,1,62,9.9547
1967,7,1,2,17,8.8063
1967,7,1,3,25,15.0951
1967,7,1,4,29,10.0981
1967,7,1,5,38,10.7325
1967,7,2,1,34,8.8958
1967,7,2,2,24,10.6156
1967,7,2,3,17,7.3918
1967,7,2,4,9,8.6623
1967,7,2,5,26,7.7446
1967,7,3,1,35,6.1594
1967,7,3,2,54,0.7591
1967,7,3,3,61,5.1932
1967,7,3,4,62,8.1566
1967,7,3,5,58,3.7942
1967,8,1,1,62,3.4143
1967,8,1,2,17,-1.3372
1967,8,1,3,25,0.9252
1967,8,1,4,29,-0.7908
1967,8,1,5,38,-2.3619
1967,8,2,1,34,-0.0785
1967,8,2,2,24,1.0192
1967,8,2,3,17,-0.2310
1967,8,2,4,9,2.1463
1967,8,2,5,26,-2.0120
1967,8,3,1,35,0.8411
1967,8,3,2,53,-1.6027
1967,8,3,3,61,-0.7106
1967,8,3,4,62,-0.5360
1967,8,3,5,58,-1.0646
1967,9,1,1,62,4.8284
1967,9,1,2,17,10.9714
1967,9,1,3,25,10.1526
1967,9,1,4,29,8.8737
1967,9,1,5,38,9.4541
1967,9,2,1,34,3.9781
1967,9,2,2,24,5.1040
1967,9,2,3,17,3.6764
1967,9,2,4,9,6.1132
1967,9,2,5,26,5.7952
1967,9,3,1,35,4.7126
1967,9,3,2,53,3.2574
1967,9,3,3,61,3.3673
1967,9,3,4,62,4.6566
1967,9,3,5,58,5.4016
1967,10,1,1,62,-3.6007
1967,10,1,2,17,-5.0221
1967,10,1,3,25,-3.1160
1967,10,1,4,29,-0.9197
1967,10,1,5,38,-1.0089
1967,10,2,1,34,-4.5348
1967,10,2,2,24,-2.3672
1967,10,2,3,17,0.4431
1967,10,2,4,9,-6.3553
1967,10,2,5,26,-6.0191
1967,10,3,1,35,-5.9393
1967,10,3,2,53,-2.2388
1967,10,3,3,61,-3.0825
1967,10,3,4,62,-4.2886
1967,10,3,5,58,3.0120
1967,11,1,1,61,-1.3103
1967,11,1,2,17,-3.6096
1967,11,1,3,25,0.8789
1967,11,1,4,29,-0.0281
