year,month,rank_ME,rank_dPIA,nstocks,ret_vw
1967,1,1,1,114,17.7381
1967,1,1,2,54,17.3852
1967,1,1,3,45,17.4609
1967,1,1,4,46,18.7468
1967,1,1,5,89,20.6513
1967,1,2,1,47,16.4619
1967,1,2,2,47,14.9092
1967,1,2,3,40,14.7809
1967,1,2,4,28,16.8231
1967,1,2,5,51,20.4790
1967,1,3,1,57,10.3949
1967,1,3,2,85,6.9382
1967,1,3,3,100,7.2458
1967,1,3,4,101,9.8671
1967,1,3,5,75,8.1396
1967,2,1,1,114,6.4582
1967,2,1,2,54,2.7562
1967,2,1,3,45,2.6617
1967,2,1,4,46,3.7475
1967,2,1,5,89,6.0636
1967,2,2,1,47,1.5969
1967,2,2,2,47,2.7584
1967,2,2,3,40,4.1112
1967,2,2,4,28,0.4710
1967,2,2,5,51,1.8010
1967,2,3,1,57,0.7024
1967,2,3,2,85,-0.1961
1967,2,3,3,100,1.7361
1967,2,3,4,101,0.0841
1967,2,3,5,75,3.5860
1967,3,1,1,114,8.2615
1967,3,1,2,54,4.3217
1967,3,1,3,45,5.9573
1967,3,1,4,46,4.4170
1967,3,1,5,90,7.7566
1967,3,2,1,47,4.9992
1967,3,2,2,47,7.5534
1967,3,2,3,40,7.0865
1967,3,2,4,28,8.3242
1967,3,2,5,51,7.8291
1967,3,3,1,57,4.1867
1967,3,3,2,85,4.4052
1967,3,3,3,100,4.1229
1967,3,3,4,101,4.6404
1967,3,3,5,75,5.6658
1967,4,1,1,114,4.4064
1967,4,1,2,54,5.6334
1967,4,1,3,45,2.2598
1967,4,1,4,46,5.8665
1967,4,1,5,90,5.7109
1967,4,2,1,47,3.8188
1967,4,2,2,47,4.5334
1967,4,2,3,40,3.2707
1967,4,2,4,28,5.7769
1967,4,2,5,51,4.3326
1967,4,3,1,57,2.8581
1967,4,3,2,85,3.8439
1967,4,3,3,100,2.2804
1967,4,3,4,101,6.4469
1967,4,3,5,75,7.3322
1967,5,1,1,114,1.4604
1967,5,1,2,54,-0.1035
1967,5,1,3,45,1.5134
1967,5,1,4,46,1.0744
1967,5,1,5,90,0.2477
1967,5,2,1,47,-0.7710
1967,5,2,2,47,-2.7151
1967,5,2,3,40,-0.2720
1967,5,2,4,28,-2.8753
1967,5,2,5,51,-3.1536
1967,5,3,1,57,-0.3118
1967,5,3,2,85,-3.8898
1967,5,3,3,100,-4.8613
1967,5,3,4,101,-5.3922
1967,5,3,5,75,-4.8508
1967,6,1,1,112,10.4028
1967,6,1,2,54,9.3585
1967,6,1,3,45,7.6363
1967,6,1,4,46,11.7581
1967,6,1,5,90,17.2585
1967,6,2,1,47,6.9616
1967,6,2,2,47,7.7536
1967,6,2,3,40,6.6515
1967,6,2,4,28,6.8540
1967,6,2,5,51,8.0568
1967,6,3,1,57,4.1964
1967,6,3,2,85,2.6278
1967,6,3,3,100,1.4946
1967,6,3,4,101,0.9752
1967,6,3,5,74,4.0543
1967,7,1,1,139,11.3288
1967,7,1,2,68,10.8511
1967,7,1,3,62,9.7061
1967,7,1,4,67,10.8977
1967,7,1,5,68,7.4623
1967,7,2,1,66,8.5298
1967,7,2,2,43,10.1366
1967,7,2,3,37,8.0732
1967,7,2,4,34,6.8423
1967,7,2,5,66,7.9883
1967,7,3,1,47,7.4107
1967,7,3,2,99,3.3718
1967,7,3,3,99,5.9950
1967,7,3,4,102,5.8076
1967,7,3,5,94,4.0872
1967,8,1,1,139,1.7000
1967,8,1,2,68,2.1441
1967,8,1,3,62,0.3210
1967,8,1,4,67,-0.3405
1967,8,1,5,68,-0.8868
