year,month,rank_ME,rank_dWC,nstocks,ret_vw
1967,1,1,1,93,19.7521
1967,1,1,2,43,19.3257
1967,1,1,3,44,16.8961
1967,1,1,4,68,17.9439
1967,1,1,5,104,18.6026
1967,1,2,1,39,14.1214
1967,1,2,2,37,13.4239
1967,1,2,3,45,16.7178
1967,1,2,4,41,16.8173
1967,1,2,5,53,21.5899
1967,1,3,1,72,9.8532
1967,1,3,2,95,7.0216
1967,1,3,3,93,8.3745
1967,1,3,4,88,9.3094
1967,1,3,5,70,9.0608
1967,2,1,1,93,5.6199
1967,2,1,2,43,1.7239
1967,2,1,3,44,4.0897
1967,2,1,4,68,5.1814
1967,2,1,5,104,5.6241
1967,2,2,1,39,2.1529
1967,2,2,2,37,2.8567
1967,2,2,3,45,2.5303
1967,2,2,4,41,1.7006
1967,2,2,5,53,1.8129
1967,2,3,1,72,-0.1031
1967,2,3,2,95,0.9528
1967,2,3,3,93,1.3939
1967,2,3,4,88,2.7354
1967,2,3,5,70,1.4055
1967,3,1,1,94,4.1527
1967,3,1,2,43,8.8057
1967,3,1,3,44,7.7785
1967,3,1,4,68,6.4948
1967,3,1,5,104,7.2251
1967,3,2,1,39,5.0716
1967,3,2,2,37,4.9643
1967,3,2,3,45,7.6947
1967,3,2,4,41,9.2699
1967,3,2,5,53,8.0874
1967,3,3,1,72,4.0916
1967,3,3,2,95,4.5087
1967,3,3,3,93,3.4432
1967,3,3,4,88,7.6357
1967,3,3,5,70,4.6936
1967,4,1,1,94,4.4575
1967,4,1,2,43,4.2095
1967,4,1,3,44,5.4826
1967,4,1,4,68,4.5317
1967,4,1,5,104,5.7228
1967,4,2,1,39,2.8474
1967,4,2,2,37,2.8288
1967,4,2,3,45,3.8964
1967,4,2,4,41,5.2109
1967,4,2,5,53,5.7739
1967,4,3,1,72,5.3761
1967,4,3,2,95,4.2034
1967,4,3,3,93,3.4758
1967,4,3,4,88,3.6939
1967,4,3,5,70,8.4375
1967,5,1,1,94,0.8315
1967,5,1,2,43,2.5070
1967,5,1,3,44,1.9025
1967,5,1,4,68,-0.1396
1967,5,1,5,104,0.1784
1967,5,2,1,39,-0.7842
1967,5,2,2,37,-1.0803
1967,5,2,3,45,-1.6891
1967,5,2,4,41,-3.0442
1967,5,2,5,53,-2.9247
1967,5,3,1,72,-4.8580
1967,5,3,2,95,-4.4839
1967,5,3,3,93,-4.4575
1967,5,3,4,88,-4.2385
1967,5,3,5,70,-4.8840
1967,6,1,1,93,11.8874
1967,6,1,2,42,6.8559
1967,6,1,3,44,8.6983
1967,6,1,4,68,8.8640
1967,6,1,5,104,18.0019
1967,6,2,1,39,6.4243
1967,6,2,2,37,5.7832
1967,6,2,3,45,9.8413
1967,6,2,4,41,5.6568
1967,6,2,5,53,7.8416
1967,6,3,1,71,3.3664
1967,6,3,2,95,2.3086
1967,6,3,3,93,-0.0980
1967,6,3,4,88,2.9893
1967,6,3,5,70,3.9641
1967,7,1,1,122,12.4477
1967,7,1,2,49,8.8478
1967,7,1,3,53,11.1759
1967,7,1,4,82,9.8525
1967,7,1,5,103,8.0780
1967,7,2,1,58,7.1495
1967,7,2,2,49,10.7089
1967,7,2,3,44,6.7220
1967,7,2,4,47,9.2822
1967,7,2,5,50,7.9894
1967,7,3,1,71,0.9985
1967,7,3,2,97,5.6513
1967,7,3,3,94,5.7353
1967,7,3,4,92,6.8595
1967,7,3,5,87,4.4177
1967,8,1,1,122,2.0573
1967,8,1,2,49,3.9127
1967,8,1,3,53,0.6776
1967,8,1,4,82,-0.5550
1967,8,1,5,103,-1.1306
1967,8,2,1,58,0.1836
1967,8,2,2,49,-0.7532
1967,8,2,3,44,2.5433
1967,8,2,4,47,-0.2480
1967,8,2,5,50,-2.7150
1967,8,3,1,71,-0.8835
1967,8,3,2,97,-1.3380
1967,8,3,3,94,-0.4027
1967,8,3,4,91,-0.2907
1967,8,3,5,87,-0.0125
1967,9,1,1,122,5.9276
1967,9,1,2,49,6.8892
1967,9,1,3,53,6.9539
1967,9,1,4,82,10.1890
1967,9,1,5,103,7.6946
