year,month,rank_ME,rank_IA,nstocks,ret_vw
1967,1,1,1,103,17.7828
1967,1,1,2,43,15.9701
1967,1,1,3,57,17.1709
1967,1,1,4,59,20.3457
1967,1,1,5,95,19.3429
1967,1,2,1,51,14.3016
1967,1,2,2,44,15.2347
1967,1,2,3,42,15.3640
1967,1,2,4,45,14.7776
1967,1,2,5,49,20.2048
1967,1,3,1,78,8.2281
1967,1,3,2,111,4.9790
1967,1,3,3,101,7.3294
1967,1,3,4,110,8.9408
1967,1,3,5,96,9.6018
1967,2,1,1,103,5.2819
1967,2,1,2,43,1.9048
1967,2,1,3,57,3.3721
1967,2,1,4,59,2.8209
1967,2,1,5,95,7.1730
1967,2,2,1,51,2.1824
1967,2,2,2,44,1.2042
1967,2,2,3,42,5.5636
1967,2,2,4,45,-1.0544
1967,2,2,5,49,2.1907
1967,2,3,1,78,-0.2544
1967,2,3,2,111,-0.6960
1967,2,3,3,101,-0.5440
1967,2,3,4,110,2.6164
1967,2,3,5,96,2.4728
1967,3,1,1,103,6.2949
1967,3,1,2,43,9.5255
1967,3,1,3,57,4.8087
1967,3,1,4,59,5.9516
1967,3,1,5,96,6.9039
1967,3,2,1,51,6.4255
1967,3,2,2,44,4.8364
1967,3,2,3,42,4.3917
1967,3,2,4,45,8.2016
1967,3,2,5,49,8.2558
1967,3,3,1,78,2.8301
1967,3,3,2,111,3.4864
1967,3,3,3,101,3.9073
1967,3,3,4,110,5.0418
1967,3,3,5,96,5.3659
1967,4,1,1,103,3.2660
1967,4,1,2,43,5.7675
1967,4,1,3,57,3.1465
1967,4,1,4,59,6.4832
1967,4,1,5,96,6.1809
1967,4,2,1,51,3.7015
1967,4,2,2,44,1.4031
1967,4,2,3,42,5.1219
1967,4,2,4,45,3.8932
1967,4,2,5,49,4.9788
1967,4,3,1,78,1.9603
1967,4,3,2,111,1.0995
1967,4,3,3,101,2.9445
1967,4,3,4,110,7.4565
1967,4,3,5,96,6.8222
1967,5,1,1,103,1.3575
1967,5,1,2,43,0.3907
1967,5,1,3,57,-0.2577
1967,5,1,4,59,-0.1371
1967,5,1,5,96,1.5283
1967,5,2,1,51,-0.2883
1967,5,2,2,44,-2.4797
1967,5,2,3,42,-3.3125
1967,5,2,4,45,-1.0542
1967,5,2,5,49,-3.1934
1967,5,3,1,78,-2.7624
1967,5,3,2,111,-4.3449
1967,5,3,3,101,-3.8104
1967,5,3,4,110,-5.4925
1967,5,3,5,96,-4.7429
1967,6,1,1,102,9.2451
1967,6,1,2,43,12.1869
1967,6,1,3,57,6.8316
