year,month,rank_ME,rank_IAq_1,nstocks,ret_vw
1973,1,1,1,61,-4.7087
1973,1,1,2,18,-2.2087
1973,1,1,3,13,-1.8075
1973,1,1,4,12,-1.8583
1973,1,1,5,23,-3.4222
1973,1,2,1,16,-4.3438
1973,1,2,2,19,-8.5562
1973,1,2,3,14,-5.1633
1973,1,2,4,11,-6.7245
1973,1,2,5,9,-6.9924
1973,1,3,1,18,-3.5537
1973,1,3,2,20,-6.6608
1973,1,3,3,25,-4.4646
1973,1,3,4,30,-3.7525
1973,1,3,5,30,-4.5641
1973,2,1,1,48,-8.8179
1973,2,1,2,15,-2.7664
1973,2,1,3,9,-11.2924
1973,2,1,4,12,-9.8161
1973,2,1,5,23,-14.8376
1973,2,2,1,17,-6.1766
1973,2,2,2,16,-5.5309
1973,2,2,3,6,-5.3581
1973,2,2,4,9,-5.6010
1973,2,2,5,10,-11.5223
1973,2,3,1,13,-4.5558
1973,2,3,2,21,-3.1769
1973,2,3,3,31,-1.3456
1973,2,3,4,27,-3.0429
1973,2,3,5,28,-7.6868
1973,3,1,1,49,0.7136
1973,3,1,2,16,-0.1676
1973,3,1,3,13,-4.3462
1973,3,1,4,12,-5.1244
1973,3,1,5,23,-3.9381
1973,3,2,1,19,-3.3119
1973,3,2,2,14,-1.0839
1973,3,2,3,6,-1.9641
1973,3,2,4,7,-2.8845
1973,3,2,5,13,-5.3117
1973,3,3,1,14,0.1608
1973,3,3,2,24,-2.8795
1973,3,3,3,30,-1.9546
1973,3,3,4,29,-3.6306
1973,3,3,5,29,-3.3605
1973,4,1,1,49,-8.0778
1973,4,1,2,20,-9.8196
1973,4,1,3,11,-10.2132
1973,4,1,4,13,-6.1613
1973,4,1,5,32,-12.0614
1973,4,2,1,18,-3.8892
1973,4,2,2,12,-5.7168
1973,4,2,3,4,-12.8317
1973,4,2,4,8,-5.3231
1973,4,2,5,11,-8.2142
1973,4,3,1,14,0.3285
1973,4,3,2,23,-4.6242
1973,4,3,3,32,-3.6780
1973,4,3,4,25,-1.5789
1973,4,3,5,27,-3.9138
1973,5,1,1,155,-11.8520
1973,5,1,2,60,-8.9418
1973,5,1,3,68,-5.9029
1973,5,1,4,53,-10.9225
1973,5,1,5,111,-11.4952
1973,5,2,1,47,-8.1491
1973,5,2,2,54,-5.8625
1973,5,2,3,51,-8.7147
1973,5,2,4,33,-7.0168
1973,5,2,5,67,-7.7067
1973,5,3,1,65,-2.3862
1973,5,3,2,92,-2.0084
1973,5,3,3,101,-2.1905
1973,5,3,4,113,-0.5109
1973,5,3,5,103,-0.6952
1973,6,1,1,151,-2.0945
1973,6,1,2,63,-3.7020
1973,6,1,3,66,-6.2363
1973,6,1,4,63,-3.2301
1973,6,1,5,120,-6.3761
1973,6,2,1,47,-1.3626
1973,6,2,2,56,-3.4848
1973,6,2,3,46,-2.0575
1973,6,2,4,35,-3.8409
1973,6,2,5,61,-5.5917
1973,6,3,1,67,-0.7725
1973,6,3,2,93,0.5666
1973,6,3,3,105,-2.4735
1973,6,3,4,115,-0.2701
1973,6,3,5,100,-1.5765
1973,7,1,1,147,14.0080
1973,7,1,2,65,10.1690
1973,7,1,3,62,11.5638
1973,7,1,4,63,15.6985
1973,7,1,5,113,17.8403
1973,7,2,1,45,7.4663
1973,7,2,2,56,7.9844
1973,7,2,3,48,9.0031
1973,7,2,4,35,11.6532
1973,7,2,5,64,17.3372
1973,7,3,1,68,4.8093
1973,7,3,2,92,2.5495
1973,7,3,3,105,3.5931
1973,7,3,4,116,3.2044
1973,7,3,5,105,7.0102
1973,8,1,1,43,-5.5156
1973,8,1,2,15,-8.1669
1973,8,1,3,12,-8.8213
1973,8,1,4,13,-5.4812
1973,8,1,5,30,-8.8667
1973,8,2,1,18,-6.1006
1973,8,2,2,8,-6.8966
1973,8,2,3,7,-3.0788
1973,8,2,4,10,-5.6072
1973,8,2,5,13,-6.2530
1973,8,3,1,6,2.2325
1973,8,3,2,27,-3.2659
1973,8,3,3,29,-3.6379
1973,8,3,4,25,-1.4006
1973,8,3,5,23,-4.2699
1973,9,1,1,38,8.6253
1973,9,1,2,13,9.6642
1973,9,1,3,14,4.1477
1973,9,1,4,12,5.7716
1973,9,1,5,24,14.2815
1973,9,2,1,18,9.1037
1973,9,2,2,8,6.6512
1973,9,2,3,5,8.2621
1973,9,2,4,11,9.7227
1973,9,2,5,10,7.7749
1973,9,3,1,5,4.0744
1973,9,3,2,26,7.8390
1973,9,3,3,27,5.8981
1973,9,3,4,19,7.2937
1973,9,3,5,23,7.7899
1973,10,1,1,39,4.3641
1973,10,1,2,8,2.2593
1973,10,1,3,15,-4.8844
1973,10,1,4,10,-1.2596
1973,10,1,5,29,-3.3979
1973,10,2,1,20,-2.4042
1973,10,2,2,8,1.6026
1973,10,2,3,6,3.7854
1973,10,2,4,11,-2.1538
1973,10,2,5,10,-2.0444
1973,10,3,1,4,-3.7749
1973,10,3,2,28,-3.3441
1973,10,3,3,24,-3.7563
1973,10,3,4,20,-3.9227
1973,10,3,5,21,-0.6816
1973,11,1,1,54,-16.8277
1973,11,1,2,16,-19.5489
1973,11,1,3,15,-17.6021
1973,11,1,4,23,-24.2579
1973,11,1,5,35,-22.6158
1973,11,2,1,21,-13.1760
1973,11,2,2,17,-17.9942
1973,11,2,3,10,-17.6443
1973,11,2,4,7,-22.8574
1973,11,2,5,18,-23.8784
1973,11,3,1,8,-8.2285
1973,11,3,2,23,-11.2200
1973,11,3,3,30,-9.8692
1973,11,3,4,31,-16.7783
1973,11,3,5,29,-15.0177
1973,12,1,1,50,-8.2051
1973,12,1,2,21,-1.3060
1973,12,1,3,12,-9.3331
1973,12,1,4,23,-7.3021
