year,month,rank_ME,rank_IG2,nstocks,ret_vw
1967,1,1,1,49,19.9472
1967,1,1,2,31,15.3786
1967,1,1,3,23,19.0079
1967,1,1,4,24,19.7926
1967,1,1,5,43,18.6642
1967,1,2,1,41,17.3212
1967,1,2,2,28,16.0692
1967,1,2,3,26,19.2043
1967,1,2,4,28,17.9086
1967,1,2,5,41,15.6008
1967,1,3,1,67,9.1542
1967,1,3,2,86,6.1001
1967,1,3,3,86,6.9355
1967,1,3,4,82,10.6016
1967,1,3,5,61,9.1766
1967,2,1,1,49,5.0374
1967,2,1,2,31,5.8738
1967,2,1,3,23,-0.2403
1967,2,1,4,24,3.7796
1967,2,1,5,43,4.7601
1967,2,2,1,41,2.1395
1967,2,2,2,28,0.6350
1967,2,2,3,26,3.4568
1967,2,2,4,28,3.5962
1967,2,2,5,41,2.4868
1967,2,3,1,67,0.6969
1967,2,3,2,86,0.2458
1967,2,3,3,86,2.1712
1967,2,3,4,82,1.8684
1967,2,3,5,61,-0.1131
1967,3,1,1,49,5.3438
1967,3,1,2,31,8.2782
1967,3,1,3,23,14.5525
1967,3,1,4,24,1.6459
1967,3,1,5,43,6.8671
1967,3,2,1,41,6.5512
1967,3,2,2,28,7.3687
1967,3,2,3,26,7.3043
1967,3,2,4,28,4.4895
1967,3,2,5,41,7.7182
1967,3,3,1,67,3.5543
1967,3,3,2,86,4.1140
1967,3,3,3,86,3.7442
1967,3,3,4,82,5.4859
1967,3,3,5,61,5.0412
1967,4,1,1,49,4.8225
1967,4,1,2,31,4.8741
1967,4,1,3,23,4.6639
1967,4,1,4,24,3.9948
1967,4,1,5,43,6.1092
1967,4,2,1,41,4.0147
1967,4,2,2,28,3.6442
1967,4,2,3,26,2.2867
1967,4,2,4,28,2.4320
1967,4,2,5,41,5.6276
1967,4,3,1,67,5.8600
1967,4,3,2,86,1.6973
1967,4,3,3,86,2.6037
1967,4,3,4,82,8.4187
1967,4,3,5,61,4.8995
1967,5,1,1,49,-1.9805
1967,5,1,2,31,0.3020
1967,5,1,3,23,-1.6480
1967,5,1,4,24,3.2332
1967,5,1,5,43,-0.0557
1967,5,2,1,41,-1.0721
1967,5,2,2,28,-0.9662
1967,5,2,3,26,-2.1039
1967,5,2,4,28,-5.0630
1967,5,2,5,41,-2.2063
1967,5,3,1,67,-2.5089
1967,5,3,2,86,-4.3000
1967,5,3,3,86,-3.7894
1967,5,3,4,82,-5.8253
1967,5,3,5,61,-4.8780
1967,6,1,1,48,12.2010
1967,6,1,2,31,9.4846
1967,6,1,3,23,12.6844
1967,6,1,4,24,9.7019
1967,6,1,5,43,13.6540
1967,6,2,1,41,8.1522
1967,6,2,2,28,5.9361
1967,6,2,3,26,7.1559
1967,6,2,4,28,6.2611
1967,6,2,5,41,7.2681
1967,6,3,1,67,2.5318
1967,6,3,2,86,2.1455
1967,6,3,3,86,2.6169
1967,6,3,4,82,2.0946
1967,6,3,5,61,1.8484
1967,7,1,1,69,8.9334
1967,7,1,2,28,10.4707
1967,7,1,3,36,10.3594
1967,7,1,4,27,11.8046
1967,7,1,5,53,8.4150
1967,7,2,1,44,9.8459
1967,7,2,2,40,7.0398
1967,7,2,3,23,13.4400
1967,7,2,4,33,8.4528
1967,7,2,5,41,6.8115
1967,7,3,1,70,5.8183
1967,7,3,2,81,3.8916
1967,7,3,3,93,4.0057
1967,7,3,4,90,4.2515
1967,7,3,5,80,8.2775
1967,8,1,1,69,0.3683
1967,8,1,2,28,-0.4445
1967,8,1,3,36,-0.2578
1967,8,1,4,27,0.4127
1967,8,1,5,53,2.1299
1967,8,2,1,44,1.7645
1967,8,2,2,40,0.9552
1967,8,2,3,23,1.2305
1967,8,2,4,33,-0.0009
1967,8,2,5,41,-0.9833
1967,8,3,1,70,0.1988
1967,8,3,2,81,-0.8342
1967,8,3,3,93,-0.7216
1967,8,3,4,89,-0.9435
1967,8,3,5,80,-0.3918
1967,9,1,1,69,4.3038
1967,9,1,2,28,6.4274
1967,9,1,3,36,4.4965
1967,9,1,4,27,6.3024
1967,9,1,5,53,6.7258
1967,9,2,1,44,3.2157
1967,9,2,2,40,2.6435
1967,9,2,3,23,8.0187
1967,9,2,4,33,2.4427
1967,9,2,5,41,5.1769
1967,9,3,1,69,2.3228
1967,9,3,2,81,3.7437
1967,9,3,3,93,3.2104
1967,9,3,4,89,5.4207
1967,9,3,5,80,2.1159
1967,10,1,1,69,-2.2074
1967,10,1,2,28,-2.8297
1967,10,1,3,36,-2.6962
1967,10,1,4,27,-2.4201
1967,10,1,5,53,-1.8633
1967,10,2,1,44,-5.6532
1967,10,2,2,40,-2.0866
1967,10,2,3,23,-2.1450
1967,10,2,4,32,-3.5975
1967,10,2,5,41,-6.5897
1967,10,3,1,69,-4.7078
1967,10,3,2,81,-2.5322
1967,10,3,3,93,-3.8121
