year,month,rank_ME,rank_IG,nstocks,ret_vw
1967,1,1,1,62,18.3561
1967,1,1,2,32,17.3081
1967,1,1,3,23,19.0746
1967,1,1,4,31,17.5761
1967,1,1,5,67,19.6967
1967,1,2,1,51,17.9392
1967,1,2,2,37,15.4060
1967,1,2,3,31,17.1130
1967,1,2,4,33,15.2669
1967,1,2,5,42,16.5144
1967,1,3,1,67,7.0860
1967,1,3,2,92,7.1124
1967,1,3,3,90,8.6885
1967,1,3,4,93,9.0606
1967,1,3,5,69,9.2486
1967,2,1,1,62,4.7449
1967,2,1,2,32,5.1114
1967,2,1,3,23,-0.1826
1967,2,1,4,31,3.0649
1967,2,1,5,67,5.2654
1967,2,2,1,51,2.3351
1967,2,2,2,37,3.3933
1967,2,2,3,31,0.7376
1967,2,2,4,33,-0.5815
1967,2,2,5,42,4.0346
1967,2,3,1,67,1.7568
1967,2,3,2,92,0.1821
1967,2,3,3,90,1.8204
1967,2,3,4,93,2.1020
1967,2,3,5,69,-0.4209
1967,3,1,1,62,7.5607
1967,3,1,2,32,6.6184
1967,3,1,3,23,5.2163
1967,3,1,4,31,5.5827
1967,3,1,5,67,5.6932
1967,3,2,1,51,8.8202
1967,3,2,2,37,4.4268
1967,3,2,3,31,7.2367
1967,3,2,4,33,6.4708
1967,3,2,5,42,7.9395
1967,3,3,1,67,4.4816
1967,3,3,2,92,4.2785
1967,3,3,3,90,4.3374
1967,3,3,4,93,5.1216
1967,3,3,5,69,5.2035
1967,4,1,1,62,6.8121
1967,4,1,2,32,6.1205
1967,4,1,3,23,-0.5740
1967,4,1,4,31,6.2488
1967,4,1,5,67,3.9832
1967,4,2,1,51,3.4818
1967,4,2,2,37,3.5374
1967,4,2,3,31,6.1734
1967,4,2,4,33,5.2096
1967,4,2,5,42,3.7355
1967,4,3,1,67,4.6432
1967,4,3,2,92,2.3929
1967,4,3,3,90,4.2166
1967,4,3,4,93,7.0125
1967,4,3,5,69,5.9668
1967,5,1,1,62,1.0334
1967,5,1,2,32,-0.0371
1967,5,1,3,23,-1.3750
1967,5,1,4,31,0.5302
1967,5,1,5,67,0.5320
1967,5,2,1,51,-3.8042
1967,5,2,2,37,-0.7723
1967,5,2,3,31,-2.7350
1967,5,2,4,33,-1.5091
1967,5,2,5,42,-1.8630
1967,5,3,1,67,-4.3410
1967,5,3,2,92,-4.2799
1967,5,3,3,90,-4.5338
1967,5,3,4,93,-5.0001
1967,5,3,5,69,-4.4533
1967,6,1,1,62,13.9660
1967,6,1,2,32,9.0503
1967,6,1,3,23,8.8577
1967,6,1,4,31,11.3791
1967,6,1,5,67,11.0461
1967,6,2,1,51,10.4594
1967,6,2,2,37,6.5225
1967,6,2,3,31,5.2486
1967,6,2,4,33,6.1440
1967,6,2,5,42,5.6631
1967,6,3,1,67,2.5457
1967,6,3,2,92,2.4160
1967,6,3,3,90,0.8845
1967,6,3,4,93,2.5190
1967,6,3,5,69,3.8264
1967,7,1,1,80,9.4134
1967,7,1,2,44,11.6874
1967,7,1,3,37,12.1761
1967,7,1,4,43,10.5592
1967,7,1,5,58,6.8819
1967,7,2,1,52,6.0800
1967,7,2,2,41,9.3689
1967,7,2,3,42,9.2294
1967,7,2,4,32,10.0486
1967,7,2,5,50,8.0543
1967,7,3,1,58,5.2318
1967,7,3,2,92,3.2310
1967,7,3,3,97,5.2227
1967,7,3,4,107,5.9650
1967,7,3,5,77,4.9858
1967,8,1,1,80,1.3667
1967,8,1,2,44,-0.2763
1967,8,1,3,37,1.2637
1967,8,1,4,43,-0.8270
1967,8,1,5,58,2.2533
1967,8,2,1,52,1.9467
1967,8,2,2,41,-0.4232
1967,8,2,3,42,0.5580
1967,8,2,4,32,-0.4062
1967,8,2,5,50,-1.6822
1967,8,3,1,58,-0.1058
1967,8,3,2,91,-0.6090
1967,8,3,3,97,-1.3551
1967,8,3,4,107,0.0943
1967,8,3,5,77,-0.7492
1967,9,1,1,80,7.0742
1967,9,1,2,44,5.6697
1967,9,1,3,37,5.8737
1967,9,1,4,43,5.5430
1967,9,1,5,58,4.9517
1967,9,2,1,52,4.1307
1967,9,2,2,41,2.2547
1967,9,2,3,42,3.7381
1967,9,2,4,32,4.8729
1967,9,2,5,50,4.9711
1967,9,3,1,58,3.8000
1967,9,3,2,90,3.4746
1967,9,3,3,97,4.0438
1967,9,3,4,107,4.3374
1967,9,3,5,77,1.4359
1967,10,1,1,80,-2.4086
1967,10,1,2,44,-0.8200
1967,10,1,3,37,-3.3368
1967,10,1,4,43,-4.4925
1967,10,1,5,58,-2.1417
1967,10,2,1,52,-5.2166
1967,10,2,2,41,-3.3463
1967,10,2,3,41,-6.0372
1967,10,2,4,32,1.2765
1967,10,2,5,50,-5.8862
1967,10,3,1,58,-5.5433
1967,10,3,2,90,-3.0869
1967,10,3,3,97,-0.4530
1967,10,3,4,107,-3.1650
1967,10,3,5,77,-1.8062
1967,11,1,1,79,-0.8147
1967,11,1,2,44,-0.4522
1967,11,1,3,37,3.0948
1967,11,1,4,42,2.4007
1967,11,1,5,58,-1.0868
1967,11,2,1,51,0.5862
1967,11,2,2,41,-0.0253
1967,11,2,3,41,1.0458
1967,11,2,4,32,1.4842
1967,11,2,5,50,-0.4244
1967,11,3,1,58,-1.2604
1967,11,3,2,91,0.6708
1967,11,3,3,97,0.7328
1967,11,3,4,107,-0.2161
1967,11,3,5,77,1.9041
1967,12,1,1,79,8.7598
1967,12,1,2,44,5.9646
1967,12,1,3,36,10.3389
1967,12,1,4,42,8.7738
1967,12,1,5,58,6.4496
1967,12,2,1,51,4.1711
1967,12,2,2,41,5.8049
1967,12,2,3,41,8.2004
1967,12,2,4,32,3.1292
1967,12,2,5,50,7.0327
1967,12,3,1,58,4.6781
1967,12,3,2,91,1.8933
1967,12,3,3,97,3.1255
1967,12,3,4,107,2.0022
1967,12,3,5,77,2.4818
1968,1,1,1,79,1.2264
1968,1,1,2,44,1.6418
1968,1,1,3,36,0.7257
1968,1,1,4,43,1.6992
1968,1,1,5,58,5.2616
1968,1,2,1,51,3.0695
1968,1,2,2,41,-0.8653
1968,1,2,3,41,-0.4792
1968,1,2,4,32,-1.0286
1968,1,2,5,50,-3.3986
1968,1,3,1,58,-3.8518
1968,1,3,2,91,-2.9805
1968,1,3,3,97,-4.5543
1968,1,3,4,107,-6.2847
1968,1,3,5,77,-7.5483
1968,2,1,1,79,-5.5475
1968,2,1,2,44,-6.0151
1968,2,1,3,36,-4.6814
1968,2,1,4,43,-3.1136
1968,2,1,5,57,-5.5699
1968,2,2,1,50,-1.9996
1968,2,2,2,40,-4.6581
1968,2,2,3,41,-3.3133
1968,2,2,4,32,-4.7387
1968,2,2,5,50,-7.4412
1968,2,3,1,58,-3.9460
1968,2,3,2,91,-2.6960
1968,2,3,3,97,-3.1122
1968,2,3,4,107,-2.3226
1968,2,3,5,76,-5.5799
1968,3,1,1,79,1.5030
1968,3,1,2,44,-1.5092
1968,3,1,3,36,-0.3692
1968,3,1,4,43,-0.6086
1968,3,1,5,57,-1.6162
1968,3,2,1,50,-0.8361
1968,3,2,2,40,-1.4943
1968,3,2,3,41,0.2347
1968,3,2,4,32,-2.6152
1968,3,2,5,50,-1.8135
1968,3,3,1,58,-1.2935
1968,3,3,2,91,0.6299
1968,3,3,3,97,2.1547
1968,3,3,4,107,1.2011
1968,3,3,5,76,2.0411
1968,4,1,1,79,16.1591
1968,4,1,2,43,18.9621
1968,4,1,3,36,17.1455
1968,4,1,4,43,13.6652
1968,4,1,5,57,13.0199
1968,4,2,1,50,12.1438
1968,4,2,2,40,14.2332
1968,4,2,3,41,16.2338
1968,4,2,4,32,11.2034
1968,4,2,5,50,12.9205
1968,4,3,1,58,9.6872
1968,4,3,2,91,8.2029
1968,4,3,3,97,8.6091
1968,4,3,4,107,10.0050
1968,4,3,5,76,12.6489
1968,5,1,1,79,8.9198
1968,5,1,2,43,8.8024
1968,5,1,3,36,9.1624
1968,5,1,4,43,10.7683
1968,5,1,5,57,10.3041
1968,5,2,1,50,5.5432
1968,5,2,2,40,6.6478
1968,5,2,3,41,6.5582
1968,5,2,4,31,7.5854
1968,5,2,5,50,8.0297
1968,5,3,1,58,2.6785
1968,5,3,2,91,1.1499
1968,5,3,3,97,2.2946
1968,5,3,4,106,0.9769
1968,5,3,5,76,2.4490
1968,6,1,1,79,0.7778
1968,6,1,2,43,-0.4933
1968,6,1,3,36,1.1532
1968,6,1,4,43,2.1415
1968,6,1,5,57,1.3291
1968,6,2,1,50,0.8581
1968,6,2,2,40,0.2739
1968,6,2,3,41,1.5679
1968,6,2,4,31,-0.1957
1968,6,2,5,50,0.0645
1968,6,3,1,58,-0.4766
1968,6,3,2,91,0.5297
1968,6,3,3,97,0.6920
1968,6,3,4,106,0.2753
1968,6,3,5,76,-0.0511
1968,7,1,1,129,-2.4835
1968,7,1,2,45,-1.6916
1968,7,1,3,55,-2.7785
1968,7,1,4,49,-5.6643
1968,7,1,5,113,-3.8710
1968,7,2,1,51,-2.3831
1968,7,2,2,50,-4.7252
1968,7,2,3,45,-4.4279
1968,7,2,4,43,-2.8300
1968,7,2,5,54,-6.5477
1968,7,3,1,59,-2.0400
1968,7,3,2,94,-2.7534
1968,7,3,3,102,-1.9899
1968,7,3,4,105,-0.8164
1968,7,3,5,76,-5.8741
1968,8,1,1,129,5.4907
1968,8,1,2,45,5.4922
1968,8,1,3,55,6.3486
1968,8,1,4,49,2.0495
1968,8,1,5,113,3.1649
1968,8,2,1,50,5.4179
1968,8,2,2,50,4.2577
1968,8,2,3,45,3.3923
1968,8,2,4,43,3.8441
1968,8,2,5,54,4.2757
1968,8,3,1,59,2.8539
1968,8,3,2,93,1.3464
1968,8,3,3,102,1.4391
1968,8,3,4,105,1.7551
1968,8,3,5,76,1.6208
1968,9,1,1,129,6.7351
1968,9,1,2,45,6.6286
1968,9,1,3,55,9.7760
1968,9,1,4,49,6.3544
1968,9,1,5,113,7.5771
1968,9,2,1,50,7.6823
1968,9,2,2,50,6.5695
1968,9,2,3,44,7.9002
1968,9,2,4,43,6.4381
1968,9,2,5,54,5.3811
1968,9,3,1,59,5.2094
1968,9,3,2,93,4.7515
1968,9,3,3,102,3.7253
1968,9,3,4,105,3.4157
1968,9,3,5,76,5.7338
1968,10,1,1,129,1.0130
1968,10,1,2,44,1.0823
1968,10,1,3,55,-0.0046
1968,10,1,4,49,-1.7915
1968,10,1,5,113,0.5122
1968,10,2,1,50,1.2733
1968,10,2,2,50,-0.9068
1968,10,2,3,44,1.3394
1968,10,2,4,43,3.5053
1968,10,2,5,54,1.3772
1968,10,3,1,59,1.2905
1968,10,3,2,93,-0.7044
1968,10,3,3,102,1.9064
1968,10,3,4,104,1.0876
1968,10,3,5,76,0.3744
1968,11,1,1,128,8.1525
1968,11,1,2,44,6.4664
1968,11,1,3,55,6.1322
1968,11,1,4,49,6.4961
1968,11,1,5,113,6.1804
1968,11,2,1,50,8.0093
1968,11,2,2,50,8.1540
1968,11,2,3,45,6.1684
1968,11,2,4,43,8.8486
1968,11,2,5,54,7.3195
1968,11,3,1,59,5.3183
1968,11,3,2,93,4.9162
1968,11,3,3,102,5.0254
1968,11,3,4,104,5.3786
1968,11,3,5,76,6.5119
1968,12,1,1,128,1.1847
1968,12,1,2,45,2.0745
1968,12,1,3,55,1.2653
1968,12,1,4,49,0.0806
1968,12,1,5,113,0.6296
