year,month,rank_ME,rank_IVC,nstocks,ret_vw
1967,1,1,1,104,19.5963
1967,1,1,2,31,13.8895
1967,1,1,3,43,17.7240
1967,1,1,4,71,19.0177
1967,1,1,5,98,19.5952
1967,1,2,1,52,15.2289
1967,1,2,2,33,13.8833
1967,1,2,3,30,15.7642
1967,1,2,4,42,16.3717
1967,1,2,5,51,21.1472
1967,1,3,1,55,7.4768
1967,1,3,2,102,6.7703
1967,1,3,3,108,9.5654
1967,1,3,4,84,10.1537
1967,1,3,5,66,8.0984
1967,2,1,1,104,5.7140
1967,2,1,2,31,3.4678
1967,2,1,3,43,3.7055
1967,2,1,4,71,2.4482
1967,2,1,5,98,6.9574
1967,2,2,1,52,1.5043
1967,2,2,2,33,2.8696
1967,2,2,3,30,1.7761
1967,2,2,4,42,3.9504
1967,2,2,5,51,1.1501
1967,2,3,1,55,0.3085
1967,2,3,2,102,0.9148
1967,2,3,3,108,1.2356
1967,2,3,4,84,3.5523
1967,2,3,5,66,0.4108
1967,3,1,1,104,6.5233
1967,3,1,2,31,6.2057
1967,3,1,3,43,3.6385
1967,3,1,4,71,6.0484
1967,3,1,5,99,8.4203
1967,3,2,1,52,4.5202
1967,3,2,2,33,3.9674
1967,3,2,3,30,9.0591
1967,3,2,4,42,8.4481
1967,3,2,5,51,8.6810
1967,3,3,1,55,3.8881
1967,3,3,2,102,4.2120
1967,3,3,3,108,5.1325
1967,3,3,4,84,3.8594
1967,3,3,5,66,6.7203
1967,4,1,1,104,5.4323
1967,4,1,2,31,0.9322
1967,4,1,3,43,5.3265
1967,4,1,4,71,4.4669
1967,4,1,5,99,5.9327
1967,4,2,1,52,4.7172
1967,4,2,2,33,4.0931
1967,4,2,3,30,0.8959
1967,4,2,4,42,6.4751
1967,4,2,5,51,4.6963
1967,4,3,1,55,0.9295
1967,4,3,2,102,3.8910
1967,4,3,3,108,5.9634
1967,4,3,4,84,6.7055
1967,4,3,5,66,7.7187
1967,5,1,1,104,2.1354
1967,5,1,2,31,-1.3074
1967,5,1,3,43,1.8306
1967,5,1,4,71,-0.8526
1967,5,1,5,99,1.0806
1967,5,2,1,52,-2.4190
1967,5,2,2,33,-2.4968
1967,5,2,3,30,-1.9944
1967,5,2,4,42,0.4593
1967,5,2,5,51,-3.3895
1967,5,3,1,55,-3.7726
1967,5,3,2,102,-3.8609
1967,5,3,3,108,-5.4150
1967,5,3,4,84,-4.3906
1967,5,3,5,66,-5.7095
1967,6,1,1,102,11.9035
1967,6,1,2,31,8.2466
1967,6,1,3,43,8.6128
1967,6,1,4,71,9.2641
1967,6,1,5,99,16.8486
1967,6,2,1,52,5.1715
1967,6,2,2,33,7.2990
1967,6,2,3,30,4.1922
1967,6,2,4,42,8.5504
1967,6,2,5,51,8.9980
1967,6,3,1,55,3.4492
1967,6,3,2,102,1.7026
1967,6,3,3,108,0.3766
1967,6,3,4,84,4.4571
1967,6,3,5,65,4.8893
1967,7,1,1,121,11.6606
1967,7,1,2,56,9.7228
1967,7,1,3,55,12.0527
1967,7,1,4,77,8.5134
1967,7,1,5,89,8.2397
1967,7,2,1,52,8.6898
1967,7,2,2,44,9.8808
1967,7,2,3,38,8.7869
1967,7,2,4,40,6.9475
1967,7,2,5,67,7.7600
1967,7,3,1,70,0.6190
1967,7,3,2,91,6.1816
1967,7,3,3,103,3.6154
1967,7,3,4,88,7.5966
1967,7,3,5,84,5.8470
1967,8,1,1,121,2.5669
1967,8,1,2,56,2.4547
1967,8,1,3,55,0.8665
1967,8,1,4,77,-0.6458
1967,8,1,5,89,-1.6493
1967,8,2,1,52,0.1688
1967,8,2,2,44,2.2952
1967,8,2,3,38,-0.4477
1967,8,2,4,40,0.7891
