year,month,rank_ME,rank_IVG,nstocks,ret_vw
1967,1,1,1,103,19.5945
1967,1,1,2,41,14.6528
1967,1,1,3,55,19.7451
1967,1,1,4,55,15.7474
1967,1,1,5,93,20.7676
1967,1,2,1,56,15.2576
1967,1,2,2,27,13.1343
1967,1,2,3,38,16.2072
1967,1,2,4,34,16.5366
1967,1,2,5,51,20.3736
1967,1,3,1,51,9.3437
1967,1,3,2,103,6.6282
1967,1,3,3,91,8.4932
1967,1,3,4,96,8.4801
1967,1,3,5,74,8.8986
1967,2,1,1,103,5.6374
1967,2,1,2,41,5.1212
1967,2,1,3,55,2.5168
1967,2,1,4,55,5.5331
1967,2,1,5,93,4.9623
1967,2,2,1,56,1.6236
1967,2,2,2,27,1.3802
1967,2,2,3,38,3.8025
1967,2,2,4,34,1.9517
1967,2,2,5,51,1.9361
1967,2,3,1,51,0.0016
1967,2,3,2,103,-0.8929
1967,2,3,3,91,0.7028
1967,2,3,4,96,3.3293
1967,2,3,5,74,2.2408
1967,3,1,1,103,6.4779
1967,3,1,2,41,5.8033
1967,3,1,3,55,3.2147
1967,3,1,4,55,8.3878
1967,3,1,5,94,7.9272
1967,3,2,1,56,4.4877
1967,3,2,2,27,5.5510
1967,3,2,3,38,9.9061
1967,3,2,4,34,7.6152
1967,3,2,5,51,7.8049
1967,3,3,1,51,4.1996
1967,3,3,2,103,4.5306
1967,3,3,3,91,4.3938
1967,3,3,4,96,5.3792
1967,3,3,5,74,4.1768
1967,4,1,1,103,5.3468
1967,4,1,2,41,4.0872
1967,4,1,3,55,3.6877
1967,4,1,4,55,1.9884
1967,4,1,5,94,7.3360
1967,4,2,1,56,4.4326
1967,4,2,2,27,3.2151
1967,4,2,3,38,3.6402
1967,4,2,4,34,5.5205
1967,4,2,5,51,4.8293
1967,4,3,1,51,2.6669
1967,4,3,2,103,2.4377
1967,4,3,3,91,4.6675
1967,4,3,4,96,5.8632
1967,4,3,5,74,7.0121
1967,5,1,1,103,2.2515
1967,5,1,2,41,-0.0650
1967,5,1,3,55,1.3712
1967,5,1,4,55,0.8759
1967,5,1,5,94,-0.5185
1967,5,2,1,56,-2.5508
1967,5,2,2,27,-2.0665
1967,5,2,3,38,1.0701
1967,5,2,4,34,-4.1704
1967,5,2,5,51,-2.2500
1967,5,3,1,51,-1.9353
1967,5,3,2,103,-3.2696
1967,5,3,3,91,-5.6467
1967,5,3,4,96,-4.4447
1967,5,3,5,74,-5.7108
1967,6,1,1,101,11.9604
1967,6,1,2,41,8.3011
1967,6,1,3,55,7.2629
1967,6,1,4,55,10.0387
1967,6,1,5,94,17.5609
1967,6,2,1,56,5.8193
1967,6,2,2,27,7.5977
1967,6,2,3,38,6.4266
1967,6,2,4,34,8.2280
1967,6,2,5,51,7.6863
1967,6,3,1,51,3.5121
1967,6,3,2,103,1.3392
1967,6,3,3,91,1.0907
1967,6,3,4,96,3.6854
1967,6,3,5,73,2.4260
1967,7,1,1,127,10.3342
1967,7,1,2,69,10.2576
1967,7,1,3,58,8.4902
1967,7,1,4,60,12.1317
1967,7,1,5,83,8.4859
1967,7,2,1,53,9.6352
1967,7,2,2,44,8.1774
1967,7,2,3,39,9.3405
1967,7,2,4,35,7.5348
1967,7,2,5,69,7.4617
1967,7,3,1,64,7.7379
1967,7,3,2,87,7.3734
1967,7,3,3,90,1.4877
1967,7,3,4,107,4.8920
1967,7,3,5,88,4.0531
1967,8,1,1,127,2.5641
1967,8,1,2,69,-0.3237
1967,8,1,3,58,1.8911
1967,8,1,4,60,-0.6682
1967,8,1,5,83,-0.7104
1967,8,2,1,53,0.4762
1967,8,2,2,44,2.1170
1967,8,2,3,39,-0.2765
1967,8,2,4,35,0.4349
1967,8,2,5,69,-3.0005
1967,8,3,1,64,-1.8659
1967,8,3,2,87,-1.2897
1967,8,3,3,89,-0.1107
1967,8,3,4,107,-0.4166
1967,8,3,5,88,-0.1188
1967,9,1,1,127,6.8577
1967,9,1,2,69,8.7574
1967,9,1,3,58,7.7099
1967,9,1,4,60,9.3380
1967,9,1,5,83,6.0489
1967,9,2,1,53,2.7503
1967,9,2,2,44,6.1947
1967,9,2,3,39,4.7530
1967,9,2,4,35,3.0704
1967,9,2,5,69,4.2924
1967,9,3,1,64,3.1200
1967,9,3,2,87,3.6051
1967,9,3,3,89,3.1102
1967,9,3,4,106,5.1659
1967,9,3,5,88,2.6101
1967,10,1,1,127,-1.9934
1967,10,1,2,69,-1.2700
1967,10,1,3,58,-3.1104
1967,10,1,4,60,-2.2364
1967,10,1,5,83,-2.0262
1967,10,2,1,53,-3.6286
1967,10,2,2,44,-4.2621
1967,10,2,3,38,-3.0205
1967,10,2,4,35,-4.4322
1967,10,2,5,69,-2.7280
1967,10,3,1,64,-4.5282
1967,10,3,2,87,-2.3235
1967,10,3,3,89,-4.0583
1967,10,3,4,106,0.0074
1967,10,3,5,88,-1.5135
1967,11,1,1,126,-0.0182
1967,11,1,2,69,-0.6423
1967,11,1,3,57,1.7613
1967,11,1,4,60,1.0829
1967,11,1,5,83,0.3749
1967,11,2,1,53,-0.6317
1967,11,2,2,44,-0.4728
1967,11,2,3,37,3.1436
1967,11,2,4,35,-0.0485
1967,11,2,5,69,1.3598
1967,11,3,1,64,0.0184
1967,11,3,2,87,0.2375
1967,11,3,3,89,-0.4449
1967,11,3,4,107,1.7220
1967,11,3,5,88,0.5279
1967,12,1,1,126,10.6380
1967,12,1,2,69,9.0028
1967,12,1,3,57,9.0712
1967,12,1,4,59,6.1811
1967,12,1,5,83,8.5519
1967,12,2,1,53,7.7671
1967,12,2,2,44,4.0046
1967,12,2,3,37,7.1673
1967,12,2,4,35,5.9581
1967,12,2,5,69,6.8719
1967,12,3,1,64,3.0640
1967,12,3,2,87,3.7788
1967,12,3,3,89,2.6225
1967,12,3,4,107,1.8770
1967,12,3,5,88,1.5750
1968,1,1,1,126,3.9184
1968,1,1,2,69,2.7156
1968,1,1,3,57,1.7505
1968,1,1,4,59,2.6957
1968,1,1,5,83,1.5252
1968,1,2,1,53,1.8929
1968,1,2,2,44,0.2699
1968,1,2,3,37,1.0232
1968,1,2,4,35,-2.0475
1968,1,2,5,69,-3.6394
1968,1,3,1,64,-3.0670
1968,1,3,2,87,-2.4556
1968,1,3,3,89,-1.9074
1968,1,3,4,107,-7.4093
1968,1,3,5,88,-8.6771
1968,2,1,1,125,-5.7779
1968,2,1,2,69,-2.6251
1968,2,1,3,57,-6.8919
1968,2,1,4,59,-7.5459
1968,2,1,5,83,-7.2843
1968,2,2,1,51,-2.1901
1968,2,2,2,44,-3.9328
1968,2,2,3,37,-4.8069
1968,2,2,4,35,-4.0261
1968,2,2,5,69,-7.6945
1968,2,3,1,64,-1.7617
1968,2,3,2,87,-2.9498
1968,2,3,3,88,-3.0324
1968,2,3,4,107,-2.7546
1968,2,3,5,88,-5.5746
1968,3,1,1,126,-1.6191
1968,3,1,2,69,0.1868
1968,3,1,3,57,-0.9481
1968,3,1,4,59,1.2262
1968,3,1,5,83,-3.0262
1968,3,2,1,51,-1.8995
1968,3,2,2,44,-0.4410
1968,3,2,3,37,-1.1825
1968,3,2,4,35,-2.7341
1968,3,2,5,69,-1.3480
1968,3,3,1,64,0.3524
1968,3,3,2,87,1.8140
1968,3,3,3,88,-0.8063
1968,3,3,4,107,3.0535
1968,3,3,5,88,1.3645
1968,4,1,1,125,17.1743
1968,4,1,2,69,13.9563
1968,4,1,3,57,17.1562
1968,4,1,4,59,21.0734
1968,4,1,5,83,16.4732
1968,4,2,1,51,11.8256
1968,4,2,2,44,12.6713
1968,4,2,3,37,14.7824
1968,4,2,4,35,13.1714
1968,4,2,5,69,16.0278
1968,4,3,1,64,7.9608
1968,4,3,2,87,6.5687
1968,4,3,3,88,7.7036
1968,4,3,4,107,11.0189
1968,4,3,5,88,13.0590
1968,5,1,1,125,14.1892
1968,5,1,2,69,8.8867
1968,5,1,3,57,8.4873
1968,5,1,4,59,11.1834
1968,5,1,5,83,11.1508
1968,5,2,1,51,6.9364
1968,5,2,2,44,6.3675
1968,5,2,3,36,7.1512
1968,5,2,4,35,7.9671
1968,5,2,5,69,8.6264
1968,5,3,1,63,1.4916
1968,5,3,2,87,-0.0272
1968,5,3,3,88,0.9134
1968,5,3,4,107,3.7108
1968,5,3,5,88,1.9671
1968,6,1,1,125,-0.7219
1968,6,1,2,69,2.8214
1968,6,1,3,57,1.8046
1968,6,1,4,59,0.0345
1968,6,1,5,83,-0.3267
1968,6,2,1,51,1.3037
1968,6,2,2,44,0.5281
1968,6,2,3,36,1.5851
1968,6,2,4,35,0.9537
1968,6,2,5,69,-2.5343
1968,6,3,1,63,1.4867
1968,6,3,2,87,0.5681
1968,6,3,3,88,1.0404
1968,6,3,4,107,-0.3634
1968,6,3,5,88,-0.1293
1968,7,1,1,186,-2.1149
1968,7,1,2,113,-2.5418
1968,7,1,3,83,-4.7076
1968,7,1,4,78,-1.9085
1968,7,1,5,110,-5.7181
1968,7,2,1,53,-3.3133
1968,7,2,2,53,-3.1856
1968,7,2,3,49,-2.6657
1968,7,2,4,55,-5.6337
1968,7,2,5,62,-6.5478
1968,7,3,1,63,-0.3528
1968,7,3,2,86,-1.6346
1968,7,3,3,97,-2.3022
1968,7,3,4,100,-1.2797
1968,7,3,5,95,-6.1050
1968,8,1,1,186,5.7374
1968,8,1,2,112,4.8722
1968,8,1,3,83,4.9379
1968,8,1,4,78,4.4019
1968,8,1,5,110,2.5927
1968,8,2,1,53,5.7866
1968,8,2,2,52,6.9059
1968,8,2,3,49,3.0997
1968,8,2,4,55,3.2568
1968,8,2,5,62,2.7699
1968,8,3,1,62,2.7909
1968,8,3,2,86,1.3630
1968,8,3,3,97,1.0507
1968,8,3,4,100,1.7214
1968,8,3,5,95,1.6310
1968,9,1,1,186,9.7414
1968,9,1,2,112,5.6068
1968,9,1,3,83,6.5037
1968,9,1,4,78,5.9512
1968,9,1,5,110,7.3973
1968,9,2,1,52,6.5685
1968,9,2,2,52,7.3392
1968,9,2,3,49,6.9442
1968,9,2,4,55,7.5987
1968,9,2,5,62,7.3184
1968,9,3,1,62,5.0210
1968,9,3,2,86,5.3629
1968,9,3,3,97,2.6162
1968,9,3,4,100,5.2201
1968,9,3,5,95,3.2425
1968,10,1,1,184,-0.0186
1968,10,1,2,112,2.0566
1968,10,1,3,83,-0.7075
1968,10,1,4,78,2.0218
1968,10,1,5,110,-1.0388
1968,10,2,1,52,1.5998
1968,10,2,2,52,1.4456
1968,10,2,3,49,-0.3026
1968,10,2,4,55,1.3121
1968,10,2,5,62,0.6375
1968,10,3,1,61,2.4583
1968,10,3,2,86,2.9663
1968,10,3,3,97,-1.2661
1968,10,3,4,100,1.5639
1968,10,3,5,95,-1.0473
1968,11,1,1,184,7.2198
1968,11,1,2,112,6.7899
1968,11,1,3,83,5.8641
1968,11,1,4,77,9.0806
1968,11,1,5,110,6.5979
1968,11,2,1,53,8.2516
1968,11,2,2,52,8.9274
1968,11,2,3,49,6.6630
1968,11,2,4,55,8.5033
1968,11,2,5,62,8.1623
1968,11,3,1,61,5.1576
1968,11,3,2,86,3.0602
1968,11,3,3,97,6.3537
1968,11,3,4,100,4.9206
1968,11,3,5,95,7.1031
1968,12,1,1,186,2.9140
1968,12,1,2,112,1.8714
1968,12,1,3,83,0.8930
1968,12,1,4,77,2.0220
1968,12,1,5,110,0.6092
1968,12,2,1,53,-1.8045
1968,12,2,2,52,1.5968
1968,12,2,3,49,-0.5606
1968,12,2,4,55,-1.8352
1968,12,2,5,62,-2.5534
1968,12,3,1,61,-4.4713
1968,12,3,2,86,-3.3217
1968,12,3,3,97,-4.7257
1968,12,3,4,100,-3.7333
1968,12,3,5,95,-3.8173
1969,1,1,1,186,-1.7467
1969,1,1,2,112,-0.9678
1969,1,1,3,83,-1.1107
1969,1,1,4,77,-1.5303
1969,1,1,5,110,-0.2859
1969,1,2,1,53,-2.2134
1969,1,2,2,52,-1.8105
1969,1,2,3,49,-1.5590
1969,1,2,4,55,-1.6027
1969,1,2,5,62,-0.5234
1969,1,3,1,61,0.5059
1969,1,3,2,86,-1.5232
1969,1,3,3,96,-1.3961
1969,1,3,4,100,-1.5596
1969,1,3,5,95,-1.8873
1969,2,1,1,184,-10.7741
1969,2,1,2,112,-9.6236
1969,2,1,3,82,-9.0004
1969,2,1,4,77,-7.9493
1969,2,1,5,110,-11.2447
1969,2,2,1,53,-8.0993
1969,2,2,2,52,-8.1187
1969,2,2,3,49,-5.8279
1969,2,2,4,55,-9.3268
1969,2,2,5,62,-10.0455
1969,2,3,1,61,-4.3736
1969,2,3,2,86,-4.3147
1969,2,3,3,96,-3.5581
1969,2,3,4,100,-4.4153
1969,2,3,5,95,-6.5661
1969,3,1,1,184,3.4854
1969,3,1,2,112,1.4474
1969,3,1,3,82,2.4866
1969,3,1,4,77,2.4290
1969,3,1,5,110,2.3127
1969,3,2,1,53,2.6378
1969,3,2,2,52,3.9758
1969,3,2,3,49,2.6609
1969,3,2,4,54,2.2207
1969,3,2,5,62,3.5260
1969,3,3,1,61,1.8295
1969,3,3,2,86,4.4356
1969,3,3,3,96,5.5173
1969,3,3,4,100,3.3336
1969,3,3,5,95,1.1582
1969,4,1,1,184,-1.1135
1969,4,1,2,112,-1.8642
1969,4,1,3,82,1.6319
1969,4,1,4,76,0.1862
1969,4,1,5,109,-1.5350
1969,4,2,1,53,2.0691
1969,4,2,2,51,2.4642
1969,4,2,3,49,0.1684
1969,4,2,4,54,1.6702
1969,4,2,5,62,1.7608
1969,4,3,1,61,3.8375
1969,4,3,2,86,1.7748
1969,4,3,3,96,2.0697
1969,4,3,4,98,1.8433
1969,4,3,5,95,2.7461
1969,5,1,1,185,2.6323
1969,5,1,2,112,1.9453
1969,5,1,3,82,0.3121
1969,5,1,4,76,-0.0630
1969,5,1,5,109,-1.1436
1969,5,2,1,53,-0.3754
1969,5,2,2,51,0.2249
1969,5,2,3,49,0.6267
1969,5,2,4,55,0.3354
1969,5,2,5,62,0.7163
1969,5,3,1,61,-0.6406
