year,month,rank_ME,rank_NDF,nstocks,ret_vw
1972,7,1,1,145,-5.1379
1972,7,1,2,110,-2.3449
1972,7,1,3,97,-4.4611
1972,7,1,4,57,-3.1221
1972,7,1,5,125,-4.1946
1972,7,2,1,57,-4.0621
1972,7,2,2,54,-5.8298
1972,7,2,3,49,-1.6118
1972,7,2,4,52,-2.2504
1972,7,2,5,60,-3.1733
1972,7,3,1,76,-0.1065
1972,7,3,2,85,-0.6331
1972,7,3,3,99,0.1744
1972,7,3,4,95,1.5525
1972,7,3,5,79,-2.0842
1972,8,1,1,145,0.7922
1972,8,1,2,110,-1.3255
1972,8,1,3,97,1.0211
1972,8,1,4,57,-1.5274
1972,8,1,5,124,0.8140
1972,8,2,1,57,1.9243
1972,8,2,2,54,0.1464
1972,8,2,3,49,1.9965
1972,8,2,4,52,4.0991
1972,8,2,5,60,1.4842
1972,8,3,1,76,2.2457
1972,8,3,2,85,3.0250
1972,8,3,3,99,2.2404
1972,8,3,4,95,4.8911
1972,8,3,5,79,4.8451
1972,9,1,1,145,-3.8597
1972,9,1,2,111,-3.4496
1972,9,1,3,97,-4.7150
1972,9,1,4,57,-4.2149
1972,9,1,5,123,-4.7790
1972,9,2,1,57,-4.0630
1972,9,2,2,54,-0.6054
1972,9,2,3,49,-3.2656
1972,9,2,4,52,-3.2910
1972,9,2,5,60,-1.9556
1972,9,3,1,76,-3.5225
1972,9,3,2,85,-1.5674
1972,9,3,3,99,0.6258
1972,9,3,4,95,-0.5323
1972,9,3,5,79,-0.0861
1972,10,1,1,145,-1.8062
1972,10,1,2,111,-1.3622
1972,10,1,3,97,-0.3699
1972,10,1,4,57,-2.1697
1972,10,1,5,123,-4.9958
1972,10,2,1,57,-1.4316
1972,10,2,2,54,-1.1219
1972,10,2,3,49,-0.8762
1972,10,2,4,52,-0.0989
1972,10,2,5,60,-0.8005
1972,10,3,1,76,0.8062
1972,10,3,2,85,1.1236
1972,10,3,3,99,1.7018
1972,10,3,4,95,-0.3071
1972,10,3,5,78,1.8896
1972,11,1,1,145,5.2057
1972,11,1,2,111,3.9242
1972,11,1,3,97,4.8418
1972,11,1,4,57,6.4671
1972,11,1,5,124,5.5269
1972,11,2,1,57,7.6339
1972,11,2,2,54,6.8375
1972,11,2,3,49,4.3079
1972,11,2,4,52,7.7719
1972,11,2,5,60,5.7803
1972,11,3,1,76,5.6687
1972,11,3,2,85,3.0178
1972,11,3,3,99,4.6419
1972,11,3,4,95,4.5866
1972,11,3,5,78,6.2409
1972,12,1,1,145,-2.2150
1972,12,1,2,111,-0.9146
1972,12,1,3,97,-0.9450
1972,12,1,4,57,-2.1813
1972,12,1,5,124,-2.8733
1972,12,2,1,57,-1.7039
1972,12,2,2,54,-0.2159
1972,12,2,3,49,0.9540
1972,12,2,4,52,-1.1147
1972,12,2,5,60,-0.6901
1972,12,3,1,76,0.0689
1972,12,3,2,85,0.2585
1972,12,3,3,99,2.3993
1972,12,3,4,95,2.1357
1972,12,3,5,79,1.8201
1973,1,1,1,145,-4.7617
1973,1,1,2,111,-3.1848
1973,1,1,3,97,-2.1343
1973,1,1,4,57,-1.2131
1973,1,1,5,124,-5.5640
1973,1,2,1,57,-6.5756
1973,1,2,2,54,-7.3372
1973,1,2,3,49,-5.8588
1973,1,2,4,52,-4.4495
1973,1,2,5,60,-8.3076
1973,1,3,1,76,-7.3012
1973,1,3,2,85,-3.5592
1973,1,3,3,99,-3.5172
1973,1,3,4,95,1.7774
1973,1,3,5,79,-3.5059
1973,2,1,1,145,-8.4283
1973,2,1,2,111,-7.1637
1973,2,1,3,97,-5.0346
1973,2,1,4,57,-8.9867
1973,2,1,5,124,-8.5192
1973,2,2,1,57,-7.3429
1973,2,2,2,54,-8.9417
1973,2,2,3,49,-10.6618
1973,2,2,4,52,-8.7402
1973,2,2,5,60,-8.3144
1973,2,3,1,76,-5.4139
1973,2,3,2,85,-4.0037
1973,2,3,3,99,-3.6480
1973,2,3,4,95,-3.1808
1973,2,3,5,79,-4.7779
1973,3,1,1,145,-2.8276
1973,3,1,2,111,-1.5363
1973,3,1,3,97,-5.2669
1973,3,1,4,57,1.8411
1973,3,1,5,124,-2.5261
1973,3,2,1,57,-1.5091
1973,3,2,2,54,-3.3353
1973,3,2,3,49,-2.7067
1973,3,2,4,52,-2.3589
1973,3,2,5,60,-2.3636
1973,3,3,1,76,-1.2881
1973,3,3,2,84,-0.5245
1973,3,3,3,99,0.2995
1973,3,3,4,95,0.9374
1973,3,3,5,79,0.0994
1973,4,1,1,145,-8.5497
1973,4,1,2,110,-6.2849
1973,4,1,3,97,-5.0115
1973,4,1,4,57,-6.0269
1973,4,1,5,124,-7.7406
1973,4,2,1,57,-7.3831
1973,4,2,2,54,-6.6107
1973,4,2,3,49,-5.7964
1973,4,2,4,52,-7.2354
1973,4,2,5,60,-7.1392
1973,4,3,1,76,-5.3703
1973,4,3,2,84,-5.1761
1973,4,3,3,99,-4.2738
1973,4,3,4,95,-3.6986
1973,4,3,5,79,-3.7645
1973,5,1,1,145,-9.1754
1973,5,1,2,110,-8.5103
1973,5,1,3,97,-8.0143
1973,5,1,4,57,-10.6298
1973,5,1,5,124,-9.4336
1973,5,2,1,57,-11.0589
1973,5,2,2,54,-9.2617
1973,5,2,3,49,-9.4503
1973,5,2,4,52,-6.4483
1973,5,2,5,60,-8.0941
1973,5,3,1,76,-3.0345
1973,5,3,2,85,-2.2691
1973,5,3,3,99,-1.0047
1973,5,3,4,94,-1.6179
1973,5,3,5,79,-1.9736
1973,6,1,1,145,-3.7674
1973,6,1,2,110,-3.8690
1973,6,1,3,97,-4.9021
1973,6,1,4,57,-4.3369
1973,6,1,5,124,-4.3271
