year,month,rank_ME,rank_NOA,nstocks,ret_vw
1967,1,1,1,43,18.4376
1967,1,1,2,24,20.5930
1967,1,1,3,30,16.3185
1967,1,1,4,21,24.1788
1967,1,1,5,36,15.9528
1967,1,2,1,17,15.0444
1967,1,2,2,20,16.2089
1967,1,2,3,21,20.1236
1967,1,2,4,19,16.2803
1967,1,2,5,24,20.6633
1967,1,3,1,54,9.1782
1967,1,3,2,51,6.3120
1967,1,3,3,50,8.5764
1967,1,3,4,55,9.1622
1967,1,3,5,45,7.7743
1967,2,1,1,43,5.4262
1967,2,1,2,24,7.4276
1967,2,1,3,30,1.5383
1967,2,1,4,21,-0.3280
1967,2,1,5,36,7.4752
1967,2,2,1,17,3.3227
1967,2,2,2,20,6.1068
1967,2,2,3,21,0.5913
1967,2,2,4,19,1.3313
1967,2,2,5,24,2.2543
1967,2,3,1,54,0.9499
1967,2,3,2,51,3.2348
1967,2,3,3,50,-0.4933
1967,2,3,4,55,0.4852
1967,2,3,5,45,1.9807
1967,3,1,1,43,13.0110
1967,3,1,2,24,8.4780
1967,3,1,3,30,4.5264
1967,3,1,4,21,8.3342
1967,3,1,5,37,6.5539
1967,3,2,1,17,7.7961
1967,3,2,2,20,7.8294
1967,3,2,3,21,8.2785
1967,3,2,4,19,10.2145
1967,3,2,5,24,4.6496
1967,3,3,1,54,4.2178
1967,3,3,2,51,4.7305
1967,3,3,3,50,4.1795
1967,3,3,4,55,2.6299
1967,3,3,5,45,5.3654
1967,4,1,1,43,1.9777
1967,4,1,2,24,7.7916
1967,4,1,3,30,5.7632
1967,4,1,4,21,11.2127
1967,4,1,5,37,4.7868
1967,4,2,1,17,7.0352
1967,4,2,2,20,3.6113
1967,4,2,3,21,3.5157
1967,4,2,4,19,3.8982
1967,4,2,5,24,5.0659
1967,4,3,1,54,7.4874
1967,4,3,2,51,5.3054
1967,4,3,3,50,3.9651
1967,4,3,4,55,4.1146
1967,4,3,5,45,1.2022
1967,5,1,1,43,0.5156
1967,5,1,2,24,1.1749
1967,5,1,3,30,1.6787
1967,5,1,4,21,-2.5514
1967,5,1,5,37,-1.4263
1967,5,2,1,17,2.9981
1967,5,2,2,20,-3.0767
1967,5,2,3,21,0.3003
1967,5,2,4,19,-4.1027
1967,5,2,5,24,-3.1163
1967,5,3,1,54,-6.1388
1967,5,3,2,51,-3.5931
1967,5,3,3,50,-4.2826
1967,5,3,4,55,-4.6517
1967,5,3,5,45,-5.4510
1967,6,1,1,43,12.1464
1967,6,1,2,24,12.7555
1967,6,1,3,30,11.1723
1967,6,1,4,21,12.8427
1967,6,1,5,36,15.9017
1967,6,2,1,17,9.8624
1967,6,2,2,20,12.7427
1967,6,2,3,21,8.8911
1967,6,2,4,19,7.3229
1967,6,2,5,24,6.6556
1967,6,3,1,53,1.2579
1967,6,3,2,51,4.2267
1967,6,3,3,50,0.2326
1967,6,3,4,55,0.1903
1967,6,3,5,45,2.7839
1967,7,1,1,82,10.5454
1967,7,1,2,49,11.4071
1967,7,1,3,59,9.5021
1967,7,1,4,42,11.0647
1967,7,1,5,50,9.9233
1967,7,2,1,29,5.0652
1967,7,2,2,45,10.2826
1967,7,2,3,37,9.6606
1967,7,2,4,38,8.5905
1967,7,2,5,39,8.1535
1967,7,3,1,87,7.0027
1967,7,3,2,72,5.0433
1967,7,3,3,70,7.4585
1967,7,3,4,76,4.6486
1967,7,3,5,81,-0.2355
1967,8,1,1,82,0.8428
1967,8,1,2,49,3.9392
1967,8,1,3,59,0.6142
1967,8,1,4,42,-1.9849
