year,month,rank_ME,rank_NSI,nstocks,ret_vw
1967,1,1,1,69,17.1076
1967,1,1,2,121,18.8939
1967,1,1,3,47,18.0152
1967,1,1,4,54,18.6080
1967,1,1,5,66,18.6838
1967,1,2,1,42,18.2231
1967,1,2,2,54,14.0643
1967,1,2,3,40,16.1339
1967,1,2,4,47,15.6061
1967,1,2,5,48,16.7395
1967,1,3,1,89,5.6567
1967,1,3,2,68,5.5556
1967,1,3,3,119,8.4416
1967,1,3,4,108,8.6278
1967,1,3,5,115,7.9928
1967,2,1,1,69,5.4946
1967,2,1,2,121,4.0800
1967,2,1,3,47,5.0871
1967,2,1,4,54,4.0416
1967,2,1,5,66,5.4087
1967,2,2,1,42,3.2102
1967,2,2,2,54,3.5768
1967,2,2,3,40,1.3431
1967,2,2,4,47,2.2216
1967,2,2,5,48,0.0447
1967,2,3,1,89,-0.3752
1967,2,3,2,68,-1.4309
1967,2,3,3,119,0.0620
1967,2,3,4,108,3.3845
1967,2,3,5,115,1.7156
1967,3,1,1,69,5.0157
1967,3,1,2,122,5.5763
1967,3,1,3,47,11.7493
1967,3,1,4,54,7.4031
1967,3,1,5,66,3.9108
1967,3,2,1,42,6.9617
1967,3,2,2,54,4.1685
1967,3,2,3,40,7.3511
1967,3,2,4,47,7.8026
1967,3,2,5,48,6.7174
1967,3,3,1,89,4.1394
1967,3,3,2,68,2.4694
1967,3,3,3,119,3.4362
1967,3,3,4,108,4.7178
1967,3,3,5,115,5.7515
1967,4,1,1,69,7.0754
1967,4,1,2,122,3.5695
1967,4,1,3,47,3.3599
1967,4,1,4,54,6.0471
1967,4,1,5,66,4.8605
1967,4,2,1,42,4.3419
1967,4,2,2,54,5.3671
1967,4,2,3,40,2.0233
1967,4,2,4,47,4.4152
1967,4,2,5,48,3.3039
1967,4,3,1,89,2.3399
1967,4,3,2,68,2.1667
1967,4,3,3,119,5.7694
1967,4,3,4,108,7.4007
1967,4,3,5,115,2.5407
1967,5,1,1,69,1.3561
1967,5,1,2,122,0.9384
1967,5,1,3,47,-1.0510
1967,5,1,4,54,1.2472
1967,5,1,5,66,1.1981
1967,5,2,1,42,0.8303
1967,5,2,2,54,-2.6457
1967,5,2,3,40,-2.0646
1967,5,2,4,47,-2.3362
1967,5,2,5,48,-3.4389
1967,5,3,1,89,-3.0508
1967,5,3,2,68,-3.2025
1967,5,3,3,119,-5.6744
1967,5,3,4,108,-4.1498
1967,5,3,5,115,-4.8614
1967,6,1,1,68,12.1448
1967,6,1,2,122,10.2227
1967,6,1,3,47,9.0457
1967,6,1,4,54,13.7431
1967,6,1,5,65,13.9654
1967,6,2,1,42,8.2066
1967,6,2,2,54,7.3540
1967,6,2,3,40,4.0125
1967,6,2,4,47,7.1907
1967,6,2,5,48,7.0200
1967,6,3,1,89,2.1056
1967,6,3,2,68,0.7968
1967,6,3,3,119,0.0169
1967,6,3,4,108,3.3279
1967,6,3,5,114,3.2173
1967,7,1,1,86,11.3990
1967,7,1,2,147,9.4225
1967,7,1,3,46,9.9909
1967,7,1,4,57,10.1518
1967,7,1,5,81,9.0279
1967,7,2,1,51,7.7806
1967,7,2,2,54,5.7716
1967,7,2,3,49,9.4781
1967,7,2,4,53,9.9217
1967,7,2,5,60,6.4146
1967,7,3,1,95,8.5630
1967,7,3,2,69,4.0011
1967,7,3,3,125,5.3175
1967,7,3,4,118,1.0332
1967,7,3,5,113,3.8200
1967,8,1,1,86,1.6887
1967,8,1,2,147,0.4877
1967,8,1,3,46,1.6131
1967,8,1,4,57,1.0479
1967,8,1,5,81,-0.9219
1967,8,2,1,51,0.1257
1967,8,2,2,54,0.8831
1967,8,2,3,49,-0.1142
1967,8,2,4,53,-1.1465
1967,8,2,5,60,-0.4919
1967,8,3,1,95,-1.0423
1967,8,3,2,69,-0.1511
1967,8,3,3,125,-0.5871
1967,8,3,4,118,-0.7948
1967,8,3,5,112,-0.9956
1967,9,1,1,86,9.4507
1967,9,1,2,147,7.3544
1967,9,1,3,46,5.1314
1967,9,1,4,57,6.4337
1967,9,1,5,81,7.1808
1967,9,2,1,51,4.0975
1967,9,2,2,54,3.1050
1967,9,2,3,49,5.6039
1967,9,2,4,53,3.5187
1967,9,2,5,60,3.6872
1967,9,3,1,95,2.5950
1967,9,3,2,69,-0.0618
1967,9,3,3,124,3.6856
1967,9,3,4,118,2.9795
1967,9,3,5,112,4.8110
1967,10,1,1,86,-1.5768
1967,10,1,2,147,-1.0383
1967,10,1,3,46,-3.0399
1967,10,1,4,57,-2.2821
1967,10,1,5,81,-2.5700
1967,10,2,1,50,-2.1514
1967,10,2,2,54,-4.1196
1967,10,2,3,49,-4.4129
1967,10,2,4,53,-4.7216
1967,10,2,5,60,-3.1270
1967,10,3,1,95,-4.3966
1967,10,3,2,69,-4.6379
1967,10,3,3,125,-2.6339
1967,10,3,4,118,-3.3998
1967,10,3,5,112,0.3761
1967,11,1,1,85,-0.3463
1967,11,1,2,147,0.3435
1967,11,1,3,46,2.5410
1967,11,1,4,56,-0.9488
1967,11,1,5,81,1.0306
1967,11,2,1,50,1.1438
1967,11,2,2,54,0.9407
1967,11,2,3,48,-1.2266
1967,11,2,4,53,-1.1415
1967,11,2,5,60,2.9939
1967,11,3,1,95,-0.4304
1967,11,3,2,69,1.9582
1967,11,3,3,126,0.4432
1967,11,3,4,118,-0.2279
1967,11,3,5,112,2.6688
1967,12,1,1,85,7.4177
1967,12,1,2,147,10.3740
1967,12,1,3,46,6.1578
1967,12,1,4,55,8.3235
1967,12,1,5,81,9.3781
1967,12,2,1,50,5.9009
1967,12,2,2,54,5.9482
1967,12,2,3,48,5.1323
1967,12,2,4,53,5.3804
1967,12,2,5,60,8.6789
1967,12,3,1,95,2.1400
1967,12,3,2,69,1.8748
1967,12,3,3,126,3.4726
1967,12,3,4,118,2.2294
1967,12,3,5,112,2.3373
1968,1,1,1,85,2.2915
1968,1,1,2,147,4.7386
1968,1,1,3,46,-0.1669
1968,1,1,4,55,2.6959
1968,1,1,5,81,2.4535
1968,1,2,1,50,-0.3730
1968,1,2,2,54,2.1650
1968,1,2,3,48,1.3039
1968,1,2,4,53,-1.9176
1968,1,2,5,60,-2.3998
1968,1,3,1,95,-3.3611
1968,1,3,2,69,-1.8482
1968,1,3,3,126,-4.3027
1968,1,3,4,118,-3.9987
1968,1,3,5,112,-6.0499
1968,2,1,1,85,-5.1822
1968,2,1,2,147,-5.4691
1968,2,1,3,46,-5.7866
1968,2,1,4,54,-4.8404
1968,2,1,5,81,-8.3581
1968,2,2,1,50,-5.2025
1968,2,2,2,53,-2.2391
1968,2,2,3,47,-5.2356
1968,2,2,4,53,-2.3213
1968,2,2,5,60,-7.2698
1968,2,3,1,95,-3.0604
1968,2,3,2,69,-2.0533
1968,2,3,3,125,-2.3148
1968,2,3,4,118,-3.4346
1968,2,3,5,112,-3.9674
1968,3,1,1,86,-0.3783
1968,3,1,2,147,-1.4131
1968,3,1,3,46,-0.1232
1968,3,1,4,54,-0.4277
1968,3,1,5,81,-2.0355
1968,3,2,1,50,-1.6010
1968,3,2,2,53,-3.3922
1968,3,2,3,47,1.0585
1968,3,2,4,53,-1.9509
1968,3,2,5,60,-0.5352
1968,3,3,1,95,-0.1632
1968,3,3,2,69,-2.0766
1968,3,3,3,125,0.6268
1968,3,3,4,118,1.0269
1968,3,3,5,112,2.4515
1968,4,1,1,86,16.0953
1968,4,1,2,146,16.0806
1968,4,1,3,46,17.5228
1968,4,1,4,54,17.9976
1968,4,1,5,81,17.2730
1968,4,2,1,50,10.7685
1968,4,2,2,53,10.2989
1968,4,2,3,47,12.9453
1968,4,2,4,53,13.2929
1968,4,2,5,60,16.5326
1968,4,3,1,95,9.5418
1968,4,3,2,69,5.5255
1968,4,3,3,125,7.9383
1968,4,3,4,118,8.6232
1968,4,3,5,112,10.2446
1968,5,1,1,86,10.7004
1968,5,1,2,146,12.1191
1968,5,1,3,46,10.0332
1968,5,1,4,54,11.4661
1968,5,1,5,81,10.4261
1968,5,2,1,50,5.7811
1968,5,2,2,52,7.4332
1968,5,2,3,47,7.9819
1968,5,2,4,53,7.3315
1968,5,2,5,60,7.8832
1968,5,3,1,95,0.6212
1968,5,3,2,69,1.3867
1968,5,3,3,125,1.2040
1968,5,3,4,117,1.7235
1968,5,3,5,112,3.0252
1968,6,1,1,86,0.3239
1968,6,1,2,146,0.1381
1968,6,1,3,46,3.8471
1968,6,1,4,54,-0.4258
1968,6,1,5,81,-0.1108
1968,6,2,1,50,0.7722
1968,6,2,2,52,0.2729
1968,6,2,3,47,0.2610
1968,6,2,4,53,1.3432
1968,6,2,5,60,-0.2930
1968,6,3,1,95,1.6441
1968,6,3,2,69,4.7220
1968,6,3,3,125,0.3627
1968,6,3,4,117,1.0464
1968,6,3,5,112,0.6075
1968,7,1,1,89,-1.6809
1968,7,1,2,202,-1.6870
1968,7,1,3,76,-3.8728
1968,7,1,4,115,-4.2593
1968,7,1,5,118,-5.1149
1968,7,2,1,29,-2.2953
1968,7,2,2,65,-0.6644
1968,7,2,3,67,-1.6532
1968,7,2,4,70,-5.3778
1968,7,2,5,75,-7.1479
1968,7,3,1,61,1.3426
1968,7,3,2,66,-0.3371
1968,7,3,3,132,-1.5277
1968,7,3,4,121,-3.9710
1968,7,3,5,138,-4.4157
1968,8,1,1,89,4.6254
1968,8,1,2,201,5.6428
1968,8,1,3,76,3.5874
1968,8,1,4,115,5.4318
1968,8,1,5,118,2.6665
1968,8,2,1,28,4.7575
1968,8,2,2,65,4.0466
1968,8,2,3,67,2.4536
1968,8,2,4,70,4.5390
1968,8,2,5,75,3.6822
1968,8,3,1,61,2.0411
1968,8,3,2,66,0.6888
1968,8,3,3,132,1.8051
1968,8,3,4,120,0.6684
1968,8,3,5,138,0.9756
1968,9,1,1,89,5.7035
1968,9,1,2,201,8.2453
1968,9,1,3,76,6.8121
1968,9,1,4,115,8.3713
1968,9,1,5,118,6.7719
1968,9,2,1,28,5.4399
1968,9,2,2,65,5.2464
1968,9,2,3,67,6.1707
1968,9,2,4,69,7.4620
1968,9,2,5,75,7.8749
1968,9,3,1,61,3.7557
1968,9,3,2,66,2.6244
1968,9,3,3,132,4.5126
1968,9,3,4,120,2.9164
1968,9,3,5,138,4.3486
1968,10,1,1,89,2.6006
1968,10,1,2,199,0.9140
1968,10,1,3,76,-1.1245
1968,10,1,4,115,-0.4716
1968,10,1,5,118,0.1208
1968,10,2,1,28,-0.1440
1968,10,2,2,65,1.3650
1968,10,2,3,67,2.6351
1968,10,2,4,69,0.5856
1968,10,2,5,75,0.1503
1968,10,3,1,61,1.7874
1968,10,3,2,66,2.5134
1968,10,3,3,132,1.9965
1968,10,3,4,119,-2.2066
1968,10,3,5,138,-0.0736
1968,11,1,1,88,8.3322
1968,11,1,2,199,6.3942
1968,11,1,3,76,5.4310
1968,11,1,4,115,8.4158
1968,11,1,5,118,6.5745
1968,11,2,1,28,8.4900
1968,11,2,2,65,7.1620
1968,11,2,3,67,7.7015
1968,11,2,4,70,7.4970
1968,11,2,5,75,10.0286
1968,11,3,1,61,5.3833
1968,11,3,2,66,6.3567
1968,11,3,3,132,4.1118
1968,11,3,4,119,6.7457
1968,11,3,5,138,7.0262
1968,12,1,1,88,0.5730
1968,12,1,2,201,2.9218
1968,12,1,3,76,3.4883
1968,12,1,4,115,1.6360
1968,12,1,5,118,0.9034
