year,month,rank_ME,rank_NXF,nstocks,ret_vw
1972,7,1,1,87,-2.9542
1972,7,1,2,94,-3.4137
1972,7,1,3,128,-3.2660
1972,7,1,4,106,-3.8133
1972,7,1,5,124,-4.8375
1972,7,2,1,48,-2.8007
1972,7,2,2,56,-2.5742
1972,7,2,3,49,-2.8803
1972,7,2,4,55,-3.1616
1972,7,2,5,66,-4.3717
1972,7,3,1,88,2.7110
1972,7,3,2,89,0.6196
1972,7,3,3,85,0.0370
1972,7,3,4,88,-1.2454
1972,7,3,5,78,-2.0766
1972,8,1,1,87,1.6456
1972,8,1,2,94,-0.5046
1972,8,1,3,128,-0.4008
1972,8,1,4,106,1.1028
1972,8,1,5,123,0.3358
1972,8,2,1,48,3.5905
1972,8,2,2,56,1.3540
1972,8,2,3,49,0.2078
1972,8,2,4,55,3.3443
1972,8,2,5,66,1.4478
1972,8,3,1,88,-0.4566
1972,8,3,2,89,4.7172
1972,8,3,3,85,6.1427
1972,8,3,4,88,4.4557
1972,8,3,5,78,3.7209
1972,9,1,1,87,-3.2985
1972,9,1,2,94,-4.1241
1972,9,1,3,129,-5.3073
1972,9,1,4,106,-4.9335
1972,9,1,5,122,-3.8501
1972,9,2,1,48,-3.7756
1972,9,2,2,56,-1.6476
1972,9,2,3,49,-2.8653
1972,9,2,4,55,-3.2365
1972,9,2,5,66,-2.7412
1972,9,3,1,88,1.0369
1972,9,3,2,89,-1.4256
1972,9,3,3,85,-0.8088
1972,9,3,4,88,-1.9004
1972,9,3,5,78,1.3785
1972,10,1,1,87,-0.6729
1972,10,1,2,94,-2.7710
1972,10,1,3,129,-2.0458
1972,10,1,4,106,-1.5131
1972,10,1,5,122,-4.6796
1972,10,2,1,48,-1.3725
1972,10,2,2,56,-1.4596
1972,10,2,3,49,-0.5336
1972,10,2,4,55,-0.9081
1972,10,2,5,66,-0.9602
1972,10,3,1,88,2.2144
1972,10,3,2,89,-1.2466
1972,10,3,3,85,1.5082
1972,10,3,4,88,0.1965
1972,10,3,5,77,1.3833
