year,month,rank_ME,rank_OA,nstocks,ret_vw
1967,1,1,1,64,19.8095
1967,1,1,2,43,18.5284
1967,1,1,3,33,18.3786
1967,1,1,4,63,17.3204
1967,1,1,5,97,20.0684
1967,1,2,1,29,12.0700
1967,1,2,2,30,16.3161
1967,1,2,3,45,16.0821
1967,1,2,4,35,19.1190
1967,1,2,5,42,19.5926
1967,1,3,1,78,8.3457
1967,1,3,2,88,7.7097
1967,1,3,3,81,9.0999
1967,1,3,4,72,7.6574
1967,1,3,5,65,8.9134
1967,2,1,1,64,4.0319
1967,2,1,2,43,6.7248
1967,2,1,3,33,6.2036
1967,2,1,4,63,4.1265
1967,2,1,5,97,4.3701
1967,2,2,1,29,3.5257
1967,2,2,2,30,1.7500
1967,2,2,3,45,3.5867
1967,2,2,4,35,1.0899
1967,2,2,5,42,2.1333
1967,2,3,1,78,2.0784
1967,2,3,2,88,-0.0652
1967,2,3,3,81,2.0678
1967,2,3,4,72,1.8941
1967,2,3,5,65,1.5447
1967,3,1,1,64,4.6874
1967,3,1,2,43,5.4534
1967,3,1,3,33,4.6739
1967,3,1,4,63,8.3308
1967,3,1,5,97,7.9374
1967,3,2,1,29,6.4530
1967,3,2,2,30,4.1613
1967,3,2,3,45,5.2215
1967,3,2,4,35,9.2082
1967,3,2,5,42,9.2358
1967,3,3,1,78,4.6749
1967,3,3,2,88,3.8306
1967,3,3,3,81,5.0579
1967,3,3,4,72,7.4564
1967,3,3,5,65,4.6584
1967,4,1,1,64,3.5603
1967,4,1,2,43,5.2886
1967,4,1,3,33,6.6133
1967,4,1,4,63,5.7110
1967,4,1,5,97,4.9421
1967,4,2,1,29,3.4101
1967,4,2,2,30,2.7782
1967,4,2,3,45,2.7194
1967,4,2,4,35,6.6873
1967,4,2,5,42,5.9354
1967,4,3,1,78,5.5611
1967,4,3,2,88,3.6265
1967,4,3,3,81,2.1384
1967,4,3,4,72,4.2529
1967,4,3,5,65,9.1101
1967,5,1,1,64,2.3980
1967,5,1,2,43,0.9403
1967,5,1,3,33,0.5613
1967,5,1,4,63,0.6060
1967,5,1,5,97,0.0352
1967,5,2,1,29,-1.5229
1967,5,2,2,30,-1.2395
1967,5,2,3,45,-0.6238
1967,5,2,4,35,-3.4989
1967,5,2,5,42,-1.8703
1967,5,3,1,78,-4.0582
1967,5,3,2,88,-5.1295
1967,5,3,3,81,-3.7474
1967,5,3,4,72,-4.1104
1967,5,3,5,65,-5.2806
1967,6,1,1,64,14.0461
